"Species","term","value_2014","value_2015","pct_change"
"Damaliscus pygargus phillipsi","RoB_Mass.g",32.62,30.006,-8.013
"Damaliscus pygargus phillipsi","RoB_N.n",92240000,86430000,-6.299
"Damaliscus pygargus phillipsi","RoB_N.p.mg",2828,2880,1.839
"Damaliscus pygargus phillipsi","RoB_O.p.N",24.842,24.718,-0.499
"Damaliscus pygargus phillipsi","WholeBrain_Mass.g",155.066,154.718,-0.224
"Damaliscus pygargus phillipsi","WholeBrain_N.n",3.9e+09,3.06e+09,-21.538
"Damaliscus pygargus phillipsi","WholeBrain_O.p.N",3.989,3.054,-23.439
"Giraffa camelopardalis","CerebralCortex_Mass.g",389.616,398.808,2.359
"Giraffa camelopardalis","CerebralCortex_N.n",1.67e+09,1.73e+09,3.593
"Giraffa camelopardalis","CerebralCortex_N.p.mg",4283,4339,1.307
"Giraffa camelopardalis","CerebralCortex_O.p.N",15.949,15.9,-0.307
"Giraffa camelopardalis","CerebralCortexGrey_O.p.N",7.764,7.763,-0.013
"Giraffa camelopardalis","DiencephalonStriatum_N.n",34320000,68630000,99.971
"Giraffa camelopardalis","DiencephalonStriatum_N.p.mg",1030,2060,100
"Giraffa camelopardalis","Hippocampus_N.p.mg",7826,8435,7.782
"Giraffa camelopardalis","PonsMedulla_N.n",47440000,47720000,0.59
"Giraffa camelopardalis","PonsMedulla_N.p.mg",2214,2227,0.587
"Giraffa camelopardalis","PonsMedulla_O.p.N",23.631,23.483,-0.626
"Giraffa camelopardalis","RoB_N.n",150650000,142700000,-5.277
"Giraffa camelopardalis","RoB_N.p.mg",2131,2019,-5.256
"Giraffa camelopardalis","RoB_O.p.N",32.333,34.19,5.743
"Giraffa camelopardalis","WholeBrain_Mass.g",528.026,537.218,1.741
"Giraffa camelopardalis","WholeBrain_N.n",1.121e+10,1.075e+10,-4.103
"Giraffa camelopardalis","WholeBrain_O.p.N",3.252,3.526,8.426
"Sus scrofa domesticus","CerebralCortex_Mass.g",35.78,42.202,17.949
"Sus scrofa domesticus","CerebralCortex_N.n",292960000,307080000,4.82
"Sus scrofa domesticus","CerebralCortex_N.p.mg",8118,7276,-10.372
"Sus scrofa domesticus","CerebralCortex_O.p.N",10.361,10.585,2.162
"Sus scrofa domesticus","WholeBrain_Mass.g",57.758,64.18,11.119
"Sus scrofa domesticus","WholeBrain_O.p.N",2.076,2.111,1.686
"Tragelaphus strepsiceros","CerebralCortex_Mass.g",212.004,213.37,0.644
"Tragelaphus strepsiceros","CerebralCortex_N.n",793070000,762570000,-3.846
"Tragelaphus strepsiceros","CerebralCortex_N.p.mg",3741,3574,-4.464
"Tragelaphus strepsiceros","CerebralCortex_O.p.N",14.625,16.133,10.311
"Tragelaphus strepsiceros","CerebralCortexGrey_N.n",615870000,596210000,-3.192
"Tragelaphus strepsiceros","CerebralCortexGrey_N.p.mg",4798,4644,-3.21
"Tragelaphus strepsiceros","CerebralCortexGrey_O.p.N",8.443,8.754,3.684
"Tragelaphus strepsiceros","Mesencephalon_Mass.g",15.928,12.902,-18.998
"Tragelaphus strepsiceros","Mesencephalon_N.p.mg",1637,2594,58.461
"Tragelaphus strepsiceros","RoB_Mass.g",64.742,61.716,-4.674
"Tragelaphus strepsiceros","RoB_N.n",106280000,106590000,0.292
"Tragelaphus strepsiceros","RoB_N.p.mg",1642,1727,5.177
"Tragelaphus strepsiceros","RoB_O.p.N",32.076,31.98,-0.299
"Tragelaphus strepsiceros","WholeBrain_Mass.g",308.522,306.86,-0.539
"Tragelaphus strepsiceros","WholeBrain_N.n",6.09e+09,4.91e+09,-19.376
"Tragelaphus strepsiceros","WholeBrain_O.p.N",2.481,3.456,39.299
