"Species","Species_binomial","species_sci","clade_printed","neuron_class","body_mass_g","brain_mass_mg","n_length","soma_length_M1","soma_length_M1_sd","soma_length_M1_min","soma_length_M1_max","n_area","soma_area_M1","soma_area_M1_sd","soma_area_M1_min","soma_area_M1_max","n_volume","soma_volume_M1","soma_volume_M1_sd","soma_volume_M1_min","soma_volume_M1_max","method","parse_flags"
"Caracal","Caracal caracal","Caracal caracal","Carnivores","gigantopyramidal",11600,55300,41,15.2,2.5,12.7,27.7,41,775,317,520.9,2509.1,40,18421.7,14309.5,10129.5,100697.6,"unbiased stereology (nucleator probe, StereoInvestigator)",NA
"Caracal","Caracal caracal","Caracal caracal","Carnivores","pyramidal",11600,55300,282,8.8,1.2,7.6,12.3,285,258.3,74.8,186,520,284,3415.1,1663.6,2001.3,9691.3,"unbiased stereology (nucleator probe, StereoInvestigator)",NA
"European polecat","Mustela putorius","Mustela putorius","Carnivores","gigantopyramidal",1100,8300,44,12.4,1,11.1,14.8,32,533.6,68.6,443.5,725.2,27,10231,1777.3,8187.3,15925.5,"unbiased stereology (nucleator probe, StereoInvestigator)",NA
"European polecat","Mustela putorius","Mustela putorius","Carnivores","pyramidal",1100,8300,177,8.2,1.5,6,11,183,241.1,89.3,119.3,433.3,190,3214.3,1819.4,1004.3,7649.7,"unbiased stereology (nucleator probe, StereoInvestigator)",NA
"Harp seal","Pagophilus groenlandicus","Pagophilus groenlandicus","Carnivores","gigantopyramidal",132300,276000,49,11.7,0.7,11,13.9,52,438.5,54.3,390.5,614.6,52,7296.3,1491.9,6012.3,11984.2,"unbiased stereology (nucleator probe, StereoInvestigator)",NA
"Harp seal","Pagophilus groenlandicus","Pagophilus groenlandicus","Carnivores","pyramidal",132300,276000,240,9.1,1.2,6.3,11,237,271.7,65.2,127.9,387.9,237,3585.2,1233.7,1104.6,5983.4,"unbiased stereology (nucleator probe, StereoInvestigator)",NA
"Northern fur seal","Callorhinus ursinus","Callorhinus ursinus","Carnivores","gigantopyramidal",135900,328600,43,13.4,1,12.5,17.5,27,642.8,106.1,556.4,1053.3,34,12955.6,3638.7,10033.7,28902.2,"unbiased stereology (nucleator probe, StereoInvestigator)",NA
"Northern fur seal","Callorhinus ursinus","Callorhinus ursinus","Carnivores","pyramidal",135900,328600,433,9.6,1.6,6.1,12.5,447,319.1,105.6,122.3,549.2,443,4667.7,2249.8,1013.7,9971.2,"unbiased stereology (nucleator probe, StereoInvestigator)",NA
"Raccoon","Procyon lotor","Procyon lotor","Carnivores","gigantopyramidal",6400,40000,39,15.4,2.3,13,21.5,37,794.6,253.8,562.4,1488.5,40,17746.9,9299.3,10075,44546.1,"unbiased stereology (nucleator probe, StereoInvestigator)",NA
"Raccoon","Procyon lotor","Procyon lotor","Carnivores","pyramidal",6400,40000,541,8.8,1.2,6.3,13,551,254.1,74.8,120.7,548.4,550,3232.9,1440.6,1000.8,9666.8,"unbiased stereology (nucleator probe, StereoInvestigator)",NA
"Siberian tiger","Panthera tigris altaica","Panthera tigris altaica","Carnivores","gigantopyramidal",161000,279300,12,17,4.6,12.1,27.8,12,1040,569.8,460.9,2517.8,11,32289.6,25103.6,9909.7,99838.6,"unbiased stereology (nucleator probe, StereoInvestigator)",NA
"Siberian tiger","Panthera tigris altaica","Panthera tigris altaica","Carnivores","pyramidal",161000,279300,126,8.6,1.2,6.4,11.8,128,245.9,72.7,126.3,452,131,3158.4,NA,1045.7,7560.3,"unbiased stereology (nucleator probe, StereoInvestigator)","volume mean+-sd printed '3,158.4±14,71.9'"
"Black-capped squirrel monkey","Saimiri boliviensis","Saimiri boliviensis","Primates","gigantopyramidal",900,25500,24,8.2,0.8,7.7,11,22,224.4,46.4,191.8,392,24,2646,935.7,2004.6,6030.8,"unbiased stereology (nucleator probe, StereoInvestigator)",NA
"Black-capped squirrel monkey","Saimiri boliviensis","Saimiri boliviensis","Primates","pyramidal",900,25500,146,6.5,0.5,5.8,7.5,126,140.7,20.2,114.2,189.5,109,1360.5,266.4,1001.7,1949,"unbiased stereology (nucleator probe, StereoInvestigator)",NA
"Chacma baboon","Papio ursinus","Papio ursinus","Primates","gigantopyramidal",31000,214400,27,8,0.8,7.2,9.8,19,223.7,35.8,182,305.8,18,2662.7,593.6,2014.3,4069.2,"unbiased stereology (nucleator probe, StereoInvestigator)",NA
"Chacma baboon","Papio ursinus","Papio ursinus","Primates","pyramidal",31000,214400,27,6.5,0.2,6,6.9,35,143.8,16.3,121,178.3,38,1364.1,252,1016.7,1909.4,"unbiased stereology (nucleator probe, StereoInvestigator)",NA
"Cotton-top tamarin","Saguinus oedipus","Saguinus oedipus","Primates","gigantopyramidal",400,8900,35,8.9,1.2,7.6,12,37,260.9,73.5,191.9,473.5,41,3349.5,1506.8,2008.8,8339.8,"unbiased stereology (nucleator probe, StereoInvestigator)",NA
"Cotton-top tamarin","Saguinus oedipus","Saguinus oedipus","Primates","pyramidal",400,8900,137,6.5,0.5,5.8,7.5,108,145.5,18.3,118.3,187.9,111,1368.7,239.2,1000.1,1955,"unbiased stereology (nucleator probe, StereoInvestigator)",NA
"Golden lion tamarin","Leontopithecus rosalia","Leontopithecus rosalia","Primates","gigantopyramidal",600,12800,27,7.5,0.7,6.7,9.5,32,183.1,38.5,149.5,299.5,29,2171,713.3,1530.6,4147.9,"unbiased stereology (nucleator probe, StereoInvestigator)",NA
"Golden lion tamarin","Leontopithecus rosalia","Leontopithecus rosalia","Primates","pyramidal",600,12800,134,5.7,0.5,4.8,6.7,130,107.7,19.8,77,148.1,140,909.3,272.5,511.5,1498.9,"unbiased stereology (nucleator probe, StereoInvestigator)",NA
"Hamadryas baboon","Papio hamadryas","Papio hamadryas","Primates","gigantopyramidal",26000,159100,64,7.9,1.3,7,15.7,41,235,101.1,176.1,784.4,35,3327.7,2644.4,2001.8,16828.2,"unbiased stereology (nucleator probe, StereoInvestigator)",NA
"Hamadryas baboon","Papio hamadryas","Papio hamadryas","Primates","pyramidal",26000,159100,104,6.5,0.3,6,7,130,143.1,16,118.3,175,143,1385.2,267.5,1002.6,1980.9,"unbiased stereology (nucleator probe, StereoInvestigator)",NA
"Lar gibbon","Hylobates lar","Hylobates lar","Primates","gigantopyramidal",5500,134800,96,9.3,0.04,8.6,9.9,46,273.8,13.6,251.8,295.1,71,5603.9,3121.4,3657.9,12964.4,"unbiased stereology (nucleator probe, StereoInvestigator)",NA
"Lar gibbon","Hylobates lar","Hylobates lar","Primates","pyramidal",5500,134800,97,7.8,0.1,6.1,8.6,123,205.8,30.6,122.7,247.9,159,2558.9,637.9,1061.1,3640.8,"unbiased stereology (nucleator probe, StereoInvestigator)",NA
"Pygmy marmoset","Cebuella pygmaea","Callithrix pygmaea","Primates","gigantopyramidal",100,4100,42,8.3,0.6,7.5,9.6,40,229.4,35,187.4,295,42,2757.2,666.1,2007.3,4313.6,"unbiased stereology (nucleator probe, StereoInvestigator)",NA
"Pygmy marmoset","Cebuella pygmaea","Callithrix pygmaea","Primates","pyramidal",100,4100,108,6.6,0.3,6.2,7.4,127,141.3,16.4,120,183.7,134,1304.5,229.8,1002.2,1943.7,"unbiased stereology (nucleator probe, StereoInvestigator)",NA
"Red-tailed monkey","Cercopithecus ascanius","Cercopithecus ascanius","Primates","gigantopyramidal",4200,58400,111,8.1,0.6,7.4,10.5,76,224.5,27.7,190.1,347.6,83,2567.1,490.8,2002.7,4901.5,"unbiased stereology (nucleator probe, StereoInvestigator)",NA
"Red-tailed monkey","Cercopithecus ascanius","Cercopithecus ascanius","Primates","pyramidal",4200,58400,193,6.7,0.3,6.2,7.4,241,150.2,20.2,120.7,189.2,239,1421.9,287.1,1000.6,1992,"unbiased stereology (nucleator probe, StereoInvestigator)",NA
"Vervet monkey","Chlorocebus pygerythrus","Chlorocebus pygerythrus","Primates","gigantopyramidal",5600,71800,26,10.3,1.9,8.4,14.9,27,352.6,139.9,237.6,715.6,26,5636.5,3458.1,3033.8,15219.6,"unbiased stereology (nucleator probe, StereoInvestigator)",NA
"Vervet monkey","Chlorocebus pygerythrus","Chlorocebus pygerythrus","Primates","pyramidal",5600,71800,57,7.2,0.6,6.2,8.4,62,167.1,30.4,122,228.9,71,1698.7,536,1005.8,2929.2,"unbiased stereology (nucleator probe, StereoInvestigator)",NA
