"clade_printed","Species","species_sci","neuron_type","n_cells","dendritic_volume_M1","dendritic_volume_M1_sd","total_dendritic_length_M1","total_dendritic_length_M1_sd","mean_segment_length_M1","mean_segment_length_M1_sd","dendritic_segment_count_M1","dendritic_segment_count_M1_sd","dendritic_spine_number_M1","dendritic_spine_number_M1_sd","dendritic_spine_density_M1","dendritic_spine_density_M1_sd","soma_size_M1","soma_size_M1_sd","soma_depth_M1","soma_depth_M1_sd","gigantopyramidal_absent","method","parse_flags"
"Feliforms","Siberian tiger","Panthera tigris altaica","Superficial",6,20182,5677,6215,247,83,8,77,5,2257,308,0.28,0.04,439,85,752,71,FALSE,"Golgi 2-D somatodendritic tracing",NA
"Feliforms","Siberian tiger","Panthera tigris altaica","Deep",3,16066,1812,5589,352,97,14,60,10,1496,98,0.19,0.02,350,62,1486,244,FALSE,"Golgi 2-D somatodendritic tracing",NA
"Feliforms","Siberian tiger","Panthera tigris altaica","Gigantopyramidal",8,94701,27983,5513,1003,128,7,42,6,1005,157,0.16,0.02,2844,366,1546,29,FALSE,"Golgi 2-D somatodendritic tracing",NA
"Feliforms","African lion","Panthera leo","Superficial",10,9762,1747,4998,259,77,3,65,3,1415,159,0.23,0.03,358,40,799,45,FALSE,"Golgi 2-D somatodendritic tracing",NA
"Feliforms","African lion","Panthera leo","Deep",10,17673,4006,5800,555,83,4,69,5,1908,306,0.24,0.02,525,87,1376,73,FALSE,"Golgi 2-D somatodendritic tracing",NA
"Feliforms","African lion","Panthera leo","Gigantopyramidal",10,88381,8281,8600,814,120,8,72,6,1099,154,0.1,0.01,2824,284,1558,40,FALSE,"Golgi 2-D somatodendritic tracing",NA
"Lagomorph","Flemish giant rabbit","Oryctolagus cuniculus","Superficial",19,4261,299,2861,207,67,2,43,3,1365,113,0.4,0.02,248,12,762,27,TRUE,"Golgi 2-D somatodendritic tracing",NA
"Lagomorph","Flemish giant rabbit","Oryctolagus cuniculus","Deep",18,6353,797,3522,313,66,3,52,4,1115,125,0.2,0.02,350,19,1322,34,TRUE,"Golgi 2-D somatodendritic tracing",NA
"Perissodactyls","Mountain zebra","Equus zebra","Superficial",5,12487,1144,5352,529,92,4,58,3,2221,701,0.3,0.08,423,31,796,57,FALSE,"Golgi 2-D somatodendritic tracing",NA
"Perissodactyls","Mountain zebra","Equus zebra","Deep",6,17925,3584,5433,524,93,5,60,7,2109,375,0.3,0.03,464,46,1427,131,FALSE,"Golgi 2-D somatodendritic tracing",NA
