"value_id","Species_SensoryData","common_name","class","source_excel_row","trait","value","value_num","unit","method","substrate","reference","comment","value_origin","qc_status","qc_note"
"SensoryData_r009_best_frequency","Aotus trivirgatus","Northern owl monkey","Mammalia",9,"best_frequency","10",10,"kHz","","","Heffner 2004","","published","ok",""
"SensoryData_r010_visual_acuity_max","Artibeus cinereus","Gervaif fruit eating bat","Mammalia",10,"visual_acuity_max","10",10,"c/deg","B","","Veilleaux and Kirk 2014","","published","quarantined_va_offset","VA column quarantined pending re-derivation from Veilleux & Kirk 2014 / Kirk & Kay 2004; offset audit status: MISMATCH; value belongs upstream to: Aotus trivirgatus|Camelus bactrianus"
"SensoryData_r011_visual_acuity_max","Artibeus jamaicensis","Jamaican fruit-eating bat","Mammalia",11,"visual_acuity_max","1.4",1.4,"c/deg","A","","Veilleaux and Kirk 2014","","published","quarantined_va_offset","VA column quarantined pending re-derivation from Veilleux & Kirk 2014 / Kirk & Kay 2004; offset audit status: MISMATCH; value belongs upstream to: Artibeus cinereus"
"SensoryData_r011_audible_freq_low_60dBSPL","Artibeus jamaicensis","Jamaican fruit-eating bat","Mammalia",11,"audible_freq_low_60dBSPL","2.8",2.8,"kHz","","","Heffner et al 2003","","published","ok",""
"SensoryData_r011_audible_freq_high_60dBSPL","Artibeus jamaicensis","Jamaican fruit-eating bat","Mammalia",11,"audible_freq_high_60dBSPL","131",131,"kHz","","","Heffner et al 2003","","published","ok",""
"SensoryData_r011_interaural_distance_functional","Artibeus jamaicensis","Jamaican fruit-eating bat","Mammalia",11,"interaural_distance_functional","89",89,"us","","","Heffner et al 2003","","published","ok",""
"SensoryData_r011_best_sensitivity","Artibeus jamaicensis","Jamaican fruit-eating bat","Mammalia",11,"best_sensitivity","8.5",8.5,"dB","","","Heffner et al 2015 (secondary table)","","published","ok",""
"SensoryData_r011_best_frequency","Artibeus jamaicensis","Jamaican fruit-eating bat","Mammalia",11,"best_frequency","16",16,"kHz","","","Heffner et al 2015 (secondary table)","","published","ok",""
"SensoryData_r011_sound_localization_threshold","Artibeus jamaicensis","Jamaican fruit-eating bat","Mammalia",11,"sound_localization_threshold","9.9",9.9,"deg","","","Heffner et al 2008","","published","ok",""
"SensoryData_r011_field_of_best_vision_width","Artibeus jamaicensis","Jamaican fruit-eating bat","Mammalia",11,"field_of_best_vision_width","34",34,"deg","","","Heffner et al 2007","","published","ok",""
"SensoryData_r011_binaural_phase_cue_max_freq","Artibeus jamaicensis","Jamaican fruit-eating bat","Mammalia",11,"binaural_phase_cue_max_freq","6.3",6.3,"kHz","","","Heffner et al 2014b","","published","ok",""
"SensoryData_r011_binaural_phase_cue","Artibeus jamaicensis","Jamaican fruit-eating bat","Mammalia",11,"binaural_phase_cue","Y",,"Y/N","","","Heffner and Heffner 2003","","published","ok",""
"SensoryData_r011_binaural_intensity_difference_cue","Artibeus jamaicensis","Jamaican fruit-eating bat","Mammalia",11,"binaural_intensity_difference_cue","Y",,"Y/N","","","Heffner and Heffner 2003","","published","ok",""
"SensoryData_r012_visual_acuity_max","Balaenoptera acutorostrata","Minke whale","Mammalia",12,"visual_acuity_max","0.167",0.167,"c/deg","B","","Veilleaux and Kirk 2014","","published","quarantined_va_offset","VA column quarantined pending re-derivation from Veilleux & Kirk 2014 / Kirk & Kay 2004; offset audit status: MISMATCH; value belongs upstream to: Artibeus jamaicensis|Phyllostomus hastatus"
"SensoryData_r013_visual_acuity_max","Bos taurus","Domestic cow/cattle","Mammalia",13,"visual_acuity_max","4.2",4.2,"c/deg","A","water","Kirk and Kay 2004","","published","quarantined_va_offset","VA column quarantined pending re-derivation from Veilleux & Kirk 2014 / Kirk & Kay 2004; offset audit status: MISMATCH; value belongs upstream to: Balaenoptera acutorostrata|Enhydra lutris|Eumetopias jubatus|Microcebus murinus"
"SensoryData_r013_audible_freq_low_60dBSPL","Bos taurus","Domestic cow/cattle","Mammalia",13,"audible_freq_low_60dBSPL","0.023",0.023,"kHz","","water","Heffner 1998","","published","ok",""
"SensoryData_r013_audible_freq_high_60dBSPL","Bos taurus","Domestic cow/cattle","Mammalia",13,"audible_freq_high_60dBSPL","37",37,"kHz","","water","Heffner 1998","Value different from Heffner and Heffner 1990","published","ok",""
"SensoryData_r013_interaural_distance_functional","Bos taurus","Domestic cow/cattle","Mammalia",13,"interaural_distance_functional","1281",1281,"us","","water","Koay et al 1998","","published","ok",""
"SensoryData_r013_best_sensitivity","Bos taurus","Domestic cow/cattle","Mammalia",13,"best_sensitivity","-11",-11,"dB","","water","Heffner 1998","","published","ok",""
"SensoryData_r013_best_frequency","Bos taurus","Domestic cow/cattle","Mammalia",13,"best_frequency","8",8,"kHz","","water","Heffner 1998","","published","ok",""
"SensoryData_r013_sound_localization_threshold","Bos taurus","Domestic cow/cattle","Mammalia",13,"sound_localization_threshold","30",30,"deg","","water","Heffner and Heffner 1992a","","published","ok",""
"SensoryData_r013_field_of_best_vision_width","Bos taurus","Domestic cow/cattle","Mammalia",13,"field_of_best_vision_width","132",132,"deg","","water","Heffner and Heffner 1992a","","published","ok",""
"SensoryData_r013_binocular_field","Bos taurus","Domestic cow/cattle","Mammalia",13,"binocular_field","20",20,"deg","","water","Heffner and Heffner 1992a","","published","ok",""
"SensoryData_r013_binaural_phase_cue","Bos taurus","Domestic cow/cattle","Mammalia",13,"binaural_phase_cue","Y",,"Y/N","","water","Heffner and Heffner 2003","","published","ok",""
"SensoryData_r013_binaural_intensity_difference_cue","Bos taurus","Domestic cow/cattle","Mammalia",13,"binaural_intensity_difference_cue","N",,"Y/N","","water","Heffner and Heffner 2003","","published","ok",""
"SensoryData_r013_trophic_level","Bos taurus","Domestic cow/cattle","Mammalia",13,"trophic_level","5",5,"ordinal 1-5","","water","Heffner and Heffner 1992a","","published","ok",""
"SensoryData_r014_visual_acuity_max","Callithrix jacchus","Common marmoset","Mammalia",14,"visual_acuity_max","10.31",10.31,"c/deg","A","","Veilleaux and Kirk 2014","","published","quarantined_va_offset","VA column quarantined pending re-derivation from Veilleux & Kirk 2014 / Kirk & Kay 2004; offset audit status: MISMATCH; value belongs upstream to: Bos taurus"
"SensoryData_r014_audible_freq_high_60dBSPL","Callithrix jacchus","Common marmoset","Mammalia",14,"audible_freq_high_60dBSPL","30",30,"kHz","","","Heffner 2004","","published","ok",""
"SensoryData_r014_best_sensitivity","Callithrix jacchus","Common marmoset","Mammalia",14,"best_sensitivity","-9",,"dB","","","Heffner 2004","","published","ok",""
"SensoryData_r014_best_frequency","Callithrix jacchus","Common marmoset","Mammalia",14,"best_frequency","7",7,"kHz","","","Heffner 2004","","published","ok",""
"SensoryData_r015_visual_acuity_max","Callorhinus ursinus","Northern fur seal","Mammalia",15,"visual_acuity_max","30",30,"c/deg","A","","Veilleaux and Kirk 2014","","published","quarantined_va_offset","VA column quarantined pending re-derivation from Veilleux & Kirk 2014 / Kirk & Kay 2004; offset audit status: MISMATCH; value belongs upstream to: Callithrix jacchus"
"SensoryData_r015_audible_freq_low_60dBSPL","Callorhinus ursinus","Northern fur seal","Mammalia",15,"audible_freq_low_60dBSPL","0.2",0.2,"kHz","","","Babushina et al. 1991, and Schusterman and Moore 1980","","published","ok",""
"SensoryData_r016_visual_acuity_max","Camelus bactrianus","Bactrian camel","Mammalia",16,"visual_acuity_max","7.1",7.1,"c/deg","A","","Kirk and Kay 2004","","published","quarantined_va_offset","VA column quarantined pending re-derivation from Veilleux & Kirk 2014 / Kirk & Kay 2004; offset audit status: MISMATCH; value belongs upstream to: Callorhinus ursinus"
"SensoryData_r017_visual_acuity_max","Camelus dromedarius","Dromedary camel","Mammalia",17,"visual_acuity_max","10",10,"c/deg","B","","Veilleaux and Kirk 2014","","published","quarantined_va_offset","VA column quarantined pending re-derivation from Veilleux & Kirk 2014 / Kirk & Kay 2004; offset audit status: MISMATCH; value belongs upstream to: Aotus trivirgatus|Camelus bactrianus"
"SensoryData_r018_visual_acuity_max","Canis lupus familiaris","Dog","Mammalia",18,"visual_acuity_max","10.4",10.4,"c/deg","A","","Veilleaux and Kirk 2014","","published","quarantined_va_offset","VA column quarantined pending re-derivation from Veilleux & Kirk 2014 / Kirk & Kay 2004; offset audit status: MISMATCH; value belongs upstream to: Camelus dromedarius"
"SensoryData_r018_audible_freq_low_60dBSPL","Canis lupus familiaris","Dog","Mammalia",18,"audible_freq_low_60dBSPL","0.067",0.067,"kHz","","","Heffner 1998","","published","ok",""
"SensoryData_r018_audible_freq_high_60dBSPL","Canis lupus familiaris","Dog","Mammalia",18,"audible_freq_high_60dBSPL","44",44,"kHz","","","Heffner 1998","","published","ok",""
"SensoryData_r018_interaural_distance_functional","Canis lupus familiaris","Dog","Mammalia",18,"interaural_distance_functional","435",435,"us","","","Koay et al 1998","","published","ok",""
"SensoryData_r018_best_sensitivity","Canis lupus familiaris","Dog","Mammalia",18,"best_sensitivity","-1",-1,"dB","","","Heffner 1998","","published","ok",""
"SensoryData_r018_best_frequency","Canis lupus familiaris","Dog","Mammalia",18,"best_frequency","8",8,"kHz","","","Heffner 1998","","published","ok",""
"SensoryData_r018_sound_localization_threshold","Canis lupus familiaris","Dog","Mammalia",18,"sound_localization_threshold","8",8,"deg","","","Heffner and Heffner 1992a","","published","ok",""
"SensoryData_r018_field_of_best_vision_width","Canis lupus familiaris","Dog","Mammalia",18,"field_of_best_vision_width","5.1",5.1,"deg","","","Heffner and Heffner 1992a","","published","ok",""
"SensoryData_r018_binocular_field","Canis lupus familiaris","Dog","Mammalia",18,"binocular_field","75",75,"deg","","","Heffner and Heffner 1992a","","published","ok",""
"SensoryData_r018_trophic_level","Canis lupus familiaris","Dog","Mammalia",18,"trophic_level","1",1,"ordinal 1-5","","","Heffner and Heffner 1992a","","published","ok",""
"SensoryData_r019_visual_acuity_max","Canis lupus","Gray wolf","Mammalia",19,"visual_acuity_max","8.3",8.3,"c/deg","A","","Heffner and Heffner 1992","ganglion cell density","published","quarantined_va_offset","VA column quarantined pending re-derivation from Veilleux & Kirk 2014 / Kirk & Kay 2004; offset audit status: MISMATCH; value belongs upstream to: Aotus azarae|Canis lupus familiaris"
"SensoryData_r020_visual_acuity_max","Capra hircus","Domestic goat","Mammalia",20,"visual_acuity_max","14.57",14.57,"c/deg","A","","Veilleaux and Kirk 2014","","published","quarantined_va_offset","VA column quarantined pending re-derivation from Veilleux & Kirk 2014 / Kirk & Kay 2004; offset audit status: MISMATCH; value belongs upstream to: Canis lupus"
"SensoryData_r020_audible_freq_low_60dBSPL","Capra hircus","Domestic goat","Mammalia",20,"audible_freq_low_60dBSPL","0.078",0.078,"kHz","","","Heffner 1998","","published","ok",""
"SensoryData_r020_audible_freq_high_60dBSPL","Capra hircus","Domestic goat","Mammalia",20,"audible_freq_high_60dBSPL","37",37,"kHz","","","Heffner 1998","","published","ok",""
"SensoryData_r020_interaural_distance_functional","Capra hircus","Domestic goat","Mammalia",20,"interaural_distance_functional","680",680,"us","","","Heffner and Heffner 1992a","","published","ok",""
"SensoryData_r020_best_sensitivity","Capra hircus","Domestic goat","Mammalia",20,"best_sensitivity","-11",-11,"dB","","","Heffner 1998","","published","ok",""
"SensoryData_r020_best_frequency","Capra hircus","Domestic goat","Mammalia",20,"best_frequency","2",2,"kHz","","","Heffner 1998","","published","ok",""
"SensoryData_r020_sound_localization_threshold","Capra hircus","Domestic goat","Mammalia",20,"sound_localization_threshold","18",18,"deg","","","Heffner and Heffner 1992a","","published","ok",""
"SensoryData_r020_binocular_field","Capra hircus","Domestic goat","Mammalia",20,"binocular_field","23",23,"deg","","","Heffner and Heffner 1992a","","published","ok",""
"SensoryData_r020_binaural_phase_cue","Capra hircus","Domestic goat","Mammalia",20,"binaural_phase_cue","Y",,"Y/N","","","Heffner and Heffner 2003","","published","ok",""
"SensoryData_r020_binaural_intensity_difference_cue","Capra hircus","Domestic goat","Mammalia",20,"binaural_intensity_difference_cue","Y",,"Y/N","","","Heffner and Heffner 2003","Unable to use binaural intensity cue in the upper octaves of its hearing range.","published","ok",""
"SensoryData_r020_trophic_level","Capra hircus","Domestic goat","Mammalia",20,"trophic_level","5",5,"ordinal 1-5","","","Heffner and Heffner 1992a","","published","ok",""
"SensoryData_r021_visual_acuity_max","Carollia perspicillata","Seba's short-tailed bat","Mammalia",21,"visual_acuity_max","8.43",8.43,"c/deg","A","","Veilleaux and Kirk 2014","","published","quarantined_va_offset","VA column quarantined pending re-derivation from Veilleux & Kirk 2014 / Kirk & Kay 2004; offset audit status: MISMATCH; value belongs upstream to: Capra hircus"
"SensoryData_r021_audible_freq_low_60dBSPL","Carollia perspicillata","Seba's short-tailed bat","Mammalia",21,"audible_freq_low_60dBSPL","5.2",5.2,"kHz","","","Koay et al 2003","","published","ok",""
"SensoryData_r021_audible_freq_high_60dBSPL","Carollia perspicillata","Seba's short-tailed bat","Mammalia",21,"audible_freq_high_60dBSPL","150",150,"kHz","","","Koay et al 2003","","published","ok",""
"SensoryData_r021_interaural_distance_functional","Carollia perspicillata","Seba's short-tailed bat","Mammalia",21,"interaural_distance_functional","47",47,"us","","","Koay et al 2003","","published","ok",""
"SensoryData_r021_best_sensitivity","Carollia perspicillata","Seba's short-tailed bat","Mammalia",21,"best_sensitivity","0",0,"dB","","","Heffner et al 2015 (secondary table)","","published","ok",""
"SensoryData_r021_best_frequency","Carollia perspicillata","Seba's short-tailed bat","Mammalia",21,"best_frequency","25",25,"kHz","","","Heffner et al 2015 (secondary table)","","published","ok",""
"SensoryData_r021_sound_localization_threshold","Carollia perspicillata","Seba's short-tailed bat","Mammalia",21,"sound_localization_threshold","14.7",14.7,"deg","","","Heffner et al 2008","","published","ok",""
"SensoryData_r021_field_of_best_vision_width","Carollia perspicillata","Seba's short-tailed bat","Mammalia",21,"field_of_best_vision_width","110",110,"deg","","","Heffner et al 2007","","published","ok",""
"SensoryData_r021_binaural_phase_cue_max_freq","Carollia perspicillata","Seba's short-tailed bat","Mammalia",21,"binaural_phase_cue_max_freq","Cue not used",,"kHz","","","Heffner et al 2014b","","published","ok",""
"SensoryData_r021_binaural_phase_cue","Carollia perspicillata","Seba's short-tailed bat","Mammalia",21,"binaural_phase_cue","N",,"Y/N","","","Heffner and Heffner 2003","","published","ok",""
"SensoryData_r021_binaural_intensity_difference_cue","Carollia perspicillata","Seba's short-tailed bat","Mammalia",21,"binaural_intensity_difference_cue","Y",,"Y/N","","","Heffner and Heffner 2003","","published","ok",""
"SensoryData_r022_audible_freq_low_60dBSPL","Cavia porcellus","Guinea pig","Mammalia",22,"audible_freq_low_60dBSPL","0.047",0.047,"kHz","","","Koay et al 1998","","published","ok",""
"SensoryData_r022_audible_freq_high_60dBSPL","Cavia porcellus","Guinea pig","Mammalia",22,"audible_freq_high_60dBSPL","49",49,"kHz","","","Koay et al 1998","","published","ok",""
"SensoryData_r022_interaural_distance_functional","Cavia porcellus","Guinea pig","Mammalia",22,"interaural_distance_functional","160",160,"us","","","Koay et al 1998","","published","ok",""
"SensoryData_r022_best_sensitivity","Cavia porcellus","Guinea pig","Mammalia",22,"best_sensitivity","-6",-6,"dB","","","Heffner and Heffner 1992","","published","ok",""
"SensoryData_r022_best_frequency","Cavia porcellus","Guinea pig","Mammalia",22,"best_frequency","8",8,"kHz","","","Heffner and Heffner 1992","","published","ok",""
"SensoryData_r023_visual_acuity_max","Cebus apella","Tufted capuchin","Mammalia",23,"visual_acuity_max","0.94",0.94,"c/deg","A","","Veilleaux and Kirk 2014","","published","quarantined_va_offset","VA column quarantined pending re-derivation from Veilleux & Kirk 2014 / Kirk & Kay 2004; offset audit status: MISMATCH; value belongs upstream to: Carollia perspicillata"
"SensoryData_r024_audible_freq_low_60dBSPL","Cercopithecus aethiops","Vervet","Mammalia",24,"audible_freq_low_60dBSPL","0.069",0.069,"kHz","","","Heffner 2004","","published","ok",""
"SensoryData_r024_audible_freq_high_60dBSPL","Cercopithecus aethiops","Vervet","Mammalia",24,"audible_freq_high_60dBSPL","45",45,"kHz","","","Heffner 2004","","published","ok",""
"SensoryData_r024_hearing_range","Cercopithecus aethiops","Vervet","Mammalia",24,"hearing_range","9.35",9.35,"octaves","","","Heffner 2004","","published","ok",""
"SensoryData_r024_interaural_distance_functional","Cercopithecus aethiops","Vervet","Mammalia",24,"interaural_distance_functional","400",400,"us","","","Koay et al 1998","","published","ok",""
"SensoryData_r024_best_sensitivity","Cercopithecus aethiops","Vervet","Mammalia",24,"best_sensitivity","-4",,"dB","","","Heffner 2004","","published","ok",""
"SensoryData_r024_best_frequency","Cercopithecus aethiops","Vervet","Mammalia",24,"best_frequency","1.4",1.4,"kHz","","","Heffner 2004","","published","ok",""
"SensoryData_r025_audible_freq_low_60dBSPL","Cercopithecus mitis","Blue monkey","Mammalia",25,"audible_freq_low_60dBSPL","0.046",0.046,"kHz","","","Heffner 2004","","published","ok",""
"SensoryData_r025_audible_freq_high_60dBSPL","Cercopithecus mitis","Blue monkey","Mammalia",25,"audible_freq_high_60dBSPL","48",48,"kHz","","","Heffner 2004","","published","ok",""
"SensoryData_r025_hearing_range","Cercopithecus mitis","Blue monkey","Mammalia",25,"hearing_range","10.03",10.03,"octaves","","","Heffner 2004","","published","ok",""
"SensoryData_r025_interaural_distance_functional","Cercopithecus mitis","Blue monkey","Mammalia",25,"interaural_distance_functional","420",420,"us","","","Owren et al 1988","","published","ok",""
"SensoryData_r025_best_sensitivity","Cercopithecus mitis","Blue monkey","Mammalia",25,"best_sensitivity","4",4,"dB","","","Heffner 2004","","published","ok",""
"SensoryData_r025_best_frequency","Cercopithecus mitis","Blue monkey","Mammalia",25,"best_frequency","1.4",1.4,"kHz","","","Heffner 2004","","published","ok",""
"SensoryData_r026_audible_freq_low_60dBSPL","Cercopithecus neglectus","DeBrazza monkey","Mammalia",26,"audible_freq_low_60dBSPL","0.063",0.063,"kHz","","","Heffner 2004","","published","ok",""
"SensoryData_r026_audible_freq_high_60dBSPL","Cercopithecus neglectus","DeBrazza monkey","Mammalia",26,"audible_freq_high_60dBSPL","43",43,"kHz","","","Heffner 2004","","published","ok",""
"SensoryData_r026_hearing_range","Cercopithecus neglectus","DeBrazza monkey","Mammalia",26,"hearing_range","9.38",9.38,"octaves","","","Heffner 2004","","published","ok",""
"SensoryData_r026_interaural_distance_functional","Cercopithecus neglectus","DeBrazza monkey","Mammalia",26,"interaural_distance_functional","421.674916650853",421.674916650853,"us","","","Koay et al 1998","extracted from fig 6","digitised_from_figure","ok",""
"SensoryData_r026_best_sensitivity","Cercopithecus neglectus","DeBrazza monkey","Mammalia",26,"best_sensitivity","2",2,"dB","","","Heffner 2004","","published","ok",""
"SensoryData_r026_best_frequency","Cercopithecus neglectus","DeBrazza monkey","Mammalia",26,"best_frequency","5.7",5.7,"kHz","","","Heffner 2004","","published","ok",""
"SensoryData_r027_visual_acuity_max","Cheirogaleus medius","Fat-tailed dwarf lemur","Mammalia",27,"visual_acuity_max","54.75",54.75,"c/deg","A","","Veilleaux and Kirk 2014","","published","quarantined_va_offset","VA column quarantined pending re-derivation from Veilleux & Kirk 2014 / Kirk & Kay 2004; offset audit status: MISMATCH; value belongs upstream to: Cebus apella"
"SensoryData_r028_audible_freq_low_60dBSPL","Chinchilla laniger","Chinchilla","Mammalia",28,"audible_freq_low_60dBSPL","0.05",0.05,"kHz","","","Heffner 1998","","published","ok",""
"SensoryData_r028_audible_freq_high_60dBSPL","Chinchilla laniger","Chinchilla","Mammalia",28,"audible_freq_high_60dBSPL","33",33,"kHz","","","Heffner 1998","","published","ok",""
"SensoryData_r028_interaural_distance_functional","Chinchilla laniger","Chinchilla","Mammalia",28,"interaural_distance_functional","225",225,"us","","","Koay et al 1998","","published","ok",""
"SensoryData_r028_best_sensitivity","Chinchilla laniger","Chinchilla","Mammalia",28,"best_sensitivity","1",1,"dB","","","Heffner 1998","","published","ok",""
"SensoryData_r028_best_frequency","Chinchilla laniger","Chinchilla","Mammalia",28,"best_frequency","1",1,"kHz","","","Heffner 1998","","published","ok",""
"SensoryData_r028_sound_localization_threshold","Chinchilla laniger","Chinchilla","Mammalia",28,"sound_localization_threshold","17.5",17.5,"deg","","","Heffner and Heffner 2003","","published","ok",""
"SensoryData_r028_field_of_best_vision_width","Chinchilla laniger","Chinchilla","Mammalia",28,"field_of_best_vision_width","144",144,"deg","","","Heffner et al 2007","","published","ok",""
"SensoryData_r028_binaural_phase_cue","Chinchilla laniger","Chinchilla","Mammalia",28,"binaural_phase_cue","Y",,"Y/N","","","Heffner and Heffner 2003","","published","ok",""
"SensoryData_r028_binaural_intensity_difference_cue","Chinchilla laniger","Chinchilla","Mammalia",28,"binaural_intensity_difference_cue","Y",,"Y/N","","","Heffner and Heffner 2003","","published","ok",""
"SensoryData_r029_visual_acuity_max","Chlorocebus aethiops","Grivet monkey","Mammalia",29,"visual_acuity_max","2.84",2.84,"c/deg","A","","Veilleaux and Kirk 2014","","published","quarantined_va_offset","VA column quarantined pending re-derivation from Veilleux & Kirk 2014 / Kirk & Kay 2004; offset audit status: MISMATCH; value belongs upstream to: Cheirogaleus medius"
"SensoryData_r030_visual_acuity_max","Choloepus didactylus","Linné's two-toed sloth","Mammalia",30,"visual_acuity_max","55.23",55.23,"c/deg","A","","Veilleaux and Kirk 2014","","published","quarantined_va_offset","VA column quarantined pending re-derivation from Veilleux & Kirk 2014 / Kirk & Kay 2004; offset audit status: MISMATCH; value belongs upstream to: Chlorocebus aethiops"
"SensoryData_r031_audible_freq_low_60dBSPL","Columba livia domestica","Domestic pigeon","Aves",31,"audible_freq_low_60dBSPL","0.125",0.125,"kHz","","","Heffner 1998","original value is <.125","published","ok",""
"SensoryData_r031_audible_freq_high_60dBSPL","Columba livia domestica","Domestic pigeon","Aves",31,"audible_freq_high_60dBSPL","6.6",6.6,"kHz","","","Heffner 1998","","published","ok",""
"SensoryData_r031_best_sensitivity","Columba livia domestica","Domestic pigeon","Aves",31,"best_sensitivity","10",10,"dB","","","Heffner 1998","","published","ok",""
"SensoryData_r031_best_frequency","Columba livia domestica","Domestic pigeon","Aves",31,"best_frequency","3",3,"kHz","","","Heffner 1998","","published","ok",""
"SensoryData_r032_visual_acuity_max","Crocuta crocuta","Spotted hyena","Mammalia",32,"visual_acuity_max","1.54",1.54,"c/deg","A","","Veilleaux and Kirk 2014","","published","quarantined_va_offset","VA column quarantined pending re-derivation from Veilleux & Kirk 2014 / Kirk & Kay 2004; offset audit status: MISMATCH; value belongs upstream to: Choloepus didactylus"
