"reference_short","full_citation","note"
"Heffner et al 2001","Heffner, R.S., Koay, G., and Heffner, H.E. (2001) Audiograms of five species of rodents: Implications for the evolution of hearing and the encoding of pitch. Hearing Research 157, 138-152.",""
"Heffner et al 2003","Heffner, R.S., Koay, G., and Heffner, H.E. (2003) Hearing in American leaf-nosed bats. III: Artibeus jamaicensis. Hearing Research 184, 113-122.",""
"Heffner et al 2006","Heffner, R.S., Koay, G., and Heffner, H.E. (2006) Hearing in large (Eidolon helvum) and small (Cynopterus brachyotis) non-echolocating fruit bats. Hearing Research 221, 17-25.",""
"Heffner et al 2007","Heffner RS, Koay G, Heffner HE. Sound-localization acuity and its relation to vision in large and small fruit-eating bats: I. Echolocating species, Phyllostomus hastatus and Carollia perspicillata. Hearing research. 2007;234(1-2):1-9.",""
"Heffner et al 2008","Heffner, R. S., Koay, G. and Heffner, H. E. (2008). Sound localization acuity and its relation to vision in large and small fruit-eating bats: II Non-echolocating species, Eidolon helvum and Cynopterus brachyotis. Hearing Research, 241, 80-86.",""
"Heffner et al 2010","Heffner, R. S., Koay, G., and Heffner, H. E. (2010). Use of binaural cues for sound localization in large and small non-echolocating bats: Eidolon helvum and Cynopterus brachyotis. Journal of the Acoustical Society of America, 127, 3837-3845.",""
"Heffner et al 2013","Heffner, R.S. Koay, G., and Heffner, H.E. (2013) Hearing in American leaf-nosed bats. IV: The Common vampire bat, Desmodus rotundus. Hearing Research, 296, 42-50.",""
"Heffner et al 2014","Heffner, R.S.,Koay, G., and Heffner, H.E. (2014) Hearing in alpacas (.025): Audiogram, localization and use of binaural locus cues. Journal of the Acoustical Society of America 135, 778-788.",""
"Heffner et al 2014b","Heffner, R. S., Koay, G., & Heffner, H. D. (2014). Sound localization in common vampire bats: Acuity and use of the binaural time cue by a small mammal. Journal of the Acoustical Society of America, 137, 42-52.",""
"Heffner et al 2016","Heffner, H. E., Koay, G., & Heffner, R. S. (2016). Budgerigars (Melopsittacus undulates) do not hear infrasound: The audiogram from 8 Hz to 10 kHz. Journal of Comparative Physiology A, 202, 853-857.",""
"Heffner and Heffner 1982","Heffner, R. S., & Heffner, H. E. (1982). Hearing in the elephant: Absolute sensitivity, frequency discrimination, and sound localization.Journal of Comparative and Physiological Psychology, 96, 926-944.",""
"Heffner and Heffner 1985","Heffner, R.S., and Heffner, H.E. (1985) Hearing in mammals: The least weasel. Journal of Mammalogy, 66, 745-755.",""
"Heffner and Heffner 1992","Heffner, R. S. and Heffner, H. E. (1992). Hearing and sound localization in blind mole rats. Hearing Research, 62, 206-216.",""
"Heffner and Heffner 1992a","Heffner, R. S., & Heffner, H. E. (1992). Visual factors in sound localization in mammals. J Comp Neurol, 317(3), 219-232. doi:10.1002/cne.903170302",""
"Heffner and Heffner 1992b","Heffner, R. S., and Heffner, H. E. (1992). Evolution of sound localization in mammals. In D. B. Webster, R. R. Fay, and A. N. Popper (Eds.), The Evolutionary Biology of Hearing. (pp. 691-715). New York: Springer-Verlag.",""
"Heffner and Heffner 2001","Heffner, H.Jr., and Heffner, H.E. (2010) The behavioral audiogram of whitetail deer (Odocoileus virginianus). Journal of the Acoustical Society of America 127, EL111-EL114.",""
"Heffner and Heffner 2003","Heffner, H. E. and Heffner, R. S. (2003). Audition. In S. F. Davis (Ed.)Handbook of Research Methods in Experimental Psychology, pp. 413-440. Blackwell: Malden, MA.","https://www.utoledo.edu/al/psychology/pdfs/comphearsound/Heffner_Audition_Chapter_2003.pdf"
"Heffner and Heffner 2010","Heffner Jr, H., and Heffner, H. E. (2010). The behavioral audiogram of whitetail deer (Odocoileus virginianus). Journal of the Acoustical Society of America, 127, EL111-EL114.",""
"Heffner and Heffner 2010b","Heffner, R. S. and Heffner, H. E. (2010). Explaining high-frequency hearing. Anatomical Record, 293, 2080-2082.",""
"Jackson et al 1997","Jackson, L., Heffner, H.E., and Heffner, R.S.(1997) Audiogram of the fox squirrel, (Sciurus niger). Journal of Comparative Psychology, 111, 100-104.",""
"Kastak and Schusterman 1998","Kastak, D., and Schusterman, R.J. (1998)Low-frequency amphibious hearing in pinnipeds: Methods, measurements, noise,and ecology. Journal of the Acoustical Society of America, 103,2216-2228. one animal, headphones",""
"Kastak and Schusterman 1999","Kastak, D., and Schusterman, R.J. (1999) In-air and underwater hearing sensitivity of a northern elephant seal (Mirounga angustirostris). Canadian Journal of Zoology, 77, 1751-1758.",""
"Kastelein et al 2010b","Kastelein RA, Hoek L, Terhune JM, de Jong CAF, Wensveen PJ (2010b) The efect of signal duration on the underwater detection thresholds of a harbor porpoise (Phocoena phocoena) for single frequency-modulated tonal signals between 0.25 and 160 kHz. J Acoust Soc Am 128:3211–3222",""
"Kelly et al 1986","Kelly, J.B., Kavanagh, G.L., and Dalton, C.H.(1986) Hearing in the ferret (Mustela putorius): Thresholds for pure tone detection. Hearing Research,24, 269-275.",""
"Koay et al 1997","Koay, G., Heffner, H.E., and Heffner, R.S. (1997)Audiogram of the big brown bat (Eptesicus fuscus). Hearing Research,105, 202-210.",""
"Koay et al 1998","Koay, G., Heffner, R.S., and Heffner, H.E. (1998) Hearing in a megachiropteran fruit bat, Rousettus aegyptiacus. Journal of Comparative Psychology, 112, 371-382.",""
"Koay et al 2002","Koay, G., Bitter, K.S., Heffner, H.E., and Heffner, R.S. (2002). Hearing in American leaf-nosed bats. I: Phyllostomus hastatus. Hearing Research, 171, 96-102.",""
"Koay et al 2003","Koay, G., Heffner, R.S., Bitter, K., and Heffner, H.E. (2003) Hearing in American leaf-nosed bats.II: Carollia perspicillata. Hearing Research 178, 27-34.",""
"Owren et al 1988","Owren, M.J., Hopp, S.L., Sinnott, J.M., and Petersen, M.R. (1988) Absolute auditory thresholds in three old world monkey species (Cercopithecus aethiops, C. neglectus, Macaca fuscata)and humans (Homo sapiens). Journal of Comparative Psychology, 102, 99-107.",""
"Ravizza et al. 1969","Ravizza, R.J., Heffner, H.E., and Masterton, B.(1969) Hearing in primitive mammals: I, Opossum (Didelphis virginiana).Journal of Auditory Research, 9, 1-7. (Animals A & B)",""
"Ravizza and Masterton 1972","Ravizza, R.J., and Masterton, B. (1972) Contribution of neocortex to sound localization in opossum (Didelphis virginiana). Journal of Neurophysiology, 35, 344-356. (Animals C, D, & E)",""
"Schmidt et al 1983","Schmidt, S., Turke, B., and Vogler, B. (1983). Behavioural audiogram from the bat, Megaderma lyra. Myotis, 21/22, 62-66.",""
"Schusterman 1974","Schusterman, R.J. (1974) Auditory sensitivity ofthe California sea lion to airborne sound. Journal of the Acoustical Society of America, 56, 1248-1251. one animal (values below 24 kHz notlisted as they were affected by noise)",""
"Schusterman 1981","Schusterman, R.J. (1981) Behavioral capabilities of seals and sea lions: A review of their hearing, visual, learning and diving skills.Psychological Record, 31, 125-143. one animal",""
"Schusterman and Moore 1980","Schusterman, R.J., and Moore, P.W.B. (1980) Auditory sensitivity of northern fur seals (Callorhinus ursinus and a California sea lion (Zalophus californianus) to airborne sound. Journal of the Acoustical Society of America, 68, Suppl. 1, S6.",""
"Terhune and Ronald 1975","Terhune, J.M., and Ronald, K. (1975) Underwater hearing sensitivity of two ringed seals. Canadian Journal of Zoology, 53, 227-231.",""
"Veilleux and Kirk 2014","Veilleux and Kirk 2014: Veilleux CC, Kirk EC. Visual acuity in mammals: Effects of eye size and ecology. Brain, Behavior and Evolution. 2014;83(1):43-53.",""
"Wenstrup 1984","Wenstrup, J.J. (1984) Auditory sensitivity in the fish-catching bat, Noctilio leporinus. Journal of Comparative Physiology, 155, 91-101.",""
"Yuen et al 2005","Yuen, M.M.L., Nachtigall, P.E., and Breese, M. (2005) Behavioral and auditory evoked potential audiograms of a false killer whale (Pseudorca crassidens). Journal of the Acoustical Society of America, 118, 2688-2695. This is the same individual tested by Tomas et al.; authors state that “this animal probably suffered some hearing loss associated with age or presbycusis”.",""
