source_row,specimen_number,species,common_name,material,stain,plane,section_thickness_micrometers,number_of_slides,number_of_sections,collection_group,continuation_note
479,453,Mus sp.,mouse,Spinal cord,Tol. blue,Longitudinal,40,9,43,MAMMALS,
480,454,Mus sp.,mouse,Spinal cord,Tol. blue,Longitudinal,40,6,30,MAMMALS,
481,455,Mus sp.,mouse,Spinal cord,Tol. blue,Longitudinal,40,6,37,MAMMALS,
482,456,Mus sp.,mouse,Spinal cord,Tol. blue,Longitudinal,40,8,45,MAMMALS,
483,457,Mus sp.,mouse,Brain,Pyr. silver,Transverse,,16,912,MAMMALS,
484,458,Mus sp.,mouse,Brain,Pyr. silver,Transverse,,12,759,MAMMALS,
485,459,Mus sp.,mouse,Brain,Pyr. silver,Transverse,30,13,689,MAMMALS,
486,460,Mus sp.,mouse,Brain,Pyr. silver,Transverse,,14,500,MAMMALS,
487,461,Mus sp.,mouse,Brain,Pyr. silver,Sagittal,,12,496,MAMMALS,
488,462,Mus sp.,mouse,Brain,Cox - Chr. Silver,Horizontal,15,13,520,MAMMALS,
489,463,Mus sp.,mouse,Brain,Cox - Chr. Silver,Horizontal,15,10,300,MAMMALS,
490,464,Mus sp.,mouse,Brain,Cox - Chr. Silver,Sagittal,15,12,321,MAMMALS,
491,465,Mus sp.,mouse,Brain & head,Cox - Chr. Silver,Sagittal,15,25,242,MAMMALS,
492,466,Rattus norwegicus,Brown rat,Brain,Tol. blue,Transverse,25,14,516,MAMMALS,(3 days old )
493,467,Rattus norwegicus,Brown rat,Brain,Tol. blue,Transverse,,10,631,MAMMALS,(3 days old )
494,468,Rattus norwegicus,Brown rat,Brain,Tol. blue,Transverse,25,44,,MAMMALS,(3 days old )
495,469,Rattus norwegicus,Brown rat,Brain,Tol. blue,Transverse,20,44,1067,MAMMALS,(3 days old )
496,470,Rattus norwegicus,Brown rat,Brain,Tol. blue,Transverse,50,21,474,MAMMALS,(3 days old )
497,471,Rattus norwegicus,Brown rat,Brain,Tol. blue,Transverse,20,30,494,MAMMALS,(3 days old )
498,472,,,,,,,,,MAMMALS,
499,473,,,,,,,,,MAMMALS,
500,474,,,,,,,,,MAMMALS,
501,475,Rattus norwegicus,Brown rat,Brain,Tol. blue,Horizontal,40,26,Dis- carded,MAMMALS,
502,476,,,,,,,,,MAMMALS,
503,477,Rattus norwegicus,Brown rat,Brain,Tol. blue,Sagittal,20,17,334,MAMMALS,(1 day old )
504,478,Rattus norwegicus,Brown rat,Brain,Tol. blue,Sagittal,50,24,,MAMMALS,(1 day old )
505,479,Rattus norwegicus,Brown rat,Brain,Tol. blue,Sagittal,20,38,459,MAMMALS,(1 day old )
506,480,Rattus norwegicus,Brown rat,Spinal cord,Tol. blue,Transverse,40,30,718,MAMMALS,(1 day old )
507,481,Rattus norwegicus,Brown rat,Spinal cord,Tol. blue,Horizontal,40,18,87,MAMMALS,(1 day old )
508,482,Rattus norwegicus,Brown rat,Spinal cord,Tol. blue,Horizontal,40,13,60,MAMMALS,(1 day old )
509,483,Rattus norwegicus,Brown rat,Spinal cord,Tol. blue,Horizontal,40,32,127,MAMMALS,(1 day old )
510,484,Rattus norwegicus,Brown rat,Spinal cord,Tol. blue,Horizontal,40,29,115,MAMMALS,(1 day old )
511,485,Rattus norwegicus,Brown rat,Spinal cord,Tol. blue,Horizontal,40,27,118,MAMMALS,(1 day old )
512,486,Rattus norwegicus,Brown rat,Spinal cord,Tol. blue,Horizontal,40,25,98,MAMMALS,(1 day old )
513,487,Rattus norwegicus,Brown rat,Spinal cord,Tol. blue,Sagittal,40,29,158,MAMMALS,(1 day old )
514,488,Rattus norwegicus,Brown rat,Brain,Pal- Weigert,Transverse,50,69,668,MAMMALS,
515,489,Rattus norwegicus,Brown rat,Brain,Pal- Weigert,Sagittal,50,40,270,MAMMALS,
516,490,Rattus norwegicus,Brown rat,Brain,Wei- gert,Sagittal,,45,484,MAMMALS,
517,491,Rattus norwegicus,Brown rat,Brain,Weil,Sagittal,20,68,656,MAMMALS,
