source_row,specimen_number,species,common_name,material,stain,plane,section_thickness_micrometers,number_of_slides,number_of_sections,collection_group,continuation_note
1,1,Entosphenus Appendiz,lamprey,Brain,Tol. blue,Transverse,,15,450,CYCLOSTOMES,
2,2,Petromyzon marinus unicolor,Sea lamprey,Brain,Tol. blue,Transverse,,20,368,CYCLOSTOMES,
3,3,Ichthyomyzon unicolor,lamprey,Brain,Tol. blue,Transverse,20,5,213,CYCLOSTOMES,
4,4,Ichthyomyzon unicolor,lamprey,Brain,Tol. blue,Sagittal,30,8,104,CYCLOSTOMES,
5,5,Petromyzon marinus unicolor,Sea lamprey,Brain,Tol. blue,Sagittal,40?,20,160,CYCLOSTOMES,
6,6,Ichthyomyzon unicolor,lamprey,Brain,Tol. blue,Horizontal,30,7,120,CYCLOSTOMES,
7,7,Petromyzon marinus unicolor,Sea lamprey,Brain,Tol. blue,Horizontal,40,11,72,CYCLOSTOMES,
8,8,Entosphenus appendiz,lamprey,Brain,Pyr. silver,Transverse,25,8,433,CYCLOSTOMES,
9,9,Petromyzon marinus unicolor,Sea lamprey,Brain,Pyr. silver,Transverse,30,12,291,CYCLOSTOMES,
10,10,Ichthyomyzon unicolor,lamprey,Brain,Pyr. silver,Transverse,30,5,281,CYCLOSTOMES,
11,11,Ichthyomyzon unicolor,lamprey,Brain,Pyr. silver,Transverse,30,5,265,CYCLOSTOMES,
12,12,Ichthyomyzon unicolor,lamprey,Brain,Pyr. silver,Transverse,30,8,337,CYCLOSTOMES,
13,13,Petromyzon marinus unicolor,Sea lamprey,Brain,Pyr. silver,Sagittal,25,10,123,CYCLOSTOMES,
14,14,Petromyzon marinus unicolor,Sea lamprey,Brain,Pyr. silver,Horizontal,25,10,105,CYCLOSTOMES,
15,15,Entosphenus appendiz,lamprey,Brain,Pyr. silver,Horizontal,30,10,102,CYCLOSTOMES,
16,16,Mustelus canis,Smooth Dogfish,Brain,Tol. blue,Transverse,15,135,3164,ELASMOBRANCHS,
17,17,Mustelus canis,Smooth Dogfish,Brain,Pyr. silver,Transverse,20,119,1875,ELASMOBRANCHS,
18,18,Mustelus canis,Smooth Dogfish,Brain,Pyr. silver,Horizontal,20,211,663,ELASMOBRANCHS,
19,19,Mustelus canis,Smooth Dogfish,Brain,Pyr. silver,Horizontal,20,270,546,ELASMOBRANCHS,
20,696,Mustela canis,Smooth Dogfish?,Brain,Tol. blue,Transverse,25,139,1530,ELASMOBRANCHS,
21,20,Amia calva,Bowfin,Brain,Tol. blue,Transverse,40,20,795,PISCES,
22,21,Amia calva,Bowfin,Brain,Pyr. silver,Transverse,25,16,917,PISCES,
23,22,Amia calva,Bowfin,Brain,Pyr. silver,Sagittal,25,16,252,PISCES,
24,23,Eupomotis gibbosus,Sunfish,Brain,Tol. blue,Transverse,40,3,184,PISCES,
25,24,Eupomotis gibbosus,Sunfish,Brain,Tol. blue,Sagittal,40,4,112,PISCES,
26,25,Salmo salar sobago,Atlantic salmon,Brain,Tol. blue,Transverse,25,10,486,PISCES,
27,26,Salmo salar sobago,Atlantic salmon,Brain,Pyr. Silver,Sagittal,10,9,528,PISCES,
28,27,Salmo gairdnieri iradeus,Native steelhead or Rainbow trout,Brain,Tol. blue,Transverse,25,8,400,PISCES,
29,28,Salvelinus fontinalis,Brook trout,Brain,Tol. blue,Transverse,25,7,316,PISCES,
30,29,Salvelinus fontinalis,Brook trout,Brain,Tol. blue,Horizontal,25,5,155,PISCES,
31,30,Cyprinus carpio,Carp,Brain,Pyr. silver,Transverse,,19,794,PISCES,
32,31,Cyprinus carpio,Carp,Brain,Pyr. silver,Sagittal,25,23,349,PISCES,
33,32,Cyprinus carpio,Carp,Brain,Weigert,Transverse,40,20,534,PISCES,
34,635,Cyprinus carpio,Carp,Brain,Thion.,Transverse,,106,1060,PISCES,
35,636,Cyprinus carpio,Carp,Brain,Thion.,Horizontal,,80,655,PISCES,
36,637,Cyprinus carpio,Carp,Brain,Pyr. silver,Sagittal,,33,281,PISCES,
37,638,Cyprinus carpio,Carp,Brain,Pyr. silver,Horizontal,,29,348,PISCES,
38,639,Cyprinus carpio,Carp,Brain,Pyr. silver,Horizontal,,30,254,PISCES,
39,33,Amoirus sp.,,Brain & cord,H & E,Sagittal,20,15,259,AMPHIBIANS,
40,34,Amblystoma tigrinum,Tiger Salamander,Brain,Tol. blue,Transverse,20,6,369,AMPHIBIANS,
41,35,Amblystoma tigrinum,Tiger Salamander,Brain,Tol. blue,Sagittal,20,4,136,AMPHIBIANS,
42,36,Amblystoma tigrinum,Tiger Salamander,Brain,Tol. blue,Sagittal,40,3,82,AMPHIBIANS,
43,37,Amblystoma tigrinum,Tiger Salamander,Brain,Tol. blue,Horizontal,20,3,107,AMPHIBIANS,
44,38,Amblystoma tigrinum,Tiger Salamander,Brain,Pyr. silver,Transverse,15 to 20,5,400,AMPHIBIANS,
45,39,Amblystoma tigrinum,Tiger Salamander,Brain,Pyr. silver,Transverse,15 to 20,4,383,AMPHIBIANS,
46,40,Amblystoma tigrinum,Tiger Salamander,Brain,Pyr. silver,Sagittal,15 to 20,3,140,AMPHIBIANS,
47,42,Amblystoma tigrinum,Tiger Salamander,Brain,Pyr. silver,Horizontal,15 to 20,4,135,AMPHIBIANS,
48,43,Necturus marculosus,Mudpuppy,Brain,Tol. blue,Transverse,40,15,416,AMPHIBIANS,
49,44,Necturus marculosus,Mudpuppy,Brain,Tol. blue,Sagittal,30,12,144,AMPHIBIANS,
50,45,Necturus marculosus,Mudpuppy,Brain,Tol. blue,Sagittal,20,10,176,AMPHIBIANS,
51,46,Necturus marculosus,Mudpuppy,Brain,Tol. blue,Horizontal,40,5,72,AMPHIBIANS,
52,47,Necturus marculosus,Mudpuppy,Brain,Pyr. silver,Transverse,25,7,,AMPHIBIANS,
53,48,Necturus marculosus,Mudpuppy,Brain,Pyr. silver,Sagittal,25,5,,AMPHIBIANS,
54,49,Necturus marculosus,Mudpuppy,Brain,Pyr. silver,Horizontal,15 to 20,7,,AMPHIBIANS,
55,50,Necturus marculosus,Mudpuppy,Brain,Pyr. silver,Horizontal,15 to 20,4,,AMPHIBIANS,
56,51,Necturus marculosus,Mudpuppy,Brain,Weigert,Horizontal,,5,,AMPHIBIANS,
57,52,Necturus marculosus,Mudpuppy,Spinal cord,Tol. blue,Transverse,50,30,,AMPHIBIANS,
58,53,Necturus marculosus,Mudpuppy,Spinal cord,Tol. blue,Horizontal,40,7,,AMPHIBIANS,
59,54,Necturus marculosus,Mudpuppy,Spinal cord,Tol. blue,Horizontal,40,8,,AMPHIBIANS,
60,55,Siren lacertina,Greater Siren,Brain,Tol. blue,Transverse,25,8,,AMPHIBIANS,
61,56,Hyla sp.,Tree frog,Brain,Tol. blue,Transverse,20,16,,AMPHIBIANS,
62,57,Hyla sp.,Tree frog,Brain,Tol. blue,Sagittal,15,9,,AMPHIBIANS,
63,58,Rana sp.,frog,Spinal cord,Tol. blue,Horizontal,40,5,,AMPHIBIANS,
64,59,Rana sp.,frog,Spinal cord,Tol. blue,Horizontal,25,7,,AMPHIBIANS,
65,60,Rana pipiens,Northern Leopard Frog,Brain,Tol. blue,Transverse,25,7,,AMPHIBIANS,
66,61,Rana catesbiana,Bullfrog,Brain,Tol. blue,Transverse,25,15,,AMPHIBIANS,
67,62,Rana catesbiana,Bullfrog,Brain,Tol. blue,Sagittal,30,12,,AMPHIBIANS,
68,63,Rana catesbiana,Bullfrog,Brain,Tol. blue,Sagittal,40,10,,AMPHIBIANS,
69,64,Rana catesbiana,Bullfrog,Brain,Tol. blue,Horizontal,25,14,,AMPHIBIANS,
70,65,Rana catesbiana,Bullfrog,Brain,Tol. blue,Horizontal,20,10,,AMPHIBIANS,
71,66,Rana catesbiana,Bullfrog,Brain,Tol. blue,Horizontal,25 to 30,11,,AMPHIBIANS,
72,67,Rana catesbiana,Bullfrog,Brain,Weigert,Transverse,25,23,,AMPHIBIANS,
73,68,Rana catesbiana,Bullfrog,Brain,Pal - Weigert,Sagittal,25,24,,AMPHIBIANS,
74,69,Rana catesbiana,Bullfrog,Brain,Weigert,Sagittal,25,10,,AMPHIBIANS,
75,70,Rana catesbiana,Bullfrog,Brain,Pal - Weigert,Horizontal,25,26,,AMPHIBIANS,
76,71,Rana catesbiana,Bullfrog,Brain,Weigert,Horizontal,30,10,,AMPHIBIANS,
77,72,Rana pipiens,Northern Leopard Frog,Brain,Weigert,Transverse,25,15,,AMPHIBIANS,
78,73,Rana catesbiana,Bullfrog,Brain,Pyr. silver,Transverse,20,10,,AMPHIBIANS,
79,74,Rana catesbiana,Bullfrog,Brain,Pyr. silver,Transverse,15 to 20,9,,AMPHIBIANS,
80,75,Rana catesbiana,Bullfrog,Brain (Head),Pyr. silver,Sagittal,15,55,,AMPHIBIANS,
81,76,Rana catesbiana,Bullfrog,Brain (Head),Pyr. silver,Sagittal,20,35,,AMPHIBIANS,
82,77,Rana catesbiana,Bullfrog,Brain,Pyr. silver,Sagittal,15 to 20,11,,AMPHIBIANS,
83,78,Rana catesbiana,Bullfrog,Brain,Pyr. silver,Sagittal,20,12,,AMPHIBIANS,
84,79,Rana catesbiana,Bullfrog,Brain,Pyr. silver,Horizontal,15 to 20,12,,AMPHIBIANS,
85,665,Rana catesbiana,Bullfrog,Whole head,Congo red & ?,Transverse,100,328,681,AMPHIBIANS,
86,80,Chelhydra serpentina,Snapping Turtle,Brain,Tol. blue,Transverse,40,18,,REPTILES,
87,81,Chelhydra serpentina (6 day),Snapping Turtle,Brain,Tol. blue,Transverse,20,6,,REPTILES,
88,82,Chelhydra serpentina,Snapping Turtle,Spinal cord,Tol. blue,Horizontal,40,41,,REPTILES,
89,83,Chelhydra serpentina,Snapping Turtle,Brain & cord,Pyr. silver,Transverse,12 to 15,27,,REPTILES,
90,84,Chelhydra serpentina (6 day),Snapping Turtle,Brain,Pyr. silver,Transverse(?),12 to 15,4,,REPTILES,
91,85,Chelhydra serpentina (1 day),Snapping Turtle,Brain,Pyr. silver,Transverse,12,3,,REPTILES,
92,86,Chelhydra serpentina (3 day),Snapping Turtle,Brain,Pyr. silver,Transverse,10,4,,REPTILES,
93,87,Chelhydra serpentina (3 day),Snapping Turtle,Brain,Pyr. silver,Sagittal,8 to 10,4,,REPTILES,
94,88,Chelhydra serpentina (6 day),Snapping Turtle,Brain,Pyr. silver,Horizontal,10,3,,REPTILES,
95,89,Chelhydra serpentina (3 day),Snapping Turtle,Brain,Pyr. silver,Horizontal,10,3,,REPTILES,
96,90,Chelhydra serpentina,Snapping Turtle,Brain,Pyr. silver,Horizontal,20,35,,REPTILES,
97,91,Sternotherus odoratus,Stinkpot,Brain,Pyr. silver,Transverse,25,6,,REPTILES,
98,92,Sternotherus odoratus-9 cm.,Stinkpot,Brain,Pyr. silver,Transverse,15,18,,REPTILES,
99,93,Sternotherus odoratus,Stinkpot,Brain,Pyr. silver,Sagittal,20,9,,REPTILES,
100,94,Sternotherus odoratus,Stinkpot,Brain,Pyr. silver,Sagittal,20,23,,REPTILES,
101,95,Emys melageris,turtle,Brain,Tol. blue,Transverse,40,13,,REPTILES,
102,96,Graptemys pseudogeographica,False map turtle,Brain,Tol. blue,Transverse,25,6,,REPTILES,
103,97,Graptemys pseudogeographica,False map turtle,Brain,Tol. blue,Transverse,25,6,,REPTILES,
104,98,Chrysemys marginata,Midland painted turtle,Brain,Tol. blue,Sagittal,30,41,,REPTILES,
105,99,Chrysemys marginata,Midland painted turtle,Brain,Tol. blue,Sagittal,,10,,REPTILES,
106,100,Chrysemys marginata,Midland painted turtle,Brain,Tol. blue,Horizontal,50,11,,REPTILES,
107,101,Chrysemys marginata,Midland painted turtle,Spinal cord,Tol. blue,Horizontal,30,16,,REPTILES,
108,102,Chrysemys marginata,Midland painted turtle,Spinal cord,Tol. blue,Horizontal,40,35,,REPTILES,
109,103,Ichthyomyzon unicolor,lamprey,Brain,Tol. blue,Transverse,30,5,263,REPTILES,
110,104,Entosphenus appendiz,lamprey,Brain,Tol. blue,Horizontal,25,10,100,REPTILES,
111,105,Ichthyomyzon unicolor,lamprey,Brain,Pyr. silver,Horizontal,40,4,50,REPTILES,
112,106,Chrysemys picta,Painted turtle,Brain,Pyr. silver,Transverse,16,24,894,REPTILES,
113,107,Chrysemys picta,Painted turtle,Brain,Pyr. silver,Horizontal,15,10,231,REPTILES,
114,108,Chrysemys punctata,turtle,Brain,Tol. blue,Transverse,40,14,549,REPTILES,
115,109,Chrysemys punctata,turtle,Brain,Pyr. silver,Transverse,20 to 25,17,775,REPTILES,
116,110,Chrysemys punctata,turtle,Brain,Pyr. silver,Sagittal,15,53,321,REPTILES,
117,111,Chrysemys punctata,turtle,Brain,Pyr. silver,Sagittal,20,60,455,REPTILES,
118,112,Chrysemys punctata,turtle,Brain,Pyr. silver,Sagittal,20 to 25,22,402,REPTILES,
119,113,Chrysemys punctata,turtle,Brain,Pyr. silver,Horizontal,20 to 25,18,292,REPTILES,
120,114,Chrysemys punctata,turtle,Brain,Weigert,Transverse,25,57,793,REPTILES,
121,115,Chrysemys punctata,turtle,Brain,Pal - Weigert,Sagittal,25,50,348,REPTILES,
122,116,Chrysemys punctata,turtle,Brain,Weigert,Horizontal,,16,262,REPTILES,
123,117,Chrysemys punctata,turtle,Brain,Weigert,Horizontal,25,19,239,REPTILES,
124,118,Pseudemys elegans,Pond turtle,Brain,,Transverse,25,7,478,REPTILES,
125,119,Pseudemys elegans,Pond turtle,Brain,Tol. blue,Horizontal,25,5,153,REPTILES,
126,120,Pseudemys elegans,Pond turtle,Brain,Pyr. silver,Transverse,18,32,792,REPTILES,
127,121,Pseudemys elegans,Pond turtle,Brain,Pyr. silver,Sagittal,20,53,378,REPTILES,
128,122,Pseudemys elegans,Pond turtle,Brain,Pyr. silver,Horizontal,20,50,306,REPTILES,
129,123,Pseudemys elegans,Pond turtle,Brain,Golgi,Sagittal,,3,53,REPTILES,
130,124,Pseudemys elegans,Pond turtle,Brain,Golgi,Sagittal,,3,77,REPTILES,
131,125,Anolis carolinensis,Green Anole,Brain,Tol. blue,Transverse,20,3,297,REPTILES,
132,126,Anolis carolinensis,Green Anole,Brain,Tol. blue,Horizontal,20,2,219,REPTILES,
133,127,Anolis carolinensis,Green Anole,Brain,Tol. blue,Sagittal,20,2,163,REPTILES,
134,128,Anolis carolinensis,Green Anole,Brain,Iron - hemat.,Transverse,30,3,227,REPTILES,
135,129,Anolis carolinensis,Green Anole,Brain,Pyr. silver,Transverse,15,4,309,REPTILES,
136,130,Anolis carolinensis,Green Anole,Brain,Pyr. silver,Transverse,10 to 20,3,260,REPTILES,
137,131,Anolis carolinensis,Green Anole,Brain,Pyr. silver,Transverse,10 to 20,3,318,REPTILES,
138,132,Anolis carolinensis,Green Anole,Brain,Pyr. silver,Horizontal,15,3,190,REPTILES,
139,133,Anolis carolinensis,Green Anole,Brain,Pyr. silver,Horizontal,18,2,137,REPTILES,
140,134,Anolis carolinensis,Green Anole,Brain,Pyr. silver,Horizontal,10 to 15,2,190,REPTILES,
141,135,Anolis carolinensis,Green Anole,Brain,Pyr. silver,Sagittal,10 to 15,2,180,REPTILES,
142,136,Holbrookia maculata,Lesser earless lizard,Brain,Tol. blue,Sagittal,,3,153,REPTILES,
143,137,Holbrookia maculata,Lesser earless lizard,Brain,Pyr. silver,Transverse,14,9,434,REPTILES,
144,138,Callisaurus draconoides ventralis,Zebratail lizard,Brain,Pyr. silver,Transverse,14,9,434,REPTILES,
145,139,Sceloporus magister magister,Desert spiny lizard,Brain,Pyr. silver,Transverse,15,13,525,REPTILES,
146,140,Sceloporus magister magister,Desert spiny lizard,Brain,Pyr. silver,Sagittal,15,12,259,REPTILES,
147,141,Sceloporus occidentalus riseriatus,Fence lizard,Brain,Pyr. silver,Sagittal,14,10,276,REPTILES,
148,142,Chameleo sp.,Chameleon,Brain,Cresyl violet,Transverse,15,11,495,REPTILES,
149,143,Phrynosoma platyrhinos platyrhinos,Desert horned lizard,Brain,Pyr. silver,Transverse,15,11,432,REPTILES,
150,144,Phrynosoma sp.,Horned toad,Brain,Tol. blue,Transverse,20,6,367,REPTILES,
151,145,Phrynosoma sp.,Horned toad,Brain,Tol. blue,Horizontal,20,3,144,REPTILES,
152,146,Phrynosoma sp.,Horned toad,Brain,Tol. blue,Sagittal,20,4,212,REPTILES,
153,147,Phrynosoma sp.,Horned toad,Brain,Iron - Hemat.,Transverse,,4,255,REPTILES,
154,148,Phrynosoma sp.,Horned toad,Brain,Pyr. silver,Transverse,15 to 20,6,416,REPTILES,
155,149,Phrynosoma sp.,Horned toad,Brain,Pyr. silver,Transverse,15 to 20,4,295,REPTILES,
156,150,Phrynosoma sp.,Horned toad,Brain,Pyr. silver,Transverse,,5,391,REPTILES,
157,151,Phrynosoma sp.,Horned toad,Brain,Pyr. silver,Transverse,,3,227,REPTILES,
158,152,Phrynosoma sp.,Horned toad,Brain,Pyr. silver,Sagittal,10 to 20,3,196,REPTILES,
159,153,Phrynosoma sp.,Horned toad,Brain,Pyr. silver,Sagittal,10 to 15,4,266,REPTILES,
160,154,Varanus griseus,Desert monitor lizard,Brain,Tol. blue,Transverse,40,20,751,REPTILES,
161,155,Heloderma suspectum,Gila monster,Brain,Tol. blue,Transverse,30,18,789,REPTILES,
162,156,Heloderma suspectum,Gila monster,Brain,Tol. blue,Horizontal,30,17,160,REPTILES,
163,157,Heloderma suspectum,Gila monster,Brain,Tol. blue,Sagittal,25 to 30,25,245,REPTILES,
164,158,Heloderma suspectum,Gila monster,Brain,Pyr. silver,Transverse,15 to 30,15,914,REPTILES,
165,159,Heloderma suspectum,Gila monster,Brain,Pyr. silver,Transverse,15 to 20,18,1016,REPTILES,
166,160,Heloderma suspectum,Gila monster,Brain,Pyr. silver,Sagittal,25,15,272,REPTILES,
167,161,Phrynosoma platyrhinos platyrhinos,Desert horned lizard,Brain,Pyr. silver,Sagittal,15,10,287,REPTILES,
168,162,Python molurus,Python,Brain,Pyr. silver,Transverse,10 to 20,31,1559,REPTILES,
169,163,Boa sp.,Boa,Brain,Pyr. silver,Transverse,20,5,398,REPTILES,
170,164,Boa sp.,Boa,Brain,Pyr. silver,Transverse,30,6,358,REPTILES,
171,165,Boa sp.,Boa,Brain,Pyr. silver,Horizontal,20,6,171,REPTILES,
172,166,Boa sp.,Boa,Brain,Pyr. silver,Horizontal,15,5,199,REPTILES,
173,167,Boa sp.,Boa,Brain,Pyr. silver,Sagittal,15,5,298,REPTILES,
174,168,Natrix sp.,Ringed or Grass snake,Brain,Wei - gert,Transverse,,7,471,REPTILES,
175,169,Natrix sp.,Ringed or Grass snake,Brain,Pyr. silver,Transverse,20,8,677,REPTILES,
176,170,Natrix sp.,Ringed or Grass snake,Brain,Pyr. silver,Horizontal,20,7,189,REPTILES,
177,171,Natrix sp.,Ringed or Grass snake,Brain,Pyr. silver,Sagittal,20,6,216,REPTILES,
178,172,Tramnophis sp.,Garter snake,Brain,Tol. blue,Transverse,20,6,468,REPTILES,
179,173,Tramnophis sp.,Garter snake,Brain,Tol. blue,Horizontal,20,5,154,REPTILES,
180,174,Tramnophis sp.,Garter snake,Brain,Tol. blue,Sagittal,20,8,231,REPTILES,
181,175,Agkistrodon mokasen,Copperhead,Brain,Pyr. silver,Transverse,10,8,826,REPTILES,
182,176,Alligator mississippiensis,American Alligator,Brain,Tol. blue,Transverse,,50,1375,REPTILES,
183,177,Alligator mississippiensis,American Alligator,Brain,Tol. blue,Transverse,,60,1290,REPTILES,
184,178,Alligator mississippiensis,American Alligator,Brain,Tol. blue,Transverse,40,40,1012,REPTILES,
185,179,Alligator mississippiensis,American Alligator,Brain,Tol. blue,Horizontal,50,36,200,REPTILES,
186,180,Alligator mississippiensis,American Alligator,Brain,Tol. blue,Horizontal,,45,422,REPTILES,
187,181,Alligator mississippiensis,American Alligator,Brain,Tol. blue,Sagittal,40,35,287,REPTILES,
188,182,Alligator mississippiensis,American Alligator,Brain,Tol. blue,Sagittal,,49,390,REPTILES,
189,183,Alligator mississippiensis,American Alligator,Brain,Wei - gert,Transverse,,73,1365,REPTILES,
190,184,Alligator mississippiensis,American Alligator,Brain,Wei - gert,Sagittal,,59,464,REPTILES,
191,185,Alligator mississippiensis,American Alligator,Brain,Wei - gert,Sagittal,,30,327,REPTILES,
192,186,Alligator mississippiensis,American Alligator,Brain,Wei - gert,Sagittal,40,23,253,REPTILES,
193,187,Alligator mississippiensis,American Alligator,Brain & cord,Pyr. silver,Transverse,15 to 20,29,1483,REPTILES,
194,188,Alligator mississippiensis,American Alligator,Brain & cord,Pyr. silver,Transverse,15 to 20,35,1598,REPTILES,
195,189,Alligator mississippiensis,American Alligator,Brain,Pyr. silver,Transverse,25,21,574,REPTILES,
196,190,Alligator mississippiensis,American Alligator,Brain,Pyr. silver,Transverse,15 to 30,19,476,REPTILES,
197,191,A. mississippiensis-25cm,American Alligator,Brain,Silver,Transverse,,32,1627,REPTILES,
198,192,Alligator mississippiensis,American Alligator,Brain,Pyr. silver,Horizontal,15 to 20,20,235,REPTILES,
199,193,Alligator mississippiensis,American Alligator,Brain,Silver,Horizontal,18,48,307,REPTILES,
200,194,Alligator mississippiensis,American Alligator,Brain,Pyr. silver,Sagittal,15 to25,25,366,REPTILES,
201,195,Alligator mississippiensis,American Alligator,Brain (Head),Pyr. silver,Sagittal,,50,339,REPTILES,
202,196,Alligator mississippiensis,American Alligator,Brain (Head),Pyr. silver,Sagittal,,59,284,REPTILES,
203,197,Alligator mississippiensis,American Alligator,Brain,Cox. Chr. silver,Transverse,,18,303,REPTILES,
204,198,Alligator mississippiensis,American Alligator,Brain,Cox. Chr. silver,Sagittal,50,23,185,REPTILES,
205,199,Alligator mississippiensis,American Alligator,Brain,Golgi,Transverse,,23,288,REPTILES,
206,200,Alligator mississippiensis,American Alligator,Brain,Golgi,Sagittal,,17,70,REPTILES,
207,660,Caiman,,Brain,Thion.,Transverse,25,173,1930,REPTILES,
208,666,Chrysemys punctata,turtle,Whole head,Van Giesen,Transverse,50,26,181,REPTILES,
209,201,Anas platyrhychus,Duck,Brain,Tol. blue,Transverse,40,79,773,BIRDS,
210,202,Anas platyrhychus,Duck,Spinal cord,Tol. blue,Transverse,50,88,3000,BIRDS,
211,203,Anas platyrhychus,Duck,Brain,Tol. blue,Horizontal,50,58,350,BIRDS,
212,204,Anas platyrhychus,Duck,Spinal cord,Tol. blue,Longitudinal,40,85,408,BIRDS,
213,205,Gallus domesticus,Domestic Chicken,Brain,Tol. blue,Transverse,20,11,445,BIRDS,(10 day embry.)
214,206,Gallus domesticus,Domestic Chicken,Brain,Tol. blue,Transverse,25,8,388,BIRDS,(10 day embry.)
215,207,Gallus domesticus,Domestic Chicken,Brain,Tol. blue,Transverse,20,11,465,BIRDS,(11 day embry.)
216,208,Gallus domesticus,Domestic Chicken,Brain,Tol. blue,Transverse,,13,493,BIRDS,(12 day embry.)
217,209,Gallus domesticus,Domestic Chicken,Brain,Tol. blue,Transverse,20,17,547,BIRDS,(14 day embry.)
218,210,Gallus domesticus,Domestic Chicken,Brain,Tol. blue,Transverse,20,19,551,BIRDS,(16 day embry.)
219,211,Gallus domesticus,Domestic Chicken,Brain,Tol. blue,Transverse,30,20,580,BIRDS,(19 day embry.)
220,212,Gallus domesticus,Domestic Chicken,Brain,Tol. blue,Transverse,,20,553,BIRDS,(21day embry.)
221,213,Gallus domesticus,Domestic Chicken,Brain,Tol. blue,Transverse,25 - 40,54,553,BIRDS,(Adult)
222,214,Gallus domesticus,Domestic Chicken,Spinal cord,Tol. blue,Transverse,50,85,688,BIRDS,
223,215,Gallus domesticus,Domestic Chicken,Brain,Tol. blue,Horizontal,20,8,177,BIRDS,(10 day embry.)
224,216,Gallus domesticus,Domestic Chicken,Brain,Tol. blue,Horizontal,25,8,185,BIRDS,(11 day embry.)
225,217,Gallus domesticus,Domestic Chicken,Brain,Tol. blue,Horizontal,20,10,216,BIRDS,(11 day embry.)
226,218,Gallus domesticus,Domestic Chicken,Brain,Tol. blue,Horizontal,20,11,207,BIRDS,(12 day embry.)
227,219,Gallus domesticus,Domestic Chicken,Brain,Tol. blue,Horizontal,20,18,282,BIRDS,(14 day embry.)
228,220,Gallus domesticus,Domestic Chicken,Brain,Tol. blue,Horizontal,25,15,219,BIRDS,(16 day embry.)
229,221,Gallus domesticus,Domestic Chicken,Brain,Tol. blue,Horizontal,25,20,317,BIRDS,(19 day embry.)
230,222,Gallus domesticus,Domestic Chicken,Brain,Tol. blue,Horizontal,25,24,25,BIRDS,(21day embry.)
231,223,Gallus domesticus,Domestic Chicken,Brain,Tol. blue,Sagittal,40,63,481,BIRDS,(Adult)
232,224,Gallus domesticus,Domestic Chicken,Brain,Tol. blue,Sagittal,50,44,389,BIRDS,
233,225,Gallus domesticus,Domestic Chicken,Spinal cord,Tol. blue,Longitudinal,40,70,350,BIRDS,
234,226,,,,,,,,,BIRDS,
235,227,Gallus domesticus,Domestic Chicken,Brain,Wei - gert,Horizontal,50,96,342,BIRDS,
236,228,Gallus domesticus,Domestic Chicken,Brain,Pyr. silver,Transverse,10,9,672,BIRDS,(10 day embry.)
237,229,Gallus domesticus,Domestic Chicken,Brain,Pyr. silver,Olbique,,5,358,BIRDS,(10 day embry.)
238,230,Gallus domesticus,Domestic Chicken,Brain,Pyr. silver,Transverse,15,6,406,BIRDS,(11 day embry.)
239,231,Gallus domesticus,Domestic Chicken,Brain,Pyr. silver,Transverse,10,8,624,BIRDS,(11 day embry.)
240,232,Gallus domesticus,Domestic Chicken,Brain,Pyr. silver,Transverse,10 to 12,10,632,BIRDS,(14 day embry.)
241,233,Gallus domesticus,Domestic Chicken,Brain,Pyr. silver,Transverse,12 to15,12,694,BIRDS,(16 day embry.)
242,234,Gallus domesticus,Domestic Chicken,Brain,Pyr. silver,Transverse,10 to 12,17,915,BIRDS,(18 day embry.)
243,235,Gallus domesticus,Domestic Chicken,Brain,Pyr. silver,Transverse,10 to 15,19,766,BIRDS,(19 day embry.)
244,236,Gallus domesticus,Domestic Chicken,Brain,Pyr. silver,Transverse,10,20,968,BIRDS,(21day embry.)
245,237,Gallus domesticus,Domestic Chicken,Spinal cord,Pyr. silver,Transverse,10 to 20,10,2800,BIRDS,(18day embry.)
246,238,Gallus domesticus,Domestic Chicken,Spinal cord,Pyr. silver,Transverse,10 to 15,18,4924,BIRDS,(20day embry.)
247,239,Gallus domesticus,Domestic Chicken,Spinal cord,Pyr. silver,Transverse,8 to 10,17,5269,BIRDS,(21day embry.)
248,240,Gallus domesticus,Domestic Chicken,Spinal cord,Pyr. silver,Transverse,,13,5456,BIRDS,(21day embry.)
249,241,Gallus domesticus,Domestic Chicken,Brain,Pyr. silver,Horizontal,10 to 15,2,192,BIRDS,(2-4 day embry.)
250,242,Gallus domesticus,Domestic Chicken,Brain,Pyr. silver,Horizontal,15,3,240,BIRDS,(4 day embry.)
251,243,Gallus domesticus,Domestic Chicken,Brain,Pyr. silver,Horizontal,10 to 15,8,381,BIRDS,(5day embry.)
252,244,Gallus domesticus,Domestic Chicken,Brain,Pyr. silver,Horizontal,10,7,184,BIRDS,(10 day embry.)
253,245,Gallus domesticus,Domestic Chicken,Brain,Pyr. silver,Horizontal,15,6,209,BIRDS,(11 day embry.)
254,246,Gallus domesticus,Domestic Chicken,Brain,Pyr. silver,Horizontal,12 to15,7,238,BIRDS,(11 day embry.)
255,247,Gallus domesticus,Domestic Chicken,Brain,Pyr. silver,Horizontal,,8,275,BIRDS,(12 day embry.)
256,248,Gallus domesticus,Domestic Chicken,Brain,Pyr. silver,Horizontal,12 to 15,11,310,BIRDS,(16 day embry.)
257,249,Gallus domesticus,Domestic Chicken,Brain,Pyr. silver,Horizontal,15,16,380,BIRDS,(19 day embry.)
