"Species","measure_class","Measure","Units","Value","Value_median","n_sources","n_teams","n_teams_primary","primary_used","Teams","roles","value_min","value_max"
"Acomys russatus","mass","Body_Mass","g",58.525,61.825,13,3,0,FALSE,"Genoud; Ruf; Wilman","secondary",NA,NA
"Acomys seurati","mass","Body_Mass","g",28.81,28.81,4,1,0,FALSE,"Wilman","secondary",NA,NA
"Acomys spinosissimus","mass","Body_Mass","g",26.76,26.76,5,2,0,FALSE,"Genoud; Wilman","secondary",NA,NA
"Acomys subspinosus","mass","Body_Mass","g",26.63,26.63,5,2,0,FALSE,"Genoud; Wilman","secondary",NA,NA
"Acomys wilsoni","mass","Body_Mass","g",18.5,18.5,5,2,0,FALSE,"Burger; Wilman","secondary",NA,NA
"Aconaemys fuscus","mass","Body_Mass","g",122.75,122.75,5,2,0,FALSE,"Genoud; Wilman","secondary",NA,NA
"Aconaemys porteri","mass","Body_Mass","g",113.5,113.5,4,1,0,FALSE,"Wilman","secondary",NA,NA
"Aconaemys sagei","mass","Body_Mass","g",96.5,96.5,4,1,0,FALSE,"Wilman","secondary",NA,NA
"Acrobates pygmaeus","mass","Body_Mass","g",14,14,9,6,1,TRUE,"Burger; Genoud; Ruf; Seymour; Wilman; Wimberly","primary; secondary",NA,NA
"Adapornis personata","mass","Body_Mass","g",40,40,4,1,0,FALSE,"MacLarnon","secondary",NA,NA
"Addax nasomaculatus","mass","Body_Mass","g",88500.16,88500.16,5,2,0,FALSE,"Burger; Wilman","secondary",NA,NA
"Aegotheles cristatus","mass","Body_Mass","g",50,50,4,1,0,FALSE,"Ruf","secondary",NA,NA
"Aepeomys lugens","mass","Body_Mass","g",37,37,4,1,0,FALSE,"Wilman","secondary",NA,NA
"Aepeomys reigi","mass","Body_Mass","g",37,37,4,1,0,FALSE,"Wilman","secondary",NA,NA
"Aepyceros melampus","mass","Body_Mass","g",54233.923,52591.69,6,3,0,FALSE,"Burger; Wilman; Wimberly","secondary",NA,NA
"Aepyprymnus rufescens","mass","Body_Mass","g",2500,2500,8,4,1,TRUE,"Burger; Genoud; Seymour; Wilman","primary; secondary",NA,NA
"Aeretes melanopterus","mass","Body_Mass","g",753.23,753.23,4,1,0,FALSE,"Wilman","secondary",NA,NA
"Aeromys tephromelas","mass","Body_Mass","g",1132,1132,5,2,0,FALSE,"Burger; Wilman","secondary",NA,NA
"Aeromys thomasi","mass","Body_Mass","g",1435,1435,4,1,0,FALSE,"Wilman","secondary",NA,NA
"Aeronautes saxatalis","mass","Body_Mass","g",30.5,30.5,4,1,0,FALSE,"Ruf","secondary",NA,NA
"Aethalops aequalis","mass","Body_Mass","g",15,15,4,1,0,FALSE,"Wilman","secondary",NA,NA
"Aethalops alecto","mass","Body_Mass","g",15,15,4,1,0,FALSE,"Wilman","secondary",NA,NA
"Aethomys bocagei","mass","Body_Mass","g",79.89,79.89,4,1,0,FALSE,"Wilman","secondary",NA,NA
"Aethomys chrysophilus","mass","Body_Mass","g",95.925,95.925,5,2,0,FALSE,"Burger; Wilman","secondary",NA,NA
"Aethomys hindei","mass","Body_Mass","g",124.9,124.9,5,2,0,FALSE,"Burger; Wilman","secondary",NA,NA
"Aethomys ineptus","mass","Body_Mass","g",133.16,133.16,4,1,0,FALSE,"Wilman","secondary",NA,NA
"Aethomys kaiseri","mass","Body_Mass","g",90,90,4,1,0,FALSE,"Wilman","secondary",NA,NA
"Aethomys namaquenesis","mass","Body_Mass","g",46,46,4,1,0,FALSE,"Ruf","secondary",NA,NA
"Aethomys nyikae","mass","Body_Mass","g",77.01,77.01,4,1,0,FALSE,"Wilman","secondary",NA,NA
"Aethomys silindensis","mass","Body_Mass","g",82.76,82.76,4,1,0,FALSE,"Wilman","secondary",NA,NA
"Aethomys stannarius","mass","Body_Mass","g",82.9,82.9,4,1,0,FALSE,"Wilman","secondary",NA,NA
"Aethomys thomasi","mass","Body_Mass","g",84.69,84.69,4,1,0,FALSE,"Wilman","secondary",NA,NA
"Ailuropoda melanoleuca","mass","Body_Mass","g",104633.33,108400,6,3,0,FALSE,"Burger; Wilman; Wimberly","secondary",NA,NA
"Ailurops melanotis","mass","Body_Mass","g",10000,10000,4,1,0,FALSE,"Wilman","secondary",NA,NA
"Ailurops ursinus","mass","Body_Mass","g",10000,10000,4,1,0,FALSE,"Wilman","secondary",NA,NA
"Ailurus fulgens","mass","Body_Mass","g",5350.02,5380.04,7,4,0,FALSE,"Burger; Genoud; Wilman; Wimberly","secondary",NA,NA
"Akodon aerosus","mass","Body_Mass","g",60,60,4,1,0,FALSE,"Wilman","secondary",NA,NA
"Akodon affinis","mass","Body_Mass","g",24.9,24.9,4,1,0,FALSE,"Wilman","secondary",NA,NA
"Akodon albiventer","mass","Body_Mass","g",26.4,26.4,5,2,0,FALSE,"Genoud; Wilman","secondary",NA,NA
"Akodon aliquantulus","mass","Body_Mass","g",31.32,31.32,4,1,0,FALSE,"Wilman","secondary",NA,NA
"Akodon azarae","mass","Body_Mass","g",24.704,25,8,3,0,FALSE,"Burger; Genoud; Wilman","secondary",NA,NA
"Akodon bogotensis","mass","Body_Mass","g",13,13,4,1,0,FALSE,"Wilman","secondary",NA,NA
"Akodon boliviensis","mass","Body_Mass","g",27.5,27.5,4,1,0,FALSE,"Wilman","secondary",NA,NA
"Akodon budini","mass","Body_Mass","g",26.9,26.9,4,1,0,FALSE,"Wilman","secondary",NA,NA
"Akodon cursor","mass","Body_Mass","g",39.85,39.85,4,1,0,FALSE,"Wilman","secondary",NA,NA
"Akodon dayi","mass","Body_Mass","g",32.5,32.5,4,1,0,FALSE,"Wilman","secondary",NA,NA
"Akodon dolores","mass","Body_Mass","g",50.5,50.5,4,1,0,FALSE,"Wilman","secondary",NA,NA
"Akodon fumeus","mass","Body_Mass","g",22.7,22.7,4,1,0,FALSE,"Wilman","secondary",NA,NA
"Akodon iniscatus","mass","Body_Mass","g",28.7,28.7,4,1,0,FALSE,"Wilman","secondary",NA,NA
"Akodon juninensis","mass","Body_Mass","g",39,39,4,1,0,FALSE,"Wilman","secondary",NA,NA
"Akodon kofordi","mass","Body_Mass","g",29.5,29.5,4,1,0,FALSE,"Wilman","secondary",NA,NA
"Akodon latebricola","mass","Body_Mass","g",39,39,4,1,0,FALSE,"Wilman","secondary",NA,NA
"Akodon leucolimnaeus","mass","Body_Mass","g",31.32,31.32,4,1,0,FALSE,"Wilman","secondary",NA,NA
"Akodon lindberghi","mass","Body_Mass","g",26.4,26.4,4,1,0,FALSE,"Wilman","secondary",NA,NA
"Akodon lutescens","mass","Body_Mass","g",20.69,20.69,4,1,0,FALSE,"Wilman","secondary",NA,NA
"Akodon mimus","mass","Body_Mass","g",24,24,4,1,0,FALSE,"Wilman","secondary",NA,NA
"Akodon molinae","mass","Body_Mass","g",33,33,4,1,0,FALSE,"Wilman","secondary",NA,NA
"Akodon mollis","mass","Body_Mass","g",30.4,30.4,4,1,0,FALSE,"Wilman","secondary",NA,NA
"Akodon montensis","mass","Body_Mass","g",31.32,31.32,4,1,0,FALSE,"Wilman","secondary",NA,NA
"Akodon mystax","mass","Body_Mass","g",18.5,18.5,4,1,0,FALSE,"Wilman","secondary",NA,NA
"Akodon neocenus","mass","Body_Mass","g",42.4,42.4,4,1,0,FALSE,"Wilman","secondary",NA,NA
"Akodon oenos","mass","Body_Mass","g",31.32,31.32,4,1,0,FALSE,"Wilman","secondary",NA,NA
"Akodon orophilus","mass","Body_Mass","g",39,39,4,1,0,FALSE,"Wilman","secondary",NA,NA
"Akodon paranaensis","mass","Body_Mass","g",31.32,31.32,4,1,0,FALSE,"Wilman","secondary",NA,NA
"Akodon pervalens","mass","Body_Mass","g",31.32,31.32,4,1,0,FALSE,"Wilman","secondary",NA,NA
"Akodon reigi","mass","Body_Mass","g",31.32,31.32,4,1,0,FALSE,"Wilman","secondary",NA,NA
"Akodon sanctipaulensis","mass","Body_Mass","g",27.1,27.1,4,1,0,FALSE,"Wilman","secondary",NA,NA
"Akodon serrensis","mass","Body_Mass","g",28.3,28.3,4,1,0,FALSE,"Wilman","secondary",NA,NA
"Akodon siberiae","mass","Body_Mass","g",34.6,34.6,4,1,0,FALSE,"Wilman","secondary",NA,NA
"Akodon simulator","mass","Body_Mass","g",42.5,42.5,4,1,0,FALSE,"Wilman","secondary",NA,NA
"Akodon spegazzinii","mass","Body_Mass","g",28.6,28.6,4,1,0,FALSE,"Wilman","secondary",NA,NA
"Akodon subfuscus","mass","Body_Mass","g",30.4,30.4,4,1,0,FALSE,"Wilman","secondary",NA,NA
"Akodon surdus","mass","Body_Mass","g",39,39,4,1,0,FALSE,"Wilman","secondary",NA,NA
"Akodon sylvanus","mass","Body_Mass","g",39,39,4,1,0,FALSE,"Wilman","secondary",NA,NA
"Akodon toba","mass","Body_Mass","g",51.2,51.2,4,1,0,FALSE,"Wilman","secondary",NA,NA
"Akodon torques","mass","Body_Mass","g",39,39,4,1,0,FALSE,"Wilman","secondary",NA,NA
"Akodon varius","mass","Body_Mass","g",40,40,4,1,0,FALSE,"Wilman","secondary",NA,NA
"Alcelaphus buselaphus","mass","Body_Mass","g",136172.348,137843.93,7,4,0,FALSE,"Burger; Genoud; Wilman; Wimberly","secondary",NA,NA
"Alcelaphus caama","mass","Body_Mass","g",176115.97,176115.97,4,1,0,FALSE,"Wilman","secondary",NA,NA
"Alcelaphus lichtensteinii","mass","Body_Mass","g",166847.83,166847.83,5,2,0,FALSE,"Burger; Wilman","secondary",NA,NA
"Alces alces","mass","Body_Mass","g",278499.08,278499.08,5,2,0,FALSE,"Burger; Wilman","secondary",NA,NA
"Alces americanus","mass","Body_Mass","g",387820.147,350000,6,3,0,FALSE,"Burger; Genoud; Wilman","secondary",NA,NA
"Alionycteris paucidentata","mass","Body_Mass","g",16.15,16.15,4,1,0,FALSE,"Wilman","secondary",NA,NA
"Allactaga balikunica","mass","Body_Mass","g",93.08,93.08,4,1,0,FALSE,"Wilman","secondary",NA,NA
"Allactaga bullata","mass","Body_Mass","g",89.35,89.35,4,1,0,FALSE,"Wilman","secondary",NA,NA
"Allactaga elater","mass","Body_Mass","g",59,59,4,1,0,FALSE,"Wilman","secondary",NA,NA
"Allactaga euphratica","mass","Body_Mass","g",161,161,5,2,0,FALSE,"Ruf; Wilman","secondary",NA,NA
"Allactaga firouzi","mass","Body_Mass","g",92.39,92.39,4,1,0,FALSE,"Wilman","secondary",NA,NA
"Allactaga hotsoni","mass","Body_Mass","g",76.5,76.5,4,1,0,FALSE,"Wilman","secondary",NA,NA
"Allactaga major","mass","Body_Mass","g",350,350,4,1,0,FALSE,"Wilman","secondary",NA,NA
"Allactaga severtzovi","mass","Body_Mass","g",159,159,4,1,0,FALSE,"Wilman","secondary",NA,NA
"Allactaga sibirica","mass","Body_Mass","g",145.25,145.25,5,2,0,FALSE,"Burger; Wilman","secondary",NA,NA
"Allactaga tetradactyla","mass","Body_Mass","g",52,52,4,1,0,FALSE,"Wilman","secondary",NA,NA
"Allactaga vinogradovi","mass","Body_Mass","g",90.51,90.51,4,1,0,FALSE,"Wilman","secondary",NA,NA
"Allactaga williamsi","mass","Body_Mass","g",133.37,133.37,5,2,0,FALSE,"Ruf; Wilman","secondary",NA,NA
"Allactodipus bobrinskii","mass","Body_Mass","g",65.3,65.3,4,1,0,FALSE,"Wilman","secondary",NA,NA
"Allenopithecus nigroviridis","mass","Body_Mass","g",4309.99,4655,7,4,0,FALSE,"Burger; Isler; Powell; Wilman","secondary",NA,NA
"Allocebus trichotis","mass","Body_Mass","g",77.5,77.5,4,1,0,FALSE,"Wilman","secondary",NA,NA
"Allocricetulus curtatus","mass","Body_Mass","g",47.83,47.83,4,1,0,FALSE,"Wilman","secondary",NA,NA
"Allocricetulus eversmanni","mass","Body_Mass","g",115.56,115.56,4,1,0,FALSE,"Wilman","secondary",NA,NA
"Alouatta belzebul","mass","Body_Mass","g",6178.75,6395,7,4,0,FALSE,"Burger; Isler; Powell; Wilman","secondary",NA,NA
"Alouatta caraya","mass","Body_Mass","g",5382.16,5379,9,6,0,FALSE,"Burger; Granatosky; Isler; Powell; Wilman; Zilles","secondary",NA,NA
"Alouatta caraya group","mass","Body_Mass","g",5255.556,5255.556,12,1,0,FALSE,"Isler","secondary",NA,NA
"Alouatta coibensis","mass","Body_Mass","g",6320.06,6320.06,4,1,0,FALSE,"Wilman","secondary",NA,NA
"Alouatta guariba","mass","Body_Mass","g",4865.833,4862.5,7,4,0,FALSE,"Burger; Isler; Powell; Wilman","secondary",NA,NA
"Alouatta macconnelli","mass","Body_Mass","g",6359.185,6359.185,5,2,0,FALSE,"Burger; Wilman","secondary",NA,NA
"Alouatta nigerrima","mass","Body_Mass","g",6320.06,6320.06,4,1,0,FALSE,"Wilman","secondary",NA,NA
"Alouatta palliata","mass","Body_Mass","g",5835.679,5892.8,14,7,0,FALSE,"Burger; Genoud; Granatosky; Isler; Lewitus; Powell; Wilman","secondary",NA,NA
"Alouatta palliata group","mass","Body_Mass","g",6256.1,6256.1,7,1,0,FALSE,"Isler","secondary",NA,NA
"Alouatta pigra","mass","Body_Mass","g",7870.606,8915,8,5,0,FALSE,"Burger; Granatosky; Isler; Powell; Wilman","secondary",NA,NA
"Alouatta sara","mass","Body_Mass","g",6611.04,6611.04,5,2,0,FALSE,"Burger; Wilman","secondary",NA,NA
"Alouatta seniculus","mass","Body_Mass","g",6400,6400,20,9,2,TRUE,"Burger; Granatosky; Isler; Lewitus; Powell; Stephan; Stephan_collection; Wilman; Wimberly","primary; secondary",NA,NA
"Alouatta seniculus group","mass","Body_Mass","g",5758.769,5758.769,42,1,0,FALSE,"Isler","secondary",NA,NA
"Alticola albicaudus","mass","Body_Mass","g",34.53,34.53,4,1,0,FALSE,"Wilman","secondary",NA,NA
"Alticola argentatus","mass","Body_Mass","g",45.3,45.3,5,2,0,FALSE,"Genoud; Wilman","secondary",NA,NA
"Alticola barakshin","mass","Body_Mass","g",33.6,33.6,4,1,0,FALSE,"Wilman","secondary",NA,NA
"Alticola lemminus","mass","Body_Mass","g",33.56,33.56,4,1,0,FALSE,"Wilman","secondary",NA,NA
"Alticola macrotis","mass","Body_Mass","g",36,36,4,1,0,FALSE,"Wilman","secondary",NA,NA
"Alticola montosa","mass","Body_Mass","g",34.53,34.53,4,1,0,FALSE,"Wilman","secondary",NA,NA
"Alticola olchonensis","mass","Body_Mass","g",36.96,36.96,4,1,0,FALSE,"Wilman","secondary",NA,NA
"Alticola roylei","mass","Body_Mass","g",37,37,4,1,0,FALSE,"Wilman","secondary",NA,NA
"Alticola semicanus","mass","Body_Mass","g",33.39,33.39,4,1,0,FALSE,"Wilman","secondary",NA,NA
"Alticola stoliczkanus","mass","Body_Mass","g",27.47,27.47,4,1,0,FALSE,"Wilman","secondary",NA,NA
"Alticola strelzowi","mass","Body_Mass","g",50,50,4,1,0,FALSE,"Wilman","secondary",NA,NA
"Alticola tuvinicus","mass","Body_Mass","g",33.32,33.32,4,1,0,FALSE,"Wilman","secondary",NA,NA
"Amazilia versicolor","mass","Body_Mass","g",3.9,3.9,4,1,0,FALSE,"Ruf","secondary",NA,NA
"Amblonyx cinereus","mass","Body_Mass","g",3500,3500,5,1,0,FALSE,"10.1002%2Fcne.24349_Table3.tsv","secondary",NA,NA
"Amblysomus corriae","mass","Body_Mass","g",52.6,52.6,4,1,0,FALSE,"Wilman","secondary",NA,NA
"Amblysomus hottentotus","mass","Body_Mass","g",68.859,71.919,10,4,0,FALSE,"Genoud; HerculanoHouzel; Ruf; Wilman","secondary",NA,NA
"Amblysomus marleyi","mass","Body_Mass","g",52.6,52.6,4,1,0,FALSE,"Wilman","secondary",NA,NA
"Amblysomus robustus","mass","Body_Mass","g",52.6,52.6,4,1,0,FALSE,"Wilman","secondary",NA,NA
"Amblysomus septentrionalis","mass","Body_Mass","g",52.6,52.6,4,1,0,FALSE,"Wilman","secondary",NA,NA
"Ametrida centurio","mass","Body_Mass","g",10.443,10.5,6,3,0,FALSE,"Burger; Genoud; Wilman","secondary",NA,NA
"Ammodillus imbellis","mass","Body_Mass","g",50,50,4,1,0,FALSE,"Wilman","secondary",NA,NA
"Ammodorcas clarkei","mass","Body_Mass","g",28049.81,28049.81,4,1,0,FALSE,"Wilman","secondary",NA,NA
"Ammospermophilus harrisii","mass","Body_Mass","g",114.575,114.575,5,2,0,FALSE,"Burger; Wilman","secondary",NA,NA
"Ammospermophilus insularis","mass","Body_Mass","g",112.15,112.15,5,2,0,FALSE,"Burger; Wilman","secondary",NA,NA
"Ammospermophilus interpres","mass","Body_Mass","g",102.375,102.375,5,2,0,FALSE,"Burger; Wilman","secondary",NA,NA
"Ammospermophilus leucurus","mass","Body_Mass","g",99.602,103.67,12,3,0,FALSE,"Burger; Genoud; Wilman","secondary",NA,NA
"Ammospermophilus nelsoni","mass","Body_Mass","g",163.825,163.825,5,2,0,FALSE,"Burger; Wilman","secondary",NA,NA
"Ammotragus lervia","mass","Body_Mass","g",84067.407,94202.22,6,3,0,FALSE,"Burger; Wilman; Wimberly","secondary",NA,NA
"Amorphochilus schnablii","mass","Body_Mass","g",3.3,3.3,4,1,0,FALSE,"Wilman","secondary",NA,NA
"Amphinectomys savamis","mass","Body_Mass","g",47.71,47.71,4,1,0,FALSE,"Wilman","secondary",NA,NA
"Anathana ellioti","mass","Body_Mass","g",160,160,4,1,0,FALSE,"Wilman","secondary",NA,NA
"Andalgalomys olrogi","mass","Body_Mass","g",32.9,32.9,4,1,0,FALSE,"Wilman","secondary",NA,NA
"Andalgalomys pearsoni","mass","Body_Mass","g",25.4,25.4,4,1,0,FALSE,"Wilman","secondary",NA,NA
"Andalgalomys roigi","mass","Body_Mass","g",28.91,28.91,4,1,0,FALSE,"Wilman","secondary",NA,NA
"Andinomys edax","mass","Body_Mass","g",69.75,69.75,4,1,0,FALSE,"Wilman","secondary",NA,NA
"Anisomys imitator","mass","Body_Mass","g",510.5,510.5,4,1,0,FALSE,"Wilman","secondary",NA,NA
"Anomalurus beecrofti","mass","Body_Mass","g",389,389,4,1,0,FALSE,"Wilman","secondary",NA,NA
"Anomalurus derbianus","mass","Body_Mass","g",649.99,649.99,4,1,0,FALSE,"Wilman","secondary",NA,NA
"Anomalurus pelii","mass","Body_Mass","g",1769.99,1769.99,4,1,0,FALSE,"Wilman","secondary",NA,NA
"Anomalurus pusillus","mass","Body_Mass","g",250,250,4,1,0,FALSE,"Wilman","secondary",NA,NA
"Anonymomys mindorensis","mass","Body_Mass","g",76.5,76.5,4,1,0,FALSE,"Wilman","secondary",NA,NA
"Anotomys leander","mass","Body_Mass","g",66.4,66.4,4,1,0,FALSE,"Wilman","secondary",NA,NA
"Anoura caudifer","mass","Body_Mass","g",10.903,10.81,7,3,0,FALSE,"Burger; Genoud; Wilman","secondary",NA,NA
"Anoura cultrata","mass","Body_Mass","g",16.85,16.85,4,1,0,FALSE,"Wilman","secondary",NA,NA
"Anoura geoffroyi","mass","Body_Mass","g",14.81,14.81,5,2,0,FALSE,"Burger; Wilman","secondary",NA,NA
"Anoura latidens","mass","Body_Mass","g",14.075,14.075,5,2,0,FALSE,"Genoud; Wilman","secondary",NA,NA
"Anoura luismanueli","mass","Body_Mass","g",14.05,14.05,4,1,0,FALSE,"Wilman","secondary",NA,NA
"Anourosorex assamensis","mass","Body_Mass","g",20,20,4,1,0,FALSE,"Wilman","secondary",NA,NA
"Anourosorex schmidi","mass","Body_Mass","g",20,20,4,1,0,FALSE,"Wilman","secondary",NA,NA
"Anourosorex squamipes","mass","Body_Mass","g",20,20,4,1,0,FALSE,"Wilman","secondary",NA,NA
"Anourosorex yamashinai","mass","Body_Mass","g",20,20,4,1,0,FALSE,"Wilman","secondary",NA,NA
"Antechinomys laniger","mass","Body_Mass","g",25.843,25.685,8,4,0,FALSE,"Burger; Genoud; Ruf; Wilman","secondary",NA,NA
"Antechinus adustus","mass","Body_Mass","g",36,36,4,1,0,FALSE,"Wilman","secondary",NA,NA
"Antechinus agilis","mass","Body_Mass","g",23.065,23.065,5,2,0,FALSE,"Burger; Wilman","secondary",NA,NA
"Antechinus bellus","mass","Body_Mass","g",44.75,44.75,5,2,0,FALSE,"Burger; Wilman","secondary",NA,NA
"Antechinus flavipes","mass","Body_Mass","g",37.875,40.25,8,4,0,FALSE,"Burger; Genoud; Ruf; Wilman","secondary",NA,NA
"Antechinus godmani","mass","Body_Mass","g",76.5,76.5,4,1,0,FALSE,"Wilman","secondary",NA,NA
"Antechinus leo","mass","Body_Mass","g",74,74,5,2,0,FALSE,"Burger; Wilman","secondary",NA,NA
"Antechinus minimus","mass","Body_Mass","g",53.5,53.5,5,2,0,FALSE,"Burger; Wilman","secondary",NA,NA
"Antechinus stuartii","mass","Body_Mass","g",27.217,27.5,9,4,0,FALSE,"Burger; Genoud; Ruf; Wilman","secondary",NA,NA
"Antechinus subtropicus","mass","Body_Mass","g",44,44,5,2,0,FALSE,"Burger; Wilman","secondary",NA,NA
"Antechinus swainsonii","mass","Body_Mass","g",57.633,53,6,3,0,FALSE,"Burger; Genoud; Wilman","secondary",NA,NA
"Anthops ornatus","mass","Body_Mass","g",8,8,4,1,0,FALSE,"Wilman","secondary",NA,NA
"Antidorcas marsupialis","mass","Body_Mass","g",31006,31500,6,3,0,FALSE,"Burger; HerculanoHouzel; Wilman","secondary",NA,NA
"Antilocapra americana","mass","Body_Mass","g",44520.732,46416.46,7,4,0,FALSE,"Burger; Genoud; Wilman; Wimberly","secondary",NA,NA
"Antilope cervicapra","mass","Body_Mass","g",33150,33150,5,2,0,FALSE,"Burger; Wilman","secondary",NA,NA
"Antrozous pallidus","mass","Body_Mass","g",21.4,21.4,5,2,0,FALSE,"Genoud; Wilman","secondary",NA,NA
"Aonyx capensis","mass","Body_Mass","g",19054.92,19054.92,5,2,0,FALSE,"Burger; Wilman","secondary",NA,NA
"Aonyx cinerea","mass","Body_Mass","g",3793.795,3793.795,5,2,0,FALSE,"Burger; Wilman","secondary",NA,NA
"Aotus azarae","mass","Body_Mass","g",1153.642,1217.5,7,4,0,FALSE,"Burger; Isler; Powell; Wilman","secondary",NA,NA
"Aotus hershkovitzi","mass","Body_Mass","g",800,800,4,1,0,FALSE,"Wilman","secondary",NA,NA
"Aotus lemurinus","mass","Body_Mass","g",3544.497,872.99,6,3,0,FALSE,"Burger; Isler; Wilman","secondary",NA,NA
"Aotus miconax","mass","Body_Mass","g",800,800,4,1,0,FALSE,"Wilman","secondary",NA,NA
"Aotus nancymaae","mass","Body_Mass","g",788.68,788.01,6,3,0,FALSE,"Powell; Wilman; Wimberly","secondary",NA,NA
"Aotus nigriceps","mass","Body_Mass","g",992.003,958,6,3,0,FALSE,"Isler; Powell; Wilman","secondary",NA,NA
"Aotus sp.","mass","Body_Mass","g",830,830,4,1,0,FALSE,"MacLeod","secondary",NA,NA
"Aotus trivirgatus","mass","Body_Mass","g",866.667,835,24,11,3,TRUE,"Burger; Finlay; Genoud; HerculanoHouzel; Isler; Lewitus; MacLarnon; Powell; Stephan; Stephan_collection; Wilman","primary; secondary",NA,NA
