"Species","Body_Mass.g"
"Ametrida centurio",10.443
"Ammodillus imbellis",50
"Ammodorcas clarkei",28049.81
"Ammospermophilus harrisii",114.575
"Ammospermophilus insularis",112.15
"Ammospermophilus interpres",102.375
"Ammospermophilus leucurus",99.602
"Ammospermophilus nelsoni",163.825
"Ammotragus lervia",84067.407
"Amorphochilus schnablii",3.3
"Amphinectomys savamis",47.71
"Anathana ellioti",160
"Andalgalomys olrogi",32.9
"Andalgalomys pearsoni",25.4
"Andalgalomys roigi",28.91
"Andinomys edax",69.75
"Anisomys imitator",510.5
"Anomalurus beecrofti",389
"Anomalurus derbianus",649.99
"Anomalurus pelii",1769.99
"Anomalurus pusillus",250
"Anonymomys mindorensis",76.5
"Anotomys leander",66.4
"Anoura caudifer",10.903
"Anoura cultrata",16.85
"Anoura geoffroyi",14.81
"Anoura latidens",14.075
"Anoura luismanueli",14.05
"Anourosorex assamensis",20
"Anourosorex schmidi",20
"Anourosorex squamipes",20
"Anourosorex yamashinai",20
"Antechinomys laniger",25.457
"Antechinus adustus",36
"Antechinus agilis",23.065
"Antechinus bellus",44.75
"Antechinus flavipes",41.833
"Antechinus godmani",76.5
"Antechinus leo",74
"Antechinus minimus",53.5
"Antechinus stuartii",27.622
"Antechinus subtropicus",44
"Antechinus swainsonii",57.633
"Anthops ornatus",8
"Antidorcas marsupialis",31006
"Antilocapra americana",44520.732
"Antilope cervicapra",33150
"Antrozous pallidus",21.4
"Aonyx capensis",19054.92
"Aonyx cinerea",3793.795
"Aotus azarae",1153.642
"Aotus hershkovitzi",800
"Aotus lemurinus",3544.497
"Aotus miconax",800
"Aotus nancymaae",788.68
"Aotus nigriceps",992.003
"Aotus sp.",830
"Aotus trivirgatus",866.667
"Aotus vociferans",759.663
"Aplodontia rufa",813.33
"Apodemus agrarius",25.124
"Apodemus alpicola",29.58
"Apodemus argenteus",18.35
"Apodemus chevrieri",34.933
"Apodemus draco",22.25
"Apodemus epimelas",28.07
"Apodemus flavicollis",29.984
"Apodemus gurkha",39.9
"Apodemus hyrcanicus",25.76
"Apodemus latronum",35.2
"Apodemus mystacinus",41.3
"Apodemus pallipes",25.68
"Apodemus peninsulae",32.9
"Apodemus ponticus",25.76
"Apodemus rusiges",25.67
"Apodemus semotus",25.77
"Apodemus speciosus",32.58
"Apodemus sylvaticus",24.477
"Apodemus uralensis",17.1
"Apodemus witherbyi",20.355
"Apomys abrae",56.6
"Apomys datae",106
"Apomys gracilirostris",43.08
"Apomys hylocetes",34.88
"Apomys insignis",29.9
"Apomys littoralis",30.95
"Apomys microdon",35.1
"Apomys musculus",21.2
"Apomys sacobianus",82.4
"Aproteles bulmerae",600
"Arborimus albipes",23
"Arborimus longicaudus",21.8
"Arborimus pomo",27.15
"Archboldomys luzonensis",35.4
"Archboldomys musseri",35.4
"Arctictis binturong",12156.248
"Arctocebus aureus",216.25
"Arctocebus calabarensis",258.3
"Arctocephalus australis",74375
"Arctocephalus forsteri",105470
"Arctocephalus galapagoensis",36475
"Arctocephalus gazella",97050
"Arctocephalus philippii",117500
"Arctocephalus pusillus",178625
"Arctocephalus townsendi",105000
"Arctocephalus tropicalis",92625
"Arctogalidia trivirgata",2240
"Arctonyx collaris",8423
"Ardops nichollsi",16.08
"Arielulus aureocollaris",10.4
"Arielulus circumdatus",10.4
"Arielulus cuprosus",10.4
"Arielulus societatis",8.03
"Arielulus torquatus",10.4
"Ariteus flavescens",11.9
"Artibeus amplus",60
"Artibeus anderseni",138
"Artibeus aztecus",20.38
"Artibeus cinereus",11.843
"Artibeus concolor",19.483
"Artibeus fimbriatus",63.9
"Artibeus fraterculus",36
"Artibeus glaucus",11.63
"Artibeus gnomus",10.06
"Artibeus hirsutus",45.115
"Artibeus incomitatus",26.52
"Artibeus inopinatus",29.3
"Artibeus jamaicensis",42.233
"Artibeus lituratus",62.823
"Artibeus obscurus",35.2
"Artibeus phaeotis",11.695
"Artibeus toltecus",15.925
"Artibeus watsoni",11.2
"Arvicanthis abyssinicus",77.1
"Arvicanthis ansorgei",102.35
"Arvicanthis blicki",128
"Arvicanthis nairobae",104
"Arvicanthis neumanni",98.36
"Arvicanthis niloticus",95.7
"Arvicanthis rufinus",102.35
"Arvicola amphibius",128.6
"Arvicola sapidus",220
"Arvicola scherman",162.48
"Asellia patrizii",14.1
"Asellia tridens",12.365
"Aselliscus stoliczkanus",4.9
"Aselliscus tricuspidatus",4.233
"Atelerix albiventris",443.333
"Atelerix algirus",745
"Atelerix frontalis",342.25
"Atelerix sclateri",539.15
"Ateles ater",6000
"Ateles belzebuth",7581.086
"Ateles belzebuth group",8151.812
"Ateles chamek",8246.66
"Ateles fusciceps",9160
"Ateles geoffroyi",7900
"Ateles geoffroyi group",7401.062
"Ateles hybridus",7419.775
"Ateles marginatus",4600.49
"Ateles paniscus",7037.466
"Atelocynus microtis",8389.985
"Atherurus africanus",2543.25
"Atherurus macrourus",2000
"Atilax paludinosus",3484.985
"Atlantoxerus getulus",251
"Auliscomys boliviensis",71.25
"Auliscomys pictus",54.7
"Auliscomys sublimis",38
"Australopithecus afarensis",27200
"Australopithecus africanus",27275
"Avahi laniger",1224.286
"Avahi occidentalis",860
"Avahi unicolor",848.53
"Axis axis",81410.617
"Axis calamianensis",40500
"Axis kuhlii",55000
"Axis porcinus",32209.25
"Babyrousa babyrussa",89000
"Babyrousa bolabatuensis",1e+05
"Babyrousa celebensis",1e+05
"Babyrousa togeanensis",1e+05
"Baiomys musculus",9
"Baiomys taylori",7.55
"Balaena mysticetus",95499999.965
"Balaenoptera acutorostrata",7793546.795
"Balaenoptera bonaerensis",35089915.83
"Balaenoptera borealis",28333333.335
"Balaenoptera edeni",2e+07
"Balaenoptera musculus",120451999.985
"Balaenoptera physalus",66250000
"Balantiopteryx infusca",4.38
"Balantiopteryx io",4.3
"Balantiopteryx plicata",6.39
"Balionycteris maculata",13.845
"Bandicota bengalensis",188.5
"Bandicota indica",719.96
"Bandicota savilei",199
"Barbastella barbastellus",7.015
"Barbastella leucomelas",15.05
"Bassaricyon alleni",1235.005
"Bassaricyon beddardi",1235.01
"Bassaricyon gabbii",1250
"Bassaricyon lasius",1200
"Bassaricyon pauli",1200
"Bassariscus astutus",992.453
"Bassariscus sumichrasti",1635.547
"Bathyergus janetta",356.75
"Bathyergus suillus",854.955
"Batomys dentatus",196
"Batomys granti",177.8
"Batomys russatus",186.79
"Batomys salomonseni",187
"Bauerus dubiaquercus",22.22
"Bdeogale crassicauda",1399.995
"Bdeogale jacksoni",2500
"Bdeogale nigripes",2500
"Beamys hindei",82.775
"Beamys major",75.8
"Beatragus hunteri",79132.17
"Belomys pearsonii",217
"Berardius arnuxii",7e+06
"Berardius bairdii",11380000
"Berylmys berdmorei",235
"Berylmys bowersi",330.35
"Berylmys mackenziei",256
"Berylmys manipulus",116
"Bettongia gaimardi",1672.083
"Bettongia lesueur",1597
"Bettongia penicillata",1205.95
"Bettongia tropica",1228.29
"Bibimys chacoensis",28
"Bibimys labiosus",29
"Bibimys torresi",28
"Bison bison",545110.783
"Bison bonasus",5e+05
"Biswamoyopterus biswasi",1613.3
"Blanfordimys afghanus",56.99
"Blanfordimys bucharensis",57.08
"Blarina brevicauda",19.7
"Blarina carolinensis",11.85
"Blarina hylophaga",14.5
"Blarina peninsulae",17.63
"Blarinella griselda",12.5
"Blarinella quadraticauda",12.5
"Blarinella wardi",11.26
"Blarinomys breviceps",36.8
"Blastocerus dichotomus",86666.25
"Bonnet macaque",8012.5
"Boromys offella",272.28
"Boromys torrei",272.28
"Bos frontalis",8e+05
"Bos grunniens",269833.333
"Bos javanicus",625000
"Bos sauveli",8e+05
"Bos taurus",482434.198
"Bos taurus indicus",596666.667
"Boselaphus tragocamelus",147000
"Brachiones przewalskii",61.11
"Brachylagus idahoensis",426.67
"Brachyphylla cavernarum",46.46
"Brachyphylla nana",35.83
"Brachytarsomys albicauda",200
"Brachytarsomys villosa",220
"Brachyteles arachnoides",10136.627
"Brachyteles hypoxanthus",10949.94
"Brachyteles sp.",8840
"Brachyuromys betsileoensis",92.5
"Brachyuromys ramirohitra",90
"Bradypus pygmaeus",4022.57
"Bradypus torquatus",3899.96
"Bradypus tridactylus",3897.663
"Bradypus variegatus",3791.092
"Broken Hill/Kabwe",65600
"Brotomys contractus",272.28
"Brotomys voratus",272.28
"Brucepattersonius albinasus",20
"Brucepattersonius griserufescens",23.7
"Brucepattersonius guarani",30.87
"Brucepattersonius igniventris",32
"Brucepattersonius iheringi",43
"Brucepattersonius misionensis",43
"Brucepattersonius paradisus",30.87
"Brucepattersonius soricinus",30.87
"Bubalus bubalis",680375.485
"Bubalus depressicornis",3e+05
"Bubalus mindorensis",233333.33
"Bubalus quarlesi",150000
"Budorcas taxicolor",302000
"Bullimus bagobus",432.5
"Bullimus gamay",367.8
"Bullimus luzonicus",445
"Bunolagus monticularis",1750.01
"Bunomys andrewsi",125
"Bunomys chrysocomus",116
"Bunomys coelestis",120
"Bunomys fratrorum",135
"Bunomys penitus",170
"Bunomys prolatus",131
"Bunopithecus hoolock",6718.417
"Burramys parvus",42.433
"C. apella",3200
"C. atys",10500
"Cabassous centralis",3809.98
"Cabassous chacoensis",1490.01
"Cabassous tatouay",5349.95
"Cabassous unicinctus",4364.995
"Cacajao calvus",3165
"Cacajao melanocephalus",2761.25
"Caenolestes caniventer",40
"Caenolestes condorensis",47.81
"Caenolestes convelatus",40
"Caenolestes fuliginosus",31.4
"Calcochloris leucorhinus",49.7
"Calcochloris obtusirostris",24.05
"Calcochloris tytonis",49.7
"Callicebus baptista",1011.32
"Callicebus barbarabrownae",1011.32
"Callicebus bernhardi",950
"Callicebus brunneus",910.955
"Callicebus caligatus",908.102
"Callicebus cinerascens",992.41
"Callicebus coimbrai",1011.32
"Callicebus cupreus",887
"Callicebus cupreus group",887
"Callicebus discolor",918.333
"Callicebus donacophilus",795.01
"Callicebus dubius",992.41
"Callicebus hoffmannsi",992.41
"Callicebus lucifer",1500
"Callicebus lugens",1070.33
"Callicebus medemi",1172.917
"Callicebus melanochir",1370
"Callicebus modestus",992.41
"Callicebus moloch",868.75
"Callicebus nigrifrons",1011.32
"Callicebus oenanthe",992.41
"Callicebus olallae",992.41
"Callicebus ornatus",1170.5
"Callicebus pallescens",800
"Callicebus personatus",1349.99
"Callicebus purinus",1011.32
"Callicebus regulus",1070.552
"Callicebus stephennashi",690
"Callicebus torquatus",1153
"Callimico goeldii",481.667
"Callistomys pictus",518.99
"Callithrix acariensis",335.61
"Callithrix argentata",376.667
"Callithrix aurita",400
"Callithrix chrysoleuca",335.61
"Callithrix emiliae",309.58
"Callithrix flaviceps",342
"Callithrix geoffroyi",338
"Callithrix humeralifera",371.663
"Callithrix humilis",335.61
"Callithrix intermedia",335.61
"Callithrix jacchus",298.9
"Callithrix kuhlii",357.667
"Callithrix leucippe",335.61
"Callithrix manicorensis",335.61
"Callithrix marcai",335.61
"Callithrix mauesi",443.79
"Callithrix melanura",335.61
"Callithrix nigriceps",401.12
"Callithrix penicillata",324.278
"Callithrix pygmaea",120.889
"Callithrix saterei",441.25
"Callorhinus ursinus",52000
"Callosciurus adamsi",134.5
"Callosciurus albescens",220.89
"Callosciurus baluensis",356
"Callosciurus caniceps",248.5
"Callosciurus erythraeus",280
"Callosciurus finlaysonii",278
"Callosciurus inornatus",325
"Callosciurus melanogaster",278
"Callosciurus nigrovittatus",202
"Callosciurus notatus",203.5
"Callosciurus orestes",278
"Callosciurus phayrei",269
"Callosciurus prevostii",400.23
"Callosciurus pygerythrus",252
"Callosciurus quinquestriatus",207.77
"Calomys boliviae",27
"Calomys callidus",27
"Calomys callosus",46.475
"Calomys expulsus",39.86
"Calomys hummelincki",27
"Calomys laucha",14
"Calomys lepidus",21.3
"Calomys musculinus",18.5
"Calomys sorellus",20
"Calomys tener",13.8
"Calomys tocantinsi",25.3
"Calomys venustus",49.415
"Calomyscus bailwardi",20.4
"Calomyscus baluchi",21.39
"Calomyscus elburzensis",18.62
"Calomyscus grandis",18.62
"Calomyscus hotsoni",21.42
"Calomyscus mystax",17
"Calomyscus tsolovi",21.43
"Calomyscus urartensis",21.22
"Caloprymnus campestris",900
"Caluromys derbianus",324
"Caluromys lanatus",354.5
"Caluromys philander",208.555
"Caluromysiops irrupta",250
"Calyptophractus retusus",129.99
"Camelus",570000
"Camelus bactrianus",548171.97
"Camelus dromedarius",488822.894
"Canis adustus",8202.455
"Canis aureus",9498.41
"Canis latrans",11016.582
"Canis lupus",32206.833
"Canis lupus familiaris",11000
"Canis mesomelas",8073.34
"Canis simensis",10000
"Cannomys badius",497
"Cansumys canus",76.02
"Caperea marginata",3.2e+07
"Capra aegagrus",47386.47
"Capra caucasica",55000
"Capra falconeri",41000
"Capra hircus",80000
"Capra hircus domestica",38111.111
"Capra ibex",85166.51
"Capra nubiana",62624.84
"Capra pyrenaica",50000
"Capra sibirica",130000
"Capra walie",1e+05
"Capreolus capreolus",20590.667
"Capreolus pygargus",43752.21
"Capricornis crispus",43030.64
"Capricornis milneedwardsii",69093.52
"Capricornis rubidus",69093.52
"Capricornis sumatraensis",110942.22
"Capricornis swinhoei",69093.52
"Capricornis thar",69093.52
"Caprolagus hispidus",2497
"Capromys gundlachianus",5650
"Capromys pilorides",4140
"Caracal caracal",13023.303
"Cardiocranius paradoxus",8.6
"Cardioderma cor",26.67
"Carlito syrichta",127
"Carollia brevicauda",14.4
"Carollia castanea",12.91
"Carollia colombiana",15.47
"Carollia perspicillata",17.028
"Carollia sowelli",16.5
"Carollia subrufa",15.59
"Carpitalpa arendsi",52.34
"Carpomys melanurus",219.06
"Carpomys phaeurus",215.15
"Carterodon sulcidens",113.8
"Caryomys eva",47.71
"Caryomys inez",47.71
"Casinycteris argynnis",30.285
"Castor canadensis",13000
"Castor fiber",17971.689
"Catagonus wagneri",35566.41
"Catopuma badia",2500
"Catopuma temminckii",7860
"Cavia aperea",600
"Cavia fulgida",282.5
"Cavia intermedia",578.88
"Cavia magna",502
"Cavia porcellus",618.607
"Cavia tschudii",1000
"Cebus albifrons",3040
"Cebus apella group",2633.642
"Cebus capucinus",2708.615
"Cebus capucinus group",2845.415
"Cebus kaapori",3000
"Cebus libidinosus",2455.981
"Cebus nigritus",2603.141
"Cebus olivaceus",2673.446
"Cebus xanthosternos",2433.588
"Centronycteris centralis",5
"Centronycteris maximiliani",5
"Centurio senex",21.22
"Cephalophus adersi",9249.96
"Cephalophus brookei",20863.36
"Cephalophus callipygus",18249.88
"Cephalophus dorsalis",19999.309
"Cephalophus jentinki",70000.32
"Cephalophus leucogaster",12849.945
"Cephalophus natalensis",12408.16
"Cephalophus niger",20399.99
"Cephalophus nigrifrons",13774.925
"Cephalophus ogilbyi",20000
"Cephalophus rufilatus",11999.97
"Cephalophus silvicultor",59168.977
"Cephalophus spadix",56000.25
"Cephalophus weynsi",17000
"Cephalophus zebra",13750.04
"Cephalorhynchus commersonii",60200
"Cephalorhynchus eutropia",45000
"Cephalorhynchus heavisidii",55500
"Cephalorhynchus hectori",50000
"Ceratotherium simum",2211975.247
"Cercartetus caudatus",27.5
"Cercartetus concinnus",17
"Cercartetus lepidus",8.867
"Cercartetus nanus",70
"Cercocebus agilis",6485
"Cercocebus atys",6200
"Cercocebus chrysogaster",12000
"Cercocebus galeritus",6601.255
"Cercocebus sanjei",8000
"Cercocebus torquatus",6343.328
"Cercopithecus aethiops",4173.5
"Cercopithecus albogularis",5305.778
"Cercopithecus ascanius",3425
"Cercopithecus campbelli",3273.085
"Cercopithecus campbelli lowei",2848.5
"Cercopithecus cephus",3364.577
"Cercopithecus cephus group",3802.912
"Cercopithecus denti",4500
"Cercopithecus diana",3900
"Cercopithecus doggetti",5663.944
"Cercopithecus dryas",3075
"Cercopithecus erythrogaster",2700
"Cercopithecus erythrotis",3472.777
"Cercopithecus hamlyni",2097
"Cercopithecus lhoesti",3450
"Cercopithecus lowei",3228
"Cercopithecus mitis",6860
"Cercopithecus mitis group",5839.647
"Cercopithecus mona",3532.082
"Cercopithecus mona group",3288.545
"Cercopithecus neglectus",5740
"Cercopithecus neglectus group",6252.75
"Cercopithecus nictitans",5256.168
"Cercopithecus petaurista",3298.184
"Cercopithecus pogonias",3466.24
"Cercopithecus pogonias wolfi",2870
"Cercopithecus preussi",5250
"Cercopithecus pygerythrus",4000
"Cercopithecus roloway",5500
"Cercopithecus sclateri",3375
"Cercopithecus solatus",6500
"Cercopithecus wolfi",3593.333
"Cerdocyon thous",5427.993
"Cervus canadensis",2e+05
"Cervus elaphus",165970.745
"Cervus nippon",49500
"Chaerephon aloysiisabaudiae",14.53
"Chaerephon ansorgei",16.14
"Chaerephon bemmeleni",19
"Chaerephon bivittatus",15.42
"Chaerephon bregullae",14.53
"Chaerephon chapini",10
"Chaerephon gallagheri",18.65
"Chaerephon jobensis",16.695
"Chaerephon johorensis",18.65
"Chaerephon leucogaster",12.5
"Chaerephon major",14.75
"Chaerephon nigeriae",19.8
"Chaerephon plicatus",21.165
"Chaerephon russatus",16.98
"Chaerephon shortridgei",14.53
"Chaerephon solomonis",14.53
"Chaerephon tomensis",7.48
"Chaeropus ecaudatus",200
"Chaetocauda sichuanensis",31.51
"Chaetodipus arenarius",23
"Chaetodipus artus",21.74
"Chaetodipus baileyi",28.4
"Chaetodipus californicus",23.333
"Chaetodipus dalquesti",20.31
"Chaetodipus eremicus",20.31
"Chaetodipus fallax",19.508
"Chaetodipus formosus",17.55
"Chaetodipus goldmani",23
"Chaetodipus hispidus",34.95
"Chaetodipus intermedius",16.475
"Chaetodipus lineatus",23
"Chaetodipus nelsoni",15.75
"Chaetodipus penicillatus",16.38
"Chaetodipus pernix",17
"Chaetodipus rudinoris",20.31
"Chaetodipus spinatus",17.725
"Chaetomys subspinosus",1299.99
"Chaetophractus nationi",2150.005
"Chaetophractus vellerosus",1070.005
"Chaetophractus villosus",4009.347
"Chalinolobus dwyeri",9.03
"Chalinolobus gouldii",14.557
"Chalinolobus morio",8.56
"Chalinolobus neocaledonicus",8.71
"Chalinolobus nigrogriseus",8.8
"Chalinolobus picatus",5.1
"Chalinolobus tuberculatus",8.5
"Cheirogaleus adipicaudatus",312.695
"Cheirogaleus crossleyi",285.39
"Cheirogaleus major",450
"Cheirogaleus medius",177
"Cheirogaleus minusculus",285.39
"Cheirogaleus ravus",285.39
"Cheirogaleus sibreei",352.75
"Cheiromeles parvidens",163.5
"Cheiromeles torquatus",166
"Chelemys delfini",61.02
"Chelemys macronyx",67.65
"Chelemys megalonyx",50.8
"Chibchanomys orcesi",50
"Chibchanomys trichotis",50
"Chilomys instans",19
"Chilonatalus micropus",2.5
"Chilonatalus tumidifrons",3.62
"Chimarrogale hantu",55
"Chimarrogale himalayica",34.75
"Chimarrogale phaeura",31
"Chimarrogale platycephalus",36.32
"Chimarrogale styani",25.8
"Chimarrogale sumatrana",27.89
"Chimp I",54200
"Chinchilla chinchilla",477.195
"Chinchilla lanigera",403.108
"Chinchillula sahamae",169.75
"Chionomys gud",93.5
"Chionomys nivalis",45.75
"Chionomys roberti",93.5
"Chiroderma doriae",19.9
"Chiroderma improvisum",35
"Chiroderma salvini",24.91
"Chiroderma trinitatum",13.69
"Chiroderma villosum",23.96
"Chiromyscus chiropus",77.8
"Chironax melanocephalus",17.15
"Chironectes minimus",881.483
"Chiropodomys calamianensis",40.5
"Chiropodomys gliroides",23.4
"Chiropodomys karlkoopmani",29.1
"Chiropodomys major",42
"Chiropodomys muroides",16.4
"Chiropodomys pusillus",28.9
"Chiropotes albinasus",2873.255
"Chiropotes chiropotes",2748.238
"Chiropotes israelita",2499.104
"Chiropotes satanas",3011.452
"Chiropotes utahickae",2949.58
"Chiruromys forbesi",105.15
"Chiruromys lamia",47.2
"Chiruromys vates",45.55
"Chlamyphorus truncatus",44.3
"Chlorocebus aethiops",3620
"Chlorocebus cynosuros",3956.5
"Chlorocebus djamdjamensis",6000
"Chlorocebus pygerythrus",4267.931
"Chlorocebus sabaeus",4329.2
"Chlorocebus tantalus",4993
"Chlorotalpa duthieae",49.7
"Chlorotalpa sclateri",41
"Chodsigoa caovansunga",5.49
"Chodsigoa hypsibia",5.49
"Chodsigoa lamula",5.49
"Chodsigoa parca",5.49
"Chodsigoa parva",5.49
"Chodsigoa salenskii",5.49
"Chodsigoa smithii",5.49
"Chodsigoa sodalis",5.49
"Choeroniscus godmani",8.033
"Choeroniscus minor",9.165
"Choeroniscus periosus",11.57
"Choeronycteris mexicana",16.6
"Choloepus didactylus",5781.625
"Choloepus hoffmanni",4602.67
"Chrotogale owstoni",3250
"Chrotomys gonzalesi",140.2
"Chrotomys mindorensis",151.98
"Chrotomys silaceus",85.13
"Chrotomys whiteheadi",140.67
"Chrotopterus auritus",86.987
"Chrysochloris asiatica",49
"Chrysochloris stuhlmanni",39.8
"Chrysochloris visagiei",30
"Chrysocyon brachyurus",22833.28
"Chrysospalax trevelyani",426.5
"Chrysospalax villosus",119.88
"Cistugo lesueuri",7.26
"Cistugo seabrae",8.35
"Civettictis civetta",11624.985
"Cloeotis percivali",4.05
"Clyomys bishopi",30
"Clyomys laticeps",201
"Coccymys albidens",40.4
"Coccymys ruemmleri",29.7
"Coelops frithii",7.52
"Coelops robinsoni",6.5
"Coendou bicolor",4050.05
"Coendou nycthemera",2999.98
"Coendou prehensilis",4026.657
"Coendou rothschildi",2000
"Coleura afra",11.085
"Coleura seychellensis",10.57
"Colobus angolensis",9079
"Colobus angolensis palliatus",8959.5
"Colobus guereza",7503
"Colobus polykomos",8617.561
"Colobus polykomos group",7848.1
"Colobus satanas",8910
"Colobus vellerosus",7648.036
"Colomys goslingi",62.5
"Columba domestica",330.5
"Condylura cristata",56.15
"Conepatus chinga",1752.26
"Conepatus humboldtii",811
"Conepatus leuconotus",2755.01
"Conepatus semistriatus",1200
"Congosorex polli",10.3
"Congosorex verheyeni",9.05
"Conilurus albipes",200
"Conilurus penicillatus",182.9
"Connochaetes gnou",179998.96
"Connochaetes taurinus",189774.66
"Cormura brevirostris",8.69
"Corynorhinus mexicanus",9.71
"Corynorhinus rafinesquii",9.15
"Corynorhinus townsendii",10.3
"Coryphomys buehleri",71.33
"Craseonycteris thonglongyai",2.355
"Crateromys australis",445
"Crateromys heaneyi",572.22
"Crateromys paulus",401
"Crateromys schadenbergi",1050
"Cratogeomys castanops",266.83
"Cratogeomys fumosus",393.5
"Cratogeomys goldmani",71.51
"Cratogeomys gymnurus",599.99
"Cratogeomys merriami",419.99
"Cratogeomys neglectus",302.48
"Cratogeomys tylorhinus",403.42
"Cratogeomys zinseri",150
"Cremnomys cutchicus",54.9
"Cremnomys elvira",77.1
"Cricetomys ansorgei",1285.41
"Cricetomys emini",1299.99
"Cricetomys gambianus",1430.633
"Cricetomys kivuensis",1285.41
"Cricetulus alticola",37.67
"Cricetulus barabensis",27.921
"Cricetulus kamensis",37.65
"Cricetulus longicaudatus",22.1
