"Species Name","Order","Brain Mass (g)","Body Mass (g)","EQ","Independent contrast derived EQ","PGLS-ML dervived EQ","Reference","Notes","source"
"Macaca maura","Primates",94.48,6846,2.32228723016773,0.359789647328368,3.68865279616163,"Sherwood/this study; Warncke 1908; Silva & Downing 1995",NA,"Boddy_etal_2012_TableS1"
"Macaca arctoides","Primates",100.7,7630,2.28285400616091,0.358117831300476,3.68387408976191,"Bronson 1981",NA,"Boddy_etal_2012_TableS1"
"Arctocephalus galapagoensis","Carnivora",291.25,45950,1.72986779030462,0.333605523266277,3.62814516288184,"Bininda-Emonds 2000",NA,"Boddy_etal_2012_TableS1"
"Saimiri boliviensis","Primates",24.06,750,3.07830674200073,0.369829392844565,3.54037198343251,"Sherwood/this study; Silva & Downing 1995",NA,"Boddy_etal_2012_TableS1"
"Pithecia monachus","Primates",35,1500,2.67002875219633,0.347395284105232,3.3978430875442,"Stephan 1981; Silva & Downing 1995",NA,"Boddy_etal_2012_TableS1"
"Zalophus californianus","Carnivora",405,91000,1.44484785501124,0.301418124606149,3.34826804572517,"Bininda-Emonds 2000",NA,"Boddy_etal_2012_TableS1"
"Gorilla gorilla","Primates",454.55,120975,1.31130191224412,0.28266379002743,3.16777490474755,"Hrdlicka 1925; Stephan 1981; Sherwood/this study; Silva & Downing 1995",NA,"Boddy_etal_2012_TableS1"
"Trachypithecus francoisi","Primates",94.4,9100,1.8764590386979,0.300390597309836,3.10697092576244,"Sherwood/this study; Silva & Downing 1995",NA,"Boddy_etal_2012_TableS1"
"Cercopithecus mitis","Primates",75,6300,1.96139555384863,0.300986374257755,3.07784655245698,"Stephan 1981; Silva & Downing 1995",NA,"Boddy_etal_2012_TableS1"
"Eulemur rubriventer","Primates",24.9,1015,2.54207086154929,0.316219562263341,3.05569323071954,"Warncke 1908",NA,"Boddy_etal_2012_TableS1"
"Alouatta seniculus","Primates",45.5,2827.5,2.16310210481809,0.302723270151776,3.01967260395988,"Hrdlicka 1925",NA,"Boddy_etal_2012_TableS1"
"Daubentonia madagascariensis","Primates",45.15,2800,2.16216999513312,0.302252913323768,3.01406744510263,"Stephan 1981; Silva & Downing 1995",NA,"Boddy_etal_2012_TableS1"
"Procolobus badius","Primates",78,7000,1.8856602137901,0.29289178995733,3.00487083868802,"Stephan 1981; Silva & Downing 1995",NA,"Boddy_etal_2012_TableS1"
"Phoca vitulina","Carnivora",315,73635,1.3160659276451,0.267947571218816,2.95699104598589,"Bininda-Emonds 2000; Count 1947; Crile & Quiring 1940; Silva & Downing 1995",NA,"Boddy_etal_2012_TableS1"
"Pygathrix nemaeus","Primates",77,7500,1.76810069831753,0.276819402356795,2.8460596457665,"Stephan 1981; Silva & Downing 1995",NA,"Boddy_etal_2012_TableS1"
"Bassariscus sumichrasti","Carnivora",41.9,2722,2.04927129990938,0.285541395327007,2.84492735238872,"Count 1947",NA,"Boddy_etal_2012_TableS1"
"Lobodon carcinophagus","Carnivora",586.25,222250,1.07436256787059,0.248367724149951,2.83640227011256,"Bininda-Emonds 2000",NA,"Boddy_etal_2012_TableS1"
"Vulpes vulpes","Carnivora",49.64,3722.70588235294,1.9221316795465,0.277644692428564,2.7932291641273,"Crile & Quiring 1940; Warncke 1908; Silva & Downing 1995",NA,"Boddy_etal_2012_TableS1"
"Equus burchellii","Perissodactyla",612,250000,1.02730676651179,0.240724745031433,2.75916357004755,"Warncke 1908",NA,"Boddy_etal_2012_TableS1"
"Odobenus rosmarus","Carnivora",1410.25,1022225,0.827916225243624,0.228108635595152,2.73122978494219,"Bininda-Emonds 2000",NA,"Boddy_etal_2012_TableS1"
"Ommatophoca rossii","Carnivora",495,179400,1.06430384873939,0.240056073820413,2.72333937985713,"Bininda-Emonds 2000",NA,"Boddy_etal_2012_TableS1"
"Arctocephalus gazella","Carnivora",340,96600,1.16010675004793,0.243684445584851,2.71195620283972,"Bininda-Emonds 2000",NA,"Boddy_etal_2012_TableS1"
"Lynx rufus","Carnivora",65,6350,1.68988102930341,0.259556909649005,2.65484488650731,"Count 1947",NA,"Boddy_etal_2012_TableS1"
"Rangifer tarandus","Cetartiodactyla",278,71700,1.18478481348702,0.240481497368276,2.6516935538515,"Crile & Quiring 1940; Silva & Downing 1995",NA,"Boddy_etal_2012_TableS1"
"Arctocephalus philippii","Carnivora",415,140000,1.07361496163838,0.235348137054947,2.64948402723979,"Bininda-Emonds 2000",NA,"Boddy_etal_2012_TableS1"
"Hydrurga leptonyx","Carnivora",712.5,345500,0.939538530215672,0.22850389471505,2.64548965751564,"Bininda-Emonds 2000",NA,"Boddy_etal_2012_TableS1"
"Damaliscus pygargus","Cetartiodactyla",254.6,62500,1.20210908501537,0.240174871539592,2.63706247754613,"Sherwood/this study; Myers 2006",NA,"Boddy_etal_2012_TableS1"
"Colobus guereza","Primates",83.9,10281.25,1.52260649409641,0.247189742015611,2.56640054838059,"Sherwood/this study; Silva & Downing 1995",NA,"Boddy_etal_2012_TableS1"
"Macaca sylvanus","Primates",87.7,11200,1.49312071741596,0.244800601045225,2.54834844335834,"Warncke 1908; Silva & Downing 1995",NA,"Boddy_etal_2012_TableS1"
"Arctocephalus tropicalis","Carnivora",326.25,101250,1.07482509938592,0.226994698316425,2.52990102828207,"Bininda-Emonds 2000",NA,"Boddy_etal_2012_TableS1"
"Potos flavus","Carnivora",33.075,2241.5,1.86986358275253,0.254788231652714,2.52328692492884,"Count 1947; Crile & Quiring 1940; Silva & Downing 1995",NA,"Boddy_etal_2012_TableS1"
"Callicebus moloch","Primates",19,900,2.12178151693315,0.260313107257825,2.50609843701308,"Stephan 1981; Silva & Downing 1995",NA,"Boddy_etal_2012_TableS1"
"Aotus trivirgatus","Primates",16.04,701.68,2.15673392540754,0.257134323285805,2.45646700718733,"Warncke 1908; Bronson 1981; Stephan 1981; Sherwood/this study; Silva & Downing 1995",NA,"Boddy_etal_2012_TableS1"
"Otaria byronia","Carnivora",506.25,222000,0.928533742172838,0.214627698251723,2.45099983437281,"Bininda-Emonds 2000",NA,"Boddy_etal_2012_TableS1"
"Leontopithecus rosalia","Primates",13.05,512.375,2.21855340698331,0.255111470277199,2.41350266792809,"Sherwood/this study; Warncke 1908; Silva & Downing 1995",NA,"Boddy_etal_2012_TableS1"
"Alouatta caraya","Primates",50.7,5012.5,1.57245910896964,0.2350407156122,2.38652153880131,"Sherwood/this study; Warncke 1908; Silva & Downing 1995",NA,"Boddy_etal_2012_TableS1"
"Arctocephalus forsteri","Carnivora",320,109690,0.993109970522966,0.211677177989987,2.36504705987479,"Bininda-Emonds 2000",NA,"Boddy_etal_2012_TableS1"
"Colobus angolensis","Primates",74.4,9670,1.41337289666077,0.227844363396046,2.36106031423841,"Sherwood/this study; Silva & Downing 1995",NA,"Boddy_etal_2012_TableS1"
"Arctocephalus australis","Carnivora",307.5,103750,0.994786691385143,0.210681346006701,2.34986161562324,"Bininda-Emonds 2000",NA,"Boddy_etal_2012_TableS1"
"Saguinus oedipus","Primates",9.64285714285714,327.142857142857,2.29099200618582,0.250193409462294,2.33428187442007,"Bronson 1981; Rowe 1996; Sherwood/this study, Stephan 1981; Silva & Downing 1995; Warncke 1908",NA,"Boddy_etal_2012_TableS1"
"Saguinus geoffroyi","Primates",14.2733333333333,634.666666666667,2.06841794529869,0.243774647425536,2.321603367247,"Crile & Quiring 1940; Hrdlicka 1925; Rowe 1996; Sherwood/this study",NA,"Boddy_etal_2012_TableS1"
"Nasua nasua","Carnivora",37.5,3187.5,1.63030701180127,0.231325577142856,2.31606733786397,"Count 1947; Spitzka 1903; Silva & Downing 1995",NA,"Boddy_etal_2012_TableS1"
"Eulemur mongoz","Primates",24.0333333333333,1559.33333333333,1.78112137989002,0.232776419234117,2.27950559601603,"Warncke 1908",NA,"Boddy_etal_2012_TableS1"
"Panthera leo","Carnivora",259.5,84000,0.982736276459186,0.203135857334998,2.2509187607344,"Warncke 1908",NA,"Boddy_etal_2012_TableS1"
"Alces alces","Cetartiodactyla",436,2e+05,0.864430507271535,0.197426761095843,2.24728691053509,"Warncke 1908",NA,"Boddy_etal_2012_TableS1"
"Tayassu pecari","Cetartiodactyla",145.8,32233.3333333333,1.12816806843072,0.208874964589816,2.24680003886284,"Warncke 1908; Silva & Downing 1995",NA,"Boddy_etal_2012_TableS1"
"Ursus arctos","Carnivora",335.966666666667,131022.666666667,0.913203828437304,0.198664399645322,2.23191864533464,"Count 1947; Crile & Quiring 1940; Sherwood/this study; Silva & Downing 1995",NA,"Boddy_etal_2012_TableS1"
"Connochaetes taurinus","Cetartiodactyla",443,212230,0.840268040975986,0.193222684011123,2.20348293851966,"Quiring 1938; Silva & Downing 1995",NA,"Boddy_etal_2012_TableS1"
"Tapirus bairdii","Perissodactyla",85,14260,1.20853082666078,0.203722484427961,2.13666895911336,"Crile & Quiring 1940",NA,"Boddy_etal_2012_TableS1"
"Varecia variegata","Primates",31.2,2705.5,1.53288616123861,0.213440021549277,2.12616077357908,"Hrdlicka 1925; Stephan 1981; Silva & Downing 1995",NA,"Boddy_etal_2012_TableS1"
"Alouatta palliata","Primates",50.035,5952,1.36517188899253,0.208128262526651,2.12454620651738,"Crile & Quiring 1940",NA,"Boddy_etal_2012_TableS1"
"Odocoileus virginianus","Cetartiodactyla",210,65090,0.961943625741262,0.193090651597287,2.12275934849015,"Crile & Quiring 1940; Silva & Downing 1995",NA,"Boddy_etal_2012_TableS1"
"Cervus elaphus","Cetartiodactyla",409.3,2e+05,0.811494051895045,0.185336636047084,2.10966635890369,"Warncke 1908",NA,"Boddy_etal_2012_TableS1"
"Phoca fasciata","Carnivora",248.75,87580,0.913147588487864,0.18965968741624,2.10431211370201,"Bininda-Emonds 2000",NA,"Boddy_etal_2012_TableS1"
"Tragelaphus scriptus","Cetartiodactyla",165,44225,1.00838808947582,0.193614105862201,2.10316463102019,"Crile & Quiring 1940; Silva & Downing 1995",NA,"Boddy_etal_2012_TableS1"
"Phoca largha","Carnivora",253.75,91500,0.901566752685704,0.188199644737113,2.09094892630493,"Bininda-Emonds 2000",NA,"Boddy_etal_2012_TableS1"
"Urocyon cinereoargenteus","Carnivora",37.28,3749,1.43597526159971,0.207589182913903,2.08889528578392,"Crile & Quiring 1940; Silva & Downing 1995",NA,"Boddy_etal_2012_TableS1"
"Monachus schauinslandi","Carnivora",370,173000,0.817393733934688,0.183596370619848,2.08048262201389,"Bininda-Emonds 2000",NA,"Boddy_etal_2012_TableS1"
"Neophoca cinerea","Carnivora",388.75,189275,0.803102183914085,0.182261112544545,2.07111626580621,"Bininda-Emonds 2000",NA,"Boddy_etal_2012_TableS1"
"Ailurus fulgens","Carnivora",46.8,5590,1.33810014383843,0.202534242969851,2.06342552567971,"Warncke 1908",NA,"Boddy_etal_2012_TableS1"
"Callorhinus ursinus","Carnivora",334.833333333333,150916.666666667,0.819035460194161,0.181098548381452,2.04350824427354,"Bininda-Emonds 2000; Scheffer 1960",NA,"Boddy_etal_2012_TableS1"
"Arctocephalus pusillus","Carnivora",369.375,178750,0.796349877455069,0.179543504991404,2.03661950284728,"Bininda-Emonds 2000",NA,"Boddy_etal_2012_TableS1"
"Equus asinus","Perissodactyla",434,234000,0.765361607090913,0.177985237404828,2.03587094993087,"Crile & Quiring 1940; Warncke 1908",NA,"Boddy_etal_2012_TableS1"
"Nycticebus coucang","Primates",12.7425,655.5,1.80261667439548,0.213239045456464,2.03282997049978,"Sherwood/this study; Silva & Downing 1995; Stephan 1981; Warncke 1908",NA,"Boddy_etal_2012_TableS1"
"Leopardus pardalis","Carnivora",63.1,9525.5,1.21224680271598,0.195083540084721,2.02062964719801,"Count 1947",NA,"Boddy_etal_2012_TableS1"
"Monachus monachus","Carnivora",480,280500,0.739426979486972,0.175575962508377,2.01962876858876,"Bininda-Emonds 2000",NA,"Boddy_etal_2012_TableS1"
"Leptonychotes weddellii","Carnivora",564.166666666667,378666.666666667,0.694767694734485,0.170764136343424,1.98263700122664,"Bininda-Emonds 2000; Robin 1973; Silva & Downing 1995",NA,"Boddy_etal_2012_TableS1"
"Ursus maritimus","Carnivora",507,317000,0.71290181879814,0.171675777755257,1.98226828389781,"Count 1947; Crile & Quiring 1940",NA,"Boddy_etal_2012_TableS1"
"Canis mesomelas","Carnivora",54.8,8000,1.19918835124468,0.189147338808741,1.94857262355135,"Warncke 1908; Silva & Downing 1995",NA,"Boddy_etal_2012_TableS1"
"Procyon lotor","Carnivora",41.0666666666667,4975.66666666667,1.28070873802873,0.191269514431057,1.94164002782562,"Crile & Quiring 1940; Silva & Downing 1995",NA,"Boddy_etal_2012_TableS1"
"Erignathus barbatus","Carnivora",460,281000,0.707676688878188,0.168071316742876,1.93341048777175,"Crile & Quiring 1940; Silva & Downing 1995",NA,"Boddy_etal_2012_TableS1"
"Phoca hispida","Carnivora",196.25,69085,0.859886938213628,0.173791275388665,1.91412122320032,"Bininda-Emonds 2000",NA,"Boddy_etal_2012_TableS1"
"Callithrix pygmaea","Primates",4.64,134.75,2.13649306895001,0.210695268511539,1.91245289323548,"Stephan 1981; Sherwood/this study; Silva & Downing 1995",NA,"Boddy_etal_2012_TableS1"
"Cystophora cristata","Carnivora",455,282840,0.696584668380566,0.165561210293563,1.90492082604275,"Bininda-Emonds 2000",NA,"Boddy_etal_2012_TableS1"
"Aepyceros melampus","Cetartiodactyla",175,57610,0.87804870510274,0.173793427422734,1.90339688355445,"Crile & Quiring 1940, Silva & Downing 1995",NA,"Boddy_etal_2012_TableS1"
"Galagoides demidoff","Primates",3.38,81,2.27509140212997,0.211608014409784,1.89066993977701,"Stephan 1981; Silva & Downing 1995",NA,"Boddy_etal_2012_TableS1"
"Boselaphus tragocamelus","Cetartiodactyla",271.75,125000,0.765044427330631,0.165534603636487,1.85700714746304,"Warncke 1908",NA,"Boddy_etal_2012_TableS1"
"Axis axis","Cetartiodactyla",219,88450,0.798030520654808,0.165938529909733,1.84168538986445,"Crile & Quiring 1940; Silva & Downing 1995",NA,"Boddy_etal_2012_TableS1"
"Madoqua kirkii","Cetartiodactyla",37,4570,1.22946511864104,0.181829381112145,1.84095017423544,"Crile & Quiring 1940; Silva & Downing 1995",NA,"Boddy_etal_2012_TableS1"
"Rattus norvegicus","Rodentia",8.025,359.5,1.77707451459898,0.19618621895436,1.8357592897122,"Warncke 1908",NA,"Boddy_etal_2012_TableS1"
"Nasua narica","Carnivora",44.17,6250,1.1620180638357,0.178154405801336,1.82133326308871,"Crile & Quiring 1940; Silva & Downing 1995",NA,"Boddy_etal_2012_TableS1"
"Crocuta crocuta","Carnivora",175,62370,0.827557381202978,0.165301887618112,1.81485792655703,"Crile & Quiring 1940; Silva & Downing 1995",NA,"Boddy_etal_2012_TableS1"
"Callithrix jacchus","Primates",7.73181818181818,347.454545454545,1.75623933361871,0.193127649583313,1.80523134023047,"Hrdlicka 1925; Spitzka 1903; Warncke 1908; Silva & Downing 1995",NA,"Boddy_etal_2012_TableS1"
"Eulemur macaco","Primates",22.6,2086.16666666667,1.34798809529913,0.182166568568028,1.80006865039069,"Hrdlicka 1925; Warncke 1908",NA,"Boddy_etal_2012_TableS1"
"Neurotrichus gibbsii","Eulipotyphla",0.91,10,2.91644214360285,0.213260710138278,1.78579425990134,"Mace 1981",NA,"Boddy_etal_2012_TableS1"
"Myrmecophaga tridactyla","Xenarthra",84,18940,0.966419752745054,0.168314674192667,1.78090737180499,"Spitzka 1903; Silva & Downing 1995",NA,"Boddy_etal_2012_TableS1"
