"Species","order","family","visual_acuity_cpd","acuity_method","note","source"
"Eptesicus fuscus","Chiroptera","Vespertilionidae",0.5,"behavioral","SECONDARY compilation - analysis dataset of a review; VA compiled from primaries incl. Veilleux & Kirk 2014, Kirk & Kay 2004, Heffner & Heffner; prefer primaries in merges","deSousa_etal_2022_acuityblind.csv"
"Equus caballus","Perissodactyla","Equidae",23.3,"behavioral","SECONDARY compilation - analysis dataset of a review; VA compiled from primaries incl. Veilleux & Kirk 2014, Kirk & Kay 2004, Heffner & Heffner; prefer primaries in merges","deSousa_etal_2022_acuityblind.csv"
"Eremitalpa granti","Afrosoricida","Chrysochloridae",0,"blind (subcutaneous eyes; VA coded 0 cpd)","SECONDARY compilation - analysis dataset of a review; VA compiled from primaries incl. Veilleux & Kirk 2014, Kirk & Kay 2004, Heffner & Heffner; prefer primaries in merges","deSousa_etal_2022_acuityblind.csv"
"Eschrichtius robustus","Cetacea","Eschrichtiidae",2.7,"anatomical (peak ganglion-cell density)","SECONDARY compilation - analysis dataset of a review; VA compiled from primaries incl. Veilleux & Kirk 2014, Kirk & Kay 2004, Heffner & Heffner; prefer primaries in merges","deSousa_etal_2022_acuityblind.csv"
"Eulemur macaco","Primates","Lemuridae",5.14,"behavioral","SECONDARY compilation - analysis dataset of a review; VA compiled from primaries incl. Veilleux & Kirk 2014, Kirk & Kay 2004, Heffner & Heffner; prefer primaries in merges","deSousa_etal_2022_acuityblind.csv"
"Eumetopias jubatus","Carnivora","Otariidae",4.2,"behavioral","SECONDARY compilation - analysis dataset of a review; VA compiled from primaries incl. Veilleux & Kirk 2014, Kirk & Kay 2004, Heffner & Heffner; prefer primaries in merges","deSousa_etal_2022_acuityblind.csv"
"Felis catus","Carnivora","Felidae",8.85,"behavioral","SECONDARY compilation - analysis dataset of a review; VA compiled from primaries incl. Veilleux & Kirk 2014, Kirk & Kay 2004, Heffner & Heffner; prefer primaries in merges","deSousa_etal_2022_acuityblind.csv"
"Galago senegalensis","Primates","Galagidae",6.7,"behavioral","SECONDARY compilation - analysis dataset of a review; VA compiled from primaries incl. Veilleux & Kirk 2014, Kirk & Kay 2004, Heffner & Heffner; prefer primaries in merges","deSousa_etal_2022_acuityblind.csv"
"Geomys bursarius","Rodentia","Geomyidae",1.7,"anatomical (peak ganglion-cell density)","SECONDARY compilation - analysis dataset of a review; VA compiled from primaries incl. Veilleux & Kirk 2014, Kirk & Kay 2004, Heffner & Heffner; prefer primaries in merges","deSousa_etal_2022_acuityblind.csv"
"Giraffa camelopardalis","Artiodactyla","Giraffidae",25.46,"anatomical (peak ganglion-cell density)","SECONDARY compilation - analysis dataset of a review; VA compiled from primaries incl. Veilleux & Kirk 2014, Kirk & Kay 2004, Heffner & Heffner; prefer primaries in merges","deSousa_etal_2022_acuityblind.csv"
"Heterocephalus glaber","Rodentia","Bathyergidae",0.44,"anatomical (peak ganglion-cell density)","SECONDARY compilation - analysis dataset of a review; VA compiled from primaries incl. Veilleux & Kirk 2014, Kirk & Kay 2004, Heffner & Heffner; prefer primaries in merges","deSousa_etal_2022_acuityblind.csv"
"Homo sapiens","Primates","Hominidae",64,"behavioral","SECONDARY compilation - analysis dataset of a review; VA compiled from primaries incl. Veilleux & Kirk 2014, Kirk & Kay 2004, Heffner & Heffner; prefer primaries in merges","deSousa_etal_2022_acuityblind.csv"
"Hydrochoerus hydrochaeris","Rodentia","Caviidae",5.8,"anatomical (peak ganglion-cell density)","SECONDARY compilation - analysis dataset of a review; VA compiled from primaries incl. Veilleux & Kirk 2014, Kirk & Kay 2004, Heffner & Heffner; prefer primaries in merges","deSousa_etal_2022_acuityblind.csv"
"Inia geoffrensis","Cetacea","Iniidae",0.8,"anatomical (peak ganglion-cell density)","SECONDARY compilation - analysis dataset of a review; VA compiled from primaries incl. Veilleux & Kirk 2014, Kirk & Kay 2004, Heffner & Heffner; prefer primaries in merges","deSousa_etal_2022_acuityblind.csv"
"Lagenorhynchus obliquidens","Cetacea","Delphinidae",5,"behavioral","SECONDARY compilation - analysis dataset of a review; VA compiled from primaries incl. Veilleux & Kirk 2014, Kirk & Kay 2004, Heffner & Heffner; prefer primaries in merges","deSousa_etal_2022_acuityblind.csv"
"Lemmus lemmus","Rodentia","Cricetidae",0.83,"behavioral","SECONDARY compilation - analysis dataset of a review; VA compiled from primaries incl. Veilleux & Kirk 2014, Kirk & Kay 2004, Heffner & Heffner; prefer primaries in merges","deSousa_etal_2022_acuityblind.csv"
"Lemur catta","Primates","Lemuridae",6.7,"behavioral","SECONDARY compilation - analysis dataset of a review; VA compiled from primaries incl. Veilleux & Kirk 2014, Kirk & Kay 2004, Heffner & Heffner; prefer primaries in merges","deSousa_etal_2022_acuityblind.csv"
"Loxodonta africana","Proboscidea","Elephantidae",13.16,"anatomical (peak ganglion-cell density)","SECONDARY compilation - analysis dataset of a review; VA compiled from primaries incl. Veilleux & Kirk 2014, Kirk & Kay 2004, Heffner & Heffner; prefer primaries in merges","deSousa_etal_2022_acuityblind.csv"
"Lynx lynx","Carnivora","Felidae",8,"behavioral","SECONDARY compilation - analysis dataset of a review; VA compiled from primaries incl. Veilleux & Kirk 2014, Kirk & Kay 2004, Heffner & Heffner; prefer primaries in merges","deSousa_etal_2022_acuityblind.csv"
"Macaca fascicularis","Primates","Cercopithecidae",46,"behavioral","SECONDARY compilation - analysis dataset of a review; VA compiled from primaries incl. Veilleux & Kirk 2014, Kirk & Kay 2004, Heffner & Heffner; prefer primaries in merges","deSousa_etal_2022_acuityblind.csv"
"Macaca mulatta","Primates","Cercopithecidae",53.6,"behavioral","SECONDARY compilation - analysis dataset of a review; VA compiled from primaries incl. Veilleux & Kirk 2014, Kirk & Kay 2004, Heffner & Heffner; prefer primaries in merges","deSousa_etal_2022_acuityblind.csv"
"Macaca nemestrina","Primates","Cercopithecidae",46,"behavioral","SECONDARY compilation - analysis dataset of a review; VA compiled from primaries incl. Veilleux & Kirk 2014, Kirk & Kay 2004, Heffner & Heffner; prefer primaries in merges","deSousa_etal_2022_acuityblind.csv"
"Macroderma gigas","Chiroptera","Megadermatidae",1.9,"anatomical (peak ganglion-cell density)","SECONDARY compilation - analysis dataset of a review; VA compiled from primaries incl. Veilleux & Kirk 2014, Kirk & Kay 2004, Heffner & Heffner; prefer primaries in merges","deSousa_etal_2022_acuityblind.csv"
"Macropus eugenii","Diprotodontia","Macropodidae",2.7,"behavioral","SECONDARY compilation - analysis dataset of a review; VA compiled from primaries incl. Veilleux & Kirk 2014, Kirk & Kay 2004, Heffner & Heffner; prefer primaries in merges","deSousa_etal_2022_acuityblind.csv"
"Macropus fuliginosus","Diprotodontia","Macropodidae",11.23,"anatomical (peak ganglion-cell density)","SECONDARY compilation - analysis dataset of a review; VA compiled from primaries incl. Veilleux & Kirk 2014, Kirk & Kay 2004, Heffner & Heffner; prefer primaries in merges","deSousa_etal_2022_acuityblind.csv"
"Megaderma lyra","Chiroptera","Megadermatidae",1.5,"anatomical (peak ganglion-cell density)","SECONDARY compilation - analysis dataset of a review; VA compiled from primaries incl. Veilleux & Kirk 2014, Kirk & Kay 2004, Heffner & Heffner; prefer primaries in merges","deSousa_etal_2022_acuityblind.csv"
"Meriones unguiculatus","Rodentia","Muridae",1.8,"behavioral","SECONDARY compilation - analysis dataset of a review; VA compiled from primaries incl. Veilleux & Kirk 2014, Kirk & Kay 2004, Heffner & Heffner; prefer primaries in merges","deSousa_etal_2022_acuityblind.csv"
"Mesocricetus auratus","Rodentia","Cricetidae",0.5,"behavioral","SECONDARY compilation - analysis dataset of a review; VA compiled from primaries incl. Veilleux & Kirk 2014, Kirk & Kay 2004, Heffner & Heffner; prefer primaries in merges","deSousa_etal_2022_acuityblind.csv"
"Microcebus murinus","Primates","Cheirogaleidae",4.2,"anatomical (peak ganglion-cell density)","SECONDARY compilation - analysis dataset of a review; VA compiled from primaries incl. Veilleux & Kirk 2014, Kirk & Kay 2004, Heffner & Heffner; prefer primaries in merges","deSousa_etal_2022_acuityblind.csv"
"Mus musculus","Rodentia","Muridae",0.5,"behavioral","SECONDARY compilation - analysis dataset of a review; VA compiled from primaries incl. Veilleux & Kirk 2014, Kirk & Kay 2004, Heffner & Heffner; prefer primaries in merges","deSousa_etal_2022_acuityblind.csv"
"Mustela nivalis","Carnivora","Mustelidae",2.2,"anatomical (peak ganglion-cell density)","SECONDARY compilation - analysis dataset of a review; VA compiled from primaries incl. Veilleux & Kirk 2014, Kirk & Kay 2004, Heffner & Heffner; prefer primaries in merges","deSousa_etal_2022_acuityblind.csv"
"Mustela putorius","Carnivora","Mustelidae",3.57,"behavioral","SECONDARY compilation - analysis dataset of a review; VA compiled from primaries incl. Veilleux & Kirk 2014, Kirk & Kay 2004, Heffner & Heffner; prefer primaries in merges","deSousa_etal_2022_acuityblind.csv"
"Myotis daubentonii","Chiroptera","Vespertilionidae",0.1,"behavioral","SECONDARY compilation - analysis dataset of a review; VA compiled from primaries incl. Veilleux & Kirk 2014, Kirk & Kay 2004, Heffner & Heffner; prefer primaries in merges","deSousa_etal_2022_acuityblind.csv"
"Myotis lucifugus","Chiroptera","Vespertilionidae",0.1,"behavioral","SECONDARY compilation - analysis dataset of a review; VA compiled from primaries incl. Veilleux & Kirk 2014, Kirk & Kay 2004, Heffner & Heffner; prefer primaries in merges","deSousa_etal_2022_acuityblind.csv"
"Myotis mystacinus","Chiroptera","Vespertilionidae",0.1,"behavioral","SECONDARY compilation - analysis dataset of a review; VA compiled from primaries incl. Veilleux & Kirk 2014, Kirk & Kay 2004, Heffner & Heffner; prefer primaries in merges","deSousa_etal_2022_acuityblind.csv"
"Myrmecobius fasciatus","Dasyuromorphia","Myrmecobiidae",5.2,"behavioral","SECONDARY compilation - analysis dataset of a review; VA compiled from primaries incl. Veilleux & Kirk 2014, Kirk & Kay 2004, Heffner & Heffner; prefer primaries in merges","deSousa_etal_2022_acuityblind.csv"
"Neotoma floridana","Rodentia","Cricetidae",2.3,"anatomical (peak ganglion-cell density)","SECONDARY compilation - analysis dataset of a review; VA compiled from primaries incl. Veilleux & Kirk 2014, Kirk & Kay 2004, Heffner & Heffner; prefer primaries in merges","deSousa_etal_2022_acuityblind.csv"
"Neurotrichus gibbsii","Soricomorpha","Talpidae",0,"blind (subcutaneous eyes; VA coded 0 cpd)","SECONDARY compilation - analysis dataset of a review; VA compiled from primaries incl. Veilleux & Kirk 2014, Kirk & Kay 2004, Heffner & Heffner; prefer primaries in merges","deSousa_etal_2022_acuityblind.csv"
"Notoryctes typhlops","Notoryctemorphia","Notoryctidae",0,"blind (subcutaneous eyes; VA coded 0 cpd)","SECONDARY compilation - analysis dataset of a review; VA compiled from primaries incl. Veilleux & Kirk 2014, Kirk & Kay 2004, Heffner & Heffner; prefer primaries in merges","deSousa_etal_2022_acuityblind.csv"
"Nyctophilus gouldi","Chiroptera","Vespertilionidae",0.6,"anatomical (peak ganglion-cell density)","SECONDARY compilation - analysis dataset of a review; VA compiled from primaries incl. Veilleux & Kirk 2014, Kirk & Kay 2004, Heffner & Heffner; prefer primaries in merges","deSousa_etal_2022_acuityblind.csv"
"Odobenus rosmarus","Carnivora","Odobenidae",3.8,"anatomical (peak ganglion-cell density)","SECONDARY compilation - analysis dataset of a review; VA compiled from primaries incl. Veilleux & Kirk 2014, Kirk & Kay 2004, Heffner & Heffner; prefer primaries in merges","deSousa_etal_2022_acuityblind.csv"
"Onychomys leucogaster","Rodentia","Cricetidae",2.3,"anatomical (peak ganglion-cell density)","SECONDARY compilation - analysis dataset of a review; VA compiled from primaries incl. Veilleux & Kirk 2014, Kirk & Kay 2004, Heffner & Heffner; prefer primaries in merges","deSousa_etal_2022_acuityblind.csv"
"Oryctolagus cuniculus","Lagomorpha","Leporidae",3,"behavioral","SECONDARY compilation - analysis dataset of a review; VA compiled from primaries incl. Veilleux & Kirk 2014, Kirk & Kay 2004, Heffner & Heffner; prefer primaries in merges","deSousa_etal_2022_acuityblind.csv"
"Otolemur crassicaudatus","Primates","Galagidae",4.8,"behavioral","SECONDARY compilation - analysis dataset of a review; VA compiled from primaries incl. Veilleux & Kirk 2014, Kirk & Kay 2004, Heffner & Heffner; prefer primaries in merges","deSousa_etal_2022_acuityblind.csv"
"Ovis aries","Artiodactyla","Bovidae",5.61,"behavioral","SECONDARY compilation - analysis dataset of a review; VA compiled from primaries incl. Veilleux & Kirk 2014, Kirk & Kay 2004, Heffner & Heffner; prefer primaries in merges","deSousa_etal_2022_acuityblind.csv"
"Pan troglodytes","Primates","Hominidae",64.28,"behavioral","SECONDARY compilation - analysis dataset of a review; VA compiled from primaries incl. Veilleux & Kirk 2014, Kirk & Kay 2004, Heffner & Heffner; prefer primaries in merges","deSousa_etal_2022_acuityblind.csv"
"Peromyscus maniculatus","Rodentia","Cricetidae",0.56,"behavioral","SECONDARY compilation - analysis dataset of a review; VA compiled from primaries incl. Veilleux & Kirk 2014, Kirk & Kay 2004, Heffner & Heffner; prefer primaries in merges","deSousa_etal_2022_acuityblind.csv"
"Phascolarctos cinereus","Diprotodontia","Phascolarctidae",2.4,"anatomical (peak ganglion-cell density)","SECONDARY compilation - analysis dataset of a review; VA compiled from primaries incl. Veilleux & Kirk 2014, Kirk & Kay 2004, Heffner & Heffner; prefer primaries in merges","deSousa_etal_2022_acuityblind.csv"
"Phoca vitulina","Carnivora","Phocidae",3.6,"behavioral","SECONDARY compilation - analysis dataset of a review; VA compiled from primaries incl. Veilleux & Kirk 2014, Kirk & Kay 2004, Heffner & Heffner; prefer primaries in merges","deSousa_etal_2022_acuityblind.csv"
"Phocoena phocoena","Cetacea","Phocoenidae",2.7,"anatomical (peak ganglion-cell density)","SECONDARY compilation - analysis dataset of a review; VA compiled from primaries incl. Veilleux & Kirk 2014, Kirk & Kay 2004, Heffner & Heffner; prefer primaries in merges","deSousa_etal_2022_acuityblind.csv"
"Phocoenoides dalli","Cetacea","Phocoenidae",2.6,"anatomical (peak ganglion-cell density)","SECONDARY compilation - analysis dataset of a review; VA compiled from primaries incl. Veilleux & Kirk 2014, Kirk & Kay 2004, Heffner & Heffner; prefer primaries in merges","deSousa_etal_2022_acuityblind.csv"
"Phyllostomus hastatus","Chiroptera","Phyllostomidae",0.17,"behavioral","SECONDARY compilation - analysis dataset of a review; VA compiled from primaries incl. Veilleux & Kirk 2014, Kirk & Kay 2004, Heffner & Heffner; prefer primaries in merges","deSousa_etal_2022_acuityblind.csv"
"Plecotus auritus","Chiroptera","Vespertilionidae",1,"behavioral","SECONDARY compilation - analysis dataset of a review; VA compiled from primaries incl. Veilleux & Kirk 2014, Kirk & Kay 2004, Heffner & Heffner; prefer primaries in merges","deSousa_etal_2022_acuityblind.csv"
"Pseudorca crassidens","Cetacea","Delphinidae",3.3,"anatomical (peak ganglion-cell density)","SECONDARY compilation - analysis dataset of a review; VA compiled from primaries incl. Veilleux & Kirk 2014, Kirk & Kay 2004, Heffner & Heffner; prefer primaries in merges","deSousa_etal_2022_acuityblind.csv"
"Pteropus giganteus","Chiroptera","Pteropodidae",1.7,"behavioral","SECONDARY compilation - analysis dataset of a review; VA compiled from primaries incl. Veilleux & Kirk 2014, Kirk & Kay 2004, Heffner & Heffner; prefer primaries in merges","deSousa_etal_2022_acuityblind.csv"
"Pteropus poliocephalus","Chiroptera","Pteropodidae",5.5,"anatomical (peak ganglion-cell density)","SECONDARY compilation - analysis dataset of a review; VA compiled from primaries incl. Veilleux & Kirk 2014, Kirk & Kay 2004, Heffner & Heffner; prefer primaries in merges","deSousa_etal_2022_acuityblind.csv"
"Pteropus scapulatus","Chiroptera","Pteropodidae",4,"anatomical (peak ganglion-cell density)","SECONDARY compilation - analysis dataset of a review; VA compiled from primaries incl. Veilleux & Kirk 2014, Kirk & Kay 2004, Heffner & Heffner; prefer primaries in merges","deSousa_etal_2022_acuityblind.csv"
"Rattus norvegicus","Rodentia","Muridae",1.6,"behavioral","SECONDARY compilation - analysis dataset of a review; VA compiled from primaries incl. Veilleux & Kirk 2014, Kirk & Kay 2004, Heffner & Heffner; prefer primaries in merges","deSousa_etal_2022_acuityblind.csv"
"Rhinolophus rouxii","Chiroptera","Rhinolophidae",0.4,"anatomical (peak ganglion-cell density)","SECONDARY compilation - analysis dataset of a review; VA compiled from primaries incl. Veilleux & Kirk 2014, Kirk & Kay 2004, Heffner & Heffner; prefer primaries in merges","deSousa_etal_2022_acuityblind.csv"
"Rousettus aegyptiacus","Chiroptera","Pteropodidae",3.15,"anatomical (peak ganglion-cell density)","SECONDARY compilation - analysis dataset of a review; VA compiled from primaries incl. Veilleux & Kirk 2014, Kirk & Kay 2004, Heffner & Heffner; prefer primaries in merges","deSousa_etal_2022_acuityblind.csv"
"Rousettus madagascariensis","Chiroptera","Pteropodidae",3,"anatomical (peak ganglion-cell density)","SECONDARY compilation - analysis dataset of a review; VA compiled from primaries incl. Veilleux & Kirk 2014, Kirk & Kay 2004, Heffner & Heffner; prefer primaries in merges","deSousa_etal_2022_acuityblind.csv"
"Saguinus midas","Primates","Cebidae",24.87,"anatomical (peak ganglion-cell density)","SECONDARY compilation - analysis dataset of a review; VA compiled from primaries incl. Veilleux & Kirk 2014, Kirk & Kay 2004, Heffner & Heffner; prefer primaries in merges","deSousa_etal_2022_acuityblind.csv"
"Saimiri sciureus","Primates","Cebidae",40.5,"behavioral","SECONDARY compilation - analysis dataset of a review; VA compiled from primaries incl. Veilleux & Kirk 2014, Kirk & Kay 2004, Heffner & Heffner; prefer primaries in merges","deSousa_etal_2022_acuityblind.csv"
