"Species_Matano1986","check","value_TableI","complex_TableI","recomputed","printed_TableIII","difference","status"
"Ateles geoffroyi","complex_sum_check",49.71,49.7,49.71,49.7,0.02,"OK"
"Lagothrix lagotricha","superior",9.07,53.1,17.081,17.1,-0.019,"OK"
"Lagothrix lagotricha","lateral",6.94,53.1,13.07,13.1,-0.03,"OK"
"Lagothrix lagotricha","medial",23,53.1,43.315,43.2,0.115,"OK"
"Lagothrix lagotricha","descending",14.1,53.1,26.554,26.6,-0.046,"OK"
"Lagothrix lagotricha","complex_sum_check",53.11,53.1,53.11,53.1,0.019,"OK"
"Macaca mulatta","superior",16.4,82.5,19.879,19.9,-0.021,"OK"
"Macaca mulatta","lateral",16.9,82.5,20.485,20.5,-0.015,"OK"
"Macaca mulatta","medial",33.7,82.5,40.848,40.8,0.048,"OK"
"Macaca mulatta","descending",15.5,82.5,18.788,18.8,-0.012,"OK"
"Macaca mulatta","complex_sum_check",82.5,82.5,82.5,82.5,0,"OK"
"Cercocebus albigena","superior",16.2,87,18.621,18.6,0.021,"OK"
"Cercocebus albigena","lateral",10,87,11.494,11.5,-0.006,"OK"
"Cercocebus albigena","medial",35.6,87,40.92,40.9,0.02,"OK"
"Cercocebus albigena","descending",25.2,87,28.966,29,-0.034,"OK"
"Cercocebus albigena","complex_sum_check",87,87,87,87,0,"OK"
"Papio anubis","superior",14.4,107,13.458,13.5,-0.042,"OK"
"Papio anubis","lateral",10.5,107,9.813,9.8,0.013,"OK"
"Papio anubis","medial",48.1,107,44.953,45,-0.047,"OK"
"Papio anubis","descending",33.9,107,31.682,31.7,-0.018,"OK"
"Papio anubis","complex_sum_check",106.9,107,106.9,107,-0.093,"OK"
"Cercopithecus ascanius","superior",8.21,52.1,15.758,15.8,-0.042,"OK"
"Cercopithecus ascanius","lateral",5.88,52.1,11.286,11.3,-0.014,"OK"
"Cercopithecus ascanius","medial",20.8,52.1,39.923,39.9,0.023,"OK"
"Cercopithecus ascanius","descending",17.2,52.1,33.013,33,0.013,"OK"
"Cercopithecus ascanius","complex_sum_check",52.09,52.1,52.09,52.1,-0.019,"OK"
"C. mitis","superior",15,80.5,18.634,18.6,0.034,"OK"
"C. mitis","lateral",10.5,80.5,13.043,13,0.043,"OK"
"C. mitis","medial",30.7,80.5,38.137,38.2,-0.063,"OK"
"C. mitis","descending",24.3,80.5,30.186,30.2,-0.014,"OK"
"C. mitis","complex_sum_check",80.5,80.5,80.5,80.5,0,"OK"
"Miopithecus talapoin","superior",7.61,39.8,19.121,19.2,-0.079,"OK"
"Miopithecus talapoin","lateral",7.25,39.8,18.216,18.2,0.016,"OK"
"Miopithecus talapoin","medial",15.7,39.8,39.447,39.4,0.047,"OK"
"Miopithecus talapoin","descending",9.24,39.8,23.216,23.2,0.016,"OK"
"Miopithecus talapoin","complex_sum_check",39.8,39.8,39.8,39.8,0,"OK"
"Erythrocebus patas","superior",15.2,89,17.079,17.1,-0.021,"OK"
"Erythrocebus patas","lateral",17.9,89,20.112,20.1,0.012,"OK"
"Erythrocebus patas","medial",40.3,89,45.281,45.3,-0.019,"OK"
"Erythrocebus patas","descending",15.6,89,17.528,17.5,0.028,"OK"
"Erythrocebus patas","complex_sum_check",89,89,89,89,-0,"OK"
"Colobus badius","superior",8.68,57.3,15.148,15.2,-0.052,"OK"
"Colobus badius","lateral",10,57.3,17.452,17.5,-0.048,"OK"
"Colobus badius","medial",24.1,57.3,42.059,42,0.059,"OK"
"Colobus badius","descending",14.5,57.3,25.305,25.3,0.005,"OK"
"Colobus badius","complex_sum_check",57.28,57.3,57.28,57.3,-0.035,"OK"
