Species,Body_Mass.g,Cerebellum_C.n,Cerebellum_Mass.g,Cerebellum_N.n,Cerebellum_N.n_SD,Cerebellum_N.p.mg,Cerebellum_N.p.mg_SD,Cerebellum_O.n,Cerebellum_O.n_SD,Cerebellum_O.p.N,Cerebellum_O.p.N_SD,Cerebellum_O.p.mg,Cerebellum_O.p.mg_SD,CerebralCortex_C.n,CerebralCortex_Mass.g,CerebralCortex_Mass.g_SD,CerebralCortex_N.n,CerebralCortex_N.n_SD,CerebralCortex_N.p.mg,CerebralCortex_N.p.mg_SD,CerebralCortex_O.n,CerebralCortex_O.n_SD,CerebralCortex_O.p.N,CerebralCortex_O.p.N_SD,CerebralCortex_O.p.mg,CerebralCortex_O.p.mg_SD,RoB_C.n,RoB_Mass.g,RoB_Mass.g_SD,RoB_N.n,RoB_N.n_SD,RoB_N.p.mg,RoB_N.p.mg_SD,RoB_O.n,RoB_O.n_SD,RoB_O.p.N,RoB_O.p.N_SD,RoB_O.p.mg,RoB_O.p.mg_SD,WholeBrain_C.n,WholeBrain_Mass.g,WholeBrain_Mass.g_SD,WholeBrain_N.n,WholeBrain_N.n_SD,WholeBrain_O.n,WholeBrain_O.n_SD,Cerebellum_I.p.C,CerebralCortexNoHippocampus_I.p.C,CerebralCortex_I.p.C,Hippocampus_I.p.C,OlfactoryBulb_Mass.g,OlfactoryBulb_N.n,OlfactoryBulb_N.p.mg,OlfactoryBulb_O.n,OlfactoryBulb_O.p.N,OlfactoryBulb_O.p.mg,RoB_I.p.C,WholeBrain_I.p.C,Body_Mass.g_SD,Brain_Mass.g,Brain_N.n,Cerebellum_Mass.g_SD,OlfactoryBulb_Mass.g_SD,OlfactoryBulb_N.n_SD,OlfactoryBulb_N.p.mg_SD,OlfactoryBulb_O.n_SD,OlfactoryBulb_O.p.mg_SD,SpinalCord_Length.mm,SpinalCord_Length.mm_SD,SpinalCord_Mass.g,SpinalCord_Mass.g_SD,SpinalCord_N.n,SpinalCord_N.n_SD,SpinalCord_N.p.mg,SpinalCord_N.p.mg_SD,SpinalCord_O.n,SpinalCord_O.n_SD,SpinalCord_O.p.mg,SpinalCord_O.p.mg_SD,SpinalCord_p.C.Body.mass,SpinalCord_p.C.CNS.mass,SpinalCord_p.C.CNS.neurons,Amygdala_Vol.mm3,Amygdala_Vol.mm3_SD,Cerebellum_Vol.mm3,Cerebellum_Vol.mm3_SD,EntorhinalCortex_Vol.mm3,EntorhinalCortex_Vol.mm3_SD,Hippocampus_Vol.mm3,Hippocampus_Vol.mm3_SD,Hypothalamus_Vol.mm3,Hypothalamus_Vol.mm3_SD,Medulla_Vol.mm3,Medulla_Vol.mm3_SD,MesencephalonMedulla_N.n,MesencephalonMedulla_N.n_SD,Neocortex_Vol.mm3,Neocortex_Vol.mm3_SD,OlfactoryBulb_Vol.mm3,OlfactoryBulb_Vol.mm3_SD,OlfactoryCortices_Vol.mm3,OlfactoryCortices_Vol.mm3_SD,Septum_Vol.mm3,Septum_Vol.mm3_SD,Striatum_Vol.mm3,Striatum_Vol.mm3_SD,SubcorticalForebrain_N.n,SubcorticalForebrain_N.n_SD,Tectum_Vol.mm3,Tectum_Vol.mm3_SD,Tegmentum_Vol.mm3,Tegmentum_Vol.mm3_SD,Thalamus_Vol.mm3,Thalamus_Vol.mm3_SD,WholeBrainOlfactoryBulb_Mass.g,WholeBrainOlfactoryBulb_Mass.g_SD,WholeBrainOlfactoryBulb_N.n,WholeBrainOlfactoryBulb_N.n_SD,OlfactoryBulb_O.p.N_SD,Hippocampus_C.n,Hippocampus_Mass.g,Hippocampus_N.n,Hippocampus_N.p.mg,Hippocampus_O.n,Hippocampus_O.p.N,WholeBrain_O.p.N,CerebralCortexGrey_N.n,CerebralCortexGrey_N.p.mg,CerebralCortexGrey_O.p.N,MesencephalonDiencephalonStriatum_Mass.g,MesencephalonDiencephalonStriatum_N.n,MesencephalonDiencephalonStriatum_N.p.mg,MesencephalonDiencephalonStriatum_O.p.N,PonsMedulla_Mass.g,PonsMedulla_N.n,PonsMedulla_N.p.mg,PonsMedulla_O.p.N,DiencephalonStriatum_Mass.g,DiencephalonStriatum_N.n,DiencephalonStriatum_N.p.mg,DiencephalonStriatum_O.p.N,Mesencephalon_Mass.g,Mesencephalon_N.n,Mesencephalon_N.p.mg,Mesencephalon_O.p.N,PonsMedulla_I.p.C
Cavia porcellus,311,204145000,0.5,167854925,2175973,339755,48069,36290075,4506186,0.216,0.024,72824,2216,152125000,1.938,0.231,43510525,3169924,22508,1050,108614475,12775334,2.492,0.112,56036,93,105375000,1.218,0.178,22191825,9431638,18990,10522,83183175,8139966,4.035,NA,69528,16855,461645000,3.656,0.486,233557275,4085741,228087725,9141554,NA,NA,NA,NA,0.103,6065700,58560,10154300,1.637,96793,NA,NA,49.1,NA,NA,0.077,0.013,1295335,5340,4220098,29011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.346,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Coleura afra,11.5,NA,54034.1106919655,47984992,NA,888050,NA,NA,NA,NA,NA,NA,NA,NA,89982.784272051,NA,5080428,NA,56460,NA,NA,NA,NA,NA,NA,NA,NA,98803.1030528881,NA,5514794,NA,55816,NA,NA,NA,NA,NA,NA,NA,NA,0.244,NA,58580214,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Condylura cristata,41.1,125400000,0.138,105920000,22100000,776460,181530,19480000,6420000,0.184,NA,139912,39720,49260000,0.42,0.024,17250000,3105000,40777,5145,32010000,8822000,1.966,0.924,76995,25019,39710000,0.244,0.026,8160000,2180000,33475,8560,31550000,5950000,3.866,1.692,128990,17820,214370000,0.802,0.046,131330000,21229000,83040000,19046000,NA,NA,NA,NA,0.04,10550000,254720,7470000,0.708,185124,NA,NA,4.7,NA,NA,0.012,0.005,4290000,74620,970000,19370,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.328,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cryptomys hottentotus,68.58,NA,NA,68810000,9020000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11730000,220000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88250000,9190000,NA,NA,NA,NA,NA,NA,NA,7990000,NA,NA,NA,NA,NA,NA,12.36,NA,NA,NA,NA,460000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,3,121,19,25,3,59,8,25,6,79,2,3170000,360000,183,30,37,4,50,8,11,1,59,7,4550000,690000,17,2,34,4,39,3,0.85,0.06,96240000,9650000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cryptomys hottentotus natalensis,99.02,NA,NA,109750000,8750000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17460000,1390000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,138130000,8210000,NA,NA,NA,NA,NA,NA,NA,11850000,NA,NA,NA,NA,NA,NA,33.43,NA,NA,NA,NA,290000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,4,175,19,43,6,80,13,31,3,97,18,4110000,140000,321,26,55,12,76,12,14,3,84,11,6820000,810000,24,6,42,6,54,6,1.24,0.11,149980000,8500000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cryptomys hottentotus pretoriae,104.27,NA,NA,120580000,16690000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20560000,900000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,157090000,14820000,NA,NA,NA,NA,NA,NA,NA,12070000,NA,NA,NA,NA,NA,NA,21.31,NA,NA,NA,NA,1410000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,5,188,14,46,4,95,14,33,3,119,15,6030000,350000,315,39,57,9,76,2,15,2,85,9,9920000,620000,25,4,47,4,57,8,1.35,0.11,169160000,16230000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cynomys sp.,1515,416240000,0.789,350084813,72177851,440658,39554,66155187,39268821,0.192,0.123,84802,54286,237220000,2.586,0.109,53768353,6044322,20866,3113,183451647,17959104,3.432,0.433,71202,9677,201833333,1.945,0.146,34090600,589361,17590,1335,167742733,5025290,4.923,NA,86542,6793,855293334,5.321,0.197,437943767,78742230,417349567,27350023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,230.6,NA,NA,0.093,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Damaliscus pygargus phillipsi,60000,2845631126,13.402,2401712670,NA,179206,NA,443918456,NA,0.184,NA,33123,NA,7332929658,111.31,NA,570673431,NA,5127,NA,6762256227,NA,11.851,NA,60760,NA,2222500002,30.006,NA,86428126,NA,2880,NA,2136071876,NA,24.718,NA,71188,NA,12402060786,154.718,NA,3058814227,NA,9343246559,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dasyprocta prymnolopha,2843,829475000,2.742,673488085,48145960,253208,39447,155986915,32978520,0.234,0.066,57945,7405,526850000,8.913,1.214,110641950,2576768,13250,1633,416208050,950422,3.763,0.096,49939,7422,400040000,5.972,0.514,43204320,NA,6830,NA,356835680,NA,NA,NA,56408,NA,1746790000,17.628,1.9,795112070,NA,951677930,NA,NA,NA,NA,NA,0.737,58124085,88008,72595915,1.239,107301,NA,NA,196,NA,NA,NA,0.162,4952795,14973,19682805,1958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.233,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dendrohyrax dorsalis,1150,438500000,1.918,360929350,NA,188180,NA,77570650,NA,0.215,NA,40444,NA,282500000,7.56,NA,98960000,NA,13098,NA,183540000,NA,1.855,NA,24291,NA,197138000,3.328,NA,44671471,NA,13423,NA,152466529,NA,3.413,NA,45813,NA,918146834,12.8,NA,504572834,NA,413574000,NA,0.0054,0.0479,0.0490013982300885,0.0602,NA,NA,NA,NA,NA,NA,0.0557082297679798,0.0296000002178322,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
