donor,class,within_area_subclass,region,subclass_count,subclass_prop
H18.30.002,inhibitory,Chandelier,S1,460,0.0352625527021847
H18.30.002,inhibitory,Chandelier,V1,237,0.035925420645748
H18.30.002,inhibitory,Lamp5,A1,1201,0.104634953824708
H18.30.002,inhibitory,Lamp5,ACC,1232,0.0842105263157894
H18.30.002,inhibitory,Lamp5,DFC,1088,0.122068888140917
H18.30.002,inhibitory,Lamp5,M1,1263,0.124962897002077
H18.30.002,inhibitory,Lamp5,MTG,653,0.105697636775655
H18.30.002,inhibitory,Lamp5,S1,1464,0.112226906860866
H18.30.002,inhibitory,Lamp5,V1,420,0.0636653024101864
H18.30.002,inhibitory,Lamp5 Lhx6,A1,325,0.0283150374629726
H18.30.002,inhibitory,Lamp5 Lhx6,ACC,740,0.050580997949419
H18.30.002,inhibitory,Lamp5 Lhx6,DFC,432,0.0484685291147761
H18.30.002,inhibitory,Lamp5 Lhx6,M1,456,0.0451172454734342
H18.30.002,inhibitory,Lamp5 Lhx6,MTG,252,0.0407898996438977
H18.30.002,inhibitory,Lamp5 Lhx6,S1,450,0.0344959754695285
H18.30.002,inhibitory,Lamp5 Lhx6,V1,212,0.0321358193118083
H18.30.002,inhibitory,Pax6,A1,334,0.0290991461927165
H18.30.002,inhibitory,Pax6,ACC,423,0.0289131920710868
H18.30.002,inhibitory,Pax6,DFC,228,0.025580612588354
H18.30.002,inhibitory,Pax6,M1,275,0.0272088651429702
H18.30.002,inhibitory,Pax6,MTG,134,0.0216898672709614
H18.30.002,inhibitory,Pax6,S1,267,0.0204676121119202
H18.30.002,inhibitory,Pax6,V1,59,0.00894345914809762
H18.30.002,inhibitory,Pvalb,A1,1783,0.155340651681477
H18.30.002,inhibitory,Pvalb,ACC,3386,0.231442241968557
H18.30.002,inhibitory,Pvalb,DFC,1974,0.221474251093907
H18.30.002,inhibitory,Pvalb,M1,2918,0.288710794498862
H18.30.002,inhibitory,Pvalb,MTG,1241,0.200874069278083
H18.30.002,inhibitory,Pvalb,S1,2312,0.177232656190111
H18.30.002,inhibitory,Pvalb,V1,2255,0.341822040321358
H18.30.002,inhibitory,Sncg,A1,852,0.0742289597490852
H18.30.002,inhibitory,Sncg,ACC,864,0.0590567327409432
H18.30.002,inhibitory,Sncg,DFC,524,0.0587905306855155
H18.30.002,inhibitory,Sncg,M1,404,0.039972296428218
H18.30.002,inhibitory,Sncg,MTG,329,0.0532534800906442
H18.30.002,inhibitory,Sncg,S1,527,0.0403986201609812
H18.30.002,inhibitory,Sncg,V1,189,0.0286493860845839
H18.30.002,inhibitory,Sst,A1,3480,0.303188708834291
H18.30.002,inhibitory,Sst,ACC,4589,0.313670539986329
H18.30.002,inhibitory,Sst,DFC,2327,0.261079322338157
H18.30.002,inhibitory,Sst,M1,2334,0.230929059067972
H18.30.002,inhibitory,Sst,MTG,1898,0.307219164778245
H18.30.002,inhibitory,Sst,S1,4197,0.321732464545803
H18.30.002,inhibitory,Sst,V1,1944,0.294679399727148
H18.30.002,inhibitory,Sst Chodl,A1,50,0.00435615960968809
H18.30.002,inhibitory,Sst Chodl,ACC,86,0.00587833219412166
H18.30.002,inhibitory,Sst Chodl,DFC,59,0.00661954448558285
H18.30.002,inhibitory,Sst Chodl,M1,36,0.00356188780053428
H18.30.002,inhibitory,Sst Chodl,MTG,37,0.00598899320168339
H18.30.002,inhibitory,Sst Chodl,S1,66,0.00505940973553085
H18.30.002,inhibitory,Sst Chodl,V1,11,0.00166742458693345
H18.30.002,inhibitory,Vip,A1,3221,0.280623802056107
H18.30.002,inhibitory,Vip,ACC,3066,0.20956937799043
H18.30.002,inhibitory,Vip,DFC,1988,0.223044990463368
H18.30.002,inhibitory,Vip,M1,2233,0.220935984960918
H18.30.002,inhibitory,Vip,MTG,1570,0.254127549368727
H18.30.002,inhibitory,Vip,S1,3302,0.253123802223073
H18.30.002,inhibitory,Vip,V1,1270,0.192511747764135
H18.30.002,non-neuronal,Astro,A1,1264,0.315684315684315
H18.30.002,non-neuronal,Astro,ACC,2595,0.342257979424953
H18.30.002,non-neuronal,Astro,DFC,1597,0.375234962406015
H18.30.002,non-neuronal,Astro,M1,221,0.237379162191192
H18.30.002,non-neuronal,Astro,MTG,682,0.306792622582096
H18.30.002,non-neuronal,Astro,S1,1200,0.243605359317905
H18.30.002,non-neuronal,Astro,V1,1550,0.264730999146029
H18.30.002,non-neuronal,Endo,A1,28,0.00699300699300699
H18.30.002,non-neuronal,Endo,ACC,45,0.00593510946979688
H18.30.002,non-neuronal,Endo,DFC,82,0.019266917293233
H18.30.002,non-neuronal,Endo,M1,25,0.0268528464017185
H18.30.002,non-neuronal,Endo,MTG,3,0.00134952766531713
H18.30.002,non-neuronal,Endo,S1,30,0.00609013398294762
H18.30.002,non-neuronal,Endo,V1,39,0.00666097352690008
H18.30.002,non-neuronal,Micro/PVM,A1,304,0.0759240759240759
H18.30.002,non-neuronal,Micro/PVM,ACC,729,0.0961487734107095
H18.30.002,non-neuronal,Micro/PVM,DFC,370,0.0869360902255639
H18.30.002,non-neuronal,Micro/PVM,M1,28,0.0300751879699248
H18.30.002,non-neuronal,Micro/PVM,MTG,231,0.103913630229419
H18.30.002,non-neuronal,Micro/PVM,S1,536,0.108810393828664
H18.30.002,non-neuronal,Micro/PVM,V1,675,0.11528608027327
H18.30.002,non-neuronal,Oligo,A1,1797,0.448801198801198
H18.30.002,non-neuronal,Oligo,ACC,2880,0.379847006067
H18.30.002,non-neuronal,Oligo,DFC,1425,0.334821428571428
H18.30.002,non-neuronal,Oligo,M1,578,0.620837808807733
H18.30.002,non-neuronal,Oligo,MTG,966,0.434547908232118
H18.30.002,non-neuronal,Oligo,S1,2674,0.542833942346731
H18.30.002,non-neuronal,Oligo,V1,2511,0.428864218616567
H18.30.002,non-neuronal,OPC,A1,591,0.147602397602397
H18.30.002,non-neuronal,OPC,ACC,1317,0.173700870482722
H18.30.002,non-neuronal,OPC,DFC,731,0.171757518796992
H18.30.002,non-neuronal,OPC,M1,67,0.0719656283566058
H18.30.002,non-neuronal,OPC,MTG,334,0.150247413405308
H18.30.002,non-neuronal,OPC,S1,456,0.0925700365408039
H18.30.002,non-neuronal,OPC,V1,1056,0.180358667805294
H18.30.002,non-neuronal,VLMC,A1,20,0.00499500499500499
H18.30.002,non-neuronal,VLMC,ACC,16,0.00211026114481667
H18.30.002,non-neuronal,VLMC,DFC,51,0.0119830827067669
H18.30.002,non-neuronal,VLMC,M1,12,0.0128893662728249
H18.30.002,non-neuronal,VLMC,MTG,7,0.00314889788573999
H18.30.002,non-neuronal,VLMC,S1,30,0.00609013398294762
H18.30.002,non-neuronal,VLMC,V1,24,0.00409906063193851
H19.30.001,excitatory,L2/3 IT,A1,10346,0.447549422502919
H19.30.001,excitatory,L2/3 IT,ACC,5028,0.372886383862355
H19.30.001,excitatory,L2/3 IT,AnG,8245,0.455726287862038
H19.30.001,excitatory,L2/3 IT,DFC,7389,0.427035774143212
H19.30.001,excitatory,L2/3 IT,M1,3826,0.529770146773746
H19.30.001,excitatory,L2/3 IT,MTG,13558,0.44391329971842
H19.30.001,excitatory,L2/3 IT,S1,10253,0.460209165581938
H19.30.001,excitatory,L2/3 IT,V1,17660,0.479409289572983
H19.30.001,excitatory,L4 IT,A1,4127,0.178526625427174
H19.30.001,excitatory,L4 IT,ACC,340,0.0252150697122515
H19.30.001,excitatory,L4 IT,AnG,4037,0.223137298253371
H19.30.001,excitatory,L4 IT,DFC,1799,0.103970409755533
H19.30.001,excitatory,L4 IT,M1,460,0.0636942675159235
H19.30.001,excitatory,L4 IT,MTG,5641,0.184696483530875
H19.30.001,excitatory,L4 IT,S1,1916,0.086000269311908
H19.30.001,excitatory,L4 IT,V1,10183,0.276434020142791
H19.30.001,excitatory,L5 ET,A1,66,0.00285504174417095
H19.30.001,excitatory,L5 ET,ACC,571,0.0423464847226342
H19.30.001,excitatory,L5 ET,AnG,31,0.00171346451470263
H19.30.001,excitatory,L5 ET,DFC,213,0.0123100040455412
H19.30.001,excitatory,L5 ET,M1,93,0.0128773193021323
H19.30.001,excitatory,L5 ET,MTG,121,0.00396175757972627
H19.30.001,excitatory,L5 ET,S1,276,0.0123883477714439
H19.30.001,excitatory,L5 ET,V1,37,0.00100442489887884
H19.30.001,excitatory,L5 IT,A1,4088,0.176839555305619
H19.30.001,excitatory,L5 IT,ACC,2670,0.198012459210916
H19.30.001,excitatory,L5 IT,AnG,2942,0.162613309750165
H19.30.001,excitatory,L5 IT,DFC,3208,0.18540137548402
H19.30.001,excitatory,L5 IT,M1,1029,0.142481307117142
H19.30.001,excitatory,L5 IT,MTG,6181,0.202377054547835
H19.30.001,excitatory,L5 IT,S1,3584,0.160868979756721
H19.30.001,excitatory,L5 IT,V1,3990,0.108315009365583
H19.30.001,excitatory,L5/6 NP,A1,454,0.0196392265432365
H19.30.001,excitatory,L5/6 NP,ACC,548,0.0406407594185701
H19.30.001,excitatory,L5/6 NP,AnG,417,0.0230488613751934
H19.30.001,excitatory,L5/6 NP,DFC,486,0.0280876148644743
H19.30.001,excitatory,L5/6 NP,M1,221,0.0306009415674328
H19.30.001,excitatory,L5/6 NP,MTG,793,0.0259642459563879
H19.30.001,excitatory,L5/6 NP,S1,762,0.0342026123255083
H19.30.001,excitatory,L5/6 NP,V1,299,0.00811683904769661
H19.30.001,excitatory,L6 CT,A1,1036,0.044815503741835
H19.30.001,excitatory,L6 CT,ACC,1212,0.0898843073272026
H19.30.001,excitatory,L6 CT,AnG,494,0.0273048861375193
H19.30.001,excitatory,L6 CT,DFC,890,0.0514361671386464
H19.30.001,excitatory,L6 CT,M1,342,0.0473553032400997
H19.30.001,excitatory,L6 CT,MTG,880,0.0288127823980092
H19.30.001,excitatory,L6 CT,S1,1188,0.053323757798824
H19.30.001,excitatory,L6 CT,V1,1678,0.0455520264951
H19.30.001,excitatory,L6 IT,A1,1555,0.0672665138209975
H19.30.001,excitatory,L6 IT,ACC,1726,0.128003559774547
H19.30.001,excitatory,L6 IT,AnG,1047,0.0578708821578598
H19.30.001,excitatory,L6 IT,DFC,1871,0.108131537883604
H19.30.001,excitatory,L6 IT,M1,812,0.112434228745499
H19.30.001,excitatory,L6 IT,MTG,1771,0.0579857245759937
H19.30.001,excitatory,L6 IT,S1,2544,0.114188249023744
H19.30.001,excitatory,L6 IT,V1,1715,0.0465564513939788
H19.30.001,excitatory,L6 IT Car3,A1,590,0.0255223428645585
H19.30.001,excitatory,L6 IT Car3,ACC,197,0.0146099080391575
H19.30.001,excitatory,L6 IT Car3,AnG,373,0.0206168472252929
H19.30.001,excitatory,L6 IT Car3,DFC,378,0.0218459226723689
H19.30.001,excitatory,L6 IT Car3,M1,131,0.0181390196621434
H19.30.001,excitatory,L6 IT Car3,MTG,669,0.0219042629821229
H19.30.001,excitatory,L6 IT Car3,S1,475,0.0213205260559271
H19.30.001,excitatory,L6 IT Car3,V1,733,0.0198984716453565
H19.30.001,excitatory,L6b,A1,855,0.0369857680494873
H19.30.001,excitatory,L6b,ACC,1192,0.0884010679323642
H19.30.001,excitatory,L6b,AnG,506,0.0279681627238558
H19.30.001,excitatory,L6b,DFC,1069,0.0617811940125989
H19.30.001,excitatory,L6b,M1,308,0.0426474660758792
H19.30.001,excitatory,L6b,MTG,928,0.0303843887106279
H19.30.001,excitatory,L6b,S1,1281,0.0574980923739844
H19.30.001,excitatory,L6b,V1,542,0.0147134674376306
H19.30.001,inhibitory,Chandelier,A1,345,0.0280693190139126
H19.30.001,inhibitory,Chandelier,ACC,352,0.0415437271332467
H19.30.001,inhibitory,Chandelier,AnG,107,0.0118454555518653
H19.30.001,inhibitory,Chandelier,DFC,320,0.0358663976686841
H19.30.001,inhibitory,Chandelier,M1,150,0.0362056480811006
H19.30.001,inhibitory,Chandelier,MTG,288,0.0173326913818006
H19.30.001,inhibitory,Chandelier,S1,565,0.046190320470896
H19.30.001,inhibitory,Chandelier,V1,299,0.0345265588914549
H19.30.001,inhibitory,Lamp5,A1,1114,0.090635424294199
H19.30.001,inhibitory,Lamp5,ACC,753,0.0888705299185648
H19.30.001,inhibitory,Lamp5,AnG,799,0.088453448466733
H19.30.001,inhibitory,Lamp5,DFC,990,0.110961667787491
H19.30.001,inhibitory,Lamp5,M1,485,0.117064928795558
H19.30.001,inhibitory,Lamp5,MTG,1528,0.0919595570534424
H19.30.001,inhibitory,Lamp5,S1,1191,0.0973675604970569
H19.30.001,inhibitory,Lamp5,V1,677,0.0781755196304849
H19.30.001,inhibitory,Lamp5 Lhx6,A1,472,0.0384020828248311
H19.30.001,inhibitory,Lamp5 Lhx6,ACC,442,0.0521657028207246
H19.30.001,inhibitory,Lamp5 Lhx6,AnG,368,0.040739510683051
H19.30.001,inhibitory,Lamp5 Lhx6,DFC,396,0.0443846671149966
H19.30.001,inhibitory,Lamp5 Lhx6,M1,189,0.0456191165821868
H19.30.001,inhibitory,Lamp5 Lhx6,MTG,702,0.0422484352431391
H19.30.001,inhibitory,Lamp5 Lhx6,S1,623,0.0509319816873773
H19.30.001,inhibitory,Lamp5 Lhx6,V1,219,0.0252886836027713
H19.30.001,inhibitory,Pax6,A1,238,0.0193637621023513
H19.30.001,inhibitory,Pax6,ACC,277,0.0326920807270152
H19.30.001,inhibitory,Pax6,AnG,154,0.0170485995793202
H19.30.001,inhibitory,Pax6,DFC,211,0.0236494059627886
H19.30.001,inhibitory,Pax6,M1,99,0.0238957277335264
H19.30.001,inhibitory,Pax6,MTG,377,0.0226889744824265
H19.30.001,inhibitory,Pax6,S1,236,0.0192936559843034
H19.30.001,inhibitory,Pax6,V1,106,0.0122401847575057
H19.30.001,inhibitory,Pvalb,A1,2324,0.189081441705312
H19.30.001,inhibitory,Pvalb,ACC,1804,0.212911601557889
H19.30.001,inhibitory,Pvalb,AnG,1869,0.206908003985386
H19.30.001,inhibitory,Pvalb,DFC,1891,0.21194799372338
H19.30.001,inhibitory,Pvalb,M1,864,0.208544532947139
H19.30.001,inhibitory,Pvalb,MTG,2948,0.177419354838709
H19.30.001,inhibitory,Pvalb,S1,2601,0.21263897972531
H19.30.001,inhibitory,Pvalb,V1,2545,0.293879907621247
H19.30.001,inhibitory,Sncg,A1,663,0.0539419087136929
H19.30.001,inhibitory,Sncg,ACC,456,0.0538180101498878
H19.30.001,inhibitory,Sncg,AnG,445,0.0492638104727111
H19.30.001,inhibitory,Sncg,DFC,454,0.0508854516924456
H19.30.001,inhibitory,Sncg,M1,207,0.0499637943519189
H19.30.001,inhibitory,Sncg,MTG,983,0.0591598459316321
H19.30.001,inhibitory,Sncg,S1,495,0.0404676258992805
H19.30.001,inhibitory,Sncg,V1,338,0.0390300230946882
H19.30.001,inhibitory,Sst,A1,3851,0.313318688471239
H19.30.001,inhibitory,Sst,ACC,2491,0.29399268263897
H19.30.001,inhibitory,Sst,AnG,2892,0.320159415476585
H19.30.001,inhibitory,Sst,DFC,2523,0.282784129119031
H19.30.001,inhibitory,Sst,M1,1101,0.265749456915278
H19.30.001,inhibitory,Sst,MTG,5131,0.308798748194511
H19.30.001,inhibitory,Sst,S1,3512,0.287115761935905
H19.30.001,inhibitory,Sst,V1,2565,0.296189376443418
H19.30.001,inhibitory,Sst Chodl,A1,52,0.00423073793832885
H19.30.001,inhibitory,Sst Chodl,ACC,70,0.00826153664581612
H19.30.001,inhibitory,Sst Chodl,AnG,27,0.00298904018598472
H19.30.001,inhibitory,Sst Chodl,DFC,48,0.00537995965030262
H19.30.001,inhibitory,Sst Chodl,M1,12,0.00289645184648805
H19.30.001,inhibitory,Sst Chodl,MTG,60,0.00361097737120847
H19.30.001,inhibitory,Sst Chodl,S1,70,0.00572269457161543
H19.30.001,inhibitory,Sst Chodl,V1,21,0.00242494226327944
H19.30.001,inhibitory,Vip,A1,3232,0.262956634936132
H19.30.001,inhibitory,Vip,ACC,1828,0.215744128407883
H19.30.001,inhibitory,Vip,AnG,2372,0.262592715598361
H19.30.001,inhibitory,Vip,DFC,2089,0.234140327280878
H19.30.001,inhibitory,Vip,M1,1036,0.250060342746801
H19.30.001,inhibitory,Vip,MTG,4599,0.276781415503129
H19.30.001,inhibitory,Vip,S1,2939,0.240271419228253
H19.30.001,inhibitory,Vip,V1,1890,0.21824480369515
H19.30.001,non-neuronal,Astro,A1,798,0.158364754911688
H19.30.001,non-neuronal,Astro,ACC,708,0.195148842337375
H19.30.001,non-neuronal,Astro,AnG,584,0.114847590953785
H19.30.001,non-neuronal,Astro,DFC,1009,0.220353789036907
H19.30.001,non-neuronal,Astro,M1,545,0.320023487962419
H19.30.001,non-neuronal,Astro,MTG,1055,0.138742766964755
H19.30.001,non-neuronal,Astro,S1,1312,0.199059323319678
H19.30.001,non-neuronal,Astro,V1,1751,0.336730769230769
H19.30.001,non-neuronal,Endo,A1,12,0.00238142488589005
H19.30.001,non-neuronal,Endo,ACC,8,0.0022050716648291
H19.30.001,non-neuronal,Endo,AnG,15,0.00294985250737463
H19.30.001,non-neuronal,Endo,DFC,33,0.00720681371478488
H19.30.001,non-neuronal,Endo,M1,9,0.00528479154433352
H19.30.001,non-neuronal,Endo,MTG,46,0.00604944765912677
H19.30.001,non-neuronal,Endo,S1,67,0.0101653770292823
H19.30.001,non-neuronal,Endo,V1,22,0.00423076923076923
H19.30.001,non-neuronal,Micro/PVM,A1,632,0.125421710656876
H19.30.001,non-neuronal,Micro/PVM,ACC,763,0.210308710033076
H19.30.001,non-neuronal,Micro/PVM,AnG,482,0.0947885939036381
H19.30.001,non-neuronal,Micro/PVM,DFC,561,0.122515833151343
H19.30.001,non-neuronal,Micro/PVM,M1,202,0.118614210217263
H19.30.001,non-neuronal,Micro/PVM,MTG,987,0.129800105207785
H19.30.001,non-neuronal,Micro/PVM,S1,444,0.0673645880746472
H19.30.001,non-neuronal,Micro/PVM,V1,552,0.106153846153846
H19.30.001,non-neuronal,Oligo,A1,3179,0.630879142687041
H19.30.001,non-neuronal,Oligo,ACC,1419,0.391124586549062
H19.30.001,non-neuronal,Oligo,AnG,3446,0.677679449360865
H19.30.001,non-neuronal,Oligo,DFC,2141,0.467569338283468
H19.30.001,non-neuronal,Oligo,M1,791,0.464474456840869
H19.30.001,non-neuronal,Oligo,MTG,4183,0.550105207785376
H19.30.001,non-neuronal,Oligo,S1,4331,0.657108177818236
H19.30.001,non-neuronal,Oligo,V1,2153,0.414038461538461
H19.30.001,non-neuronal,OPC,A1,408,0.0809684461202619
H19.30.001,non-neuronal,OPC,ACC,722,0.199007717750826
H19.30.001,non-neuronal,OPC,AnG,546,0.107374631268436
H19.30.001,non-neuronal,OPC,DFC,815,0.177986459925748
H19.30.001,non-neuronal,OPC,M1,149,0.0874926600117439
H19.30.001,non-neuronal,OPC,MTG,1259,0.165570752235665
H19.30.001,non-neuronal,OPC,S1,374,0.0567440449097253
H19.30.001,non-neuronal,OPC,V1,695,0.133653846153846
H19.30.001,non-neuronal,VLMC,A1,10,0.00198452073824171
H19.30.001,non-neuronal,VLMC,ACC,8,0.0022050716648291
H19.30.001,non-neuronal,VLMC,AnG,12,0.0023598820058997
H19.30.001,non-neuronal,VLMC,DFC,20,0.00436776588774841
H19.30.001,non-neuronal,VLMC,M1,7,0.00411039342337052
H19.30.001,non-neuronal,VLMC,MTG,74,0.0097317201472909
H19.30.001,non-neuronal,VLMC,S1,63,0.00955848884842967
H19.30.001,non-neuronal,VLMC,V1,27,0.00519230769230769
H19.30.002,excitatory,L2/3 IT,A1,10679,0.436358435827238
H19.30.002,excitatory,L2/3 IT,ACC,7160,0.383852463410711
H19.30.002,excitatory,L2/3 IT,AnG,11062,0.436836077873869
H19.30.002,excitatory,L2/3 IT,DFC,11864,0.661020726543347
H19.30.002,excitatory,L2/3 IT,M1,4152,0.575388026607538
H19.30.002,excitatory,L2/3 IT,MTG,7933,0.404373534509124
H19.30.002,excitatory,L2/3 IT,S1,11381,0.486929362940144
H19.30.002,excitatory,L2/3 IT,V1,14722,0.426008449563053
H19.30.002,excitatory,L4 IT,A1,4547,0.185796592162791
H19.30.002,excitatory,L4 IT,ACC,570,0.0305580871709644
H19.30.002,excitatory,L4 IT,AnG,4773,0.188484776685226
H19.30.002,excitatory,L4 IT,DFC,2065,0.115054602184087
H19.30.002,excitatory,L4 IT,M1,441,0.0611141906873614
H19.30.002,excitatory,L4 IT,MTG,3556,0.181262106228973
H19.30.002,excitatory,L4 IT,S1,2030,0.0868523510032944
H19.30.002,excitatory,L4 IT,V1,10788,0.312170843220093
H19.30.002,excitatory,L5 ET,A1,102,0.00416785845625791
H19.30.002,excitatory,L5 ET,ACC,903,0.0484104433603173
H19.30.002,excitatory,L5 ET,AnG,75,0.00296173439165975
H19.30.002,excitatory,L5 ET,DFC,65,0.00362157343436594
H19.30.002,excitatory,L5 ET,M1,103,0.0142738359201773
H19.30.002,excitatory,L5 ET,MTG,104,0.00530125395045366
H19.30.002,excitatory,L5 ET,S1,403,0.0172421169725751
H19.30.002,excitatory,L5 ET,V1,39,0.00112853753110712
H19.30.002,excitatory,L5 IT,A1,4385,0.179177052261676
H19.30.002,excitatory,L5 IT,ACC,3350,0.179595775478475
H19.30.002,excitatory,L5 IT,AnG,4349,0.171741104924377
H19.30.002,excitatory,L5 IT,DFC,2218,0.123579228883441
H19.30.002,excitatory,L5 IT,M1,1192,0.165188470066518
H19.30.002,excitatory,L5 IT,MTG,3960,0.201855438882658
H19.30.002,excitatory,L5 IT,S1,3812,0.163094168485004
H19.30.002,excitatory,L5 IT,V1,3356,0.0971121013947566
H19.30.002,excitatory,L5/6 NP,A1,518,0.0211661831406039
H19.30.002,excitatory,L5/6 NP,ACC,805,0.0431565967940813
