donor,Area,Metric,Grouping,value
H20.30.002,MTG,inh_prop,Pvalb,18.538862949739084
H20.30.002,MTG,inh_prop,Sncg,2.719033232628399
H20.30.002,MTG,inh_prop,Sst,35.704476792090084
H20.30.002,MTG,inh_prop,Sst Chodl,1.5380390002746498
H20.30.002,MTG,inh_prop,Lamp5-Lhx6,4.998626750892612
H20.30.002,MTG,inh_prop,Vip,22.850865146937654
H20.30.002,V1,inh_prop,Chandelier,3.9006349870909216
H20.30.002,V1,inh_prop,Lamp5,9.036354755425302
H20.30.002,V1,inh_prop,Pax6,0.8931686553625008
H20.30.002,V1,inh_prop,Pvalb,31.051566534086945
H20.30.002,V1,inh_prop,Sncg,2.7283511269276395
H20.30.002,V1,inh_prop,Sst,32.62856744121136
H20.30.002,V1,inh_prop,Sst Chodl,0.8233898541623055
H20.30.002,V1,inh_prop,Lamp5-Lhx6,3.5308073407298863
H20.30.002,V1,inh_prop,Vip,15.407159305003141
H20.30.002,MTG,nn_prop,Astro,16.81554615264065
H20.30.002,MTG,nn_prop,Endo,11.63349527242334
H20.30.002,MTG,nn_prop,OPC,6.785770255445856
H20.30.002,MTG,nn_prop,Oligo,54.76675547197409
H20.30.002,MTG,nn_prop,Micro/PVM,7.026066969649481
H20.30.002,MTG,nn_prop,VLMC,2.972365877866583
H20.30.002,V1,nn_prop,Astro,28.997919001120536
H20.30.002,V1,nn_prop,Endo,13.684568592924604
H20.30.002,V1,nn_prop,OPC,9.210421002080999
H20.30.002,V1,nn_prop,Oligo,36.687610052825356
H20.30.002,V1,nn_prop,Micro/PVM,2.9194013126300624
H20.30.002,V1,nn_prop,VLMC,8.50008003841844
H20.30.002,MTG,lamp5lhx6_layer_prop,L1,1.639344262295082
H20.30.002,MTG,lamp5lhx6_layer_prop,L2/3,45.90163934426229
H20.30.002,MTG,lamp5lhx6_layer_prop,L4,7.377049180327869
H20.30.002,MTG,lamp5lhx6_layer_prop,L5,23.770491803278688
H20.30.002,MTG,lamp5lhx6_layer_prop,L6,21.311475409836063
H20.30.002,V1,lamp5lhx6_layer_prop,L1,0.7692307692307693
H20.30.002,V1,lamp5lhx6_layer_prop,L2/3,46.15384615384615
H20.30.002,V1,lamp5lhx6_layer_prop,L4,10.76923076923077
H20.30.002,V1,lamp5lhx6_layer_prop,L5,24.615384615384617
H20.30.002,V1,lamp5lhx6_layer_prop,L6,17.692307692307693
