"species_printed","is_header","source_pdf_page","n","OBL","MES","CER","DIE","TEL","species_row"
"    Rhinolophus pusillus","","58","3","21.7","16.0","29.9","12.4","75.1","107"
"    Rhinolophus trifoliatus","","58","3","42.8","38.7","70.0","28.1","151.1","108"
"    Rhinolophus yunanensis","","58","2","51.5","41.1","80.3","32.8","207.3","109"
"HIPPOSIDERIDAE","TRUE","58","","","","","","","110"
"    Hipposideros armiger","","58","3","105.8","77.7","142.2","56.1","369.2","111"
"    Hipposideros ater","","58","2","28.5","23.4","41.0","15.6","93.5","112"
"    Hipposideros ater aruensis","","58","2","26.5","22.5","33.2","14.7","82.4","113"
"    Hipposideros ater saevus","","58","3","22.9","18.6","35.3","12.3","80.2","114"
"    Hipposideros caffer","","58","3","39.1","30.0","64.2","21.2","135.6","115"
"    H. calcaratus calcaratus §)","","58","3","47.9","37.2","78.6","29.6","186.0","116"
"    H. calcaratus cupidus §)","","58","3","36.2","30.9","66.8","23.0","159.6","117"
"    Hipposideros cervinus","","58","3","29.0","22.3","42.0","15.5","92.6","118"
"    Hipposideros commersoni","","58","3","86.5","58.7","128.4","54.2","374.8","119"
"    Hipposideros diadema","","58","4","87.7","69.2","123.8","53.4","335.1","120"
"    Hipposideros fulvus","","58","2","33.8","25.2","41.7","17.8","104.0","121"
"HIPPOSIDERIDAE (cont.)","TRUE","59","","","","","","","122"
"    Hipposideros halophyllus","","59","2","24.5","16.9","28.3","10.5","62.2","123"
"    Hipposideros lankadiva","","59","3","93.0","62.9","127.3","53.4","345.5","124"
"    Hipposideros larvatus","","59","3","50.5","40.7","69.7","30.9","198.0","125"
"    Hipposideros lekaguli","","59","2","74.0","53.5","121.9","38.8","257.7","126"
"    H. magg. maggietaylorae §)","","59","1","69.1","48.7","119.4","44.4","316.6","127"
"    H. maggietaylorae erroris §)","","59","3","54.9","40.2","86.7","33.1","208.4","128"
"    Hipposideros ridleyi","","59","3","36.2","28.4","47.1","21.1","120.3","129"
"    Hipposideros speoris","","59","2","41.7","28.7","50.7","20.4","126.5","130"
"    Hipposideros turpis","","59","3","73.3","57.3","110.0","42.6","278.9","131"
"    Aselliscus stoliczkanus","","59","3","22.7","14.2","34.3","9.8","59.1","132"
"    Aselliscus tricuspidatus","","59","3","19.7","14.0","23.1","9.8","59.1","133"
"    Rhinonycteris aurantius","","59","3","31.1","25.3","50.2","17.7","110.0","134"
"    Triaenops persicus","","59","3","38.7","26.0","66.1","17.8","108.7","135"
"NOCTILIONIDAE","TRUE","59","","","","","","","136"
"    Noctilio albiventris","","59","3","66.0","49.0","96.9","46.2","303.9","137"
"    Noctilio leporinus","","59","3","124.4","89.8","194.1","88.5","608.6","138"
"MORMOOPIDAE","TRUE","59","","","","","","","139"
"    Pteronotus gymnonotus","","59","3","44.5","25.7","70.4","22.9","159.6","140"
"    Pteronotus personatus","","59","3","28.7","18.9","45.3","15.6","107.5","141"
"    Pteronotus parnelli","","59","3","62.7","40.9","113.0","37.4","259.9","142"
"    Mormoops megalophylla","","59","3","46.0","30.8","105.7","24.4","158.4","143"
"PHYLLOSTOMIDAE","TRUE","59","","","","","","","144"
"  PHYLLOSTOMINAE","TRUE","59","","","","","","","145"
