"species_printed","is_header","source_pdf_page","TR","TSO","FUN","FGR","FCM","FCE","species_row"
"    Pipistrellus mimus","","77","1.594","0.251","0.310","0.043","0.169","0.098","131"
"    Scotozous dormeri","","77","2.783","0.442","0.543","0.115","0.295","0.133","132"
"    Nyctalus noctula","","77","5.927","0.983","1.224","0.168","0.637","0.419","133"
"    Glischropus tylopus","","77","1.609","0.292","0.318","0.045","0.166","0.107","134"
"    Eptesicus brasiliensis","","77","2.763","0.469","0.527","0.100","0.277","0.149","135"
"    Eptesicus br. melanopterus","","77","3.336","0.499","0.609","0.124","0.288","0.197","136"
"    Eptesicus flavescens","","77","3.666","0.523","0.617","0.140","0.302","0.175","137"
"    Eptesicus pumilus","","77","2.136","0.328","0.391","0.075","0.213","0.103","138"
"    Eptesicus serotinus andersoni","","77","4.676","0.714","0.903","0.188","0.412","0.304","139"
"    Ia io","","77","9.454","1.612","1.611","0.204","0.840","0.567","140"
"    Tylonycteris pachypus","","77","1.646","0.240","0.307","0.049","0.176","0.083","141"
"    Tylonycteris robustula","","77","2.383","0.331","0.464","0.075","0.265","0.124","142"
"    Hesperoptenus blanfordi","","77","2.323","0.323","0.579","0.092","0.328","0.159","143"
"    Glauconycteris humeralis","","77","2.040","0.391","0.395","0.060","0.233","0.103","144"
"    Chalinolobus gouldi","","77","3.255","0.545","0.722","0.092","0.425","0.206","145"
"    Scotorepens sanborni","","77","2.074","0.360","0.503","0.085","0.281","0.137","146"
"    Rhogeessa parvula","","77","1.478","0.215","0.275","0.051","0.161","0.064","147"
"    Scotomanes ornatus","","77","5.647","1.024","1.300","0.225","0.704","0.371","148"
"    Scotomanes sp.?","","77","3.789","0.668","0.917","0.154","0.507","0.256","149"
"    Scotophilus dinganii","","77","5.894","0.953","1.209","0.226","0.705","0.278","150"
"    Scotophilus heathi","","77","7.086","1.132","1.441","0.271","0.849","0.322","151"
"    Lasiurus borealis","","77","2.154","0.414","0.577","0.074","0.337","0.167","152"
"  MINIOPTERINAE","TRUE","77","","","","","","","153"
"    Miniopterus australis","","77","2.499","0.452","0.609","0.101","0.376","0.132","154"
"    Miniopterus magnater","","77","4.036","0.621","0.804","0.159","0.439","0.206","155"
"    Miniopterus medius","","77","3.404","0.546","0.704","0.113","0.406","0.184","156"
"    Miniopterus tristis","","77","4.406","0.747","0.770","0.129","0.451","0.190","157"
"VESPERTILIONIDAE (cont.)","TRUE","78","","","","","","","158"
"  MURININAE","TRUE","78","","","","","","","159"
"    Murina cyclotis cyclotis","","78","3.001","0.473","0.643","0.123","0.318","0.201","160"
"    Murina c. peninsularis","","78","3.278","0.523","0.647","0.129","0.325","0.193","161"
"    Murina huttoni rubella","","78","3.257","0.532","0.491","0.089","0.255","0.147","162"
"    Murina tubinaris","","78","2.772","0.424","0.512","0.096","0.255","0.161","163"
"    Harpiocephalus harpia","","78","4.516","0.728","0.832","0.139","0.443","0.249","164"
"  KERIVOULINAE","TRUE","78","","","","","","","165"
"    Kerivoula papillosa","","78","2.548","0.414","0.520","0.101","0.257","0.162","166"
"    Kerivoula pellucida","","78","1.730","0.247","0.383","0.079","0.184","0.121","167"
"    Kerivoula phalaena","","78","1.479","0.187","0.283","0.059","0.146","0.078","168"
"    Phoniscus atrox","","78","1.937","0.314","0.291","0.041","0.158","0.093","169"
"  NYCTOPHILINAE","TRUE","78","","","","","","","170"
"    Nyctophilus geoffroyi","","78","2.320","0.329","0.390","0.076","0.223","0.091","171"
