"species_row","Species_Baron1996","n","medulla_oblongata_mm3","mesencephalon_mm3","cerebellum_mm3","diencephalon_mm3","telencephalon_mm3","source_pdf_page"
150,"Anoura caudifer",3,39,24.8,74.2,29.9,214.7,60
151,"Anoura geoffroyi",3,52,34.5,109.7,41.5,320.8,60
152,"Choeroniscus minor",1,35.2,24.1,78.3,29.8,200.5,60
153,"Carollia castanea",5,43.2,30.4,71.1,32.4,247.9,60
154,"Carollia perspicillata",3,49.1,36.4,92.1,37.8,301.7,60
155,"Rhinophylla pumilio",3,31.8,22.7,52,23.7,204,60
156,"Sturnira lilium",3,50.9,33.2,96.1,45.4,358.4,60
157,"Sturnira ludovici",2,63.4,40.1,108.4,50.4,368.6,60
158,"Sturnira tildae",3,54.2,36.5,103.6,50.5,417,60
159,"Uroderma bilobatum",3,50.9,41.1,103,43.2,341.9,60
160,"Vampyrops brachycephalus",2,50.5,39.2,116.9,40.2,283.4,60
161,"Vampyrops helleri",3,44.3,34.5,94.8,35.6,283.4,60
162,"Vampyrops infuscus",1,99.7,70.6,212.7,79.2,583.1,60
163,"Vampyrops lineatus",3,60.8,44.4,130.8,50.7,406.2,60
164,"Vampyrops vittatus",2,94.1,67.1,217.4,79.5,657.8,60
165,"Vampyrodes caraccioloi",1,90.3,70.8,164.5,71.3,491.1,60
166,"Vampyressa pusilla",2,32.4,25.9,66.5,27,207.9,60
167,"Chiroderma salvini",4,71,55.1,153.9,59.4,430.7,60
168,"Chiroderma trinitatum",2,45.7,35.4,97.6,38.4,290.7,60
169,"Chiroderma villosum",3,62.3,51.6,132.5,49.8,369.9,60
170,"Chiroderma villosum ssp.",1,80.9,66.2,158.2,61.6,421.5,60
171,"Ectophylla macconnelli",2,33.4,24.3,62.8,24.5,182.1,60
172,"Artibeus cinereus",3,41.5,29.7,81.6,32.6,258.2,60
173,"Artibeus concolor",2,55.2,43.1,114.4,44.6,335.5,60
174,"Artibeus jamaicensis",3,83.7,58.9,173.8,72.6,573.4,60
175,"Artibeus lituratus",4,94.7,68.9,221.9,85.7,690.7,60
176,"Enchisthenes harti",4,44.7,32.4,81.2,37.8,282.5,60
177,"Ardops nichollsi",3,49.7,33.7,84.8,40.6,317.5,60
178,"Sphaeronycteris toxophyllum",,66.6,41.7,82.7,41.2,263.8,60
179,"Brachyphylla cavernarum",4,106.1,68.3,176.7,96.4,682.1,60
180,"Desmodus rotundus",3,80,58.3,166.4,74.9,564.8,61
181,"Diphylla ecaudata",4,63.1,53,132,63.6,446.4,61
182,"Natalus tumidirostris",3,26.6,19.2,40,18.3,129.3,61
183,"Furipterus horrens",5,16.3,12.7,28.1,9.2,53.8,61
184,"Myotis adversus",2,35.3,26.1,44,19.9,113,61
185,"Myotis albescens",3,18.1,12.9,24.3,10,54.3,61
186,"Myotis altarium",3,34,23.3,44.2,18.2,106.5,61
187,"Myotis annectans",2,30.8,20.4,36.3,17.9,102.1,61
