"species_row","Species_Baron1996","trigeminal_sensory_complex_mm3","nucleus_tractus_solitarii_mm3","funicular_nuclei_mm3","nucleus_fascicularis_gracilis_mm3","nucleus_fascicularis_cuneatus_medialis_mm3","nucleus_fascicularis_cuneatus_externus_mm3","source_pdf_page"
110,"Eptesicus flavescens",3.666,0.523,0.617,0.14,0.302,0.175,77
111,"Eptesicus pumilus",2.136,0.328,0.391,0.075,0.213,0.103,77
112,"Eptesicus serotinus andersoni",4.676,0.714,0.903,0.188,0.412,0.304,77
113,"Ia io",9.454,1.612,1.611,0.204,0.84,0.567,77
114,"Tylonycteris pachypus",1.646,0.24,0.307,0.049,0.176,0.083,77
115,"Tylonycteris robustula",2.383,0.331,0.464,0.075,0.265,0.124,77
116,"Hesperoptenus blanfordi",2.323,0.323,0.579,0.092,0.328,0.159,77
117,"Glauconycteris humeralis",2.04,0.391,0.395,0.06,0.233,0.103,77
118,"Chalinolobus gouldi",3.255,0.545,0.722,0.092,0.425,0.206,77
119,"Scotorepens sanborni",2.074,0.36,0.503,0.085,0.281,0.137,77
120,"Rhogeessa parvula",1.478,0.215,0.275,0.051,0.161,0.064,77
121,"Scotomanes ornatus",5.647,1.024,1.3,0.225,0.704,0.371,77
122,"Scotomanes sp.?",3.789,0.668,0.917,0.154,0.507,0.256,77
123,"Scotophilus dinganii",5.894,0.953,1.209,0.226,0.705,0.278,77
124,"Scotophilus heathi",7.086,1.132,1.441,0.271,0.849,0.322,77
125,"Lasiurus borealis",2.154,0.414,0.577,0.074,0.337,0.167,77
126,"Miniopterus australis",2.499,0.452,0.609,0.101,0.376,0.132,77
127,"Miniopterus magnater",4.036,0.621,0.804,0.159,0.439,0.206,77
128,"Miniopterus medius",3.404,0.546,0.704,0.113,0.406,0.184,77
129,"Miniopterus tristis",4.406,0.747,0.77,0.129,0.451,0.19,77
130,"Murina cyclotis cyclotis",3.001,0.473,0.643,0.123,0.318,0.201,78
131,"Murina c. peninsularis",3.278,0.523,0.647,0.129,0.325,0.193,78
132,"Murina huttoni rubella",3.257,0.532,0.491,0.089,0.255,0.147,78
133,"Murina tubinaris",2.772,0.424,0.512,0.096,0.255,0.161,78
134,"Harpiocephalus harpia",4.516,0.728,0.832,0.139,0.443,0.249,78
135,"Kerivoula papillosa",2.548,0.414,0.52,0.101,0.257,0.162,78
136,"Kerivoula pellucida",1.73,0.247,0.383,0.079,0.184,0.121,78
137,"Kerivoula phalaena",1.479,0.187,0.283,0.059,0.146,0.078,78
138,"Phoniscus atrox",1.937,0.314,0.291,0.041,0.158,0.093,78
139,"Nyctophilus geoffroyi",2.32,0.329,0.39,0.076,0.223,0.091,78
140,"Nyctophilus timoriensis",3.306,0.497,0.651,0.127,0.372,0.152,78
141,"Tadarida condylura",5.797,0.937,1.432,0.261,0.898,0.273,78
142,"Tadarida beccarii",3.396,0.512,0.802,0.173,0.465,0.164,78
143,"Tadarida jobensis",5.124,0.708,1.155,0.222,0.709,0.223,78
144,"Tadarida pumila",3.896,0.625,0.857,0.173,0.5,0.183,78
145,"Otomops martiensseni",9.06,1.02,2.347,0.43,1.259,0.659,78
146,"Molossops abrasus",6.339,0.866,1.555,0.336,0.797,0.422,78
147,"Molossops planirostris",2.79,0.379,0.668,0.157,0.34,0.17,78
148,"Molossus ater",6.935,0.937,1.648,0.325,0.926,0.397,78
149,"Molossus molossus",4.537,0.632,0.934,0.167,0.528,0.238,78
150,"Cheiromeles torquatus",17.602,1.76,3.936,1.097,2.142,0.697,78
