"species_printed","is_header","source_pdf_page","MOB","PAL","STR","SEP","AMY","HIP","SCH","NEO","species_row"
"    Phyllostomus elongatus","","141","20.4","33.9","43.1","8.74","32.9","49.1","25.2","226.3","156"
"    Phyllostomus hastatus","","141","42.8","65.2","73.9","14.7","46.4","79.8","48.4","438.9","157"
"    Phylloderma stenops","","141","87.4","104.5","68.8","15.8","36.2","91.7","51.0","348.3","158"
"    Trachops cirrhosus","","141","23.5","36.0","50.0","8.78","27.5","50.6","28.4","296.4","159"
"    Vampyrum spectrum","","141","92.0","121.3","114.2","19.8","50.7","110.4","65.4","757.7","160"
"PHYLLOSTOMIDAE (cant.)","TRUE","142","","","","","","","","","161"
"  GLOSSOPHAGINAE","TRUE","142","","","","","","","","","162"
"    Glossophaga longirostris","","142","12.9","19.6","20.3","6.09","12.5","38.6","17.0","92.9","163"
"    Glossophaga soricina","","142","11.5","18.5","18.7","5.80","12.0","31.4","14.9","88.0","164"
"    Monophyllus plethodon","","142","13.6","20.9","22.8","5.89","13.6","34.3","15.3","96.4","165"
"    Leptonycteris curasoae","","142","19.2","29.4","29.6","8.38","17.1","47.7","23.1","140.3","166"
"    Leptonycteris nivalis","","142","18.0","26.9","29.4","8.92","18.1","42.2","22.4","144.3","167"
"    Lonchophylla mordax","","142","11.2","18.0","21.1","6.63","13.0","38.4","15.6","97.5","168"
"    Lonchophylla thomasi","","142","9.44","15.1","15.4","4.63","10.5","33.1","13.5","76.7","169"
"    Lionycteris spurrelli","","142","10.3","14.9","16.5","4.93","9.25","29.5","13.6","81.7","170"
"    Anoura caudifer","","142","10.1","15.8","20.1","5.74","10.5","33.8","15.7","101.1","171"
"    Anoura geoffroyi","","142","18.2","25.5","32.1","8.54","16.6","49.0","24.1","146.1","172"
"    Choeroniscus minor","","142","9.35","13.1","15.5","4.76","11.4","34.5","16.5","95.4","173"
"  CAROLLIINAE","TRUE","142","","","","","","","","","174"
"    Carollia castanea","","142","20.8","26.3","21.7","6.00","13.4","38.6","16.9","104.0","175"
"    Carollia perspicillata","","142","26.3","32.7","27.2","7.16","16.1","42.9","20.0","129.1","176"
"    Rhinophylla pumilio","","142","18.8","21.9","17.1","4.42","13.2","30.3","12.7","85.6","177"
"  STURNIRINAE","TRUE","142","","","","","","","","","178"
"    Sturnira lilium","","142","28.4","37.9","34.8","8.82","18.0","45.7","23.2","161.4","179"
"    Sturnira ludovici","","142","31.3","37.2","35.3","8.68","22.4","49.4","24.3","159.7","180"
"    Sturnira tildae","","142","32.6","41.1","40.8","8.97","21.5","54.1","27.8","190.0","181"
