"species_printed","is_header","source_pdf_page","MES","MTG","MTC","INC","SUC","species_row"
"    Pipistrellus mimus","","125","10.45","4.49","5.96","4.27","1.69","131"
"    Scotozous dormeri","","125","15.16","6.57","8.59","6.05","2.54","132"
"    Nyctalus noctula","","125","37.71","17.47","20.23","14.25","5.98","133"
"    Glischropus tylopus","","125","11.20","4.90","6.30","4.35","1.95","134"
"    Eptesicus brasiliensis","","125","21.66","10.21","11.45","7.72","3.73","135"
"    Eptesicus br. melanopterus","","125","19.59","8.46","11.13","7.63","3.50","136"
"    Eptesicus flavescens","","125","21.15","8.53","12.62","8.35","4.27","137"
"    Eptesicus pumilus","","125","12.73","5.51","7.22","4.86","2.35","138"
"    Eptesicus serotinus andersoni","","125","32.55","13.88","18.67","13.40","5.27","139"
"    Ia io","","125","70.42","27.06","43.36","31.30","12.06","140"
"    Tylonycteris pachypus","","125","9.73","4.23","5.50","3.84","1.66","141"
"    Tylonycteris robustula","","125","13.43","5.74","7.70","5.37","2.32","142"
"    Hesperoptenus blanfordi","","125","19.14","8.69","10.45","7.59","2.86","143"
"    Glauconycteris humeralis","","125","16.87","6.97","9.89","7.49","2.40","144"
"    Chalinolobus gouldi","","125","23.58","11.25","12.32","8.88","3.44","145"
"    Scotorepens sanborni","","125","16.75","7.62","9.13","6.53","2.60","146"
"    Rhogeessa parvula","","125","12.91","7.76","5.15","3.66","1.49","147"
"    Scotomanes ornatus","","125","43.40","18.17","25.23","19.40","5.83","148"
"    ""~I Scotomanes sp.?","","125","34.76","16.29","18.47","14.38","4.10","149"
"    Scotophilus dinganii","","125","45.48","21.00","24.48","17.96","6.52","150"
"    Scotophilus heathi","","125","49.88","24.34","25.54","18.45","7.09","151"
"    Lasiurus borealis","","125","18.70","9.12","9.58","6.50","3.08","152"
"  MINIOPTERINAE","TRUE","125","","","","","","153"
"    Miniopterus australis","","125","17.99","9.00","8.98","6.50","2.48","154"
"    Miniopterus magnater","","125","26.89","12.06","14.82","11.05","3.77","155"
"    Miniopterus medius","","125","24.26","12.40","11.86","8.64","3.22","156"
"    Miniopterus tristis","","125","30.04","14.40","15.64","11.63","4.01","157"
"VESPERTILIONIDAE (cont.)","TRUE","126","","","","","","158"
"  MURININAE","TRUE","126","","","","","","159"
"    Murina cyclotis cyclotis","","126","21.17","9.57","11.59","7.62","3.98","160"
"    Murina c. peninsularis","","126","21.34","9.81","11.53","7.77","3.76","161"
"    Murina huttoni rubella","","126","20.38","9.78","10.60","7.09","3.51","162"
"    Murina tubinaris","","126","16.07","8.20","7.87","4.95","2.91","163"
"    Harpiocephalus harpia","","126","30.32","15.83","14.49","9.73","4.76","164"
"  KERIVOULINAE","TRUE","126","","","","","","165"
"    Kerivoula papillosa","","126","22.86","12.49","10.37","7.41","2.96","166"
"    Kerivoula pellucida","","126","19.93","10.25","9.69","7.24","2.44","167"
"    Kerivoula ph ala en a","","126","13.05","6.49","6.57","4.65","1.91","168"
"    Phoniscus atrox","","126","13.26","6.75","6.51","4.635","1.88","169"
"  NYCTOPHILINAE","TRUE","126","","","","","","170"
"    Nyctophilus geoffroyi","","126","15.46","7.20","8.26","6.17","2.09","171"
"    Nyctophilus timoriensis","","126","26.72","11.20","15.52","11.72","3.80","172"
"MOLOSSIDAE","TRUE","126","","","","","","173"
"    Tadarida condylura","","126","41.54","18.04","23.50","15.99","7.51","174"
"    Tadarida beccarii","","126","23.10","11.30","11.80","7.86","3.94","175"
"    Tadarida jobensis","","126","32.55","14.77","17.78","12.26","5.51","176"
"    Tadarida pumila","","126","27.12","12.30","14.82","10.58","4.23","177"
"    Otomops martiensseni","","126","59.87","28.14","31.73","23.11","8.62","178"
"    Molossops abrasus","","126","44.93","18.87","26.06","17.27","8.79","179"
"    Molossops planirostris","","126","19.89","8.64","11.25","7.48","3.77","180"
"    Molossus ater","","126","53.77","23.83","29.94","22.03","7.91","181"
"    Molossus molossus","","126","32.81","15.64","17.17","12.50","4.68","182"
"    Cheiromeles torquatus","","126","111.59","47.99","63.60","40.44","23.16","183"
