"species_printed","is_header","source_pdf_page","n","NET_mm3","NET_pct","VENT_mm3","VENT_pct","REST_mm3","REST_pct","species_row"
"    Nycteris hispida","","48","1","270.2","98.6","1.4","0.5","2.5","0.9","82"
"    Nycteris javanica","","48","1","447.3","98.6","2.7","0.6","3.7","0.8","83"
"    Nycteris macrotis","","48","3","367.9","98.2","2.6","0.7","4.0","1.1","84"
"    Nycteris nana","","48","3","226.2","98.5","1.0","0.4","2.6","1.1","85"
"    Nycteris thebaica","","48","3","307.6","98.6","1.2","0.4","3.0","1.0","86"
"    Nycteris tragata","","48","2","434.1","97.8","4.2","0.9","5.7","1.3","87"
"MEGADERMATIDAE","TRUE","48","","","","","","","","88"
"    Megaderma lyra","","48","6","856.2","97.8","6.3","0.7","13.1","1.5","89"
"    Megaderma spasma","","48","3","607.6","97.8","7.0","1.1","6.9","1.1","90"
"    Macroderma gigas","","48","3","1603.4","97.5","15.4","0.9","26.0","1.6","91"
"    Cardioderma cor","","48","3","631.1","97.6","6.8","1.1","8.8","1.4","92"
"    Lavia frons","","48","2","611.4","98.4","2.5","0.4","7.8","1.2","93"
"RHINOLOPHIDAE","TRUE","48","","","","","","","","94"
"    Rhinolophus cornutus","","48","2","183.5","98.0","1.4","0.7","2.4","1.3","95"
"    Rhinolophus eloquens","","48","2","382.3","98.0","2.4","0.6","5.3","1.4","96"
"    Rhinolophus hipposideros","","48","2","140.4","97.6","1.2","0.9","2.2","1.5","97"
"    Rhinolophus landeri","","48","3","262.5","98.2","2.0","0.7","2.9","1.1","98"
"    Rhinolophus lepidus","","48","3","174.8","97.9","1.5","0.8","2.3","1.3","99"
"    Rhinolophus luctus","","48","3","583.5","97.3","5.9","1.0","10.0","1.7","100"
"    Rhinolophus macrotis","","48","2","195.9","97.6","2.4","1.2","2.5","1.2","101"
"    Rhinolophus malayanus","","48","2","190.9","97.9","1.2","0.6","2.8","1.5","102"
"    Rhinolophus megaphyllus","","48","2","247.2","98.1","1.6","0.7","3.1","1.2","103"
"    Rhinolophus megaph. ssp.","","48","3","217.8","98.1","1.5","0.7","2.8","1.2","104"
"    Rhinolophus paradoxolophus","","48","1","250.1","97.0","3.3","1.3","4.3","1.7","105"
"    Rhinolophus pearsoni","","48","1","313.8","97.9","2.9","0.9","3.8","1.2","106"
"    Rhinolophus pusillus","","48","3","155.2","98.0","1.0","0.6","2.1","1.3","107"
"    Rhinolophus trifoliatus","","48","3","330.8","97.4","3.1","0.9","5.8","1.7","108"
"    Rhinolophus yunanensis","","48","2","412.9","97.4","4.8","1.1","6.0","1.4","109"
"HIPPOSIDERIDAE","TRUE","48","","","","","","","","110"
"    Hipposideros armiger","","48","3","750.9","97.2","7.2","0.9","14.1","1.8","111"
"    Hipposideros ater","","48","2","202.0","98.3","1.2","0.6","2.4","1.2","112"
"    Hipposideros ater aruensis","","48","2","179.2","97.7","1.6","0.9","2.6","1.4","113"
"    Hipposideros ater saevus","","48","3","169.2","97.9","1.5","0.8","2.2","1.3","114"
"    Hipposideros caffer","","48","3","290.1","98.2","1.7","0.6","3.6","1.2","115"
"    Hipp. c. calcaratus §)","","48","3","379.4","97.8","3.7","1.0","5.0","1.3","116"
"    Hipp. calc. cupidus §)","","48","3","316.5","97.6","2.9","0.9","4.9","1.5","117"
"    Hipposideros cervinus","","48","3","201.4","97.5","2.0","0.9","3.2","1.6","118"
"    Hipposideros commersoni","","48","3","702.6","97.1","7.7","1.1","13.6","1.9","119"
"    Hipposideros diadem a","","48","4","669.3","97.2","6.5","1.0","12.4","1.8","120"
"    Hipposideros fulvus","","48","2","222.6","97.7","2.2","1.0","3.0","1.3","121"
"HIPPOSIDERIDAE (cont.)","TRUE","49","","","","","","","","122"
"    Hipposideros halophyllus","","49","2","3","97.0","3","1.1","3","1.9","123"
"    Hipposideros lankadiva","","49","3","682.1","96.4","8.8","1.2","16.7","2.4","124"
"    Hipposideros larvatus","","49","3","389.8","97.8","3.2","0.8","5.7","1.4","125"
"    Hipposideros lekaguli","","49","2","545.8","96.8","9.3","1.7","8.6","1.5","126"
"    Hipp. m. maggietaylorae §)","","49","1","598.2","97.8","5.2","0.8","8.6","1.4","127"
"    Hipp. m. erroris §)","","49","3","423.3","97.2","5.4","1.2","6.7","1.5","128"
"    Hipposideros ridleyi","","49","3","253.0","97.8","1.8","0.7","3.9","1.5","129"
"    Hipposideros speoris","","49","2","268.0","97.8","2.7","1.0","3.4","1.2","130"
"    Hipposideros turpis","","49","3","562.1","97.2","5.9","1.0","10.2","1.8","131"
"    Aselliscus stoliczkanus","","49","3","140.2","96.8","2.0","1.4","2.6","1.8","132"
"    Aselliscus tricuspidatus","","49","3","125.8","97.3","1.2","1.0","2.3","1.8","133"
"    Rhinonycteris aurantius","","49","3","234.3","97.9","1.6","0.7","3.5","1.5","134"
"    Triaenops persicus","","49","3","257.2","98.3","1.3","0.5","3.0","1.2","135"
"NOCTILIONIDAE","TRUE","49","","","","","","","","136"
"    Noctilio albiventris","","49","3","561.9","97.5","5.2","0.9","9.2","1.6","137"
"    Noctilio leporinus","","49","3","1105.4","96.8","18.3","1.6","18.3","1.6","138"
"MORMOOPIDAE","TRUE","49","","","","","","","","139"
"    Pteronotus gymnonotus","","49","3","323.1","97.6","1.9","0.6","6.0","1.8","140"
"    Pteronotus personatus","","49","3","216.0","98.1","1.5","0.7","2.6","1.2","141"
"    Pteronotus parnelli","","49","3","513.9","98.0","4.8","0.9","5.5","1.0","142"
"    Mormoops megalophylla","","49","3","365.3","98.1","2.7","0.7","4.6","1.2","143"
"PHYLLOSTOMIDAE","TRUE","49","","","","","","","","144"
"  PHYLLOSTOMINAE","TRUE","49","","","","","","","","145"
"    Micronycteris megalotis","","49","3","258.8","97.8","2.1","0.8","3.6","1.4","146"
"    Micronycteris minuta","","49","1","269.9","97.8","1.9","0.7","4.3","1.6","147"
"    Micronycteris schmidtorum","","49","3","290.2","97.6","2.7","0.9","4.5","1.5","148"
"    Micronycteris brachyotis","","49","1","383.4","97.4","2.1","0.5","8.3","2.1","149"
"    Macrophyllum macrophyllum","","49","3","301.3","97.3","3.1","1.0","5.4","1.8","150"
"    Tonatia bidens","","49","3","745.2","98.0","4.9","0.6","10.5","1.4","151"
"    Tonatia schulzi","","49","1","475.3","96.5","6.2","1.3","10.8","2.2","152"
"    Tonatia sylvicola","","49","1","713.4","97.8","3.7","0.5","12.6","1.7","153"
"    Mimon crenulatum","","49","2","307.3","97.7","2.4","0.7","5.0","1.6","154"
"    Phyllostomus discolor","","49","3","1031.0","98.0","7.3","0.7","13.8","1.3","155"
"    Phyllostomus elongatus","","49","3","831.7","97.4","7.0","0.8","15.5","1.8","156"
"    Phyllostomus hastatus","","49","3","1438.5","98.2","11.4","0.8","14.4","1.0","157"
"    Phylloderma stenops","","49","2","1267.8","98.2","8.2","0.6","15.5","1.2","158"
"    Trachops cirrhosus","","49","2","949.2","98.0","7.0","0.7","11.9","1.2","159"
"    Vampyrum spectrum","","49","2","2449.5","98.1","23.0","0.9","24.7","1.0","160"
"PHYLLOSTOMIDAE (cont.)","TRUE","50","","","","","","","","161"
"  GLOSSOPHAGINAE","TRUE","50","","","","","","","","162"
"    Glossophaga longirostris","","50","1","3","98.7","3","0.5","3","0.8","163"
"    Glossophaga soricina","","50","3","374.8","98.8","1.9","0.5","2.6","0.7","164"
"    Monophyllus plethodon","","50","2","417.4","97.2","5.7","1.3","6.5","1.5","165"
"    Leptonycteris curasoae","","50","1","575.9","97.8","7.4","1.3","5.5","0.9","166"
"    Leptonycteris nivalis","","50","3","550.1","97.3","6.7","1.2","8.8","1.5","167"
"    Lonchophylla mordax","","50","1","410.0","98.3","2.5","0.6","4.5","1.1","168"
"    Lonchophylla thomasi","","50","1","316.3","97.3","3.0","0.9","6.0","1.8","169"
"    Lionycteris spurrelli","","50","3","334.7","98.5","1.5","0.5","3.6","1.0","170"
"    Anoura caudifer","","50","3","382.5","97.8","3.2","0.8","5.2","1.3","171"
"    Anoura geoffroyi","","50","3","558.4","98.7","2.8","0.5","4.4","0.8","172"
"    Choeroniscus minor","","50","","367.9","98.0","2.6","0.7","5.0","1.3","173"
"  CAROLLIINAE","TRUE","50","","","","","","","","174"
"    Carollia castanea","","50","5","424.9","97.4","3.6","0.8","7.8","1.8","175"
"    Carollia perspicillata","","50","3","517.0","98.1","3.5","0.7","6.4","1.2","176"
"    Rhinophylla pumilio","","50","3","334.2","97.3","3.8","1.1","5.6","1.6","177"
"  STURNIRINAE","TRUE","50","","","","","","","","178"
"    Sturnira lilium","","50","3","584.0","97.9","5.0","0.8","7.5","1.3","179"
"    Sturnira ludovici","","50","2","630.8","96.7","9.9","1.5","11.8","1.8","180"
"    Sturn ira tildae","","50","3","661.8","97.8","6.8","1.0","8.1","1.2","181"
"  STENODERMINAE","TRUE","50","","","","","","","","182"
"    Uroderma bilobatum","","50","3","580.1","98.2","3.8","0.6","6.8","1.2","183"
"    Vampyrops brachycephalus","","50","2","554.1","98.5","3.3","0.6","5.3","0.9","184"
"    Vampyrops helleri","","50","3","492.7","98.3","3.5","0.7","4.8","1.0","185"
"    Vampyrops infuscus","","50","1","1045.2","97.6","11.1","1.0","15.1","1.4","186"
"    Vampyrops lineatus","","50","3","692.9","96.9","9.2","1.3","13.1","1.8","187"
"    Vampyrops vittatus","","50","2","1115.8","98.4","6.9","0.6","11.4","1.0","188"
"    Vampyrodes caraccioloi","","50","1","888.0","97.1","6.7","0.7","19.4","2.1","189"
"    Vampyressa pusilla","","50","2","359.9","98.6","1.5","0.4","3.5","1.0","190"
"    Chiroderma salvini","","50","4","770.1","98.0","5.7","0.7","9.9","1.3","191"
"    Chiroderma trinitatum","","50","2","507.7","98.0","3.8","0.7","6.8","1.3","192"
"    Chiroderma villosum","","50","3","666.1","97.7","4.9","0.7","10.5","1.5","193"
"    Chiroderma villosum ssp.","","50","","788.4","97.8","5.6","0.7","12.0","1.5","194"
"    Ectophylla macconnelli","","50","2","327.1","98.5","1.8","0.5","3.2","1.0","195"
"    Artibeus cinereus","","50","3","443.5","98.4","2.9","0.6","4.4","1.0","196"
"    Artibeus concolor","","50","2","592.8","97.0","6.9","1.1","11.3","1.8","197"
"    Artibeus jamaicensis","","50","3","962.5","98.1","8.7","0.9","9.5","1.0","198"
"    Artibeus lituratus","","50","4","1161.9","97.6","12.9","1.1","15.4","1.3","199"
"    Enchisthenes harti","","50","4","478.7","97.0","6.2","1.3","8.4","1.7","200"
"    Ardops nichollsi","","50","3","526.3","96.5","6.7","1.2","12.4","2.3","201"
"    Sphaeronycteris toxophyllum","","50","1","496.1","98.1","3.4","0.7","6.3","1.2","202"
"  BRACHYPHYLLINAE","TRUE","50","","","","","","","","203"
"    Brachyphylla cavernarum","","50","4","1129.5","97.8","14.8","1.3","10.2","0.9","204"
"DESMODONTIDAE","TRUE","51","","","","","","","","205"
"    Desmodus rotundus","","51","3","3","97.9","3","0.9","3","1.2","206"
"    Diphylla ecaudata","","51","4","758.1","98.4","5.2","0.7","6.9","0.9","207"
"NATALIDAE","TRUE","51","","","","","","","","208"
"    Natalus tumidirostris","","51","3","233.4","98.7","1.2","0.5","1.9","0.8","209"
"FURIPTERIDAE","TRUE","51","","","","","","","","210"
"    Furipterus horrens","","51","5","120.0","97.9","0.6","0.5","1.9","1.6","211"
"VESPERTILIONIDAE","TRUE","51","","","","","","","","212"
"  VESPERTILIONINAE","TRUE","51","","","","","","","","213"
"    Myotis adversus","","51","2","238.3","97.2","3.7","1.5","3.2","1.3","214"
"    Myotis albescens","","51","3","119.6","98.4","0.8","0.6","1.2","1.0","215"
"    Myotis altarium","","51","3","226.1","97.6","2.5","1.1","3.1","1.3","216"
"    Myotis annectans","","51","2","207.5","97.3","1.7","0.8","4.1","1.9","217"
"    Myotis bechsteini","","51","1","248.9","97.3","2.8","1.1","4.2","1.6","218"
"    Myotis bocagei","","51","3","179.2","97.7","1.5","0.8","2.7","1.5","219"
"    Myotis dasycneme","","51","1","291.0","97.3","2.8","0.9","5.4","1.8","220"
"    Myotis montivagus","","51","3","157.8","96.2","2.4","1.4","3.9","2.4","221"
"    Myotis myotis","","51","3","456.1","97.4","3.4","0.7","8.6","1.8","222"
"    Myotis nattereri","","51","1","208.3","98.1","1.8","0.9","2.2","1.1","223"
"    Myotis nigricans","","51","3","129.1","98.3","0.7","0.5","1.5","1.1","224"
"    Myotis nigricans ssp.","","51","3","147.0","97.6","1.3","0.8","2.3","1.5","225"
"    Myotis siligorensis","","51","3","96.6","97.2","1.0","1.0","1.8","1.8","226"
"    Pipistrellus babu","","51","3","90.6","96.8","1.1","1.2","1.9","2.0","227"
"    Pipistrellus ceylonicus","","51","3","168.6","96.0","2.4","1.3","4.7","2.7","228"
"    Pipistrellus circumdatus","","51","3","214.0","96.4","2.8","1.3","5.2","2.3","229"
"    Pipistrellus crassulus","","51","3","125.2","98.3","0.6","0.4","1.7","1.3","230"
"    Pipistrellus imbricatus","","51","2","129.2","97.7","1.0","0.7","2.1","1.6","231"
"    Pipistrellus javanicus","","51","3","111.5","97.0","1.4","1.2","2.1","1.8","232"
"    Pipistrellus mimus","","51","3","88.1","97.1","0.8","0.9","1.9","2.0","233"
"    Pipistrellus nanus","","51","3","94.5","97.9","0.6","0.6","1.4","1.4","234"
"    Pipistrellus papuanus §)","","51","2","106.4","97.6","1.0","0.9","1.7","1.5","235"
"    Pipistrellus pulveratus","","51","3","133.7","96.9","1.4","1.0","2.9","2.1","236"
"    Pipistrellus subflavus","","51","2","117.2","97.1","1.3","1.1","2.2","1.8","237"
"    Scotozous dormeri","","51","3","133.4","96.7","1.4","1.0","3.2","2.3","238"
"    Nyctalus noctula","","51","3","338.3","96.3","4.9","1.4","8.1","2.3","239"
"    Nyctalus stenopterus","","51","2","228.9","97.2","1.7","0.7","5.0","2.1","240"
"    Glischropus tylopus","","51","3","94.1","97.4","0.7","0.7","1.8","1.9","241"
"    Eptesicus brasiliensis","","51","3","189.0","97.9","1.6","0.8","2.4","1.3","242"
"    Eptesicus br. melanopterus","","51","3","183.3","97.4","1.8","1.0","3.1","1.7","243"
"    Eptesicus flavescens","","51","2","179.5","97.9","1.2","0.7","2.7","1.5","244"
"    Eptesicus fuscus","","51","1","224.6","97.8","1.7","0.7","3.4","1.5","245"
"    Eptesicus pumilus","","51","2","115.2","97.8","0.6","0.5","2.0","1.7","246"
"    Eptesicus s. andersoni","","51","3","320.9","96.6","4.4","1.3","6.8","2.0","247"
"    Ia io","","51","1","719.3","97.9","6.1","0.8","9.1","1.2","248"
"VESPERTILIONIDAE (cant.)","TRUE","52","","","","","","","","249"
"  VESPERTILIONINAE (cant.)","TRUE","52","","","","","","","","250"
"    Tylonyeteris paehypus","","52","4","3","97.8","3","0.5","3","1.8","251"
"    Tylonyeteris robustula","","52","3","108.5","97.7","0.8","0.7","1.8","1.6","252"
"    Hesperoptenus blanfordi","","52","3","148.0","97.0","1.4","0.9","3.1","2.0","253"
"    Glaueonyeteris humeralis","","52","3","136.4","98.1","1.0","0.7","1.6","1.2","254"
"    Glaueonyeteris poensis","","52","1","194.4","98.2","1.2","0.6","2.2","1.1","255"
"    Chalinolobus gouldi","","52","2","224.8","97.0","2.1","0.9","4.8","2.1","256"
"    Chalinolobus morio","","52","2","174.0","97.9","0.9","0.5","2.7","1.5","257"
"    Seotorepens sanborni","","52","1","149.1","97.7","0.8","0.6","2.6","1.7","258"
"    Rhogeessa parvula","","52","4","106.0","98.1","0.6","0.5","1.5","1.4","259"
"    Seotomanes ornatus","","52","2","358.7","96.8","5.1","1.4","6.9","1.9","260"
"    Seotomanes sp.?","","52","3","315.8","96.8","5.3","1.6","5.2","1.6","261"
"    Seotophilus ding ani","","52","3","412.2","97.7","4.1","1.0","5.5","1.3","262"
"    Seotophilus heathi","","52","3","444.8","96.8","6.7","1.5","7.9","1.7","263"
"    Seotophilus kuhli","","52","3","320.6","97.4","3.8","1.2","4.7","1.4","264"
"    Lasiurus borealis","","52","1","161.4","98.3","0.5","0.3","2.2","1.3","265"
"  MINIOPTERINAE","TRUE","52","","","","","","","","266"
"    Miniopterus australis","","52","2","194.0","98.5","0.7","0.4","2.2","1.1","267"
"    Miniopterus haradei","","52","3","208.6","96.9","2.7","1.3","3.9","1.8","268"
"    Miniopterus inflatus","","52","3","307.8","98.1","2.3","0.7","3.6","1.1","269"
"    Miniopterus magnater","","52","3","305.7","97.8","2.2","0.7","4.8","1.5","270"
"    Miniopterus medius","","52","3","250.3","97.9","1.9","0.7","3.6","1.4","271"
"    Miniopterus pusillus","","52","3","204.7","98.2","1.2","0.6","2.6","1.2","272"
"    M. sehreibersi arenarius","","52","3","229.4","98.2","1.6","0.7","2.6","1.1","273"
"    Miniopterus s. blepotis","","52","2","291.6","97.8","2.3","0.8","4.4","1.5","274"
"    Miniopterus tristis","","52","3","313.3","97.5","3.3","1.0","4.9","1.5","275"
"  MURININAE","TRUE","52","","","","","","","","276"
"    Murina eyclotis eyclotis","","52","2","235.8","98.1","1.5","0.6","3.1","1.3","277"
"    Murina e. peninsularis","","52","2","265.6","97.9","1.7","0.6","3.9","1.4","278"
"    Murina huttoni rubella","","52","3","243.0","97.6","2.0","0.8","3.9","1.6","279"
"    Murina tubinaris","","52","2","205.1","97.9","1.4","0.7","2.9","1.4","280"
"    Harpioeephalus harpia","","52","1","417.7","97.9","3.9","0.9","5.0","1.2","281"
"  KERIVOULINAE","TRUE","52","","","","","","","","282"
"    Kerivoula papillosa","","52","","295.1","98.6","1.6","0.5","2.5","0.8","283"
"    Kerivoula pellucida","","52","","192.1","98.0","0.7","0.4","2.2","1.6","284"
"    Kerivoula phalaena","","52","","110.3","98.6","0.5","0.5","1.1","1.0","285"
"    Phoniseus atrox","","52","","178.9","98.6","0.7","0.4","1.9","1.1","286"
"  NYCTOPHILINAE","TRUE","52","","","","","","","","287"
"    Nyetophilus geoffroyi","","52","2","156.9","97.3","1.7","1.0","2.7","1.7","288"
"    Nyetophilus timoriensis","","52","2","240.6","98.1","1.1","0.5","3.4","1.4","289"
"MOLOSSIDAE","TRUE","53","","","","","","","","290"
"    Tadarida aegyptiaca","","53","3","3","97.4","3","1.2","3","1.3","291"
"    Tadarida condylura","","53","3","430.7","97.6","4.5","1.0","6.0","1.4","292"
"    Tadarida mops","","53","3","447.2","97.5","5.4","1.2","5.9","1.3","293"
"    Tadarida niveiventer","","53","3","407.0","97.6","5.4","1.3","4.6","1.1","294"
"    Tadarida beccarii","","53","2","219.1","97.4","1.8","0.8","4.0","1.8","295"
"    Tadarida jobensis","","53","1","339.6","97.7","3.4","1.0","4.5","1.3","296"
"    Tadarida leucostigma","","53","1","369.1","97.6","4.4","1.1","4.9","1.3","297"
"    Tadarida plicata plicata","","53","3","306.1","97.6","3.3","1.0","4.3","1.4","298"
"    Tadarida pumila","","53","3","228.9","97.6","2.8","1.2","2.9","1.2","299"
"    Otomops martiensseni","","53","3","714.9","98.0","8.6","1.2","6.3","0.9","300"
"    Molossops abrasus","","53","3","391.8","97.1","4.7","1.2","7.0","1.7","301"
"    Molossops greenhalli","","53","1","282.8","97.7","2.0","0.7","4.8","1.7","302"
"    Molossops planirostris","","53","2","174.2","97.6","1.3","0.7","3.0","1.7","303"
"    Eumops auripendulus","","53","3","575.7","97.4","7.0","1.2","8.1","1.4","304"
"    Eumops glaucinus","","53","2","618.0","98.0","3.9","0.6","8.4","1.3","305"
"    Molossus ater","","53","3","497.9","98.1","3.4","0.7","6.4","1.2","306"
"    Molossus molossus","","53","3","298.3","97.5","3.5","1.1","4.1","1.4","307"
"    Molossus trinitatis","","53","2","411.7","98.0","3.6","0.9","4.6","1.1","308"
"    Cheiromeles torquatus","","53","3","1275.4","97.0","14.6","1.1","24.7","1.9","309"
