"species_row","Species_Baron1996","source_concept","NCBI_id","NCBI_name","candidate_name","resolution_status","merge_eligible","source_rows_same_concept","source_rows_same_candidate","within_source_mean_required","note"
155,"Rhinophylla pumilio","Rhinophylla pumilio","138707","Rhinophylla pumilio","Rhinophylla pumilio","NCBI_exact",TRUE,1,1,FALSE,""
156,"Sturnira lilium","Sturnira lilium","27660","Sturnira lilium","Sturnira lilium","NCBI_exact",TRUE,1,1,FALSE,""
157,"Sturnira ludovici","Sturnira ludovici","192405","Sturnira ludovici","Sturnira ludovici","NCBI_exact",TRUE,1,1,FALSE,""
158,"Sturnira tildae","Sturnira tildae","27661","Sturnira tildae","Sturnira tildae","NCBI_exact",TRUE,1,1,FALSE,""
159,"Uroderma bilobatum","Uroderma bilobatum","27663","Uroderma bilobatum","Uroderma bilobatum","NCBI_exact",TRUE,1,1,FALSE,""
160,"Vampyrops brachycephalus","Vampyrops brachycephalus","249009","Platyrrhinus brachycephalus","Platyrrhinus brachycephalus","NCBI_exact",TRUE,1,1,FALSE,""
161,"Vampyrops helleri","Vampyrops helleri","27658","Platyrrhinus helleri","Platyrrhinus helleri","NCBI_exact",TRUE,1,1,FALSE,""
162,"Vampyrops infuscus","Vampyrops infuscus","574060","Platyrrhinus infuscus","Platyrrhinus infuscus","NCBI_exact",TRUE,1,1,FALSE,""
163,"Vampyrops lineatus","Vampyrops lineatus",,,"Platyrrhinus lineatus","GBIF_frozen_legacy_map",TRUE,1,1,FALSE,""
164,"Vampyrops vittatus","Vampyrops vittatus",,,"Platyrrhinus vittatus","GBIF_frozen_legacy_map",TRUE,1,1,FALSE,""
165,"Vampyrodes caraccioloi","Vampyrodes caraccioloi",,,"Vampyrodes caraccioli","GBIF_frozen_legacy_map",TRUE,1,1,FALSE,""
166,"Vampyressa pusilla","Vampyressa pusilla","148040","Vampyressa pusilla","Vampyressa pusilla","NCBI_exact",TRUE,1,1,FALSE,""
167,"Chiroderma salvini","Chiroderma salvini","27646","Chiroderma salvini","Chiroderma salvini","NCBI_exact",TRUE,1,1,FALSE,""
168,"Chiroderma trinitatum","Chiroderma trinitatum","27647","Chiroderma trinitatum","Chiroderma trinitatum","NCBI_exact",TRUE,1,1,FALSE,""
169,"Chiroderma villosum","Chiroderma villosum","33546","Chiroderma villosum","Chiroderma villosum","NCBI_exact",TRUE,2,2,TRUE,""
170,"Chiroderma villosum ssp.","Chiroderma villosum","33546","Chiroderma villosum","Chiroderma villosum","NCBI_exact",TRUE,2,2,TRUE,""
171,"Ectophylla macconnelli","Ectophylla macconnelli",,,"Mesophylla macconnelli","GBIF_frozen_legacy_map",TRUE,1,1,FALSE,""
172,"Artibeus cinereus","Artibeus cinereus","40224","Artibeus cinereus","Artibeus cinereus","NCBI_exact",TRUE,1,1,FALSE,""
173,"Artibeus concolor","Artibeus concolor","40225","Artibeus concolor","Artibeus concolor","NCBI_exact",TRUE,1,1,FALSE,""
174,"Artibeus jamaicensis","Artibeus jamaicensis","9417","Artibeus jamaicensis","Artibeus jamaicensis","NCBI_exact",TRUE,1,1,FALSE,""
175,"Artibeus lituratus","Artibeus lituratus","27634","Artibeus lituratus","Artibeus lituratus","NCBI_exact",TRUE,1,1,FALSE,""
176,"Enchisthenes harti","Enchisthenes harti",,,"Enchisthenes hartii","GBIF_frozen_legacy_map",TRUE,1,1,FALSE,""
177,"Ardops nichollsi","Ardops nichollsi","148034","Ardops nichollsi","Ardops nichollsi","NCBI_exact",TRUE,1,1,FALSE,""
