source_row,species,sex,catalogue_number,body_weight_g,brain_weight_fresh_mg,plane_of_sectioning,section_thickness_um,staining,distance_between_sections,collection_group
114,Sorex cinereus,F,3062,3.8,173,coronal,10,Cresylviolet Heidenhain-Woelke,3 6,Insectivora
115,Sorex cinereus,M,3074,3.8,173,coronal,10,Cresylviolet Heidenhain-Woelke,4 8,Insectivora
116,Sorex cinereus,F,3082,4,176,sagittal,10,Gallocyanin Heidenhain-Woelke,16 incomplete,Insectivora
117,Sorex fumeus,F,3083,5.5,235,coronal,10,Cresylviolet Heidenhain-Woelke,4 8,Insectivora
118,Sorex fumeus,M,3084,5.9,247,coronal,10,Cresylviolet Heidenhain-Woelke,3 6,Insectivora
119,Sorex minutus,F,356,4,110,coronal,20,Cresylviolet,complete,Insectivora
120,Sorex minutus,F,488,5.5,105,coronal,20,Cresylviolet,complete,Insectivora
121,Sorex minutus,M,3609,4.8,133,coronal,"10, 20",Cresylviolet,2,Insectivora
122,Sorex minutus,F,3610,3.6,114,sagittal,10,Gallocyanin Cresylviolet,12 incomplete,Insectivora
123,Sorex minutus,M,3613,3.3,147,coronal,10,Cresylviolet,4,Insectivora
124,Sorex minutus,F,3617,3,140,coronal,"10, 20",Cresylviolet,2,Insectivora
125,Microsorex hoyi,F,3085,2.6,107,coronal,10,Gallocyanin,3,Insectivora
126,Microsorex hoyi,M,3088,2.8,104,coronal,10,Cresylviolet Heidenhain-Woelke,3 6,Insectivora
127,Microsorex hoyi,M,3089,2.4,99,coronal,10,Cresylviolet,3,Insectivora
128,Microsorex hoyi,M,3992,2.93,85,sagittal,10,Gallocyanin Heidenhain-Woelke Myelin Gallyas,12 incomplete incomplete,Insectivora
129,Neomys anomalus,M,3596,9.199999999999999,281,sagittal,10,Gallocyanin MyelinGallyas,16 incomplete,Insectivora
130,Neomys anomalus,M,3597,9.699999999999999,277,coronal,20,2Cresylviolet,2,Insectivora
131,Neomys anomalus,F,3599,9.199999999999999,270,coronal,10,Cresylviolet,4,Insectivora
132,Neomys anomalus,F,3600,9.4,286,coronal,10,Cresylviolet,4,Insectivora
133,Neomys fodiens,M,399,14,350,coronal,20,Cresylviolet,complete,Insectivora
134,Neomys fodiens,M,464,15,310,coronal,20,Cresylviolet,2,Insectivora
135,Neomys fodiens,M,465,16,310,coronal,20,Cresylviolet,2,Insectivora
136,Neomys fodiens,M,993,15,300,coronal,11,Cresylviolet Heidenhain-Woelke,3 6,Insectivora
137,Neomys fodiens,M,994,162,315,coronal,10,Cresylviolet Heidenhain-Woelke,3 6,Insectivora
138,Neomys fodiens,M,997,15,300,sagittal,10,Cresylviolet Heidenhain-Woelke,3 6,Insectivora
139,Blarina brevicauda,F,3021,20.4,407,sagittal,20,Gallocyanin Heidenhain-Woelke,12 incomplete,Insectivora
140,Blarina brevicauda,F,3025,17.5,385,coronal,20,Cresylviolet Heidenhain-Woelke,2 4,Insectivora
141,Blarina brevicauda,F,3034,17.6,405,coronal,10,Cresylviolet,3,Insectivora
142,Blarina brevicauda,M,3043,18.6,402,coronal,10,Cresylviolet,3,Insectivora
143,Cryptotis parva,M,3997,9.300000000000001,242,coronal,"10, 20",Cresylviolet,2,Insectivora
144,Cryptotis parva,M,4000,8.300000000000001,247,coronal,10,Cresylviolet,4,Insectivora
145,Cryptotis parva,M,4001,10.2,250,coronal,10,Cresylviolet,4,Insectivora
146,Cryptotis parva,F,4003,10.2,241,sagittal,10,Gallocyanin Heidenhain-Woelke,20 incomplete,Insectivora
147,Crocidura attenuata,M,4416,9.300000000000001,209,coronal,20,Gallocyanin,2,Insectivora
148,Crocidura flavescens,M,A 10,40.6,470,sagittal,10,Cresylviolet Heidenhain-Woelke,10 incomplete,Insectivora
149,Crocidura flavescens,M,A 23,37,430,sagittal,10,Cresylviolet Heidenhain-Woelke,10 incomplete,Insectivora
150,Crocidura flavescens,M,A 25,40.5,460,coronal,10,Cresylviolet,4,Insectivora
151,Crocidura flavescens,M,A 31,29.5,440,sagittal,10,Cresylviolet Heidenhain-Woelke,20 incomplete,Insectivora
152,Crocidura flavescens,M,A 53,36,450,coronal,10,Cresylviolet,3,Insectivora
153,Crocidura flavescens,M,A 57,37.5,440,sagittal,15,Hematoxylin Heidenhain-Woelke Thionin,10 incomplete incomplete,Insectivora
154,Crocidura flavescens,M,A 63,19.5,480,horizontal,10,Cresylviolet,5,Insectivora
155,Crocidura flavescens,F,A 66,22.5,420,sagittal,15,Hematoxylin Heidenhain-Woelke,incomplete incomplete,Insectivora
156,Crocidura flavescens,M,A 156,25,450,coronal,"10, 20",Cresylviolet Heidenhain-Woelke,"3, 6 6, 12",Insectivora
157,Crocidura flavescens,M,162,32,420,coronal,10,Cresylviolet Heidenhain-Woelke,3 6,Insectivora
158,Crocidura hildegardeae,M,A 30,11.3,240,coronal,10,Gallocyanin Heidenhain-Woelke,4 8,Insectivora
159,Crocidura hildegardeae,M,3697,9.6,227,coronal,20,Cresylviolet,2,Insectivora
160,Crocidura hildegardeae,F,3698,6.9,198,coronal,20,Cresylviolet,2,Insectivora
161,Crocidura hildegardeae,M,3699,5.8,195,coronal,20,Cresylviolet,2,Insectivora
162,Crocidura jacksoni,F,A 363,10.3,250,coronal,10,Gallocyanin,4,Insectivora
163,Crocidura russula,M,491,10.95,190,coronal,20,Cresylviolet Gomori,2 incomplete,Insectivora
164,Crocidura russula,M,492,9.800000000000001,170,coronal,20,Cresylviolet,2,Insectivora
165,Crocidura russula,F,730,11,180,coronal,8,Cresylviolet Heidenhain-Woelke,5 20,Insectivora
166,Crocidura russula,M,731,11,190,sagittal,8,Cresylviolet Heidenhain-Woelke Azan Bodian,5 incomplete incomplete incomplete,Insectivora
167,Crocidura russula,F,940,10.7,200,coronal,10,Cresylviolet Heidenhain-Woelke,3 6,Insectivora
168,Crocidura russula,F,2997,8.699999999999999,210,coronal,20,Gallocyanin Heidenhain-Woelke,2 4,Insectivora
169,Crocidura russula,F,2998,7.1,209,coronal,20,Cresylviolet Heidenhain-Woelke,2 4,Insectivora
170,Crocidura russula,M,3001,8.6,205,coronal,10,Cresylviolet Heidenhain-Woelke,4 8,Insectivora
171,Crocidura suaveolens,F,4061,7.5,181,coronal,20,Gallocyanin,2,Insectivora
172,Crocidura suaveolens,M,4062,7.6,196,coronal,20,Gallocyanin,2,Insectivora
173,Crocidura suaveolens,M,4063,10.3,190,coronal,20,Cresylviolet,2,Insectivora
174,Suncus etruscus,F,3004,2.15,62,sagittal,10,Gallocyanin Heidenhain-Woelke Azan,4 8 incomplete,Insectivora
175,Suncus etruscus,F,3005,1.72,59,coronal,20,Hematoxylin Heidenhain-Woelke,2 4,Insectivora
176,Suncus etruscus,F,3006,1.94,61,coronal,20,Hematoxylin Heidenhain-Woelke,2 4,Insectivora
177,Suncus etruscus,M,3007,2.28,62,coronal,20,Hematoxylin Heidenhain-Woelke,2 4,Insectivora
178,Suncus murinus,M,10,38.6,350,sagittal,10,Cresylviolet Heidenhain-Woelke,5 incomplete,Insectivora
179,Suncus murinus,F,M 51,29.8,340,coronal,10,Cresylviolet Heidenhain-Woelke,6 12,Insectivora
180,Suncus murinus,M,M 62,49.6,430,sagittal,10,Gallocyanin Heidenhain-Woelke,20 incomplete,Insectivora
181,Suncus murinus,M,M 67,44.4,430,coronal,"10, 20",Cresylviolet Heidenhain-Woelke,5 10,Insectivora
182,Suncus murinus,F,M 151,25.1,360,coronal,15,Cresylviolet Heidenhain-Woelke,4 8,Insectivora
183,Suncus murinus,M,M 190,43,360,coronal,10,Cresylviolet Heidenhain-Woelke,5 10,Insectivora
184,Sylvisorex granti,F,3700,3.8,162,coronal,20,Cresylviolet,2,Insectivora
185,Sylvisorex granti,M,3701,4,165,coronal,20,Cresylviolet,2,Insectivora
186,Sylvisorex granti,F,3703,4.1,162,coronal,20,Cresylviolet,2,Insectivora
187,Sylvisorex granti,M,3704,3.5,159,sagittal,10,Gallocyanin Heidenhain-Woelke,16 incomplete,Insectivora
188,Sylvisorex megalura,M,3711,6.3,192,coronal,20,Cresylviolet,2,Insectivora
189,Sylvisorex megalura,M,3713,6.3,192,coronal,20,Cresylviolet,2,Insectivora
190,Sylvisorex megalura,F,3714,5.5,185,coronal,20,Cresylviolet,2,Insectivora
191,Sylvisorex megalura,M,3716,5.4,188,sagittal,10,Gallocyanin Heidenhain-Woelke Myelin Gallyas,16 incomplete incomplete,Insectivora
192,Ruwenzorisorex suncoides,M,3717,18.2,370,coronal,20,Cresylviolet,2,Insectivora
193,Myosorex babaulti,F,3718,17,360,coronal,20,Cresylviolet,2,Insectivora
194,Anourosorex squamipes,M,4432,18.8,384,sagittal,10,Gallocyanin Heidenhain-Woelke,20 incomplete,Insectivora
195,Anourosorex squamipes,F,4434,18.9,395,coronal,20,Gallocyanin,2,Insectivora
196,Anourosorex squamipes,F,4435,18.3,420,coronal,20,Gallocyanin,2,Insectivora
197,Anourosorex squamipes,M,4436,22.3,403,coronal,20,Cresylviolet,2,Insectivora
198,Anourosorex squamipes,M,4438,22.2,394,coronal,20,Gallocyanin,2,Insectivora
199,Scutisorex somereni,M,3719,69.09999999999999,660,sagittal,10,Gallocyanin Heidenhain-Woelke,24 incomplete,Insectivora
200,Scutisorex somereni,M,3720,38.4,604,coronal,20,Cresylviolet,3,Insectivora
201,Scutisorex somereni,M,3722,49.9,643,coronal,20,Cresylviolet,3,Insectivora
202,Scutisorex somereni,M,3723,65.09999999999999,634,coronal,20,Cresylviolet,3,Insectivora
203,Desmana moschata,F,1031,420,4100,coronal,15,Cresylviolet Heidenhain-Woelke,6 12,Insectivora
204,Desmana moschata,M,1040,498,3900,sagittal,15,Cresylviolet Heidenhain-Woelke,5 10,Insectivora
205,Desmana moschata,M,1041,410,4000,coronal,15,Cresylviolet Heidenhain-Woelke,5 10,Insectivora
206,Galemys pyrenaicus,M,935,63,1270,sagittal,10,Cresylviolet Gomori Azan Palmgren Heidenhain-Woelke Perdrau,10 incomplete incomplete incomplete incomplete incomplete,Insectivora
207,Galemys pyrenaicus,F,936,70,1310,coronal,10,Cresylviolet Heidenhain-Woelke,5 10,Insectivora
208,Galemys pyrenaicus,F,995,62.4,1360,coronal,10,Cresylviolet Heidenhain-Woelke,6 10,Insectivora
209,Galemys pyrenaicus,F,996,57.85,1355,horizontal,10,Cresylviolet Heidenhain-Woelke,4 8,Insectivora
210,Galemys pyrenaicus,M,998,48.35,1350,sagittal,10,Cresylviolet Heidenhain-Woelke Azan Hematoxylin Perdrau Palmgren Holzer,10 10 incomplete incomplete incomplete incomplete incomplete,Insectivora
211,Talpa europaea,F,323,72,1050,coronal,20,Cresylviolet,complete,Insectivora
212,Talpa europaea,F,396,78,,coronal,20,Cresylviolet,2,Insectivora
213,Talpa europaea,M,479,94.40000000000001,980,coronal,20,Cresylviolet,3,Insectivora
214,Talpa europaea,M,480,95.75,1160,sagittal,"10, 20",Cresylviolet Heidenhain-Woelke Azan Gomori Perdrau v. Giesen Bodian Hematoxylin Holzner,10 10 incomplete incomplete incomplete incomplete incomplete incomplete incomplete,Insectivora
215,Talpa europaea,F,481,73.40000000000001,940,coronal,10,Gomori,10,Insectivora
216,Talpa europaea,F,743,58,1020,coronal,10,Cresylviolet Heidenhain-Woelke Gomori Goldner,5 5 incomplete incomplete,Insectivora
217,Talpa europaea,M,1563,92.5,1060,coronal,20,Cresylviolet Heidenhain-Woelke,10 10,Insectivora
218,Talpa micrura,M,4824,41.4,816,coronal,20,Gallocyanin,3,Insectivora
219,Talpa micrura,F,4825,34,747,coronal,20,Gallocyanin,3,Insectivora
220,Parascalops breweri,M,3090,54.9,826,sagittal,"10, 20",Gallocyanin Heidenhain-Woelke,24 incomplete,Insectivora
221,Parascalops breweri,F,3091,56.9,855,coronal,20,Cresylviolet,3,Insectivora
222,Parascalops breweri,M,3092,53.2,881,coronal,20,Gallocyanin,2,Insectivora
223,Parascalops breweri,M,3093,48,885,coronal,20,Gallocyanin,3,Insectivora
224,Scalopus aquaticus,M,4004,115,1310,coronal,20,Cresylviolet,3,Insectivora
225,Tupaia glis,U,2,,,coronal,8,Cresylviolet Heidenhain-Woelke Azan Gomori,5 10 incomplete incomplete,Scandentia
226,Tupaia glis,U,3,,,sagittal,8,Cresylviolet Heidenhain-Woelke,5 10,Scandentia
227,Tupaia glis,M,969,165,2930,coronal,20,Cresylviolet Heidenhain-Woelke,5 10,Scandentia
228,Tupaia glis,M,970,149,3400,sagittal,20,Cresylviolet Heidenhain-Woelke Gomori Azan Palmgren Perdrau,5 10 5 5 10 10,Scandentia
229,Tupaia glis,F,999,143.3,3130,coronal,10,Cresylviolet Heidenhain-Woelke,10 20,Scandentia
230,Tupaia glis,F,1016,,,horizontal,10,Cresylviolet Heidenhain-Woelke,10 20,Scandentia
231,Tupaia glis,M,1073,200,3210,coronal,20,Cresylviolet Heidenhain-Woelke,5 10,Scandentia
232,Tupaia glis,M,1109,133,3770,coronal,15,Cresylviolet Heidenhain-Woelke,6 12,Scandentia
233,Tupaia glis,F,1576,180,3520,coronal,20,Cresylviolet Heidenhain-Woelke,5 10,Scandentia
234,Tupaia glis,F,1577,198,3380,coronal,22.5,Cresylviolet Heidenhain-Woelke,5 10,Scandentia
235,Tupaia glis,F,1578,181,3480,coronal,100,Golgi-Cox,6,Scandentia
236,Tupaia glis,M,1582,203,3260,coronal,10,Cresylviolet Heidenhain-Woelke,10 20,Scandentia
237,Tupaia glis,F,1583,178,3120,coronal,25,Cresylviolet Heidenhain-Woelke,4 8,Scandentia
238,Tupaia glis,F,1584,177,3320,coronal,80,Golgi-Cox,6,Scandentia
239,Tupaia glis,M,1609,164.2,3040,coronal,20,Cresylviolet Heidenhain-Woelke,6 12,Scandentia
240,Tupaia glis,M,1610,166,3050,coronal,20,Cresylviolet Heidenhain-Woelke,6 12,Scandentia
241,Tupaia glis,M,1627,221,3060,coronal,20,Cresylviolet Heidenhain-Woelke,10 20,Scandentia
242,Tupaia glis,M,1628,193,3020,coronal,20,Cresylviolet Heidenhain-Woelke,10 20,Scandentia
243,Tupaia glis,F,1629,179,3070,coronal,20,Cresylviolet Heidenhain-Woelke,10 10,Scandentia
244,Tupaia glis,F,1630,141,3040,coronal,20,Cresylviolet Heidenhain-Woelke,10 20,Scandentia
245,Tupaia glis,M,1632,153,3070,coronal,20,Cresylviolet Heidenhain-Woelke,10 20,Scandentia
246,Tupaia glis,F,1633,155,3410,coronal,20,Hematxylin Heidenhain-Woelke,10 20,Scandentia
247,Tupaia glis,M,1634,163,3380,coronal,20,Cresylviolet Heidenhain-Woelke,10 20,Scandentia
248,Tupaia glis,F,1635,165,3140,coronal,20,Hematoxylin,10,Scandentia
249,Tupaia glis,M,1636,167,3120,coronal,20,Cresylviolet Heidenhain-Woelke,10 20,Scandentia
250,Tupaia glis,F,1637,158,3240,coronal,20,Hematoxylin Heidenhain-Woelke,10 20,Scandentia
251,Tupaia glis,F,1639,139,2820,coronal,"20, 10, 4",Hematoxylin Heidenhain-Woelke,10 20,Scandentia
