Organism,Genus,Species,Common name,VA,MT,SUBSTRATE,METHOD DETAILS,SECONDARY SOURCE,PRIMARY SOURCE 1,PRIMARY SOURCE 2,SPECIES IN PRIMARY REFERENCE,NOTE,PROCEDURE NOTE
Macroderma gigas,Macroderma,gigas,Australian false vampire bat ,1.90,A,,,Veilleaux and Kirk 2014,"Pettigrew et al., 1998",,,,
Macropus eugenii,Macropus,eugenii,Tammar wallaby ,2.70,B,,,Veilleaux and Kirk 2014,"Pettigrew et al., 1998",,,,
Macropus fuliginosus,Macropus,fuliginosus,Western grey kangaroo,11.23,A,,,Veilleaux and Kirk 2014,"Ross and Kirk, 2007",59,,,
Megaderma lyra,Megaderma,lyra,Greater false vampire bat ,1.50,A,,,Veilleaux and Kirk 2014,"Pettigrew et al., 1998",,,,
Meriones unguiculatus,Meriones,unguiculatus,Mongolian gerbil,1.80,B,,,Veilleaux and Kirk 2014,102,103,,,
Mesocricetus auratus,Mesocricetus,auratus,Golden hamster,0.50,B,,,Veilleaux and Kirk 2014,107,,,,
Microcebus murinus,Microcebus,murinus,Gray mouse lemur ,4.20,A,,,Veilleaux and Kirk 2014,91,,,,
Monodelphis domestica,Monodelphis,domestica,opossum,0.58,B,,optokinetic drum,Dooley et al 2012,Dooley et al 2012,,,Other,
Mus musculus,Mus,musculus,House mouse,0.50,B,,,Veilleaux and Kirk 2014,109,,,,
Mustela nivalis,Mustela,nivalis,Least weasel ,2.20,,,,Veilleaux and Kirk 2014,26,,,,
Mustela putorius,Mustela,putorius,European polecat ,3.57,B,,,Veilleaux and Kirk 2014,27,,,,
Myotis daubentonii,Myotis,daubentonii,Daubenton's bat,0.10,B,,,Veilleaux and Kirk 2014,34,,,,
Myotis lucifugus,Myotis,lucifugus,Little brown bat ,0.10,B,,,Kirk and Kay 2004,"Suthers, 1966",,,Not included in Veilleaux and Kirk 2014,
Myotis mystacinus,Myotis,mystacinus,Whiskered bat,0.10,B,,,Veilleaux and Kirk 2014,34,,,,
Myrmecobius fasciatus,Myrmecobius,fasciatus,Numbat ,5.20,B,,,Veilleaux and Kirk 2014,50,,,,
Neotoma floridana,Neotoma,floridana,wood rat ,2.3,A,,ganglion cell density,Heffner and Heffner 1992,Heffner and Heffner 1992,,,From Heffner spreadsheet,
