Species,measure_class,Measure,Units,Value,Value_median,n_sources,n_teams,n_teams_primary,primary_used,Teams,roles,value_min,value_max
Apodemus flavicollis,gait,Phase,percent,28.77,28.77,1,1,1,True,Wimberly,primary,28.77,28.77
Archaeolemur edwardsi,manipulation,Tool_use,category,0,,1,1,0,False,Baker,secondary,,
Archaeolemur edwardsi,hand_morphology,log10_mc1_mm,log10 mm,1.22010808804006,1.22010808804006,1,1,1,True,Baker,primary,1.22010808804006,1.22010808804006
Archaeolemur edwardsi,hand_morphology,log10_mc2_mm,log10 mm,1.53360261067211,1.53360261067211,1,1,1,True,Baker,primary,1.53360261067211,1.53360261067211
Archaeolemur edwardsi,hand_morphology,log10_mc3_mm,log10 mm,1.55347846724629,1.55347846724629,1,1,1,True,Baker,primary,1.55347846724629,1.55347846724629
Archaeolemur edwardsi,hand_morphology,log10_mc4_mm,log10 mm,1.55730665030574,1.55730665030574,1,1,1,True,Baker,primary,1.55730665030574,1.55730665030574
Archaeolemur edwardsi,hand_morphology,log10_mc5_mm,log10 mm,1.55910828936663,1.55910828936663,1,1,1,True,Baker,primary,1.55910828936663,1.55910828936663
Archaeolemur majori,manipulation,Tool_use,category,0,,1,1,0,False,Baker,secondary,,
Archaeolemur majori,hand_morphology,log10_mc2_mm,log10 mm,1.5854607295085,1.5854607295085,1,1,1,True,Baker,primary,1.5854607295085,1.5854607295085
Archaeolemur majori,hand_morphology,log10_mc4_mm,log10 mm,1.52762990087134,1.52762990087134,1,1,1,True,Baker,primary,1.52762990087134,1.52762990087134
Archaeolemur majori,hand_morphology,log10_mc5_mm,log10 mm,1.54468802230268,1.54468802230268,1,1,1,True,Baker,primary,1.54468802230268,1.54468802230268
Arctictis binturong,gait,Duty_Factor,percent,70.64,70.64,1,1,1,True,Wimberly,primary,70.64,70.64
Arctictis binturong,gait,Gait,category,LSLC,,1,1,1,True,Wimberly,primary,,
Arctictis binturong,gait,Phase,percent,21.41,21.41,1,1,1,True,Wimberly,primary,21.41,21.41
Arctocebus calabarensis,manipulation,Tool_use,category,0,,1,1,0,False,Baker,secondary,,
Arctocebus calabarensis,vocalization,VocalRepertoire,count,2,2,1,1,1,True,Schniter,primary,2,2
Arctocebus calabarensis,hand_morphology,log10_ip4_mm,log10 mm,0.768175445955215,0.768175445955215,1,1,1,True,Baker,primary,0.768175445955215,0.768175445955215
Arctocebus calabarensis,hand_morphology,log10_mc3_mm,log10 mm,0.906335041805091,0.906335041805091,1,1,1,True,Baker,primary,0.906335041805091,0.906335041805091
Arctocebus calabarensis,hand_morphology,log10_mc5_mm,log10 mm,0.868203455637116,0.868203455637116,1,1,1,True,Baker,primary,0.868203455637116,0.868203455637116
Arctocebus calabarensis,hand_morphology,log10_pp3_mm,log10 mm,0.838219221907626,0.838219221907626,1,1,1,True,Baker,primary,0.838219221907626,0.838219221907626
Ardipithecus ramidus,manipulation,Tool_use,category,0,,1,1,0,False,Baker,secondary,,
Ardipithecus ramidus,hand_morphology,log10_dp1_mm,log10 mm,1.16435285578444,1.16435285578444,1,1,1,True,Baker,primary,1.16435285578444,1.16435285578444
Ardipithecus ramidus,hand_morphology,log10_ip3_mm,log10 mm,1.55266821611219,1.55266821611219,1,1,1,True,Baker,primary,1.55266821611219,1.55266821611219
Ardipithecus ramidus,hand_morphology,log10_ip4_mm,log10 mm,1.54406804435028,1.54406804435028,1,1,1,True,Baker,primary,1.54406804435028,1.54406804435028
Ardipithecus ramidus,hand_morphology,log10_mc1_mm,log10 mm,1.54654266347813,1.54654266347813,1,1,1,True,Baker,primary,1.54654266347813,1.54654266347813
Ardipithecus ramidus,hand_morphology,log10_mc4_mm,log10 mm,1.77451696572855,1.77451696572855,1,1,1,True,Baker,primary,1.77451696572855,1.77451696572855
Ardipithecus ramidus,hand_morphology,log10_mc5_mm,log10 mm,1.7427251313047,1.7427251313047,1,1,1,True,Baker,primary,1.7427251313047,1.7427251313047
Ardipithecus ramidus,hand_morphology,log10_pp1_mm,log10 mm,1.40993312333129,1.40993312333129,1,1,1,True,Baker,primary,1.40993312333129,1.40993312333129
