Species,VA,Common,Substrate,Lowest.audible.frequency,Highest.Audible.Frequency,Functional.head.size,best.frequency,best.sensitivity,Hearing.range,Sound.localization.threshold,Delta.t,Field.of.best.vision,Visual.acuity,Binocular.field.in.deg,Trophic.level,VA.Max.orig,VA_Hearingdata,VA.Max
Didelphis_marsupialis,1.25,,,,,,,,,,,,,,,1.25,VA_Hearingdata,1.25
Didelphis_virginiana,2.49,Virginia opossum,,1.03,68,273,,,,4.6,273,15.8,1.8,77,4,4.29,VA_Hearingdata,4.29
Dipodomys_merriami,,kangaroo rat,,0.042,52,90,1,9,,27,90,,,20,5,,VA_Hearingdata,0
Eidolon_helvum,3.4,Straw-colored fruit bat,,1.38,41,145,8,10,,11.7,,45.5,3.4,,,6.8,VA_Hearingdata,6.8
Elephas_maximus,,elephant,,0.017,10.5,3378.09357,1,8,,1.2,3350,,,80,3,,VA_Hearingdata,0
Ellobius_lutescens,0.4,,,,,,,,,,,,,,,0.4,VA_Hearingdata,0.4
Ellobius_talpinus,0.9,,,,,,,,,,,,,,,0.9,VA_Hearingdata,0.9
Enhydra_lutris,4.2,,,,,,,,,,,,,,,4.2,VA_Hearingdata,4.2
Eptesicus_fuscus,0.5,big brown bat,,3.7,104,55,20,7,,14,,139,0.5,,,1,VA_Hearingdata,1
Equus_caballus,23.3,horse,,0.055,33.5,687.5712868,2,7,,25,684,,,28,5,23.3,VA_Hearingdata,23.3
Erythrocebus_patas,,patas monkey,,0.245,30.5,,8,14,6.96,,,,,,,,VA_Hearingdata,0
Eschrichtius_robustus,2.7,,,,,,,,,,,,,,,2.7,VA_Hearingdata,2.7
Eulemur_fulvus,,brown lemur,,0.072,43,272.2614518,8,-1,9.22,,,,,,,,VA_Hearingdata,0
Eulemur_macaco,5.14,,,,,,,,,,,,,,,5.14,VA_Hearingdata,5.14
Eumetopias_jubatus,4.2,,,,,,,,,,,,,,,4.2,VA_Hearingdata,4.2
Felis_catus,8.85,domestic cat,,0.055,79,258.8243748,8,-10,,5.7,258,4.9,9,105,1,17.85,VA_Hearingdata,17.85
Galago_senegalensis,6.7,bushbaby,,0.092,65,211.7732441,32,3,9.46,,,,,,,6.7,VA_Hearingdata,6.7
Geomys_bursarius,1.7,pocket gopher,,0.27,8.7,113.1009104,2,24,,90,111,166,1.7,4,5,3.4,VA_Hearingdata,3.4
Giraffa_camelopardalis,25.46,,,,,,,,,,,,,,,25.46,VA_Hearingdata,25.46
Hemiechinus_auritus,,hedgehog,,0.52,59.55177405,167,,,,19,167,,,35,2,,VA_Hearingdata,0
Heterocephalus_glaber,0.44,naked mole rat,,0.065,11.5,62.06511605,4,35,,63,,,,,,0.44,VA_Hearingdata,0.44
Homo_sapiens,64,human,,0.031,17.6,870.5415837,4,-10,9.15,1.3,875,0.7,67,105,2,131,VA_Hearingdata,131
Hydrochoerus_hydrochaeris,5.8,,,,,,,,,,,,,,,5.8,VA_Hearingdata,5.8
Inia_geoffrensis,0.8,Amazon river dolphin,,,99.81725297,79.40727533,,,,1.1,80,,,,1,0.8,VA_Hearingdata,0.8
Lagenorhynchus_obliquidens,5,,,,,,,,,,,,,,,5,VA_Hearingdata,5
Lemmus_lemmus,0.83,,,,,,,,,,,,,,,0.83,VA_Hearingdata,0.83
Lemur_catta,6.7,Ring-tailed lemur,,0.067,58,280,8,3,9.76,,,,,,,6.7,VA_Hearingdata,6.7
Loxodonta_africana,13.16,,,,,,,,,,,,,,,13.16,VA_Hearingdata,13.16
Lynx_lynx,8,,,,,,,,,,,,,,,8,VA_Hearingdata,8
Macaca_fascicularis,46,crab-eating macaque,,,42,412.4032269,1,1,,,,,,,,46,VA_Hearingdata,46
Macaca_fuscata,,Japanese macaque,,0.028,34.5,460.7181301,1,5,10.29,5,424,4.3,46.8,111,2,46.8,VA_Hearingdata,46.8
Macaca_mulatta,53.6,rhesus macaque,,0.044322889,42,421.6451931,8,4,,,,,,,,53.6,VA_Hearingdata,53.6
Macaca_nemestrina,46,pigtailed macaque,,,34.5,474.5890902,1.8,5,,,,,,,,46,VA_Hearingdata,46
Macroderma_gigas,1.9,,,,,,,,,,,,,,,1.9,VA_Hearingdata,1.9
Macropus_eugenii,2.7,,,,,,,,,,,,,,,2.7,VA_Hearingdata,2.7
Macropus_fuliginosus,11.23,,,,,,,,,,,,,,,11.23,VA_Hearingdata,11.23
Marmota_monax,,groundhog,,0.04,27.5,290.7697263,4,21,,27.8,,90.2,,,,,VA_Hearingdata,0
Megaderma_lyra,1.5,ground-gleaning bat,,1.7,,,,,,,,,,,,1.5,VA_Hearingdata,1.5
Meriones_unguiculatus,1.8,mongolian gerbil,,0.036,58,87,2.9,3,,27,87,200,2,48,4,3.8,VA_Hearingdata,3.8
Mesocricetus_auratus,0.5,hamster,,0.096,46.5,114,,,,18.8,,97.97621633,,,,0.5,VA_Hearingdata,0.5
Microcebus_murinus,4.2,,,,,,,,,,,,,,,4.2,VA_Hearingdata,4.2
Mirounga_angustirostris,,northern elephant seal_in air,Air,0.66,23,,6.4,44,,,,,,,,,VA_Hearingdata,0
Monodelphis_domestica,0.58,short-tailed opossum,,3.6,77,114,,20,,,,,,,,0.58,VA_Hearingdata,0.58
Mus_musculus,0.5,house mouse_ domestic ,,0.9,79,61.86157186,15,5,,33,,113.7826249,,,,0.5,VA_Hearingdata,0.5
Mustela_nivalis,2.2,least weasel,,0.051,60.5,76,2,-8,,12,76,23,2.2,69,1,4.4,VA_Hearingdata,4.4
Mustela_putorius,3.57,ferret,,0.036,42,180,,,,8.5,180,19.38131107,,,1,3.57,VA_Hearingdata,3.57
Myotis_daubentonii,0.1,,,,,,,,,,,,,,,0.1,VA_Hearingdata,0.1
Myotis_lucifugus,0.1,little brown bat,,10.3,115,41,40,10,,,,,,,,0.1,VA_Hearingdata,0.1
Myotis_mystacinus,0.1,,,,,,,,,,,,,,,0.1,VA_Hearingdata,0.1
Myrmecobius_fasciatus,5.2,,,,,,,,,,,,,,,5.2,VA_Hearingdata,5.2
Neotoma_floridana,2.3,wood rat,,0.94,56,116.9718372,8,-3,,19,115,156.2,2.3,85,5,4.6,VA_Hearingdata,4.6
Noctilio_leporinus,,fish-catching bat,,6.118698132,111.6877902,87,56,3,,,,,,,,,VA_Hearingdata,0
Nycticebus_coucang,,slow loris,,0.083,44,219.5870776,16,9,9.05,,,,,,,,VA_Hearingdata,0
Nyctophilus_gouldi,0.6,,,,,,,,,,,,,,,0.6,VA_Hearingdata,0.6
Odobenus_rosmarus,3.8,,,,,,,,,,,,,,,3.8,VA_Hearingdata,3.8
Odocoileus_virginianus,,whitetail deer,,0.115,54,801,8,-3,,,,,,,,,VA_Hearingdata,0
Onychomys_leucogaster,2.3,grasshopper mouse,,1.85,68,61.38461181,8,9,,19.3,61,68.5,2.3,52,2,4.6,VA_Hearingdata,4.6
Orcinus_orca,,killer whale,,0.679380131,99.0544646,256.9809559,,,,,,,,,,,VA_Hearingdata,0
Ornithorhynchus_anatinus,1.8,,,,,,,,,,,,,,,1.8,VA_Hearingdata,1.8
Oryctolagus_cuniculus,3,domestic rabbit,,0.096,49,252.869454,4,4,,,,,,,,3,VA_Hearingdata,3
Otolemur_crassicaudatus,4.8,,,,,,,,,,,,,,,4.8,VA_Hearingdata,4.8
Ovis_aries,5.61,sheep,,0.125,42,677.8023235,10,-6,,,,,,,,5.61,VA_Hearingdata,5.61
Phoca_groenlandica,,harp seal_in water,Water,,91,120,,,,,,,,,,,VA_Hearingdata,0
Pan_troglodytes,64.28,chimpanzee,,,28.5,657.1298294,8,3,,,,,,,,64.28,VA_Hearingdata,64.28
Papio_cynocephalus,,yellow baboon,,0.045,40,579.9909544,8,0,9.8,,,,,,,,VA_Hearingdata,0
Perodicticus_potto,,potto,,0.125,42,221.1996987,16,1,8.39,,,,,,,,VA_Hearingdata,0
Peromyscus_maniculatus,0.56,,,,,,,,,,,,,,,0.56,VA_Hearingdata,0.56
Phascolarctos_cinereus,2.4,,,,,,,,,,,,,,,2.4,VA_Hearingdata,2.4
Phoca_vitulina,3.6,harbor seal_in air,Air,,23.21132528,376.8004484,,,,3.2,378,,3.6,,1,7.2,VA_Hearingdata,7.2
Phocoena_phocoena,2.7,,,,,,,,,,,,,,,2.7,VA_Hearingdata,2.7
Phocoenoides_dalli,2.6,,,,,,,,,,,,,,,2.6,VA_Hearingdata,2.6
Phyllostomus_hastatus,0.17,greater spear-nosed bat,,1.8,105,108,20,1,,9.5,,51,1.2,,,1.37,VA_Hearingdata,1.37
Phyllotis_darwini,,Darwins leaf-eared mouse,,1.55,73.5,64.18932106,11,-3,,,,,,,,,VA_Hearingdata,0
Plecotus_auritus,1,,,,,,,,,,,,,,,1,VA_Hearingdata,1
Pseudorca_crassidens,3.3,False Killer Whale,,3.4,104,,,,,,,,,,,3.3,VA_Hearingdata,3.3
Pteropus_giganteus,1.7,,,,,,,,,,,,,,,1.7,VA_Hearingdata,1.7
Pteropus_poliocephalus,5.5,,,,,,,,,,,,,,,5.5,VA_Hearingdata,5.5
Pteropus_scapulatus,4,,,,,,,,,,,,,,,4,VA_Hearingdata,4
Pusa_hispida,,ringed seal,,,70,80,,,,,,,,,,,VA_Hearingdata,0
Rangifer_tarandus,,reindeer,,0.07,37.7,548,,,,,,,,,,,VA_Hearingdata,0
Rattus_norvegicus,1.6,Norway rat_ albino ,,0.53,70.5,151.7174015,8,0,,11.1,150,,,76,4,1.6,VA_Hearingdata,1.6
Rhinolophus_ferrumequinum,,horseshoe bat,,4.3,104.241719,55,,,,,,,,,,,VA_Hearingdata,0
Rhinolophus_rouxii,0.4,,,,,,,,,,,,,,,0.4,VA_Hearingdata,0.4
Rousettus_aegyptiacus,3.15,Egyptian fruit bat,,2.25,64,135,,,,11.6,,27,3.15,,,6.3,VA_Hearingdata,6.3
Rousettus_madagascariensis,3,,,,,,,,,,,,,,,3,VA_Hearingdata,3
Saguinus_midas,24.87,,,,,,,,,,,,,,,24.87,VA_Hearingdata,24.87
Saimiri_sciureus,40.5,squirrel monkey,,0.1,43,304.2910732,8,4.5,8.75,,,,,,,40.5,VA_Hearingdata,40.5
Sarcophilus_harrisii,4.75,,,,,,,,,,,,,,,4.75,VA_Hearingdata,4.75
Sciurus_carolinensis,3.9,,,,,,,,,,,,,,,3.9,VA_Hearingdata,3.9
Sciurus_griseus,3.9,,,,,,,,,,,,,,,3.9,VA_Hearingdata,3.9
Sciurus_niger,3.9,fox squirrel,,0.113,49,157.3153444,8,1,,,,,,,,3.9,VA_Hearingdata,3.9
Setonix_brachyurus,4,,,,,,,,,,,,,,,4,VA_Hearingdata,4
Sigmodon_hispidus,,cotton rat,,1,72,66.61029397,8,-6,,,,,,,,,VA_Hearingdata,0
Sminthopsis_crassicaudata,2.36,,,,,,,,,,,,,,,2.36,VA_Hearingdata,2.36
Sotalia_fluviatilis,1.2,,,,,,,,,,,,,,,1.2,VA_Hearingdata,1.2
Nannospalax_ehrenbergi,,blind mole rat,,0.054,5.9,88.47333829,1,32,,180,,,,,,,VA_Hearingdata,0
Otospermophilus_beecheyi,4,,,,,,,,,,,,,,,4,VA_Hearingdata,4
Suricata_suricatta,6.3,,,,,,,,,,,,,,,6.3,VA_Hearingdata,6.3
Sus_scrofa,9.92,pig,,0.042,40.5,500.0589765,8,9,,4.6,498,11.6,8,47,2,17.92,VA_Hearingdata,17.92
Sylvilagus_floridanus,,eastern cottontail,,0.275116877,56.49404724,123.2042231,,,,,,,,,,,VA_Hearingdata,0
Tachyglossus_aculeatus,1.69,,,,,,,,,,,,,,,1.69,VA_Hearingdata,1.69
Tamias_striatus,,eastern chipmunk,,0.039,52,108.5945027,1,17,,,,,,,,,VA_Hearingdata,0
Taphozous_georgianus,1.3,,,,,,,,,,,,,,,1.3,VA_Hearingdata,1.3
Tarsipes_rostratus,0.63,,,,,,,,,,,,,,,0.63,VA_Hearingdata,0.63
Carlito_syrichta,8.89,,,,,,,,,,,,,,,8.89,VA_Hearingdata,8.89
Thylamys_venustus,,mouse opossum,,3.8,80,60,,33,,,,,,,,,VA_Hearingdata,0
Trichosurus_vulpecula,4.8,,,,,,,,,,,,,,,4.8,VA_Hearingdata,4.8
Tupaia_belangeri,2.4,,,,,,,,,,,,,,,2.4,VA_Hearingdata,2.4
Tupaia_glis,4.7,tree shrew,,0.11,61,136.7060186,,,,,,,,,,4.7,VA_Hearingdata,4.7
Tursiops_truncatus,3.8,Common bottlenose dolphin,,0.130678217,133.0481993,74.35825719,,,,,,,,,,3.8,VA_Hearingdata,3.8
Vicugna_pacos,,alpaca,,0.04,32.8,544,8,-0.5,9.7,23,,,,,,,VA_Hearingdata,0
Zalophus_californianus,5.7,sea lion_in air,Air,0.18,33,392,,,,8.8,392,,4.3,,1,10,VA_Hearingdata,10
