dataset,species_key,cited_source,protocol_implied,dataset_value_mm3,stephan_1981_cerebellum_mm3,matano_1985b_ventral_pons_mm3,stephan_minus_pons_mm3,macleod_2003_cerebellum_mm3,pct_vs_stephan_raw,pct_vs_stephan_minus_pons,pct_vs_macleod,in_macleod_table
DeCasien_Higham_2019,pan paniscus,MacLeod_etal_2003 (ref 61),sensu_stricto_no_pons_no_peduncles,47300,NA,NA,NA,44175,NA,NA,6.6,TRUE
DeCasien_Higham_2019,pan troglodytes troglodytes,MacLeod_etal_2003 (ref 61),sensu_stricto_no_pons_no_peduncles,46778.6,NA,NA,NA,NA,NA,NA,NA,FALSE
DeCasien_Higham_2019,papio cynocephalus,MacLeod_etal_2003 (ref 61),sensu_stricto_no_pons_no_peduncles,13825,NA,NA,NA,13600,NA,NA,1.6,TRUE
DeCasien_Higham_2019,pongo pygmaeus,MacLeod_etal_2003 (ref 61),sensu_stricto_no_pons_no_peduncles,44537.5,NA,NA,NA,49800,NA,NA,10.6,TRUE
DeCasien_Higham_2019,saimiri sciureus,MacLeod_etal_2003 (ref 61),sensu_stricto_no_pons_no_peduncles,2000,2260,135.2,2124.8,2050,11.5,5.9,2.4,TRUE
DeCasien_Higham_2019,alouatta seniculus,Stephan_etal_1981 (ref 24),with_pons_and_peduncles,5699,NA,394.3,NA,NA,NA,NA,NA,FALSE
DeCasien_Higham_2019,aotus trivirgatus,Stephan_etal_1981 (ref 24),with_pons_and_peduncles,1873,1873,112.1,1760.9,NA,0,6,NA,FALSE
DeCasien_Higham_2019,ateles geoffroyi,Stephan_etal_1981 (ref 24),with_pons_and_peduncles,12438,12438,813.3,11624.7,NA,0,6.5,NA,FALSE
DeCasien_Higham_2019,avahi laniger,Stephan_etal_1981 (ref 24),with_pons_and_peduncles,1489,NA,NA,NA,NA,NA,NA,NA,FALSE
DeCasien_Higham_2019,avahi occidentalis,Stephan_etal_1981 (ref 24),with_pons_and_peduncles,1383,NA,NA,NA,NA,NA,NA,NA,FALSE
DeCasien_Higham_2019,callimico goeldii,Stephan_etal_1981 (ref 24),with_pons_and_peduncles,1240,1240,NA,NA,NA,0,NA,NA,FALSE
DeCasien_Higham_2019,callithrix jacchus,Stephan_etal_1981 (ref 24),with_pons_and_peduncles,757,757,38.8,718.2,NA,0,5.1,NA,FALSE
DeCasien_Higham_2019,callithrix pygmaea,Stephan_etal_1981 (ref 24),with_pons_and_peduncles,468,NA,NA,NA,NA,NA,NA,NA,FALSE
DeCasien_Higham_2019,cebus albifrons,Stephan_etal_1981 (ref 24),with_pons_and_peduncles,7871,NA,682.2,NA,NA,NA,NA,NA,FALSE
DeCasien_Higham_2019,cercopithecus ascanius,Stephan_etal_1981 (ref 24),with_pons_and_peduncles,5828,5828,520.2,5307.8,NA,0,8.9,NA,FALSE
DeCasien_Higham_2019,cercopithecus mitis,Stephan_etal_1981 (ref 24),with_pons_and_peduncles,6758,6758,517.6,6240.4,NA,0,7.7,NA,FALSE
DeCasien_Higham_2019,cheirogaleus major,Stephan_etal_1981 (ref 24),with_pons_and_peduncles,947,947,27.4,919.6,NA,0,2.9,NA,FALSE
DeCasien_Higham_2019,cheirogaleus medius,Stephan_etal_1981 (ref 24),with_pons_and_peduncles,437,437,13,424,NA,0,3,NA,FALSE
DeCasien_Higham_2019,daubentonia madagascariensis,Stephan_etal_1981 (ref 24),with_pons_and_peduncles,6461,NA,NA,NA,NA,NA,NA,NA,FALSE
DeCasien_Higham_2019,erythrocebus patas,Stephan_etal_1981 (ref 24),with_pons_and_peduncles,8738,8738,814.5,7923.5,NA,0,9.3,NA,FALSE
DeCasien_Higham_2019,eulemur fulvus fulvus,Stephan_etal_1981 (ref 24),with_pons_and_peduncles,3328,NA,NA,NA,NA,NA,NA,NA,FALSE
DeCasien_Higham_2019,galago senegalensis,Stephan_etal_1981 (ref 24),with_pons_and_peduncles,672,672,21,651,NA,0,3.1,NA,FALSE
DeCasien_Higham_2019,galagoides demidoff,Stephan_etal_1981 (ref 24),with_pons_and_peduncles,413,NA,13.6,NA,NA,NA,NA,NA,FALSE
DeCasien_Higham_2019,indri indri,Stephan_etal_1981 (ref 24),with_pons_and_peduncles,5504,5504,186.3,5317.7,NA,0,3.4,NA,FALSE
DeCasien_Higham_2019,lagothrix lagotricha,Stephan_etal_1981 (ref 24),with_pons_and_peduncles,11268,11268,NA,NA,NA,0,NA,NA,FALSE
DeCasien_Higham_2019,lepilemur ruficaudatus,Stephan_etal_1981 (ref 24),with_pons_and_peduncles,1165,1165,26.2,1138.8,NA,0,2.2,NA,FALSE
DeCasien_Higham_2019,lophocebus albigena,Stephan_etal_1981 (ref 24),with_pons_and_peduncles,10726,NA,NA,NA,NA,NA,NA,NA,FALSE
DeCasien_Higham_2019,loris tardigradus,Stephan_etal_1981 (ref 24),with_pons_and_peduncles,728,728,28.9,699.1,NA,0,4,NA,FALSE
DeCasien_Higham_2019,macaca mulatta,Stephan_etal_1981 (ref 24),with_pons_and_peduncles,8965,8965,639.2,8325.8,7233.3,0,7.1,19.3,TRUE
DeCasien_Higham_2019,microcebus murinus,Stephan_etal_1981 (ref 24),with_pons_and_peduncles,234,234,5.9,228.1,NA,0,2.5,NA,FALSE
DeCasien_Higham_2019,miopithecus talapoin,Stephan_etal_1981 (ref 24),with_pons_and_peduncles,3374,NA,273.7,NA,NA,NA,NA,NA,FALSE
DeCasien_Higham_2019,nasalis larvatus,Stephan_etal_1981 (ref 24),with_pons_and_peduncles,12113,12113,967.4,11145.6,NA,0,8,NA,FALSE
DeCasien_Higham_2019,nycticebus coucang,Stephan_etal_1981 (ref 24),with_pons_and_peduncles,1310,1310,63.8,1246.2,NA,0,4.9,NA,FALSE
DeCasien_Higham_2019,otolemur crassicaudatus,Stephan_etal_1981 (ref 24),with_pons_and_peduncles,1414,NA,54.5,NA,NA,NA,NA,NA,FALSE
DeCasien_Higham_2019,papio anubis,Stephan_etal_1981 (ref 24),with_pons_and_peduncles,18683,18683,2177.7,16505.3,NA,0,11.7,NA,FALSE
DeCasien_Higham_2019,perodicticus potto,Stephan_etal_1981 (ref 24),with_pons_and_peduncles,1699,1699,77.7,1621.3,NA,0,4.6,NA,FALSE
DeCasien_Higham_2019,piliocolobus badius,Stephan_etal_1981 (ref 24),with_pons_and_peduncles,8648,NA,NA,NA,NA,NA,NA,NA,FALSE
DeCasien_Higham_2019,pithecia monachus,Stephan_etal_1981 (ref 24),with_pons_and_peduncles,3908,NA,211.8,NA,NA,NA,NA,NA,FALSE
DeCasien_Higham_2019,propithecus verreauxi,Stephan_etal_1981 (ref 24),with_pons_and_peduncles,3957,3957,169.3,3787.7,NA,0,4.3,NA,FALSE
DeCasien_Higham_2019,pygathrix nemaeus,Stephan_etal_1981 (ref 24),with_pons_and_peduncles,8063,8063,708.5,7354.5,NA,0,8.8,NA,FALSE
DeCasien_Higham_2019,saguinus midas,Stephan_etal_1981 (ref 24),with_pons_and_peduncles,1061,NA,45.7,NA,NA,NA,NA,NA,FALSE
DeCasien_Higham_2019,saguinus oedipus,Stephan_etal_1981 (ref 24),with_pons_and_peduncles,984,984,50.9,933.1,NA,0,5.2,NA,FALSE
DeCasien_Higham_2019,saimiri sciureus,Stephan_etal_1981 (ref 24),with_pons_and_peduncles,2260,2260,135.2,2124.8,2050,0,6,9.3,TRUE
DeCasien_Higham_2019,tarsius syrichta,Stephan_etal_1981 (ref 24),with_pons_and_peduncles,428,NA,NA,NA,NA,NA,NA,NA,FALSE
DeCasien_Higham_2019,varecia variegata variegata,Stephan_etal_1981 (ref 24),with_pons_and_peduncles,4286,NA,NA,NA,NA,NA,NA,NA,FALSE
DeCasien_Higham_2019,callicebus moloch,other,unstated,1287,1622,105.9,1516.1,NA,20.7,15.1,NA,FALSE
DeCasien_Higham_2019,cebus apella,other,unstated,6500,NA,NA,NA,6450,NA,NA,0.8,TRUE
DeCasien_Higham_2019,cercocebus torquatus atys,other,unstated,9200,NA,NA,NA,8650,NA,NA,6,TRUE
DeCasien_Higham_2019,gorilla beringei,other,unstated,44135.1,NA,NA,NA,NA,NA,NA,NA,FALSE
DeCasien_Higham_2019,gorilla gorilla gorilla,other,unstated,59883.3,NA,NA,NA,NA,NA,NA,NA,FALSE
DeCasien_Higham_2019,gorilla gorilla graueri,other,unstated,49264.1,NA,NA,NA,NA,NA,NA,NA,FALSE
DeCasien_Higham_2019,hylobates lar,other,unstated,10900,12078,1167.9,10910.1,11625,9.8,0.1,6.2,TRUE
DeCasien_Higham_2019,macaca mulatta,other,unstated,7100,8965,639.2,8325.8,7233.3,20.8,14.7,1.8,TRUE
DeCasien_Higham_2019,pan paniscus,other,unstated,41300,NA,NA,NA,44175,NA,NA,6.5,TRUE
DeCasien_Higham_2019,pan troglodytes troglodytes,other,unstated,47032,NA,NA,NA,NA,NA,NA,NA,FALSE
DeCasien_Higham_2019,papio cynocephalus,other,unstated,13700,NA,NA,NA,13600,NA,NA,0.7,TRUE
DeCasien_Higham_2019,pongo pygmaeus,other,unstated,44762.5,NA,NA,NA,49800,NA,NA,10.1,TRUE
DeCasien_Higham_2019,saimiri sciureus,other,unstated,2000,2260,135.2,2124.8,2050,11.5,5.9,2.4,TRUE
Smaers_etal_2018,alouatta seniculus,MacLeod et al. 2003,sensu_stricto_no_pons_no_peduncles,4150,NA,394.3,NA,NA,NA,NA,NA,FALSE
Smaers_etal_2018,aotus trivirgatus,MacLeod et al. 2003,sensu_stricto_no_pons_no_peduncles,1750,1873,112.1,1760.9,NA,6.6,0.6,NA,FALSE
Smaers_etal_2018,ateles paniscus,MacLeod et al. 2003,sensu_stricto_no_pons_no_peduncles,10370,NA,NA,NA,NA,NA,NA,NA,FALSE
Smaers_etal_2018,cebus albifrons,MacLeod et al. 2003,sensu_stricto_no_pons_no_peduncles,7050,NA,682.2,NA,NA,NA,NA,NA,FALSE
Smaers_etal_2018,cebus apella,MacLeod et al. 2003,sensu_stricto_no_pons_no_peduncles,6450,NA,NA,NA,6450,NA,NA,0,TRUE
Smaers_etal_2018,cercocebus torquatus,MacLeod et al. 2003,sensu_stricto_no_pons_no_peduncles,8650,NA,NA,NA,NA,NA,NA,NA,FALSE
Smaers_etal_2018,erythrocebus patas,MacLeod et al. 2003,sensu_stricto_no_pons_no_peduncles,7900,8738,814.5,7923.5,NA,9.6,0.3,NA,FALSE
Smaers_etal_2018,gorilla gorilla,MacLeod et al. 2003,sensu_stricto_no_pons_no_peduncles,59380,69249,5400.6,63848.4,68650,14.3,7,13.5,TRUE
Smaers_etal_2018,homo sapiens,MacLeod et al. 2003,sensu_stricto_no_pons_no_peduncles,139160,NA,10477.9,NA,137016.7,NA,NA,1.5,TRUE
Smaers_etal_2018,hylobates lar,MacLeod et al. 2003,sensu_stricto_no_pons_no_peduncles,12190,12078,1167.9,10910.1,11625,0.9,10.5,4.6,TRUE
Smaers_etal_2018,lophocebus albigena,MacLeod et al. 2003,sensu_stricto_no_pons_no_peduncles,11700,NA,NA,NA,NA,NA,NA,NA,FALSE
Smaers_etal_2018,macaca mulatta,MacLeod et al. 2003,sensu_stricto_no_pons_no_peduncles,8090,8965,639.2,8325.8,7233.3,9.8,2.8,10.6,TRUE
Smaers_etal_2018,pan paniscus,MacLeod et al. 2003,sensu_stricto_no_pons_no_peduncles,47300,NA,NA,NA,44175,NA,NA,6.6,TRUE
Smaers_etal_2018,pan troglodytes,MacLeod et al. 2003,sensu_stricto_no_pons_no_peduncles,46280,43663,3990.6,39672.4,47100,5.7,14.3,1.7,TRUE
Smaers_etal_2018,papio cynocephalus,MacLeod et al. 2003,sensu_stricto_no_pons_no_peduncles,13830,NA,NA,NA,13600,NA,NA,1.7,TRUE
Smaers_etal_2018,pongo pygmaeus,MacLeod et al. 2003,sensu_stricto_no_pons_no_peduncles,45010,NA,NA,NA,49800,NA,NA,9.6,TRUE
Smaers_etal_2018,saimiri sciureus,MacLeod et al. 2003,sensu_stricto_no_pons_no_peduncles,2000,2260,135.2,2124.8,2050,11.5,5.9,2.4,TRUE
Smaers_etal_2018,ailurus fulgens,Maseko et al. 2012,unstated,4880,NA,NA,NA,NA,NA,NA,NA,FALSE
Smaers_etal_2018,bassariscus astutus,Maseko et al. 2012,unstated,2000,NA,NA,NA,NA,NA,NA,NA,FALSE
Smaers_etal_2018,bos taurus indicus,Maseko et al. 2012,unstated,33710,NA,NA,NA,NA,NA,NA,NA,FALSE
Smaers_etal_2018,crocuta crocuta,Maseko et al. 2012,unstated,15840,NA,NA,NA,NA,NA,NA,NA,FALSE
Smaers_etal_2018,cynictis penicillata,Maseko et al. 2012,unstated,1340,NA,NA,NA,NA,NA,NA,NA,FALSE
Smaers_etal_2018,eulemur mongoz,Maseko et al. 2012,unstated,1510,NA,NA,NA,NA,NA,NA,NA,FALSE
Smaers_etal_2018,felis silvestris,Maseko et al. 2012,unstated,4190,NA,NA,NA,NA,NA,NA,NA,FALSE
Smaers_etal_2018,galictis vittata,Maseko et al. 2012,unstated,1770,NA,NA,NA,NA,NA,NA,NA,FALSE
Smaers_etal_2018,lama guanicoe,Maseko et al. 2012,unstated,22460,NA,NA,NA,NA,NA,NA,NA,FALSE
Smaers_etal_2018,loxodonta africana,Maseko et al. 2012,unstated,946360,NA,NA,NA,NA,NA,NA,NA,FALSE
Smaers_etal_2018,mandrillus sphinx,Maseko et al. 2012,unstated,16230,NA,NA,NA,NA,NA,NA,NA,FALSE
Smaers_etal_2018,mustela erminea,Maseko et al. 2012,unstated,400,NA,NA,NA,NA,NA,NA,NA,FALSE
Smaers_etal_2018,mustela putorius,Maseko et al. 2012,unstated,1120,NA,NA,NA,NA,NA,NA,NA,FALSE
Smaers_etal_2018,nasua narica,Maseko et al. 2012,unstated,3490,NA,NA,NA,NA,NA,NA,NA,FALSE
Smaers_etal_2018,neovison vison,Maseko et al. 2012,unstated,1170,NA,NA,NA,NA,NA,NA,NA,FALSE
Smaers_etal_2018,nycticebus coucang,Maseko et al. 2012,unstated,1420,1310,63.8,1246.2,NA,7.7,12.2,NA,FALSE
Smaers_etal_2018,odocoileus virginianus,Maseko et al. 2012,unstated,18750,NA,NA,NA,NA,NA,NA,NA,FALSE
Smaers_etal_2018,panthera leo,Maseko et al. 2012,unstated,26540,NA,NA,NA,NA,NA,NA,NA,FALSE
Smaers_etal_2018,phoca vitulina,Maseko et al. 2012,unstated,24010,NA,NA,NA,NA,NA,NA,NA,FALSE
Smaers_etal_2018,phocoena phocoena,Maseko et al. 2012,unstated,70460,NA,NA,NA,NA,NA,NA,NA,FALSE
Smaers_etal_2018,sus scrofa,Maseko et al. 2012,unstated,9280,NA,NA,NA,NA,NA,NA,NA,FALSE
Smaers_etal_2018,tursiops truncatus,Maseko et al. 2012,unstated,258750,NA,NA,NA,NA,NA,NA,NA,FALSE
Smaers_etal_2018,ursus maritimus,Maseko et al. 2012,unstated,51950,NA,NA,NA,NA,NA,NA,NA,FALSE
Smaers_etal_2018,vulpes vulpes,Maseko et al. 2012,unstated,4590,NA,NA,NA,NA,NA,NA,NA,FALSE
Smaers_etal_2018,zalophus californianus,Maseko et al. 2012,unstated,58190,NA,NA,NA,NA,NA,NA,NA,FALSE
Smaers_etal_2018,ateles geoffroyi,Smaers et al. 2011,unstated,11160,12438,813.3,11624.7,NA,10.3,4,NA,FALSE
Smaers_etal_2018,cercopithecus ascanius,Smaers et al. 2011,unstated,4940,5828,520.2,5307.8,NA,15.2,6.9,NA,FALSE
Smaers_etal_2018,cercopithecus mitis,Smaers et al. 2011,unstated,5840,6758,517.6,6240.4,NA,13.6,6.4,NA,FALSE
Smaers_etal_2018,miopithecus talapoin,Smaers et al. 2011,unstated,3700,NA,273.7,NA,NA,NA,NA,NA,FALSE
Smaers_etal_2018,nasalis larvatus,Smaers et al. 2011,unstated,7650,12113,967.4,11145.6,NA,36.8,31.4,NA,FALSE
Smaers_etal_2018,papio anubis,Smaers et al. 2011,unstated,17710,18683,2177.7,16505.3,NA,5.2,6.8,NA,FALSE
Smaers_etal_2018,pithecia pithecia,Smaers et al. 2011,unstated,3580,NA,NA,NA,NA,NA,NA,NA,FALSE
Smaers_etal_2018,procolobus badius,Smaers et al. 2011,unstated,8430,NA,NA,NA,NA,NA,NA,NA,FALSE
