"label_as_printed","marker_id","assignment_method","distance_pt","functional_interaural_distance_us","high_freq_hearing_limit_60dB_kHz","validation","koay_us","koay_kHz","pct_diff_us","pct_diff_kHz","confidence"
"Elephant","m079","nearest_to_label","11.24","3343.22","10.4194","consistent_with_Koay1998","3378.09356981239","10.4582305764106","-1.0","-0.4","validated_vs_Koay1998"
"Foxsquirrel","m042","leader_line","2.52","154.308","49.0363","consistent_with_Koay1998","157.315344365557","48.8708224513624","-1.9","0.3","validated_vs_Koay1998"
"Gerbil","m014","nearest_to_label","6.61","75.8292","60.149","CHECK_disagrees_with_Koay1998","87.6007976161909","58.3861983172564","-13.4","3.0","AMBIGUOUS_marker_claimed_by_2_labels"
"Goat","m073","leader_line","2.47","683.251","37.0696","consistent_with_Koay1998","682.654894573816","37.3016524745736","0.1","-0.6","validated_vs_Koay1998"
"Gopher","m025","leader_line","2.28","108.786","8.40222","consistent_with_Koay1998","113.100910380024","8.75382101225309","-3.8","-4.0","validated_vs_Koay1998"
"Grasshopper mouse","m010","leader_line","2.38","64.2171","70.6807","consistent_with_Koay1998","61.3846118090306","67.9398745890453","4.6","4.0","AMBIGUOUS_marker_claimed_by_2_labels"
"Groundhog","m050","nearest_to_label","14.19","225.129","32.2355","CHECK_disagrees_with_Koay1998","290.769726250498","27.5485652920428","-22.6","17.0","AMBIGUOUS_marker_claimed_by_2_labels"
"Guineapig","m043","leader_line","0.62","159.535","49.0363","consistent_with_Koay1998","162.053962890438","49.1938881917886","-1.6","-0.3","validated_vs_Koay1998"
"Hamster","m028","nearest_to_label","11.63","114.341","46.4638","consistent_with_Koay1998","115.201040620106","46.3615164525225","-0.7","0.2","validated_vs_Koay1998"
"Hoodedrat","m041","leader_line","2.73","149.253","67.7108","consistent_with_Koay1998","151.700290765299","68.8410910216144","-1.6","-1.6","validated_vs_Koay1998"
"Horse","m074","leader_line","2.56","687.125","33.2928","consistent_with_Koay1998","687.571286813575","33.3489788262352","-0.1","-0.2","validated_vs_Koay1998"
"Human","m076","nearest_to_label","11.03","872.2","17.4611","consistent_with_Koay1998","870.541583685009","17.7165176586358","0.2","-1.4","validated_vs_Koay1998"
"Jamaicanfruitbat","m033","nearest_to_label","24.21","119.055","91.7491","no_koay_counterpart","","","","","AMBIGUOUS_marker_claimed_by_2_labels"
"Kangaroorat","m014","nearest_to_label","14.88","75.8292","60.149","CHECK_disagrees_with_Koay1998","90.2153206583042","51.8564956341558","-15.9","16.0","AMBIGUOUS_marker_claimed_by_2_labels"
"Killerwhale","m054","leader_line","2.38","264.806","101.075","CHECK_disagrees_with_Koay1998","266.136167295531","34.2395893560218","-0.5","195.2","CHECK_value_differs_from_Koay1998"
"Nakedmolerat","m008","leader_line","1.87","62.4417","11.6647","consistent_with_Koay1998","62.0651160487937","11.4688332575195","0.6","1.7","validated_vs_Koay1998"
"PigReindeer","m066","leader_line","2.56","433.341","44.0261","no_koay_counterpart","","","","","leader_line_unvalidated"
"Porpoise","m013","leader_line","2.38","74.7884","138.074","consistent_with_Koay1998","76.2340758337778","143.045582654408","-1.9","-3.5","AMBIGUOUS_marker_claimed_by_2_labels"
"Prairiedogs","m034","leader_line","2.74","119.559","25.9934","no_koay_counterpart","","","","","AMBIGUOUS_marker_claimed_by_2_labels"
"Short-tailedfruitbat","m013","nearest_to_label","27.71","74.7884","138.074","no_koay_counterpart","","","","","AMBIGUOUS_marker_claimed_by_2_labels"
"Spinymouse","m010","leader_line","2.38","64.2171","70.6807","consistent_with_Koay1998","64.6607197004029","70.6795461318984","-0.7","0.0","AMBIGUOUS_marker_claimed_by_2_labels"
"Straw-coloredfruitbat","m036","leader_line","5.05","131.203","38.8056","no_koay_counterpart","","","","","leader_line_unvalidated"
"White-tailed","m034","nearest_to_label","14.64","119.559","25.9934","consistent_with_Koay1998","121.190338572031","26.1340652554299","-1.3","-0.5","AMBIGUOUS_marker_claimed_by_2_labels"
"White-taileddeer","m075","leader_line","2.47","798.238","54.0207","no_koay_counterpart","","","","","leader_line_unvalidated"
"Wild mouse","m001","leader_line","2.73","39.7242","91.4983","CHECK_disagrees_with_Koay1998","61.8615718553541","79.0568095236125","-35.8","15.7","AMBIGUOUS_marker_claimed_by_2_labels"
"Woodrat","m020","leader_line","2.73","86.6648","57.6223","CHECK_disagrees_with_Koay1998","116.971837174154","56.4940472440078","-25.9","2.0","CHECK_value_differs_from_Koay1998"
