check,variable,code,archive_number,code_2010,species,value_2009_converted,value_2010,diff,tolerance,status
A value audit vs deSousa_etal_2010_Table1,brain mass,hs6,6895,6895,Homo sapiens,1110,1110,0,0.5,match
A value audit vs deSousa_etal_2010_Table1,brain mass,mf2,ma22,ma22,Macaca fascicularis,58,57.6,0.399999999999999,0.5,match
A value audit vs deSousa_etal_2010_Table1,brain mass,ouy,YN85-38,YN85–38,Pongo pygmaeus,369,369,0,0.5,match
A value audit vs deSousa_etal_2010_Table1,brain mass,ppz,Zahlia,Zahlia 1/97,Pan paniscus,324,324,0,0.5,match
A value audit vs deSousa_etal_2010_Table1,brain mass,ptb,Bathsheba,Bathsheba 4/97,Pan troglodytes,360,359.5,0.5,0.5,match
A value audit vs deSousa_etal_2010_Table1,brain mass,ptd,1548,1548,Pan troglodytes,387,,,0.5,2009 only
B specimen identity vs collection catalog,sex / age / species,ggy,YN82-140,CAT-070,Gorilla gorilla,20,20,,,match
B specimen identity vs collection catalog,sex / age / species,hld,Disco,CAT-095,Hylobates lar,22,22,,,match
B specimen identity vs collection catalog,sex / age / species,hs5,54491,CAT-080,Homo sapiens,79,79,,,match
B specimen identity vs collection catalog,sex / age / species,hs6,6895,CAT-082,Homo sapiens,79,79,,,match
B specimen identity vs collection catalog,sex / age / species,mf2,ma22,CAT-111,Macaca fascicularis,3,3,,,match
B specimen identity vs collection catalog,sex / age / species,ouy,YN85-38,CAT-150,Pongo pygmaeus,16.5,16.5,,,match
B specimen identity vs collection catalog,sex / age / species,ppz,Zahlia,CAT-131,Pan paniscus,11,11,,,match
B specimen identity vs collection catalog,sex / age / species,ptb,Bathsheba,CAT-133,Pan troglodytes,24,24,,,match
B specimen identity vs collection catalog,sex / age / species,ptd,1548,CAT-134,Pan troglodytes,,,,,match (sex unknown in one source)
C internal consistency: printed EQ vs recomputed,EQ,ggy,YN82-140,,Gorilla gorilla,1.2,1.197,0.00299999999999989,0.06,match (within printed-mass rounding)
C internal consistency: printed EQ vs recomputed,EQ,hld,Disco,,Hylobates lar,2.54,2.485,0.0550000000000002,0.06,match (within printed-mass rounding)
C internal consistency: printed EQ vs recomputed,EQ,hs5,54491,,Homo sapiens,5.41,5.381,0.0289999999999999,0.06,match (within printed-mass rounding)
C internal consistency: printed EQ vs recomputed,EQ,hs6,6895,,Homo sapiens,4.45,4.424,0.0259999999999998,0.06,match (within printed-mass rounding)
C internal consistency: printed EQ vs recomputed,EQ,mf2,ma22,,Macaca fascicularis,2.31,2.268,0.0420000000000003,0.06,match (within printed-mass rounding)
C internal consistency: printed EQ vs recomputed,EQ,ouy,YN85-38,,Pongo pygmaeus,1.56,1.565,-0.00499999999999989,0.06,match (within printed-mass rounding)
C internal consistency: printed EQ vs recomputed,EQ,ppz,Zahlia,,Pan paniscus,2.09,2.097,-0.00700000000000012,0.06,match (within printed-mass rounding)
C internal consistency: printed EQ vs recomputed,EQ,ptb,Bathsheba,,Pan troglodytes,1.2,1.199,0.00099999999999989,0.06,match (within printed-mass rounding)
C internal consistency: printed EQ vs recomputed,EQ,ptd,1548,,Pan troglodytes,1.82,1.807,0.0130000000000001,0.06,match (within printed-mass rounding)
