"individual","measure_printed","snapshot_value","export_value","difference","match"
"M4","Limbic structures",6066,6066,0,TRUE
"M4","Septum",693,693,0,TRUE
"M4","Septum nuclei",523,523,0,TRUE
"M4","Diagonal band",170,170,0,TRUE
"M4","Hippocampus",4217,4217,0,TRUE
"M4","Schizocortex",1156,1156,0,TRUE
"Sk1","Brain weight",125,125,0,TRUE
"Sk1","Total brain volume",120656,120656,0,TRUE
"Sk1","Remaining parts",4324,4324,0,TRUE
"Sk1","Ventricle",3531,3531,0,TRUE
"Sk1","Pure brain volume",112802,112802,0,TRUE
"Sk1","Medulla oblongata",5830,5830,0,TRUE
"Sk1","Cerebellum",13495,13495,0,TRUE
"Sk1","Mesencephalon",5084,5084,0,TRUE
"Sk1","Diencephalon",7587,7587,0,TRUE
"Sk1","Telencephalon",80805,80805,0,TRUE
"Sk1","Neocortex",67074,67074,0,TRUE
"Sk1","Corpus striatum",3858,3858,0,TRUE
"Sk1","Allocortex",9874,9874,0,TRUE
"Sk1","Olfactory Allocortex",4944,4944,0,TRUE
"Sk1","Bulbus olfactorius + B. olf. accessorius",631,631,0,TRUE
"Sk1","Regio retrobulbaris",171,171,0,TRUE
"Sk1","Regio praepiriformis",1762,1762,0,TRUE
"Sk1","Regio periamygdalaris + Nucleus amygdalae",1151,1151,0,TRUE
"Sk1","Tuberculum olfactorium",289,289,0,TRUE
"Sk1","Basal nuclei + Commissura anterior",940,940,0,TRUE
"Sk1","Limbic structures",4930,4930,0,TRUE
"Sk1","Septum",715,715,0,TRUE
"Sk1","Septum nuclei",541,541,0,TRUE
"Sk1","Diagonal band",174,174,0,TRUE
"Sk1","Hippocampus",3165,3165,0,TRUE
"Sk1","Schizocortex",1050,1050,0,TRUE
"Sk2","Brain weight",120,120,0,TRUE
"Sk2","Total brain volume",115830,115830,0,TRUE
"Sk2","Remaining parts",3570,3570,0,TRUE
"Sk2","Ventricle",2447,2447,0,TRUE
"Sk2","Pure brain volume",109813,109813,0,TRUE
"Sk2","Medulla oblongata",6752,6752,0,TRUE
"Sk2","Cerebellum",13647,13647,0,TRUE
"Sk2","Mesencephalon",5365,5365,0,TRUE
"Sk2","Diencephalon",7258,7258,0,TRUE
"Sk2","Telencephalon",76791,76791,0,TRUE
"Sk2","Neocortex",64066,64066,0,TRUE
"Sk2","Corpus striatum",3510,3510,0,TRUE
"Sk2","Allocortex",9214,9214,0,TRUE
"Sk2","Olfactory Allocortex",4472,4472,0,TRUE
"Sk2","Bulbus olfactorius + B. olf. accessorius",544,544,0,TRUE
"Sk2","Regio retrobulbaris",150,150,0,TRUE
"Sk2","Regio praepiriformis",1507,1507,0,TRUE
"Sk2","Regio periamygdalaris + Nucleus amygdalae",1064,1064,0,TRUE
"Sk2","Tuberculum olfactorium",335,335,0,TRUE
"Sk2","Basal nuclei + Commissura anterior",871,871,0,TRUE
"Sk2","Limbic structures",4743,4743,0,TRUE
"Sk2","Septum",603,603,0,TRUE
"Sk2","Septum nuclei",439,439,0,TRUE
"Sk2","Diagonal band",164,164,0,TRUE
"Sk2","Hippocampus",3022,3022,0,TRUE
"Sk2","Schizocortex",1117,1117,0,TRUE
"Sk3","Brain weight",113.9,113.9,0,TRUE
"Sk3","Total brain volume",109942,109942,0,TRUE
"Sk3","Remaining parts",3304,3304,0,TRUE
"Sk3","Ventricle",2447,2447,0,TRUE
"Sk3","Pure brain volume",104191,104191,0,TRUE
"Sk3","Medulla oblongata",5248,5248,0,TRUE
"Sk3","Cerebellum",12879,12879,0,TRUE
"Sk3","Mesencephalon",4748,4748,0,TRUE
"Sk3","Diencephalon",7624,7624,0,TRUE
"Sk3","Telencephalon",73692,73692,0,TRUE
"Sk3","Neocortex",60730,60730,0,TRUE
"Sk3","Corpus striatum",3700,3700,0,TRUE
"Sk3","Allocortex",9262,9262,0,TRUE
"Sk3","Olfactory Allocortex",4369,4369,0,TRUE
"Sk3","Bulbus olfactorius + B. olf. accessorius",577,577,0,TRUE
"Sk3","Regio retrobulbaris",169,169,0,TRUE
"Sk3","Regio praepiriformis",1563,1563,0,TRUE
"Sk3","Regio periamygdalaris + Nucleus amygdalae",988,988,0,TRUE
"Sk3","Tuberculum olfactorium",287,287,0,TRUE
"Sk3","Basal nuclei + Commissura anterior",786,786,0,TRUE
"Sk3","Limbic structures",4893,4893,0,TRUE
"Sk3","Septum",604,604,0,TRUE
"Sk3","Septum nuclei",444,444,0,TRUE
"Sk3","Diagonal band",160,160,0,TRUE
"Sk3","Hippocampus",3029,3029,0,TRUE
"Sk3","Schizocortex",1260,1260,0,TRUE
"H1","Brain weight",102.4,102.4,0,TRUE
"H1","Total brain volume",98842,98842,0,TRUE
"H1","Remaining parts",3224,3224,0,TRUE
"H1","Ventricle",2281,2281,0,TRUE
"H1","Pure brain volume",93338,93338,0,TRUE
"H1","Medulla oblongata",5505,5505,0,TRUE
"H1","Cerebellum",11635,11635,0,TRUE
"H1","Mesencephalon",5385,5385,0,TRUE
"H1","Diencephalon",7362,7362,0,TRUE
"H1","Telencephalon",63452,63452,0,TRUE
"H1","Neocortex",50674,50674,0,TRUE
"H1","Corpus striatum",3804,3804,0,TRUE
"H1","Allocortex",8974,8974,0,TRUE
"H1","Olfactory Allocortex",4288,4288,0,TRUE
"H1","Bulbus olfactorius + B. olf. accessorius",516,516,0,TRUE
"H1","Regio retrobulbaris",156,156,0,TRUE
"H1","Regio praepiriformis",1330,1330,0,TRUE
"H1","Regio periamygdalaris + Nucleus amygdalae",861,861,0,TRUE
"H1","Tuberculum olfactorium",256,256,0,TRUE
"H1","Basal nuclei + Commissura anterior",1169,1169,0,TRUE
"H1","Limbic structures",4687,4687,0,TRUE
"H1","Septum",674,674,0,TRUE
"H1","Septum nuclei",505,505,0,TRUE
"H1","Diagonal band",169,169,0,TRUE
"H1","Hippocampus",3115,3115,0,TRUE
"H1","Schizocortex",898,898,0,TRUE
"H2","Brain weight",109.6,109.6,0,TRUE
"H2","Total brain volume",105792,105792,0,TRUE
"H2","Remaining parts",2263,2263,0,TRUE
"H2","Ventricle",2056,2056,0,TRUE
"H2","Pure brain volume",101473,101473,0,TRUE
"H2","Medulla oblongata",5953,5953,0,TRUE
"H2","Cerebellum",11008,11008,0,TRUE
"H2","Mesencephalon",5182,5182,0,TRUE
"H2","Diencephalon",8294,8294,0,TRUE
"H2","Telencephalon",71037,71037,0,TRUE
"H2","Neocortex",57431,57431,0,TRUE
"H2","Corpus striatum",4476,4476,0,TRUE
"H2","Allocortex",9129,9129,0,TRUE
"H2","Olfactory Allocortex",4362,4362,0,TRUE
"H2","Bulbus olfactorius + B. olf. accessorius",563,563,0,TRUE
"H2","Regio retrobulbaris",211,211,0,TRUE
"H2","Regio praepiriformis",1270,1270,0,TRUE
"H2","Regio periamygdalaris + Nucleus amygdalae",864,864,0,TRUE
"H2","Tuberculum olfactorium",247,247,0,TRUE
"H2","Basal nuclei + Commissura anterior",1207,1207,0,TRUE
"H2","Limbic structures",4768,4768,0,TRUE
"H2","Septum",671,671,0,TRUE
"H2","Septum nuclei",472,472,0,TRUE
"H2","Diagonal band",199,199,0,TRUE
"H2","Hippocampus",3153,3153,0,TRUE
"H2","Schizocortex",944,944,0,TRUE
"H3","Brain weight",99.8,99.8,0,TRUE
"H3","Total brain volume",96361,96361,0,TRUE
"H3","Remaining parts",2582,2582,0,TRUE
"H3","Ventricle",2359,2359,0,TRUE
"H3","Pure brain volume",91420,91420,0,TRUE
"H3","Medulla oblongata",5247,5247,0,TRUE
"H3","Cerebellum",11473,11473,0,TRUE
"H3","Mesencephalon",4479,4479,0,TRUE
"H3","Diencephalon",6675,6675,0,TRUE
"H3","Telencephalon",63547,63547,0,TRUE
"H3","Neocortex",53274,53274,0,TRUE
"H3","Corpus striatum",2982,2982,0,TRUE
"H3","Allocortex",7292,7292,0,TRUE
"H3","Olfactory Allocortex",3651,3651,0,TRUE
"H3","Bulbus olfactorius + B. olf. accessorius",424,424,0,TRUE
"H3","Regio retrobulbaris",135,135,0,TRUE
"H3","Regio praepiriformis",1288,1288,0,TRUE
"H3","Regio periamygdalaris + Nucleus amygdalae",786,786,0,TRUE
"H3","Tuberculum olfactorium",255,255,0,TRUE
"H3","Basal nuclei + Commissura anterior",764,764,0,TRUE
"H3","Limbic structures",3640,3640,0,TRUE
"H3","Septum",595,595,0,TRUE
"H3","Septum nuclei",409,409,0,TRUE
"H3","Diagonal band",187,187,0,TRUE
"H3","Hippocampus",2278,2278,0,TRUE
"H3","Schizocortex",767,767,0,TRUE
