accepted_species,suborder,in_Seymour2015,in_Boyer2019,overlap,BM_g_Seymour,BM_g_Boyer,ECV_ml_Seymour,ECV_ml_Boyer,Sey_QICA_mLs,Boy_QICA_mLs,Boy_QVA_mLs,Boy_QTOT_mLs,QICA_ratio_Sey_over_Boy,QTOT_best_mLs,QTOT_source,notes
Cercopithecus mitis,Haplorrhini,Y,N,N,7930,NA,71,NA,0.301786084197714,NA,NA,NA,NA,NA,Seymour2015_ICA_only(no_VA;QTOT_unavailable),
Cercopithecus neglectus,Haplorrhini,Y,N,N,5740,NA,65,NA,0.606644213801096,NA,NA,NA,NA,NA,Seymour2015_ICA_only(no_VA;QTOT_unavailable),
Cheirogaleus major,Strepsirrhini,N,Y,N,NA,140,NA,5.81,NA,0.004,0.098,0.102,NA,0.102,Boyer2019_QTOT(ICA+VA),
Cheirogaleus medius,Strepsirrhini,N,Y,N,NA,400,NA,2.6,NA,0.001,0.032,0.032,NA,0.032,Boyer2019_QTOT(ICA+VA),
Chiropotes satanas,Haplorrhini,N,Y,N,NA,2132,NA,48.33,NA,0.493,0.25,0.743,NA,0.743,Boyer2019_QTOT(ICA+VA),
Chlorocebus aethiops,Haplorrhini,Y,N,N,3620,NA,67,NA,0.739919709041238,NA,NA,NA,NA,NA,Seymour2015_ICA_only(no_VA;QTOT_unavailable),
Colobus satanas,Haplorrhini,Y,N,N,8910,NA,79,NA,0.365884831954394,NA,NA,NA,NA,NA,Seymour2015_ICA_only(no_VA;QTOT_unavailable),
Cynocephalus volans,Dermoptera,N,Y,N,NA,810,NA,5.78,NA,0.003,0.106,0.11,NA,0.11,Boyer2019_QTOT(ICA+VA),
Daubentonia madagascariensis,Strepsirrhini,N,Y,N,NA,2555,NA,45.31,NA,0.015,0.382,0.396,NA,0.396,Boyer2019_QTOT(ICA+VA),
Dendrolagus dorianus,Diprotodontia,Y,N,N,16500,NA,38,NA,0.417632647309519,NA,NA,NA,NA,NA,Seymour2015_ICA_only(no_VA;QTOT_unavailable),
Dendrolagus matschiei,Diprotodontia,Y,N,N,6960,NA,29,NA,0.171699393846075,NA,NA,NA,NA,NA,Seymour2015_ICA_only(no_VA;QTOT_unavailable),
Eulemur fulvus ssp.,Strepsirrhini,N,Y,N,NA,2210,NA,23.06,NA,0.002,0.302,0.305,NA,0.305,Boyer2019_QTOT(ICA+VA),
Eulemur mongoz,Strepsirrhini,Y,N,N,1585,NA,20,NA,0.0435399917513666,NA,NA,NA,NA,NA,Seymour2015_ICA_only(no_VA;QTOT_unavailable),
Galago senegalensis,Strepsirrhini,Y,Y,Y,248,196,5,3.97,6.9164450888737e-4,4e-4,0.042,0.043,1.729,0.043,Boyer2019_QTOT(ICA+VA),overlap: cross-check row
Galeopterus variegatus,Dermoptera,N,Y,N,NA,1330,NA,6.78,NA,0.002,0.058,0.06,NA,0.06,Boyer2019_QTOT(ICA+VA),
Gorilla sp.,Haplorrhini,Y,Y,Y,145200,71500,461,455.89,2.28092010298721,1.564,2.602,4.166,1.458,4.166,Boyer2019_QTOT(ICA+VA),overlap: cross-check row
Hapalemur griseus,Strepsirrhini,N,Y,N,NA,690,NA,14.04,NA,0.002,0.257,0.258,NA,0.258,Boyer2019_QTOT(ICA+VA),
Hemibelideus lemuroides,Diprotodontia,Y,N,N,1026,NA,3.35,NA,0.057624037034361,NA,NA,NA,NA,NA,Seymour2015_ICA_only(no_VA;QTOT_unavailable),
Homo sapiens,Haplorrhini,Y,Y,Y,70000,65000,1186,1422.3,7.52383091451836,10.014,2.831,12.845,0.751,12.845,Boyer2019_QTOT(ICA+VA),overlap: cross-check row
Hylobates agilis,Haplorrhini,Y,N,N,5880,NA,115,NA,0.61283048925407,NA,NA,NA,NA,NA,Seymour2015_ICA_only(no_VA;QTOT_unavailable),
Hylobates lar,Haplorrhini,Y,Y,Y,5620,5381,102.5,100.49,0.561080822885906,0.962,0.316,1.278,0.583,1.278,Boyer2019_QTOT(ICA+VA),overlap: cross-check row
Hylobates syndactylus,Haplorrhini,Y,N,N,11900,NA,120,NA,1.12174666851516,NA,NA,NA,NA,NA,Seymour2015_ICA_only(no_VA;QTOT_unavailable),
Indri indri,Strepsirrhini,N,Y,N,NA,6335,NA,35.9,NA,0.006,0.56,0.566,NA,0.566,Boyer2019_QTOT(ICA+VA),
Lagothrix lagothricha,Haplorrhini,Y,N,N,7280,NA,110,NA,0.845363868634937,NA,NA,NA,NA,NA,Seymour2015_ICA_only(no_VA;QTOT_unavailable),
Lasiorhinus latifrons,Diprotodontia,Y,N,N,29917,NA,56,NA,0.326792845692766,NA,NA,NA,NA,NA,Seymour2015_ICA_only(no_VA;QTOT_unavailable),
Lemur catta,Strepsirrhini,Y,Y,Y,2210,2210,23,22.9,0.0179083235069442,0.003,0.368,0.372,5.969,0.372,Boyer2019_QTOT(ICA+VA),overlap: cross-check row
Leontopithecus rosalia,Haplorrhini,Y,N,N,620,NA,12,NA,0.0544347060521404,NA,NA,NA,NA,NA,Seymour2015_ICA_only(no_VA;QTOT_unavailable),
Lepilemur sp.,Strepsirrhini,N,Y,N,NA,691,NA,8.21,NA,0.001,0.131,0.132,NA,0.132,Boyer2019_QTOT(ICA+VA),
Lophocebus albigena,Haplorrhini,Y,Y,Y,7135,7890,98,97.99,0.776297665792409,0.464,0.396,0.86,1.673,0.86,Boyer2019_QTOT(ICA+VA),overlap: cross-check row
Loris tardigradus,Strepsirrhini,Y,Y,Y,231,193,4,5.87,0.00252255205438265,0.001,0.047,0.048,2.523,0.048,Boyer2019_QTOT(ICA+VA),overlap: cross-check row
Macaca fascicularis,Haplorrhini,Y,Y,Y,4475,3884,53.8,87.3,0.423559662781656,0.529,0.286,0.815,0.801,0.815,Boyer2019_QTOT(ICA+VA),overlap: cross-check row
Macaca maura,Haplorrhini,Y,N,N,9720,NA,105,NA,1.12438833887859,NA,NA,NA,NA,NA,Seymour2015_ICA_only(no_VA;QTOT_unavailable),
Macaca mulatta,Haplorrhini,Y,N,N,8220,NA,78.2,NA,0.477143107654747,NA,NA,NA,NA,NA,Seymour2015_ICA_only(no_VA;QTOT_unavailable),
Macaca nemestrina,Haplorrhini,Y,N,N,7575,NA,111.5,NA,0.899455513916491,NA,NA,NA,NA,NA,Seymour2015_ICA_only(no_VA;QTOT_unavailable),
Macaca nigra,Haplorrhini,Y,N,N,7680,NA,150,NA,1.09438950751017,NA,NA,NA,NA,NA,Seymour2015_ICA_only(no_VA;QTOT_unavailable),
Macaca ochreata,Haplorrhini,Y,N,N,3950,NA,98,NA,0.768652649429197,NA,NA,NA,NA,NA,Seymour2015_ICA_only(no_VA;QTOT_unavailable),
Macaca radiata,Haplorrhini,Y,N,N,3850,NA,67,NA,0.528865233480076,NA,NA,NA,NA,NA,Seymour2015_ICA_only(no_VA;QTOT_unavailable),
Macaca silenus,Haplorrhini,Y,N,N,7500,NA,88.7,NA,0.757418115366203,NA,NA,NA,NA,NA,Seymour2015_ICA_only(no_VA;QTOT_unavailable),
Macropus dorsalis,Diprotodontia,Y,N,N,11250,NA,26.6,NA,0.120558488877984,NA,NA,NA,NA,NA,Seymour2015_ICA_only(no_VA;QTOT_unavailable),
Macropus fuliginosus,Diprotodontia,Y,N,N,41000,NA,66.75,NA,0.187802193210576,NA,NA,NA,NA,NA,Seymour2015_ICA_only(no_VA;QTOT_unavailable),
Macropus robustus,Diprotodontia,Y,N,N,29500,NA,58.24,NA,0.414540447872102,NA,NA,NA,NA,NA,Seymour2015_ICA_only(no_VA;QTOT_unavailable),
Macropus rufus,Diprotodontia,Y,N,N,46250,NA,51.575,NA,0.28549464854574,NA,NA,NA,NA,NA,Seymour2015_ICA_only(no_VA;QTOT_unavailable),
Mandrillus leucophaeus,Haplorrhini,Y,Y,Y,20000,17500,160,160,1.50459457326379,0.673,0.717,1.39,2.236,1.39,Boyer2019_QTOT(ICA+VA),overlap: cross-check row
Mandrillus sphinx,Haplorrhini,Y,N,N,26925,NA,161.2,NA,1.29861218164129,NA,NA,NA,NA,NA,Seymour2015_ICA_only(no_VA;QTOT_unavailable),
Microcebus murinus,Strepsirrhini,N,Y,N,NA,65,NA,1.63,NA,3e-4,0.014,0.015,NA,0.015,Boyer2019_QTOT(ICA+VA),
Miopithecus talapoin,Haplorrhini,N,Y,N,NA,1877,NA,39.08,NA,0.161,0.207,0.368,NA,0.368,Boyer2019_QTOT(ICA+VA),
Mirza sp.,Strepsirrhini,N,Y,N,NA,312,NA,5.75,NA,0.001,0.039,0.04,NA,0.04,Boyer2019_QTOT(ICA+VA),
Mus musculus,Rodentia,N,Y,N,NA,36,NA,0.4,NA,0.004,0.002,0.005,NA,0.005,Boyer2019_QTOT(ICA+VA),
Nasalis larvatus,Haplorrhini,Y,Y,Y,9820,9730,78.5,83.84,0.749892468967037,0.439,0.466,0.905,1.708,0.905,Boyer2019_QTOT(ICA+VA),overlap: cross-check row
Nycticebus coucang,Strepsirrhini,Y,Y,Y,652,679,8.8,11.01,0.0158563854128686,0.002,0.172,0.174,7.928,0.174,Boyer2019_QTOT(ICA+VA),overlap: cross-check row
Oryctolagus cuniculus,Lagomorpha,N,Y,N,NA,2250,NA,9.13,NA,0.031,0.255,0.286,NA,0.286,Boyer2019_QTOT(ICA+VA),
Otolemur crassicaudatus,Strepsirrhini,N,Y,N,NA,1170,NA,12.25,NA,0.003,0.082,0.086,NA,0.086,Boyer2019_QTOT(ICA+VA),
Pan troglodytes,Haplorrhini,Y,Y,Y,49567,37133,475,343.49,2.21766166974772,1.921,1.512,3.433,1.154,3.433,Boyer2019_QTOT(ICA+VA),overlap: cross-check row
Papio anubis,Haplorrhini,N,Y,N,NA,13300,NA,152.45,NA,0.901,0.804,1.706,NA,1.706,Boyer2019_QTOT(ICA+VA),
Papio hamadryas,Haplorrhini,Y,N,N,16900,NA,156.5,NA,1.26583440581965,NA,NA,NA,NA,NA,Seymour2015_ICA_only(no_VA;QTOT_unavailable),
Perodicticus potto,Strepsirrhini,N,Y,N,NA,802,NA,12.81,NA,0.002,0.184,0.185,NA,0.185,Boyer2019_QTOT(ICA+VA),
Petaurus breviceps,Diprotodontia,Y,N,N,127,NA,2.33,NA,0.0539650831494801,NA,NA,NA,NA,NA,Seymour2015_ICA_only(no_VA;QTOT_unavailable),
Phalanger maculatus,Diprotodontia,Y,N,N,4250,NA,13.55,NA,0.225116798367153,NA,NA,NA,NA,NA,Seymour2015_ICA_only(no_VA;QTOT_unavailable),
Phascolarctos cinereus,Diprotodontia,Y,N,N,5767,NA,29.75,NA,0.164993732405223,NA,NA,NA,NA,NA,Seymour2015_ICA_only(no_VA;QTOT_unavailable),
Piliocolobus badius,Haplorrhini,N,Y,N,NA,7850,NA,64.49,NA,0.878,0.264,1.142,NA,1.142,Boyer2019_QTOT(ICA+VA),
Pithecia pithecia,Haplorrhini,N,Y,N,NA,1760,NA,32.26,NA,0.132,0.151,0.283,NA,0.283,Boyer2019_QTOT(ICA+VA),
Pongo sp.,Haplorrhini,Y,Y,Y,48290,36948,375,368,2.09394714685686,1.518,2.467,3.985,1.379,3.985,Boyer2019_QTOT(ICA+VA),overlap: cross-check row
Presbytis melalophos,Haplorrhini,Y,N,N,6590,NA,70.5,NA,0.639509335117266,NA,NA,NA,NA,NA,Seymour2015_ICA_only(no_VA;QTOT_unavailable),
Prolemur simus,Strepsirrhini,N,Y,N,NA,2150,NA,27.14,NA,0.003,0.369,0.372,NA,0.372,Boyer2019_QTOT(ICA+VA),
Propithecus diadema,Strepsirrhini,Y,N,N,6100,NA,41,NA,0.0716467688632909,NA,NA,NA,NA,NA,Seymour2015_ICA_only(no_VA;QTOT_unavailable),
Propithecus verreauxi,Strepsirrhini,N,Y,N,NA,2955,NA,30.06,NA,0.003,0.405,0.408,NA,0.408,Boyer2019_QTOT(ICA+VA),
Pseudocheirus peregrinus notialis,Diprotodontia,Y,N,N,916,NA,4.73,NA,0.0746039191079369,NA,NA,NA,NA,NA,Seymour2015_ICA_only(no_VA;QTOT_unavailable),
Ptilocercus lowii,Scandentia,N,Y,N,NA,43,NA,1.67,NA,0.005,0.028,0.033,NA,0.033,Boyer2019_QTOT(ICA+VA),
Rattus norvegicus,Rodentia,N,Y,N,NA,375,NA,1.72,NA,0.034,0.011,0.045,NA,0.045,Boyer2019_QTOT(ICA+VA),
Saimiri sciureus,Haplorrhini,Y,Y,Y,790,799,20,24.6,0.13175628993772,0.134,0.198,0.333,0.983,0.333,Boyer2019_QTOT(ICA+VA),overlap: cross-check row
Sciurus carolinensis,Rodentia,N,Y,N,NA,440,NA,5.55,NA,NA,0.097,0.097,NA,0.097,Boyer2019_QTOT(ICA+VA),Boyer RICA/QICA=NA (unknown-species cranial foramen)
Semnopithecus entellus,Haplorrhini,Y,N,N,12533,NA,101.6,NA,0.337280870450332,NA,NA,NA,NA,NA,Seymour2015_ICA_only(no_VA;QTOT_unavailable),
Tarsius sp.,Haplorrhini,N,Y,N,NA,109,NA,3.27,NA,0.016,0.037,0.053,NA,0.053,Boyer2019_QTOT(ICA+VA),
Trachypithecus obscurus,Haplorrhini,Y,N,N,7900,NA,105,NA,0.458523800568026,NA,NA,NA,NA,NA,Seymour2015_ICA_only(no_VA;QTOT_unavailable),
Trachypithecus vetulus,Haplorrhini,Y,N,N,7035,NA,58,NA,0.376410902141394,NA,NA,NA,NA,NA,Seymour2015_ICA_only(no_VA;QTOT_unavailable),
Trichosurus vulpecula,Diprotodontia,Y,N,N,2532,NA,9.8,NA,0.0639678716211075,NA,NA,NA,NA,NA,Seymour2015_ICA_only(no_VA;QTOT_unavailable),
Tupaia glis,Scandentia,N,Y,N,NA,142,NA,3,NA,0.009,0.024,0.033,NA,0.033,Boyer2019_QTOT(ICA+VA),
Varecia sp.,Strepsirrhini,N,Y,N,NA,3497,NA,32.15,NA,0.004,0.373,0.377,NA,0.377,Boyer2019_QTOT(ICA+VA),
Varecia variegata,Strepsirrhini,Y,N,N,3532,NA,26,NA,0.0138422350714414,NA,NA,NA,NA,NA,Seymour2015_ICA_only(no_VA;QTOT_unavailable),
Vombatus ursinus,Diprotodontia,Y,N,N,26000,NA,60,NA,0.403252547916915,NA,NA,NA,NA,NA,Seymour2015_ICA_only(no_VA;QTOT_unavailable),
