"check_value_id","check_species","check_value","VK2014_value_for_species","offset_audit_status","adjudication","value_belongs_to_VK_species"
"SensoryData_r030_visual_acuity_max","Choloepus didactylus","55.23","1.54","MISMATCH","CONFIRMED_displaced","Chlorocebus aethiops"
"SensoryData_r032_visual_acuity_max","Crocuta crocuta","1.54","8.4","MISMATCH","CONFIRMED_displaced","Choloepus didactylus"
"SensoryData_r033_visual_acuity_max","Cuniculus paca","8.4","2.8","MISMATCH","CONFIRMED_displaced","Crocuta crocuta"
"SensoryData_r037_visual_acuity_max","Dama dama","18.48","18.48","agree","CONFIRMED_correct_vs_primary",""
"SensoryData_r038_visual_acuity_max","Dasyprocta leporina","6.21","6.21","agree","CONFIRMED_correct_vs_primary",""
"SensoryData_r039_visual_acuity_max","Dasyurus hallucatus","2.8","2.8","agree","CONFIRMED_correct_vs_primary",""
"SensoryData_r042_visual_acuity_max","Desmodus rotundus","0.625","0.625","agree","CONFIRMED_correct_vs_primary",""
"SensoryData_r043_visual_acuity_max","Diceros bicornis","6","6","agree","CONFIRMED_correct_vs_primary",""
"SensoryData_r044_visual_acuity_max","Didelphis marsupialis","1.25","1.25","agree","CONFIRMED_correct_vs_primary",""
"SensoryData_r045_visual_acuity_max","Didelphis virginiana","2.49","2.49","agree","CONFIRMED_correct_vs_primary",""
"SensoryData_r049_visual_acuity_max","Ellobius lutescens","0.4","0.4","agree","CONFIRMED_correct_vs_primary",""
"SensoryData_r050_visual_acuity_max","Ellobius talpinus","0.9","0.9","agree","CONFIRMED_correct_vs_primary",""
"SensoryData_r051_visual_acuity_max","Enhydra lutris","4.2","4.2","agree","CONFIRMED_correct_vs_primary",""
"SensoryData_r052_visual_acuity_max","Eptesicus fuscus","0.5","0.5","agree","CONFIRMED_correct_vs_primary",""
"SensoryData_r053_visual_acuity_max","Equus caballus","23.3","23.3","agree","CONFIRMED_correct_vs_primary",""
"SensoryData_r057_visual_acuity_max","Eulemur macaco","5.14","5.14","agree","CONFIRMED_correct_vs_primary",""
"SensoryData_r059_visual_acuity_max","Felis catus","8.85","8.85","agree","CONFIRMED_correct_vs_primary",""
"SensoryData_r060_visual_acuity_max","Galago senegalensis","6.7","6.7","agree","CONFIRMED_correct_vs_primary",""
"SensoryData_r062_visual_acuity_max","Giraffa camelopardalis","25.46","25.46","agree","CONFIRMED_correct_vs_primary",""
"SensoryData_r064_visual_acuity_max","Heterocephalus glaber","0.44","0.44","agree","CONFIRMED_correct_vs_primary",""
"SensoryData_r065_visual_acuity_max","Homo sapiens","64","64","agree","CONFIRMED_correct_vs_primary",""
"SensoryData_r066_visual_acuity_max","Hydrochoerus hydrochaeris","5.8","5.8","agree","CONFIRMED_correct_vs_primary",""
"SensoryData_r070_visual_acuity_max","Lemmus lemmus","0.83","0.83","agree","CONFIRMED_correct_vs_primary",""
"SensoryData_r071_visual_acuity_max","Lemur catta","6.7","6.7","agree","CONFIRMED_correct_vs_primary",""
"SensoryData_r072_visual_acuity_max","Loxodonta africana","13.16","13.16","agree","CONFIRMED_correct_vs_primary",""
"SensoryData_r073_visual_acuity_max","Lynx lynx","8","8","agree","CONFIRMED_correct_vs_primary",""
"SensoryData_r074_visual_acuity_max","Macaca fascicularis","46","46","agree","CONFIRMED_correct_vs_primary",""
"SensoryData_r076_visual_acuity_max","Macaca mulatta","53.6","53.6","agree","CONFIRMED_correct_vs_primary",""
"SensoryData_r077_visual_acuity_max","Macaca nemestrina","46","46","agree","CONFIRMED_correct_vs_primary",""
"SensoryData_r078_visual_acuity_max","Macroderma gigas","1.9","1.9","agree","CONFIRMED_correct_vs_primary",""
"SensoryData_r079_visual_acuity_max","Macropus eugenii","2.7","2.7","agree","CONFIRMED_correct_vs_primary",""
"SensoryData_r080_visual_acuity_max","Macropus fuliginosus","11.23","11.23","agree","CONFIRMED_correct_vs_primary",""
"SensoryData_r083_visual_acuity_max","Megaderma lyra","1.5","1.5","agree","CONFIRMED_correct_vs_primary",""
"SensoryData_r086_visual_acuity_max","Meriones unguiculatus","1.8","1.8","agree","CONFIRMED_correct_vs_primary",""
"SensoryData_r087_visual_acuity_max","Mesocricetus auratus","0.5","0.5","agree","CONFIRMED_correct_vs_primary",""
"SensoryData_r088_visual_acuity_max","Microcebus murinus","4.2","4.2","agree","CONFIRMED_correct_vs_primary",""
"SensoryData_r092_visual_acuity_max","Mus musculus","0.5","0.5","agree","CONFIRMED_correct_vs_primary",""
"SensoryData_r093_visual_acuity_max","Mus musculus","0.5","0.5","agree","CONFIRMED_correct_vs_primary",""
"SensoryData_r094_visual_acuity_max","Mustela nivalis","2.2","2.2","agree","CONFIRMED_correct_vs_primary",""
"SensoryData_r095_visual_acuity_max","Mustela putorius","3.57","3.57","agree","CONFIRMED_correct_vs_primary",""
"SensoryData_r096_visual_acuity_max","Myotis daubentonii","0.1","0.1","agree","CONFIRMED_correct_vs_primary",""
"SensoryData_r098_visual_acuity_max","Myotis mystacinus","0.1","0.1","agree","CONFIRMED_correct_vs_primary",""
"SensoryData_r099_visual_acuity_max","Myrmecobius fasciatus","5.2","5.2","agree","CONFIRMED_correct_vs_primary",""
"SensoryData_r103_visual_acuity_max","Nyctophilus gouldi","0.6","0.6","agree","CONFIRMED_correct_vs_primary",""
"SensoryData_r104_visual_acuity_max","Odobenus rosmarus","3.8","3.8","agree","CONFIRMED_correct_vs_primary",""
"SensoryData_r109_visual_acuity_max","Oryctolagus cuniculus","3","3","agree","CONFIRMED_correct_vs_primary",""
"SensoryData_r110_visual_acuity_max","Otolemur crassicaudatus","4.8","4.8","agree","CONFIRMED_correct_vs_primary",""
"SensoryData_r111_visual_acuity_max","Ovis aries","5.61","5.61","agree","CONFIRMED_correct_vs_primary",""
"SensoryData_r113_visual_acuity_max","Pan troglodytes","64.28","64.28","agree","CONFIRMED_correct_vs_primary",""
"SensoryData_r116_visual_acuity_max","Peromyscus maniculatus","0.56","0.56","agree","CONFIRMED_correct_vs_primary",""
"SensoryData_r117_visual_acuity_max","Phascolarctos cinereus","2.4","2.4","agree","CONFIRMED_correct_vs_primary",""
"SensoryData_r123_visual_acuity_max","Phyllostomus hastatus","0.167","0.167","agree","CONFIRMED_correct_vs_primary",""
"SensoryData_r125_visual_acuity_max","Plecotus auritus","1","1","agree","CONFIRMED_correct_vs_primary",""
"SensoryData_r127_visual_acuity_max","Pteropus giganteus","1.7","1.7","agree","CONFIRMED_correct_vs_primary",""
"SensoryData_r128_visual_acuity_max","Pteropus poliocephalus","5.5","5.5","agree","CONFIRMED_correct_vs_primary",""
"SensoryData_r129_visual_acuity_max","Pteropus scapulatus","4","4","agree","CONFIRMED_correct_vs_primary",""
"SensoryData_r132_visual_acuity_max","Rattus norvegicus","1.6","1.6","agree","CONFIRMED_correct_vs_primary",""
"SensoryData_r135_visual_acuity_max","Rhinolophus rouxii","0.4","0.4","agree","CONFIRMED_correct_vs_primary",""
"SensoryData_r137_visual_acuity_max","Rousettus madagascariensis","3","3","agree","CONFIRMED_correct_vs_primary",""
"SensoryData_r139_visual_acuity_max","Saguinus midas","24.87","24.87","agree","CONFIRMED_correct_vs_primary",""
"SensoryData_r140_visual_acuity_max","Saimiri sciureus","40.5","40.5","agree","CONFIRMED_correct_vs_primary",""
"SensoryData_r141_visual_acuity_max","Sarcophilus harrisii","4.75","4.75","agree","CONFIRMED_correct_vs_primary",""
"SensoryData_r142_visual_acuity_max","Sciurus carolinensis","3.9","3.9","agree","CONFIRMED_correct_vs_primary",""
"SensoryData_r144_visual_acuity_max","Sciurus niger","3.9","3.9","agree","CONFIRMED_correct_vs_primary",""
"SensoryData_r146_visual_acuity_max","Setonix brachyurus","4","4","agree","CONFIRMED_correct_vs_primary",""
"SensoryData_r148_visual_acuity_max","Sminthopsis crassicaudata","2.36","2.36","agree","CONFIRMED_correct_vs_primary",""
"SensoryData_r152_visual_acuity_max","Spermophilus beecheyi","4","4","agree","CONFIRMED_correct_vs_primary",""
"SensoryData_r153_visual_acuity_max","Suricata suricatta","6.3","6.3","agree","CONFIRMED_correct_vs_primary",""
"SensoryData_r154_visual_acuity_max","Sus scrofa","9.92","9.92","agree","CONFIRMED_correct_vs_primary",""
"SensoryData_r157_visual_acuity_max","Tachyglossus aculeatus","1.69","1.69","agree","CONFIRMED_correct_vs_primary",""
"SensoryData_r159_visual_acuity_max","Taphozous georgianus","1.3","1.3","agree","CONFIRMED_correct_vs_primary",""
"SensoryData_r160_visual_acuity_max","Tarsipes rostratus","0.63","0.63","agree","CONFIRMED_correct_vs_primary",""
"SensoryData_r161_visual_acuity_max","Tarsius syrichta","8.89","8.89","agree","CONFIRMED_correct_vs_primary",""
"SensoryData_r162_visual_acuity_max","Trichosurus vulpecula","4.8","4.8","agree","CONFIRMED_correct_vs_primary",""
"SensoryData_r163_visual_acuity_max","Tupaia belangeri","2.4","2.4","agree","CONFIRMED_correct_vs_primary",""
"SensoryData_r164_visual_acuity_max","Tupaia glis","4.7","4.7","agree","CONFIRMED_correct_vs_primary",""
