Species,species_as_published,canonical_structure,structure_as_published,mass_mg,mass_g,mass_se_mg,n,sex,unit_original,conversion_factor_to_mg,role,derivation,source,citation,mapping_gap
Cryptomys hottentotus natalensis,Cryptomys natalensis,Medulla,Medulla oblongata,102.672,0.102672,,,pooled/unspecified,g (derived: Brain_Mass.g x p.C.Brain volume-fraction),1000,derived,"Brain_Mass.g(1.24) x Medulla oblongata_p.C.Brain(0.0828) -- volume-fraction of brain applied to brain MASS as a density-homogeneity approximation, not an independently measured part mass",Kverkova_etal_2018_TableS1.csv,Kverkova et al. (2018),
Cryptomys hottentotus pretoriae,Cryptomys pretoriae,OlfactoryBulb,Olfactory bulbs,60.21000000000001,0.06021000000000001,,,pooled/unspecified,g (derived: Brain_Mass.g x p.C.Brain volume-fraction),1000,derived,"Brain_Mass.g(1.35) x Olfactory bulbs_p.C.Brain(0.0446) -- volume-fraction of brain applied to brain MASS as a density-homogeneity approximation, not an independently measured part mass",Kverkova_etal_2018_TableS1.csv,Kverkova et al. (2018),
Cryptomys hottentotus pretoriae,Cryptomys pretoriae,OlfactoryCortices,Olfactory cortices,81.27,0.08127,,,pooled/unspecified,g (derived: Brain_Mass.g x p.C.Brain volume-fraction),1000,derived,"Brain_Mass.g(1.35) x Olfactory cortices_p.C.Brain(0.0602) -- volume-fraction of brain applied to brain MASS as a density-homogeneity approximation, not an independently measured part mass",Kverkova_etal_2018_TableS1.csv,Kverkova et al. (2018),
Cryptomys hottentotus pretoriae,Cryptomys pretoriae,Neocortex,Neocortex,335.88,0.33588,,,pooled/unspecified,g (derived: Brain_Mass.g x p.C.Brain volume-fraction),1000,derived,"Brain_Mass.g(1.35) x Neocortex_p.C.Brain(0.2488) -- volume-fraction of brain applied to brain MASS as a density-homogeneity approximation, not an independently measured part mass",Kverkova_etal_2018_TableS1.csv,Kverkova et al. (2018),
Cryptomys hottentotus pretoriae,Cryptomys pretoriae,EntorhinalCortex,Entorhinal cortex,48.599999999999994,0.0486,,,pooled/unspecified,g (derived: Brain_Mass.g x p.C.Brain volume-fraction),1000,derived,"Brain_Mass.g(1.35) x Entorhinal cortex_p.C.Brain(0.036) -- volume-fraction of brain applied to brain MASS as a density-homogeneity approximation, not an independently measured part mass",Kverkova_etal_2018_TableS1.csv,Kverkova et al. (2018),
Cryptomys hottentotus pretoriae,Cryptomys pretoriae,Hippocampus,Hippocampus,100.71000000000001,0.10071000000000001,,,pooled/unspecified,g (derived: Brain_Mass.g x p.C.Brain volume-fraction),1000,derived,"Brain_Mass.g(1.35) x Hippocampus_p.C.Brain(0.0746) -- volume-fraction of brain applied to brain MASS as a density-homogeneity approximation, not an independently measured part mass",Kverkova_etal_2018_TableS1.csv,Kverkova et al. (2018),
Cryptomys hottentotus pretoriae,Cryptomys pretoriae,Amygdala,Amygdala,21.735,0.021735,,,pooled/unspecified,g (derived: Brain_Mass.g x p.C.Brain volume-fraction),1000,derived,"Brain_Mass.g(1.35) x Amygdala_p.C.Brain(0.0161) -- volume-fraction of brain applied to brain MASS as a density-homogeneity approximation, not an independently measured part mass",Kverkova_etal_2018_TableS1.csv,Kverkova et al. (2018),
Cryptomys hottentotus pretoriae,Cryptomys pretoriae,Striatum,Striatum,90.31500000000001,0.090315,,,pooled/unspecified,g (derived: Brain_Mass.g x p.C.Brain volume-fraction),1000,derived,"Brain_Mass.g(1.35) x Striatum_p.C.Brain(0.0669) -- volume-fraction of brain applied to brain MASS as a density-homogeneity approximation, not an independently measured part mass",Kverkova_etal_2018_TableS1.csv,Kverkova et al. (2018),
Cryptomys hottentotus pretoriae,Cryptomys pretoriae,Septum,Septum,15.66,0.01566,,,pooled/unspecified,g (derived: Brain_Mass.g x p.C.Brain volume-fraction),1000,derived,"Brain_Mass.g(1.35) x Septum_p.C.Brain(0.0116) -- volume-fraction of brain applied to brain MASS as a density-homogeneity approximation, not an independently measured part mass",Kverkova_etal_2018_TableS1.csv,Kverkova et al. (2018),
Cryptomys hottentotus pretoriae,Cryptomys pretoriae,Thalamus,Thalamus,61.155,0.061155,,,pooled/unspecified,g (derived: Brain_Mass.g x p.C.Brain volume-fraction),1000,derived,"Brain_Mass.g(1.35) x Thalamus_p.C.Brain(0.0453) -- volume-fraction of brain applied to brain MASS as a density-homogeneity approximation, not an independently measured part mass",Kverkova_etal_2018_TableS1.csv,Kverkova et al. (2018),
Cryptomys hottentotus pretoriae,Cryptomys pretoriae,Hypothalamus,Hypothalamus,35.1,0.0351,,,pooled/unspecified,g (derived: Brain_Mass.g x p.C.Brain volume-fraction),1000,derived,"Brain_Mass.g(1.35) x Hypothalamus_p.C.Brain(0.026) -- volume-fraction of brain applied to brain MASS as a density-homogeneity approximation, not an independently measured part mass",Kverkova_etal_2018_TableS1.csv,Kverkova et al. (2018),
Cryptomys hottentotus pretoriae,Cryptomys pretoriae,Cerebellum,Cerebellum,199.8,0.1998,,,pooled/unspecified,g (derived: Brain_Mass.g x p.C.Brain volume-fraction),1000,derived,"Brain_Mass.g(1.35) x Cerebellum_p.C.Brain(0.148) -- volume-fraction of brain applied to brain MASS as a density-homogeneity approximation, not an independently measured part mass",Kverkova_etal_2018_TableS1.csv,Kverkova et al. (2018),
Cryptomys hottentotus pretoriae,Cryptomys pretoriae,Tectum,Tectum,27.135,0.027135000000000003,,,pooled/unspecified,g (derived: Brain_Mass.g x p.C.Brain volume-fraction),1000,derived,"Brain_Mass.g(1.35) x Tectum_p.C.Brain(0.0201) -- volume-fraction of brain applied to brain MASS as a density-homogeneity approximation, not an independently measured part mass",Kverkova_etal_2018_TableS1.csv,Kverkova et al. (2018),
Cryptomys hottentotus pretoriae,Cryptomys pretoriae,Tegmentum,Tegmentum,50.355000000000004,0.050355000000000004,,,pooled/unspecified,g (derived: Brain_Mass.g x p.C.Brain volume-fraction),1000,derived,"Brain_Mass.g(1.35) x Tegmentum_p.C.Brain(0.0373) -- volume-fraction of brain applied to brain MASS as a density-homogeneity approximation, not an independently measured part mass",Kverkova_etal_2018_TableS1.csv,Kverkova et al. (2018),
Cryptomys hottentotus pretoriae,Cryptomys pretoriae,Medulla,Medulla oblongata,127.03500000000001,0.127035,,,pooled/unspecified,g (derived: Brain_Mass.g x p.C.Brain volume-fraction),1000,derived,"Brain_Mass.g(1.35) x Medulla oblongata_p.C.Brain(0.0941) -- volume-fraction of brain applied to brain MASS as a density-homogeneity approximation, not an independently measured part mass",Kverkova_etal_2018_TableS1.csv,Kverkova et al. (2018),
Fukomys anselli,Fukomys anselli,OlfactoryBulb,Olfactory bulbs,57.875,0.057875,,,pooled/unspecified,g (derived: Brain_Mass.g x p.C.Brain volume-fraction),1000,derived,"Brain_Mass.g(1.25) x Olfactory bulbs_p.C.Brain(0.0463) -- volume-fraction of brain applied to brain MASS as a density-homogeneity approximation, not an independently measured part mass",Kverkova_etal_2018_TableS1.csv,Kverkova et al. (2018),
Fukomys anselli,Fukomys anselli,OlfactoryCortices,Olfactory cortices,74.625,0.074625,,,pooled/unspecified,g (derived: Brain_Mass.g x p.C.Brain volume-fraction),1000,derived,"Brain_Mass.g(1.25) x Olfactory cortices_p.C.Brain(0.0597) -- volume-fraction of brain applied to brain MASS as a density-homogeneity approximation, not an independently measured part mass",Kverkova_etal_2018_TableS1.csv,Kverkova et al. (2018),
Fukomys anselli,Fukomys anselli,Neocortex,Neocortex,304.5,0.3045,,,pooled/unspecified,g (derived: Brain_Mass.g x p.C.Brain volume-fraction),1000,derived,"Brain_Mass.g(1.25) x Neocortex_p.C.Brain(0.2436) -- volume-fraction of brain applied to brain MASS as a density-homogeneity approximation, not an independently measured part mass",Kverkova_etal_2018_TableS1.csv,Kverkova et al. (2018),
Fukomys anselli,Fukomys anselli,EntorhinalCortex,Entorhinal cortex,39.625,0.039625,,,pooled/unspecified,g (derived: Brain_Mass.g x p.C.Brain volume-fraction),1000,derived,"Brain_Mass.g(1.25) x Entorhinal cortex_p.C.Brain(0.0317) -- volume-fraction of brain applied to brain MASS as a density-homogeneity approximation, not an independently measured part mass",Kverkova_etal_2018_TableS1.csv,Kverkova et al. (2018),
Fukomys anselli,Fukomys anselli,Hippocampus,Hippocampus,85.24999999999999,0.08524999999999999,,,pooled/unspecified,g (derived: Brain_Mass.g x p.C.Brain volume-fraction),1000,derived,"Brain_Mass.g(1.25) x Hippocampus_p.C.Brain(0.0682) -- volume-fraction of brain applied to brain MASS as a density-homogeneity approximation, not an independently measured part mass",Kverkova_etal_2018_TableS1.csv,Kverkova et al. (2018),
Fukomys anselli,Fukomys anselli,Amygdala,Amygdala,27.000000000000004,0.027000000000000003,,,pooled/unspecified,g (derived: Brain_Mass.g x p.C.Brain volume-fraction),1000,derived,"Brain_Mass.g(1.25) x Amygdala_p.C.Brain(0.0216) -- volume-fraction of brain applied to brain MASS as a density-homogeneity approximation, not an independently measured part mass",Kverkova_etal_2018_TableS1.csv,Kverkova et al. (2018),
Fukomys anselli,Fukomys anselli,Striatum,Striatum,87.50000000000001,0.08750000000000001,,,pooled/unspecified,g (derived: Brain_Mass.g x p.C.Brain volume-fraction),1000,derived,"Brain_Mass.g(1.25) x Striatum_p.C.Brain(0.07) -- volume-fraction of brain applied to brain MASS as a density-homogeneity approximation, not an independently measured part mass",Kverkova_etal_2018_TableS1.csv,Kverkova et al. (2018),
Fukomys anselli,Fukomys anselli,Septum,Septum,15.5,0.0155,,,pooled/unspecified,g (derived: Brain_Mass.g x p.C.Brain volume-fraction),1000,derived,"Brain_Mass.g(1.25) x Septum_p.C.Brain(0.0124) -- volume-fraction of brain applied to brain MASS as a density-homogeneity approximation, not an independently measured part mass",Kverkova_etal_2018_TableS1.csv,Kverkova et al. (2018),
Fukomys anselli,Fukomys anselli,Thalamus,Thalamus,63.875,0.063875,,,pooled/unspecified,g (derived: Brain_Mass.g x p.C.Brain volume-fraction),1000,derived,"Brain_Mass.g(1.25) x Thalamus_p.C.Brain(0.0511) -- volume-fraction of brain applied to brain MASS as a density-homogeneity approximation, not an independently measured part mass",Kverkova_etal_2018_TableS1.csv,Kverkova et al. (2018),
Fukomys anselli,Fukomys anselli,Hypothalamus,Hypothalamus,37.00000000000001,0.037000000000000005,,,pooled/unspecified,g (derived: Brain_Mass.g x p.C.Brain volume-fraction),1000,derived,"Brain_Mass.g(1.25) x Hypothalamus_p.C.Brain(0.0296) -- volume-fraction of brain applied to brain MASS as a density-homogeneity approximation, not an independently measured part mass",Kverkova_etal_2018_TableS1.csv,Kverkova et al. (2018),
Fukomys anselli,Fukomys anselli,Cerebellum,Cerebellum,209.0,0.209,,,pooled/unspecified,g (derived: Brain_Mass.g x p.C.Brain volume-fraction),1000,derived,"Brain_Mass.g(1.25) x Cerebellum_p.C.Brain(0.1672) -- volume-fraction of brain applied to brain MASS as a density-homogeneity approximation, not an independently measured part mass",Kverkova_etal_2018_TableS1.csv,Kverkova et al. (2018),
Fukomys anselli,Fukomys anselli,Tectum,Tectum,33.25,0.03325,,,pooled/unspecified,g (derived: Brain_Mass.g x p.C.Brain volume-fraction),1000,derived,"Brain_Mass.g(1.25) x Tectum_p.C.Brain(0.0266) -- volume-fraction of brain applied to brain MASS as a density-homogeneity approximation, not an independently measured part mass",Kverkova_etal_2018_TableS1.csv,Kverkova et al. (2018),
Fukomys anselli,Fukomys anselli,Tegmentum,Tegmentum,62.5,0.0625,,,pooled/unspecified,g (derived: Brain_Mass.g x p.C.Brain volume-fraction),1000,derived,"Brain_Mass.g(1.25) x Tegmentum_p.C.Brain(0.05) -- volume-fraction of brain applied to brain MASS as a density-homogeneity approximation, not an independently measured part mass",Kverkova_etal_2018_TableS1.csv,Kverkova et al. (2018),
Fukomys anselli,Fukomys anselli,Medulla,Medulla oblongata,138.0,0.138,,,pooled/unspecified,g (derived: Brain_Mass.g x p.C.Brain volume-fraction),1000,derived,"Brain_Mass.g(1.25) x Medulla oblongata_p.C.Brain(0.1104) -- volume-fraction of brain applied to brain MASS as a density-homogeneity approximation, not an independently measured part mass",Kverkova_etal_2018_TableS1.csv,Kverkova et al. (2018),
Fukomys damarensis,Fukomys damarensis,OlfactoryBulb,Olfactory bulbs,62.27199999999999,0.062271999999999994,,,pooled/unspecified,g (derived: Brain_Mass.g x p.C.Brain volume-fraction),1000,derived,"Brain_Mass.g(1.39) x Olfactory bulbs_p.C.Brain(0.0448) -- volume-fraction of brain applied to brain MASS as a density-homogeneity approximation, not an independently measured part mass",Kverkova_etal_2018_TableS1.csv,Kverkova et al. (2018),
Fukomys damarensis,Fukomys damarensis,OlfactoryCortices,Olfactory cortices,93.547,0.09354699999999999,,,pooled/unspecified,g (derived: Brain_Mass.g x p.C.Brain volume-fraction),1000,derived,"Brain_Mass.g(1.39) x Olfactory cortices_p.C.Brain(0.0673) -- volume-fraction of brain applied to brain MASS as a density-homogeneity approximation, not an independently measured part mass",Kverkova_etal_2018_TableS1.csv,Kverkova et al. (2018),
Fukomys damarensis,Fukomys damarensis,Neocortex,Neocortex,329.569,0.329569,,,pooled/unspecified,g (derived: Brain_Mass.g x p.C.Brain volume-fraction),1000,derived,"Brain_Mass.g(1.39) x Neocortex_p.C.Brain(0.2371) -- volume-fraction of brain applied to brain MASS as a density-homogeneity approximation, not an independently measured part mass",Kverkova_etal_2018_TableS1.csv,Kverkova et al. (2018),
Fukomys damarensis,Fukomys damarensis,EntorhinalCortex,Entorhinal cortex,46.98199999999999,0.04698199999999999,,,pooled/unspecified,g (derived: Brain_Mass.g x p.C.Brain volume-fraction),1000,derived,"Brain_Mass.g(1.39) x Entorhinal cortex_p.C.Brain(0.0338) -- volume-fraction of brain applied to brain MASS as a density-homogeneity approximation, not an independently measured part mass",Kverkova_etal_2018_TableS1.csv,Kverkova et al. (2018),
Fukomys damarensis,Fukomys damarensis,Hippocampus,Hippocampus,100.63600000000001,0.100636,,,pooled/unspecified,g (derived: Brain_Mass.g x p.C.Brain volume-fraction),1000,derived,"Brain_Mass.g(1.39) x Hippocampus_p.C.Brain(0.0724) -- volume-fraction of brain applied to brain MASS as a density-homogeneity approximation, not an independently measured part mass",Kverkova_etal_2018_TableS1.csv,Kverkova et al. (2018),
Fukomys damarensis,Fukomys damarensis,Amygdala,Amygdala,23.490999999999996,0.023490999999999995,,,pooled/unspecified,g (derived: Brain_Mass.g x p.C.Brain volume-fraction),1000,derived,"Brain_Mass.g(1.39) x Amygdala_p.C.Brain(0.0169) -- volume-fraction of brain applied to brain MASS as a density-homogeneity approximation, not an independently measured part mass",Kverkova_etal_2018_TableS1.csv,Kverkova et al. (2018),
Fukomys damarensis,Fukomys damarensis,Striatum,Striatum,108.28099999999999,0.10828099999999999,,,pooled/unspecified,g (derived: Brain_Mass.g x p.C.Brain volume-fraction),1000,derived,"Brain_Mass.g(1.39) x Striatum_p.C.Brain(0.0779) -- volume-fraction of brain applied to brain MASS as a density-homogeneity approximation, not an independently measured part mass",Kverkova_etal_2018_TableS1.csv,Kverkova et al. (2018),
Fukomys damarensis,Fukomys damarensis,Septum,Septum,15.567999999999998,0.015567999999999999,,,pooled/unspecified,g (derived: Brain_Mass.g x p.C.Brain volume-fraction),1000,derived,"Brain_Mass.g(1.39) x Septum_p.C.Brain(0.0112) -- volume-fraction of brain applied to brain MASS as a density-homogeneity approximation, not an independently measured part mass",Kverkova_etal_2018_TableS1.csv,Kverkova et al. (2018),
Fukomys damarensis,Fukomys damarensis,Thalamus,Thalamus,67.83200000000001,0.067832,,,pooled/unspecified,g (derived: Brain_Mass.g x p.C.Brain volume-fraction),1000,derived,"Brain_Mass.g(1.39) x Thalamus_p.C.Brain(0.0488) -- volume-fraction of brain applied to brain MASS as a density-homogeneity approximation, not an independently measured part mass",Kverkova_etal_2018_TableS1.csv,Kverkova et al. (2018),
Fukomys damarensis,Fukomys damarensis,Hypothalamus,Hypothalamus,41.004999999999995,0.04100499999999999,,,pooled/unspecified,g (derived: Brain_Mass.g x p.C.Brain volume-fraction),1000,derived,"Brain_Mass.g(1.39) x Hypothalamus_p.C.Brain(0.0295) -- volume-fraction of brain applied to brain MASS as a density-homogeneity approximation, not an independently measured part mass",Kverkova_etal_2018_TableS1.csv,Kverkova et al. (2018),
Fukomys damarensis,Fukomys damarensis,Cerebellum,Cerebellum,212.66999999999996,0.21266999999999997,,,pooled/unspecified,g (derived: Brain_Mass.g x p.C.Brain volume-fraction),1000,derived,"Brain_Mass.g(1.39) x Cerebellum_p.C.Brain(0.153) -- volume-fraction of brain applied to brain MASS as a density-homogeneity approximation, not an independently measured part mass",Kverkova_etal_2018_TableS1.csv,Kverkova et al. (2018),
Fukomys damarensis,Fukomys damarensis,Tectum,Tectum,28.216999999999995,0.028216999999999996,,,pooled/unspecified,g (derived: Brain_Mass.g x p.C.Brain volume-fraction),1000,derived,"Brain_Mass.g(1.39) x Tectum_p.C.Brain(0.0203) -- volume-fraction of brain applied to brain MASS as a density-homogeneity approximation, not an independently measured part mass",Kverkova_etal_2018_TableS1.csv,Kverkova et al. (2018),
Fukomys damarensis,Fukomys damarensis,Tegmentum,Tegmentum,59.352999999999994,0.059352999999999996,,,pooled/unspecified,g (derived: Brain_Mass.g x p.C.Brain volume-fraction),1000,derived,"Brain_Mass.g(1.39) x Tegmentum_p.C.Brain(0.0427) -- volume-fraction of brain applied to brain MASS as a density-homogeneity approximation, not an independently measured part mass",Kverkova_etal_2018_TableS1.csv,Kverkova et al. (2018),
Fukomys damarensis,Fukomys damarensis,Medulla,Medulla oblongata,116.89899999999999,0.11689899999999999,,,pooled/unspecified,g (derived: Brain_Mass.g x p.C.Brain volume-fraction),1000,derived,"Brain_Mass.g(1.39) x Medulla oblongata_p.C.Brain(0.0841) -- volume-fraction of brain applied to brain MASS as a density-homogeneity approximation, not an independently measured part mass",Kverkova_etal_2018_TableS1.csv,Kverkova et al. (2018),
Fukomys darlingi,Fukomys darlingi,OlfactoryBulb,Olfactory bulbs,46.248000000000005,0.046248000000000004,,,pooled/unspecified,g (derived: Brain_Mass.g x p.C.Brain volume-fraction),1000,derived,"Brain_Mass.g(1.23) x Olfactory bulbs_p.C.Brain(0.0376) -- volume-fraction of brain applied to brain MASS as a density-homogeneity approximation, not an independently measured part mass",Kverkova_etal_2018_TableS1.csv,Kverkova et al. (2018),
Fukomys darlingi,Fukomys darlingi,OlfactoryCortices,Olfactory cortices,82.04099999999998,0.08204099999999999,,,pooled/unspecified,g (derived: Brain_Mass.g x p.C.Brain volume-fraction),1000,derived,"Brain_Mass.g(1.23) x Olfactory cortices_p.C.Brain(0.0667) -- volume-fraction of brain applied to brain MASS as a density-homogeneity approximation, not an independently measured part mass",Kverkova_etal_2018_TableS1.csv,Kverkova et al. (2018),
Fukomys darlingi,Fukomys darlingi,Neocortex,Neocortex,288.558,0.288558,,,pooled/unspecified,g (derived: Brain_Mass.g x p.C.Brain volume-fraction),1000,derived,"Brain_Mass.g(1.23) x Neocortex_p.C.Brain(0.2346) -- volume-fraction of brain applied to brain MASS as a density-homogeneity approximation, not an independently measured part mass",Kverkova_etal_2018_TableS1.csv,Kverkova et al. (2018),
Fukomys darlingi,Fukomys darlingi,EntorhinalCortex,Entorhinal cortex,43.66499999999999,0.043664999999999995,,,pooled/unspecified,g (derived: Brain_Mass.g x p.C.Brain volume-fraction),1000,derived,"Brain_Mass.g(1.23) x Entorhinal cortex_p.C.Brain(0.0355) -- volume-fraction of brain applied to brain MASS as a density-homogeneity approximation, not an independently measured part mass",Kverkova_etal_2018_TableS1.csv,Kverkova et al. (2018),
Fukomys darlingi,Fukomys darlingi,Hippocampus,Hippocampus,80.81099999999999,0.080811,,,pooled/unspecified,g (derived: Brain_Mass.g x p.C.Brain volume-fraction),1000,derived,"Brain_Mass.g(1.23) x Hippocampus_p.C.Brain(0.0657) -- volume-fraction of brain applied to brain MASS as a density-homogeneity approximation, not an independently measured part mass",Kverkova_etal_2018_TableS1.csv,Kverkova et al. (2018),
Fukomys darlingi,Fukomys darlingi,Amygdala,Amygdala,17.343,0.017343,,,pooled/unspecified,g (derived: Brain_Mass.g x p.C.Brain volume-fraction),1000,derived,"Brain_Mass.g(1.23) x Amygdala_p.C.Brain(0.0141) -- volume-fraction of brain applied to brain MASS as a density-homogeneity approximation, not an independently measured part mass",Kverkova_etal_2018_TableS1.csv,Kverkova et al. (2018),
Fukomys darlingi,Fukomys darlingi,Striatum,Striatum,105.288,0.10528799999999999,,,pooled/unspecified,g (derived: Brain_Mass.g x p.C.Brain volume-fraction),1000,derived,"Brain_Mass.g(1.23) x Striatum_p.C.Brain(0.0856) -- volume-fraction of brain applied to brain MASS as a density-homogeneity approximation, not an independently measured part mass",Kverkova_etal_2018_TableS1.csv,Kverkova et al. (2018),
Fukomys darlingi,Fukomys darlingi,Septum,Septum,17.343,0.017343,,,pooled/unspecified,g (derived: Brain_Mass.g x p.C.Brain volume-fraction),1000,derived,"Brain_Mass.g(1.23) x Septum_p.C.Brain(0.0141) -- volume-fraction of brain applied to brain MASS as a density-homogeneity approximation, not an independently measured part mass",Kverkova_etal_2018_TableS1.csv,Kverkova et al. (2018),
Fukomys darlingi,Fukomys darlingi,Thalamus,Thalamus,53.751,0.053751,,,pooled/unspecified,g (derived: Brain_Mass.g x p.C.Brain volume-fraction),1000,derived,"Brain_Mass.g(1.23) x Thalamus_p.C.Brain(0.0437) -- volume-fraction of brain applied to brain MASS as a density-homogeneity approximation, not an independently measured part mass",Kverkova_etal_2018_TableS1.csv,Kverkova et al. (2018),
Fukomys darlingi,Fukomys darlingi,Hypothalamus,Hypothalamus,31.118999999999996,0.031118999999999997,,,pooled/unspecified,g (derived: Brain_Mass.g x p.C.Brain volume-fraction),1000,derived,"Brain_Mass.g(1.23) x Hypothalamus_p.C.Brain(0.0253) -- volume-fraction of brain applied to brain MASS as a density-homogeneity approximation, not an independently measured part mass",Kverkova_etal_2018_TableS1.csv,Kverkova et al. (2018),
Fukomys darlingi,Fukomys darlingi,Cerebellum,Cerebellum,165.558,0.16555799999999998,,,pooled/unspecified,g (derived: Brain_Mass.g x p.C.Brain volume-fraction),1000,derived,"Brain_Mass.g(1.23) x Cerebellum_p.C.Brain(0.1346) -- volume-fraction of brain applied to brain MASS as a density-homogeneity approximation, not an independently measured part mass",Kverkova_etal_2018_TableS1.csv,Kverkova et al. (2018),
Fukomys darlingi,Fukomys darlingi,Tectum,Tectum,26.199,0.026199,,,pooled/unspecified,g (derived: Brain_Mass.g x p.C.Brain volume-fraction),1000,derived,"Brain_Mass.g(1.23) x Tectum_p.C.Brain(0.0213) -- volume-fraction of brain applied to brain MASS as a density-homogeneity approximation, not an independently measured part mass",Kverkova_etal_2018_TableS1.csv,Kverkova et al. (2018),
Fukomys darlingi,Fukomys darlingi,Tegmentum,Tegmentum,48.461999999999996,0.048462,,,pooled/unspecified,g (derived: Brain_Mass.g x p.C.Brain volume-fraction),1000,derived,"Brain_Mass.g(1.23) x Tegmentum_p.C.Brain(0.0394) -- volume-fraction of brain applied to brain MASS as a density-homogeneity approximation, not an independently measured part mass",Kverkova_etal_2018_TableS1.csv,Kverkova et al. (2018),
Fukomys darlingi,Fukomys darlingi,Medulla,Medulla oblongata,107.133,0.10713299999999999,,,pooled/unspecified,g (derived: Brain_Mass.g x p.C.Brain volume-fraction),1000,derived,"Brain_Mass.g(1.23) x Medulla oblongata_p.C.Brain(0.0871) -- volume-fraction of brain applied to brain MASS as a density-homogeneity approximation, not an independently measured part mass",Kverkova_etal_2018_TableS1.csv,Kverkova et al. (2018),
Fukomys mechowii,Fukomys mechowii,OlfactoryBulb,Olfactory bulbs,79.33500000000001,0.079335,,,pooled/unspecified,g (derived: Brain_Mass.g x p.C.Brain volume-fraction),1000,derived,"Brain_Mass.g(2.15) x Olfactory bulbs_p.C.Brain(0.0369) -- volume-fraction of brain applied to brain MASS as a density-homogeneity approximation, not an independently measured part mass",Kverkova_etal_2018_TableS1.csv,Kverkova et al. (2018),
Fukomys mechowii,Fukomys mechowii,OlfactoryCortices,Olfactory cortices,138.02999999999997,0.13802999999999999,,,pooled/unspecified,g (derived: Brain_Mass.g x p.C.Brain volume-fraction),1000,derived,"Brain_Mass.g(2.15) x Olfactory cortices_p.C.Brain(0.0642) -- volume-fraction of brain applied to brain MASS as a density-homogeneity approximation, not an independently measured part mass",Kverkova_etal_2018_TableS1.csv,Kverkova et al. (2018),
Fukomys mechowii,Fukomys mechowii,Neocortex,Neocortex,652.095,0.652095,,,pooled/unspecified,g (derived: Brain_Mass.g x p.C.Brain volume-fraction),1000,derived,"Brain_Mass.g(2.15) x Neocortex_p.C.Brain(0.3033) -- volume-fraction of brain applied to brain MASS as a density-homogeneity approximation, not an independently measured part mass",Kverkova_etal_2018_TableS1.csv,Kverkova et al. (2018),
Fukomys mechowii,Fukomys mechowii,EntorhinalCortex,Entorhinal cortex,73.53,0.07353,,,pooled/unspecified,g (derived: Brain_Mass.g x p.C.Brain volume-fraction),1000,derived,"Brain_Mass.g(2.15) x Entorhinal cortex_p.C.Brain(0.0342) -- volume-fraction of brain applied to brain MASS as a density-homogeneity approximation, not an independently measured part mass",Kverkova_etal_2018_TableS1.csv,Kverkova et al. (2018),
Fukomys mechowii,Fukomys mechowii,Hippocampus,Hippocampus,142.545,0.14254499999999998,,,pooled/unspecified,g (derived: Brain_Mass.g x p.C.Brain volume-fraction),1000,derived,"Brain_Mass.g(2.15) x Hippocampus_p.C.Brain(0.0663) -- volume-fraction of brain applied to brain MASS as a density-homogeneity approximation, not an independently measured part mass",Kverkova_etal_2018_TableS1.csv,Kverkova et al. (2018),
Fukomys mechowii,Fukomys mechowii,Amygdala,Amygdala,36.334999999999994,0.03633499999999999,,,pooled/unspecified,g (derived: Brain_Mass.g x p.C.Brain volume-fraction),1000,derived,"Brain_Mass.g(2.15) x Amygdala_p.C.Brain(0.0169) -- volume-fraction of brain applied to brain MASS as a density-homogeneity approximation, not an independently measured part mass",Kverkova_etal_2018_TableS1.csv,Kverkova et al. (2018),
Fukomys mechowii,Fukomys mechowii,Striatum,Striatum,205.97,0.20597,,,pooled/unspecified,g (derived: Brain_Mass.g x p.C.Brain volume-fraction),1000,derived,"Brain_Mass.g(2.15) x Striatum_p.C.Brain(0.0958) -- volume-fraction of brain applied to brain MASS as a density-homogeneity approximation, not an independently measured part mass",Kverkova_etal_2018_TableS1.csv,Kverkova et al. (2018),
Fukomys mechowii,Fukomys mechowii,Septum,Septum,25.155,0.025155,,,pooled/unspecified,g (derived: Brain_Mass.g x p.C.Brain volume-fraction),1000,derived,"Brain_Mass.g(2.15) x Septum_p.C.Brain(0.0117) -- volume-fraction of brain applied to brain MASS as a density-homogeneity approximation, not an independently measured part mass",Kverkova_etal_2018_TableS1.csv,Kverkova et al. (2018),
Fukomys mechowii,Fukomys mechowii,Thalamus,Thalamus,120.83,0.12082999999999999,,,pooled/unspecified,g (derived: Brain_Mass.g x p.C.Brain volume-fraction),1000,derived,"Brain_Mass.g(2.15) x Thalamus_p.C.Brain(0.0562) -- volume-fraction of brain applied to brain MASS as a density-homogeneity approximation, not an independently measured part mass",Kverkova_etal_2018_TableS1.csv,Kverkova et al. (2018),
Fukomys mechowii,Fukomys mechowii,Hypothalamus,Hypothalamus,62.78,0.06278,,,pooled/unspecified,g (derived: Brain_Mass.g x p.C.Brain volume-fraction),1000,derived,"Brain_Mass.g(2.15) x Hypothalamus_p.C.Brain(0.0292) -- volume-fraction of brain applied to brain MASS as a density-homogeneity approximation, not an independently measured part mass",Kverkova_etal_2018_TableS1.csv,Kverkova et al. (2018),
