Species_Dell2016	System	Nucleus	Protein	Measure_Type	Density	Density_Score	Density_Description
Phocoena phocoena	Serotonergic	Dorsal raphe, peripheral (DRp)	Parvalbumin	Neurons	+	1	Low density
Phocoena phocoena	Serotonergic	Dorsal raphe, peripheral (DRp)	Parvalbumin	Terminal_networks	+	1	Low density
Phocoena phocoena	Serotonergic	Dorsal raphe, caudal (DRc)	Calbindin	Neurons	++	2	Moderate density
Phocoena phocoena	Serotonergic	Dorsal raphe, caudal (DRc)	Calbindin	Terminal_networks	++	2	Moderate density
Phocoena phocoena	Serotonergic	Dorsal raphe, caudal (DRc)	Calretinin	Neurons	+	1	Low density
Phocoena phocoena	Serotonergic	Dorsal raphe, caudal (DRc)	Calretinin	Terminal_networks	++	2	Moderate density
Phocoena phocoena	Serotonergic	Dorsal raphe, caudal (DRc)	Parvalbumin	Neurons	-	0	Absent
Phocoena phocoena	Serotonergic	Dorsal raphe, caudal (DRc)	Parvalbumin	Terminal_networks	++	2	Moderate density
Phocoena phocoena	Orexinergic	Main magnocellular cluster	Calbindin	Neurons	++	2	Moderate density
Phocoena phocoena	Orexinergic	Main magnocellular cluster	Calbindin	Terminal_networks	++	2	Moderate density
Phocoena phocoena	Orexinergic	Main magnocellular cluster	Calretinin	Neurons	++	2	Moderate density
Phocoena phocoena	Orexinergic	Main magnocellular cluster	Calretinin	Terminal_networks	+	1	Low density
Phocoena phocoena	Orexinergic	Main magnocellular cluster	Parvalbumin	Neurons	+	1	Low density
Phocoena phocoena	Orexinergic	Main magnocellular cluster	Parvalbumin	Terminal_networks	-	0	Absent
Phocoena phocoena	Orexinergic	Optic tract cluster	Calbindin	Neurons	+	1	Low density
Phocoena phocoena	Orexinergic	Optic tract cluster	Calbindin	Terminal_networks	++	2	Moderate density
Phocoena phocoena	Orexinergic	Optic tract cluster	Calretinin	Neurons	+	1	Low density
Phocoena phocoena	Orexinergic	Optic tract cluster	Calretinin	Terminal_networks	-	0	Absent
Phocoena phocoena	Orexinergic	Optic tract cluster	Parvalbumin	Neurons	-	0	Absent
Phocoena phocoena	Orexinergic	Optic tract cluster	Parvalbumin	Terminal_networks	-	0	Absent
Phocoena phocoena	Orexinergic	Zona incerta cluster	Calbindin	Neurons	++	2	Moderate density
Phocoena phocoena	Orexinergic	Zona incerta cluster	Calbindin	Terminal_networks	-	0	Absent
Phocoena phocoena	Orexinergic	Zona incerta cluster	Calretinin	Neurons	+	1	Low density
Phocoena phocoena	Orexinergic	Zona incerta cluster	Calretinin	Terminal_networks	-	0	Absent
Phocoena phocoena	Orexinergic	Zona incerta cluster	Parvalbumin	Neurons	+	1	Low density
Phocoena phocoena	Orexinergic	Zona incerta cluster	Parvalbumin	Terminal_networks	-	0	Absent
Phocoena phocoena	Orexinergic	Medial parvocellular cluster	Calbindin	Neurons	++	2	Moderate density
Phocoena phocoena	Orexinergic	Medial parvocellular cluster	Calbindin	Terminal_networks	++	2	Moderate density
Phocoena phocoena	Orexinergic	Medial parvocellular cluster	Calretinin	Neurons	++	2	Moderate density
Phocoena phocoena	Orexinergic	Medial parvocellular cluster	Calretinin	Terminal_networks	+	1	Low density
Phocoena phocoena	Orexinergic	Medial parvocellular cluster	Parvalbumin	Neurons	+	1	Low density
Phocoena phocoena	Orexinergic	Medial parvocellular cluster	Parvalbumin	Terminal_networks	-	0	Absent
Phocoena phocoena	Thalamic reticular nucleus	Thalamic reticular nucleus	Calbindin	Neurons	+	1	Low density
Phocoena phocoena	Thalamic reticular nucleus	Thalamic reticular nucleus	Calbindin	Terminal_networks	+	1	Low density
Phocoena phocoena	Thalamic reticular nucleus	Thalamic reticular nucleus	Calretinin	Neurons	+++	3	High density
Phocoena phocoena	Thalamic reticular nucleus	Thalamic reticular nucleus	Calretinin	Terminal_networks	++	2	Moderate density
Phocoena phocoena	Thalamic reticular nucleus	Thalamic reticular nucleus	Parvalbumin	Neurons	+++	3	High density
Phocoena phocoena	Thalamic reticular nucleus	Thalamic reticular nucleus	Parvalbumin	Terminal_networks	+++	3	High density
