"Genus","procedure","paradigm","rank","note","source"
"Cebus",8,"tool use (TU)",1.5,"lower rank = better performance; ties fractional; genus-level meta-analysis ranks - SECONDARY (per-procedure primary studies cited in the paper's text sections); overlaps Johnson_etal_2002_Table1 (same lineage) - never independent","Deaner_etal_2006_Table1"
"Cebus",9,"tool use (TU)",3,"lower rank = better performance; ties fractional; genus-level meta-analysis ranks - SECONDARY (per-procedure primary studies cited in the paper's text sections); overlaps Johnson_etal_2002_Table1 (same lineage) - never independent","Deaner_etal_2006_Table1"
"Cebus",11,"object discrimination learning set (DL)",2,"lower rank = better performance; ties fractional; genus-level meta-analysis ranks - SECONDARY (per-procedure primary studies cited in the paper's text sections); overlaps Johnson_etal_2002_Table1 (same lineage) - never independent","Deaner_etal_2006_Table1"
"Cebus",12,"object discrimination learning set (DL)",1.5,"lower rank = better performance; ties fractional; genus-level meta-analysis ranks - SECONDARY (per-procedure primary studies cited in the paper's text sections); overlaps Johnson_etal_2002_Table1 (same lineage) - never independent","Deaner_etal_2006_Table1"
"Cebus",13,"object discrimination learning set (DL)",2,"lower rank = better performance; ties fractional; genus-level meta-analysis ranks - SECONDARY (per-procedure primary studies cited in the paper's text sections); overlaps Johnson_etal_2002_Table1 (same lineage) - never independent","Deaner_etal_2006_Table1"
"Cebus",19,"reversal learning (RL)",2.5,"lower rank = better performance; ties fractional; genus-level meta-analysis ranks - SECONDARY (per-procedure primary studies cited in the paper's text sections); overlaps Johnson_etal_2002_Table1 (same lineage) - never independent","Deaner_etal_2006_Table1"
"Cebus",20,"reversal learning (RL)",2,"lower rank = better performance; ties fractional; genus-level meta-analysis ranks - SECONDARY (per-procedure primary studies cited in the paper's text sections); overlaps Johnson_etal_2002_Table1 (same lineage) - never independent","Deaner_etal_2006_Table1"
"Cebus",21,"reversal learning (RL)",1,"lower rank = better performance; ties fractional; genus-level meta-analysis ranks - SECONDARY (per-procedure primary studies cited in the paper's text sections); overlaps Johnson_etal_2002_Table1 (same lineage) - never independent","Deaner_etal_2006_Table1"
"Cebus",23,"reversal learning (RL)",6.5,"lower rank = better performance; ties fractional; genus-level meta-analysis ranks - SECONDARY (per-procedure primary studies cited in the paper's text sections); overlaps Johnson_etal_2002_Table1 (same lineage) - never independent","Deaner_etal_2006_Table1"
"Cebus",25,"oddity learning (OD)",2,"lower rank = better performance; ties fractional; genus-level meta-analysis ranks - SECONDARY (per-procedure primary studies cited in the paper's text sections); overlaps Johnson_etal_2002_Table1 (same lineage) - never independent","Deaner_etal_2006_Table1"
"Cebus",26,"oddity learning (OD)",1,"lower rank = better performance; ties fractional; genus-level meta-analysis ranks - SECONDARY (per-procedure primary studies cited in the paper's text sections); overlaps Johnson_etal_2002_Table1 (same lineage) - never independent","Deaner_etal_2006_Table1"
"Cebus",27,"sorting (SO)",2.5,"lower rank = better performance; ties fractional; genus-level meta-analysis ranks - SECONDARY (per-procedure primary studies cited in the paper's text sections); overlaps Johnson_etal_2002_Table1 (same lineage) - never independent","Deaner_etal_2006_Table1"
"Cebus",29,"delayed response (DR)",11,"lower rank = better performance; ties fractional; genus-level meta-analysis ranks - SECONDARY (per-procedure primary studies cited in the paper's text sections); overlaps Johnson_etal_2002_Table1 (same lineage) - never independent","Deaner_etal_2006_Table1"
"Cercocebus",4,"patterned-string problems (PS)",6.5,"lower rank = better performance; ties fractional; genus-level meta-analysis ranks - SECONDARY (per-procedure primary studies cited in the paper's text sections); overlaps Johnson_etal_2002_Table1 (same lineage) - never independent","Deaner_etal_2006_Table1"
"Cercocebus",29,"delayed response (DR)",8.5,"lower rank = better performance; ties fractional; genus-level meta-analysis ranks - SECONDARY (per-procedure primary studies cited in the paper's text sections); overlaps Johnson_etal_2002_Table1 (same lineage) - never independent","Deaner_etal_2006_Table1"
"Cercopithecus",3,"detour problems (DP)",2,"lower rank = better performance; ties fractional; genus-level meta-analysis ranks - SECONDARY (per-procedure primary studies cited in the paper's text sections); overlaps Johnson_etal_2002_Table1 (same lineage) - never independent","Deaner_etal_2006_Table1"
"Cercopithecus",4,"patterned-string problems (PS)",6.5,"lower rank = better performance; ties fractional; genus-level meta-analysis ranks - SECONDARY (per-procedure primary studies cited in the paper's text sections); overlaps Johnson_etal_2002_Table1 (same lineage) - never independent","Deaner_etal_2006_Table1"
"Cercopithecus",22,"reversal learning (RL)",1,"lower rank = better performance; ties fractional; genus-level meta-analysis ranks - SECONDARY (per-procedure primary studies cited in the paper's text sections); overlaps Johnson_etal_2002_Table1 (same lineage) - never independent","Deaner_etal_2006_Table1"
"Cercopithecus",23,"reversal learning (RL)",5,"lower rank = better performance; ties fractional; genus-level meta-analysis ranks - SECONDARY (per-procedure primary studies cited in the paper's text sections); overlaps Johnson_etal_2002_Table1 (same lineage) - never independent","Deaner_etal_2006_Table1"
"Cercopithecus",25,"oddity learning (OD)",6,"lower rank = better performance; ties fractional; genus-level meta-analysis ranks - SECONDARY (per-procedure primary studies cited in the paper's text sections); overlaps Johnson_etal_2002_Table1 (same lineage) - never independent","Deaner_etal_2006_Table1"
"Cercopithecus",29,"delayed response (DR)",5,"lower rank = better performance; ties fractional; genus-level meta-analysis ranks - SECONDARY (per-procedure primary studies cited in the paper's text sections); overlaps Johnson_etal_2002_Table1 (same lineage) - never independent","Deaner_etal_2006_Table1"
"Eulemur",22,"reversal learning (RL)",2.5,"lower rank = better performance; ties fractional; genus-level meta-analysis ranks - SECONDARY (per-procedure primary studies cited in the paper's text sections); overlaps Johnson_etal_2002_Table1 (same lineage) - never independent","Deaner_etal_2006_Table1"
"Galago",17,"object discrimination learning set (DL)",3,"lower rank = better performance; ties fractional; genus-level meta-analysis ranks - SECONDARY (per-procedure primary studies cited in the paper's text sections); overlaps Johnson_etal_2002_Table1 (same lineage) - never independent","Deaner_etal_2006_Table1"
"Gorilla",4,"patterned-string problems (PS)",4,"lower rank = better performance; ties fractional; genus-level meta-analysis ranks - SECONDARY (per-procedure primary studies cited in the paper's text sections); overlaps Johnson_etal_2002_Table1 (same lineage) - never independent","Deaner_etal_2006_Table1"
"Gorilla",5,"invisible displacement (ID)",1,"lower rank = better performance; ties fractional; genus-level meta-analysis ranks - SECONDARY (per-procedure primary studies cited in the paper's text sections); overlaps Johnson_etal_2002_Table1 (same lineage) - never independent","Deaner_etal_2006_Table1"
"Gorilla",8,"tool use (TU)",1.5,"lower rank = better performance; ties fractional; genus-level meta-analysis ranks - SECONDARY (per-procedure primary studies cited in the paper's text sections); overlaps Johnson_etal_2002_Table1 (same lineage) - never independent","Deaner_etal_2006_Table1"
"Gorilla",15,"object discrimination learning set (DL)",3,"lower rank = better performance; ties fractional; genus-level meta-analysis ranks - SECONDARY (per-procedure primary studies cited in the paper's text sections); overlaps Johnson_etal_2002_Table1 (same lineage) - never independent","Deaner_etal_2006_Table1"
"Gorilla",23,"reversal learning (RL)",1.5,"lower rank = better performance; ties fractional; genus-level meta-analysis ranks - SECONDARY (per-procedure primary studies cited in the paper's text sections); overlaps Johnson_etal_2002_Table1 (same lineage) - never independent","Deaner_etal_2006_Table1"
"Gorilla",29,"delayed response (DR)",8.5,"lower rank = better performance; ties fractional; genus-level meta-analysis ranks - SECONDARY (per-procedure primary studies cited in the paper's text sections); overlaps Johnson_etal_2002_Table1 (same lineage) - never independent","Deaner_etal_2006_Table1"
"Gorilla",30,"delayed response (DR)",2.5,"lower rank = better performance; ties fractional; genus-level meta-analysis ranks - SECONDARY (per-procedure primary studies cited in the paper's text sections); overlaps Johnson_etal_2002_Table1 (same lineage) - never independent","Deaner_etal_2006_Table1"
"Hylobates",15,"object discrimination learning set (DL)",5,"lower rank = better performance; ties fractional; genus-level meta-analysis ranks - SECONDARY (per-procedure primary studies cited in the paper's text sections); overlaps Johnson_etal_2002_Table1 (same lineage) - never independent","Deaner_etal_2006_Table1"
"Hylobates",21,"reversal learning (RL)",2,"lower rank = better performance; ties fractional; genus-level meta-analysis ranks - SECONDARY (per-procedure primary studies cited in the paper's text sections); overlaps Johnson_etal_2002_Table1 (same lineage) - never independent","Deaner_etal_2006_Table1"
"Hylobates",23,"reversal learning (RL)",6.5,"lower rank = better performance; ties fractional; genus-level meta-analysis ranks - SECONDARY (per-procedure primary studies cited in the paper's text sections); overlaps Johnson_etal_2002_Table1 (same lineage) - never independent","Deaner_etal_2006_Table1"
"Hylobates",29,"delayed response (DR)",5,"lower rank = better performance; ties fractional; genus-level meta-analysis ranks - SECONDARY (per-procedure primary studies cited in the paper's text sections); overlaps Johnson_etal_2002_Table1 (same lineage) - never independent","Deaner_etal_2006_Table1"
"Lagothrix",3,"detour problems (DP)",3,"lower rank = better performance; ties fractional; genus-level meta-analysis ranks - SECONDARY (per-procedure primary studies cited in the paper's text sections); overlaps Johnson_etal_2002_Table1 (same lineage) - never independent","Deaner_etal_2006_Table1"
"Lagothrix",25,"oddity learning (OD)",1,"lower rank = better performance; ties fractional; genus-level meta-analysis ranks - SECONDARY (per-procedure primary studies cited in the paper's text sections); overlaps Johnson_etal_2002_Table1 (same lineage) - never independent","Deaner_etal_2006_Table1"
"Lagothrix",29,"delayed response (DR)",11,"lower rank = better performance; ties fractional; genus-level meta-analysis ranks - SECONDARY (per-procedure primary studies cited in the paper's text sections); overlaps Johnson_etal_2002_Table1 (same lineage) - never independent","Deaner_etal_2006_Table1"
"Lemur",3,"detour problems (DP)",5,"lower rank = better performance; ties fractional; genus-level meta-analysis ranks - SECONDARY (per-procedure primary studies cited in the paper's text sections); overlaps Johnson_etal_2002_Table1 (same lineage) - never independent","Deaner_etal_2006_Table1"
"Lemur",12,"object discrimination learning set (DL)",3,"lower rank = better performance; ties fractional; genus-level meta-analysis ranks - SECONDARY (per-procedure primary studies cited in the paper's text sections); overlaps Johnson_etal_2002_Table1 (same lineage) - never independent","Deaner_etal_2006_Table1"
"Lemur",13,"object discrimination learning set (DL)",3,"lower rank = better performance; ties fractional; genus-level meta-analysis ranks - SECONDARY (per-procedure primary studies cited in the paper's text sections); overlaps Johnson_etal_2002_Table1 (same lineage) - never independent","Deaner_etal_2006_Table1"
"Lemur",17,"object discrimination learning set (DL)",1,"lower rank = better performance; ties fractional; genus-level meta-analysis ranks - SECONDARY (per-procedure primary studies cited in the paper's text sections); overlaps Johnson_etal_2002_Table1 (same lineage) - never independent","Deaner_etal_2006_Table1"
"Lemur",20,"reversal learning (RL)",3,"lower rank = better performance; ties fractional; genus-level meta-analysis ranks - SECONDARY (per-procedure primary studies cited in the paper's text sections); overlaps Johnson_etal_2002_Table1 (same lineage) - never independent","Deaner_etal_2006_Table1"
"Lemur",22,"reversal learning (RL)",2.5,"lower rank = better performance; ties fractional; genus-level meta-analysis ranks - SECONDARY (per-procedure primary studies cited in the paper's text sections); overlaps Johnson_etal_2002_Table1 (same lineage) - never independent","Deaner_etal_2006_Table1"
"Lemur",23,"reversal learning (RL)",8,"lower rank = better performance; ties fractional; genus-level meta-analysis ranks - SECONDARY (per-procedure primary studies cited in the paper's text sections); overlaps Johnson_etal_2002_Table1 (same lineage) - never independent","Deaner_etal_2006_Table1"
"Lemur",25,"oddity learning (OD)",5,"lower rank = better performance; ties fractional; genus-level meta-analysis ranks - SECONDARY (per-procedure primary studies cited in the paper's text sections); overlaps Johnson_etal_2002_Table1 (same lineage) - never independent","Deaner_etal_2006_Table1"
"Macaca",1,"detour problems (DP)",2,"lower rank = better performance; ties fractional; genus-level meta-analysis ranks - SECONDARY (per-procedure primary studies cited in the paper's text sections); overlaps Johnson_etal_2002_Table1 (same lineage) - never independent","Deaner_etal_2006_Table1"
"Macaca",2,"detour problems (DP)",2,"lower rank = better performance; ties fractional; genus-level meta-analysis ranks - SECONDARY (per-procedure primary studies cited in the paper's text sections); overlaps Johnson_etal_2002_Table1 (same lineage) - never independent","Deaner_etal_2006_Table1"
"Macaca",3,"detour problems (DP)",1,"lower rank = better performance; ties fractional; genus-level meta-analysis ranks - SECONDARY (per-procedure primary studies cited in the paper's text sections); overlaps Johnson_etal_2002_Table1 (same lineage) - never independent","Deaner_etal_2006_Table1"
"Macaca",4,"patterned-string problems (PS)",6.5,"lower rank = better performance; ties fractional; genus-level meta-analysis ranks - SECONDARY (per-procedure primary studies cited in the paper's text sections); overlaps Johnson_etal_2002_Table1 (same lineage) - never independent","Deaner_etal_2006_Table1"
"Macaca",5,"invisible displacement (ID)",2.5,"lower rank = better performance; ties fractional; genus-level meta-analysis ranks - SECONDARY (per-procedure primary studies cited in the paper's text sections); overlaps Johnson_etal_2002_Table1 (same lineage) - never independent","Deaner_etal_2006_Table1"
"Macaca",7,"invisible displacement (ID)",2,"lower rank = better performance; ties fractional; genus-level meta-analysis ranks - SECONDARY (per-procedure primary studies cited in the paper's text sections); overlaps Johnson_etal_2002_Table1 (same lineage) - never independent","Deaner_etal_2006_Table1"
"Macaca",8,"tool use (TU)",3,"lower rank = better performance; ties fractional; genus-level meta-analysis ranks - SECONDARY (per-procedure primary studies cited in the paper's text sections); overlaps Johnson_etal_2002_Table1 (same lineage) - never independent","Deaner_etal_2006_Table1"
"Macaca",10,"object discrimination learning set (DL)",1,"lower rank = better performance; ties fractional; genus-level meta-analysis ranks - SECONDARY (per-procedure primary studies cited in the paper's text sections); overlaps Johnson_etal_2002_Table1 (same lineage) - never independent","Deaner_etal_2006_Table1"
"Macaca",12,"object discrimination learning set (DL)",1.5,"lower rank = better performance; ties fractional; genus-level meta-analysis ranks - SECONDARY (per-procedure primary studies cited in the paper's text sections); overlaps Johnson_etal_2002_Table1 (same lineage) - never independent","Deaner_etal_2006_Table1"
"Macaca",13,"object discrimination learning set (DL)",1,"lower rank = better performance; ties fractional; genus-level meta-analysis ranks - SECONDARY (per-procedure primary studies cited in the paper's text sections); overlaps Johnson_etal_2002_Table1 (same lineage) - never independent","Deaner_etal_2006_Table1"
"Macaca",14,"object discrimination learning set (DL)",2,"lower rank = better performance; ties fractional; genus-level meta-analysis ranks - SECONDARY (per-procedure primary studies cited in the paper's text sections); overlaps Johnson_etal_2002_Table1 (same lineage) - never independent","Deaner_etal_2006_Table1"
"Macaca",15,"object discrimination learning set (DL)",1,"lower rank = better performance; ties fractional; genus-level meta-analysis ranks - SECONDARY (per-procedure primary studies cited in the paper's text sections); overlaps Johnson_etal_2002_Table1 (same lineage) - never independent","Deaner_etal_2006_Table1"
"Macaca",16,"object discrimination learning set (DL)",1,"lower rank = better performance; ties fractional; genus-level meta-analysis ranks - SECONDARY (per-procedure primary studies cited in the paper's text sections); overlaps Johnson_etal_2002_Table1 (same lineage) - never independent","Deaner_etal_2006_Table1"
"Macaca",18,"reversal learning (RL)",1,"lower rank = better performance; ties fractional; genus-level meta-analysis ranks - SECONDARY (per-procedure primary studies cited in the paper's text sections); overlaps Johnson_etal_2002_Table1 (same lineage) - never independent","Deaner_etal_2006_Table1"
"Macaca",19,"reversal learning (RL)",2.5,"lower rank = better performance; ties fractional; genus-level meta-analysis ranks - SECONDARY (per-procedure primary studies cited in the paper's text sections); overlaps Johnson_etal_2002_Table1 (same lineage) - never independent","Deaner_etal_2006_Table1"
"Macaca",20,"reversal learning (RL)",1,"lower rank = better performance; ties fractional; genus-level meta-analysis ranks - SECONDARY (per-procedure primary studies cited in the paper's text sections); overlaps Johnson_etal_2002_Table1 (same lineage) - never independent","Deaner_etal_2006_Table1"
"Macaca",23,"reversal learning (RL)",4,"lower rank = better performance; ties fractional; genus-level meta-analysis ranks - SECONDARY (per-procedure primary studies cited in the paper's text sections); overlaps Johnson_etal_2002_Table1 (same lineage) - never independent","Deaner_etal_2006_Table1"
"Macaca",24,"oddity learning (OD)",2,"lower rank = better performance; ties fractional; genus-level meta-analysis ranks - SECONDARY (per-procedure primary studies cited in the paper's text sections); overlaps Johnson_etal_2002_Table1 (same lineage) - never independent","Deaner_etal_2006_Table1"
"Macaca",25,"oddity learning (OD)",3,"lower rank = better performance; ties fractional; genus-level meta-analysis ranks - SECONDARY (per-procedure primary studies cited in the paper's text sections); overlaps Johnson_etal_2002_Table1 (same lineage) - never independent","Deaner_etal_2006_Table1"
"Macaca",27,"sorting (SO)",2.5,"lower rank = better performance; ties fractional; genus-level meta-analysis ranks - SECONDARY (per-procedure primary studies cited in the paper's text sections); overlaps Johnson_etal_2002_Table1 (same lineage) - never independent","Deaner_etal_2006_Table1"
"Macaca",28,"delayed response (DR)",2,"lower rank = better performance; ties fractional; genus-level meta-analysis ranks - SECONDARY (per-procedure primary studies cited in the paper's text sections); overlaps Johnson_etal_2002_Table1 (same lineage) - never independent","Deaner_etal_2006_Table1"
"Macaca",29,"delayed response (DR)",5,"lower rank = better performance; ties fractional; genus-level meta-analysis ranks - SECONDARY (per-procedure primary studies cited in the paper's text sections); overlaps Johnson_etal_2002_Table1 (same lineage) - never independent","Deaner_etal_2006_Table1"
"Macaca",30,"delayed response (DR)",2.5,"lower rank = better performance; ties fractional; genus-level meta-analysis ranks - SECONDARY (per-procedure primary studies cited in the paper's text sections); overlaps Johnson_etal_2002_Table1 (same lineage) - never independent","Deaner_etal_2006_Table1"
"Mandrillus",4,"patterned-string problems (PS)",6.5,"lower rank = better performance; ties fractional; genus-level meta-analysis ranks - SECONDARY (per-procedure primary studies cited in the paper's text sections); overlaps Johnson_etal_2002_Table1 (same lineage) - never independent","Deaner_etal_2006_Table1"
"Mandrillus",29,"delayed response (DR)",5,"lower rank = better performance; ties fractional; genus-level meta-analysis ranks - SECONDARY (per-procedure primary studies cited in the paper's text sections); overlaps Johnson_etal_2002_Table1 (same lineage) - never independent","Deaner_etal_2006_Table1"
"Microcebus",23,"reversal learning (RL)",10,"lower rank = better performance; ties fractional; genus-level meta-analysis ranks - SECONDARY (per-procedure primary studies cited in the paper's text sections); overlaps Johnson_etal_2002_Table1 (same lineage) - never independent","Deaner_etal_2006_Table1"
"Miopithecus",16,"object discrimination learning set (DL)",2,"lower rank = better performance; ties fractional; genus-level meta-analysis ranks - SECONDARY (per-procedure primary studies cited in the paper's text sections); overlaps Johnson_etal_2002_Table1 (same lineage) - never independent","Deaner_etal_2006_Table1"
"Miopithecus",23,"reversal learning (RL)",11,"lower rank = better performance; ties fractional; genus-level meta-analysis ranks - SECONDARY (per-procedure primary studies cited in the paper's text sections); overlaps Johnson_etal_2002_Table1 (same lineage) - never independent","Deaner_etal_2006_Table1"
"Nycticebus",17,"object discrimination learning set (DL)",2,"lower rank = better performance; ties fractional; genus-level meta-analysis ranks - SECONDARY (per-procedure primary studies cited in the paper's text sections); overlaps Johnson_etal_2002_Table1 (same lineage) - never independent","Deaner_etal_2006_Table1"
"Pan",1,"detour problems (DP)",1,"lower rank = better performance; ties fractional; genus-level meta-analysis ranks - SECONDARY (per-procedure primary studies cited in the paper's text sections); overlaps Johnson_etal_2002_Table1 (same lineage) - never independent","Deaner_etal_2006_Table1"
"Pan",2,"detour problems (DP)",1,"lower rank = better performance; ties fractional; genus-level meta-analysis ranks - SECONDARY (per-procedure primary studies cited in the paper's text sections); overlaps Johnson_etal_2002_Table1 (same lineage) - never independent","Deaner_etal_2006_Table1"
"Pan",4,"patterned-string problems (PS)",2,"lower rank = better performance; ties fractional; genus-level meta-analysis ranks - SECONDARY (per-procedure primary studies cited in the paper's text sections); overlaps Johnson_etal_2002_Table1 (same lineage) - never independent","Deaner_etal_2006_Table1"
"Pan",9,"tool use (TU)",1.5,"lower rank = better performance; ties fractional; genus-level meta-analysis ranks - SECONDARY (per-procedure primary studies cited in the paper's text sections); overlaps Johnson_etal_2002_Table1 (same lineage) - never independent","Deaner_etal_2006_Table1"
"Pan",15,"object discrimination learning set (DL)",2,"lower rank = better performance; ties fractional; genus-level meta-analysis ranks - SECONDARY (per-procedure primary studies cited in the paper's text sections); overlaps Johnson_etal_2002_Table1 (same lineage) - never independent","Deaner_etal_2006_Table1"
"Pan",23,"reversal learning (RL)",1.5,"lower rank = better performance; ties fractional; genus-level meta-analysis ranks - SECONDARY (per-procedure primary studies cited in the paper's text sections); overlaps Johnson_etal_2002_Table1 (same lineage) - never independent","Deaner_etal_2006_Table1"
"Pan",24,"oddity learning (OD)",1,"lower rank = better performance; ties fractional; genus-level meta-analysis ranks - SECONDARY (per-procedure primary studies cited in the paper's text sections); overlaps Johnson_etal_2002_Table1 (same lineage) - never independent","Deaner_etal_2006_Table1"
"Pan",27,"sorting (SO)",1,"lower rank = better performance; ties fractional; genus-level meta-analysis ranks - SECONDARY (per-procedure primary studies cited in the paper's text sections); overlaps Johnson_etal_2002_Table1 (same lineage) - never independent","Deaner_etal_2006_Table1"
"Pan",28,"delayed response (DR)",1,"lower rank = better performance; ties fractional; genus-level meta-analysis ranks - SECONDARY (per-procedure primary studies cited in the paper's text sections); overlaps Johnson_etal_2002_Table1 (same lineage) - never independent","Deaner_etal_2006_Table1"
"Pan",29,"delayed response (DR)",5,"lower rank = better performance; ties fractional; genus-level meta-analysis ranks - SECONDARY (per-procedure primary studies cited in the paper's text sections); overlaps Johnson_etal_2002_Table1 (same lineage) - never independent","Deaner_etal_2006_Table1"
"Papio",4,"patterned-string problems (PS)",10,"lower rank = better performance; ties fractional; genus-level meta-analysis ranks - SECONDARY (per-procedure primary studies cited in the paper's text sections); overlaps Johnson_etal_2002_Table1 (same lineage) - never independent","Deaner_etal_2006_Table1"
"Papio",29,"delayed response (DR)",2,"lower rank = better performance; ties fractional; genus-level meta-analysis ranks - SECONDARY (per-procedure primary studies cited in the paper's text sections); overlaps Johnson_etal_2002_Table1 (same lineage) - never independent","Deaner_etal_2006_Table1"
"Phaner",23,"reversal learning (RL)",9,"lower rank = better performance; ties fractional; genus-level meta-analysis ranks - SECONDARY (per-procedure primary studies cited in the paper's text sections); overlaps Johnson_etal_2002_Table1 (same lineage) - never independent","Deaner_etal_2006_Table1"
"Pongo",4,"patterned-string problems (PS)",1,"lower rank = better performance; ties fractional; genus-level meta-analysis ranks - SECONDARY (per-procedure primary studies cited in the paper's text sections); overlaps Johnson_etal_2002_Table1 (same lineage) - never independent","Deaner_etal_2006_Table1"
"Pongo",6,"invisible displacement (ID)",1,"lower rank = better performance; ties fractional; genus-level meta-analysis ranks - SECONDARY (per-procedure primary studies cited in the paper's text sections); overlaps Johnson_etal_2002_Table1 (same lineage) - never independent","Deaner_etal_2006_Table1"
"Pongo",7,"invisible displacement (ID)",1,"lower rank = better performance; ties fractional; genus-level meta-analysis ranks - SECONDARY (per-procedure primary studies cited in the paper's text sections); overlaps Johnson_etal_2002_Table1 (same lineage) - never independent","Deaner_etal_2006_Table1"
"Pongo",9,"tool use (TU)",1.5,"lower rank = better performance; ties fractional; genus-level meta-analysis ranks - SECONDARY (per-procedure primary studies cited in the paper's text sections); overlaps Johnson_etal_2002_Table1 (same lineage) - never independent","Deaner_etal_2006_Table1"
"Pongo",15,"object discrimination learning set (DL)",4,"lower rank = better performance; ties fractional; genus-level meta-analysis ranks - SECONDARY (per-procedure primary studies cited in the paper's text sections); overlaps Johnson_etal_2002_Table1 (same lineage) - never independent","Deaner_etal_2006_Table1"
"Pongo",23,"reversal learning (RL)",3,"lower rank = better performance; ties fractional; genus-level meta-analysis ranks - SECONDARY (per-procedure primary studies cited in the paper's text sections); overlaps Johnson_etal_2002_Table1 (same lineage) - never independent","Deaner_etal_2006_Table1"
"Pongo",29,"delayed response (DR)",1,"lower rank = better performance; ties fractional; genus-level meta-analysis ranks - SECONDARY (per-procedure primary studies cited in the paper's text sections); overlaps Johnson_etal_2002_Table1 (same lineage) - never independent","Deaner_etal_2006_Table1"
"Pongo",30,"delayed response (DR)",1,"lower rank = better performance; ties fractional; genus-level meta-analysis ranks - SECONDARY (per-procedure primary studies cited in the paper's text sections); overlaps Johnson_etal_2002_Table1 (same lineage) - never independent","Deaner_etal_2006_Table1"
"Presbytis",14,"object discrimination learning set (DL)",1,"lower rank = better performance; ties fractional; genus-level meta-analysis ranks - SECONDARY (per-procedure primary studies cited in the paper's text sections); overlaps Johnson_etal_2002_Table1 (same lineage) - never independent","Deaner_etal_2006_Table1"
"Saimiri",6,"invisible displacement (ID)",2,"lower rank = better performance; ties fractional; genus-level meta-analysis ranks - SECONDARY (per-procedure primary studies cited in the paper's text sections); overlaps Johnson_etal_2002_Table1 (same lineage) - never independent","Deaner_etal_2006_Table1"
"Saimiri",10,"object discrimination learning set (DL)",2,"lower rank = better performance; ties fractional; genus-level meta-analysis ranks - SECONDARY (per-procedure primary studies cited in the paper's text sections); overlaps Johnson_etal_2002_Table1 (same lineage) - never independent","Deaner_etal_2006_Table1"
"Saimiri",11,"object discrimination learning set (DL)",3,"lower rank = better performance; ties fractional; genus-level meta-analysis ranks - SECONDARY (per-procedure primary studies cited in the paper's text sections); overlaps Johnson_etal_2002_Table1 (same lineage) - never independent","Deaner_etal_2006_Table1"
"Saimiri",21,"reversal learning (RL)",4,"lower rank = better performance; ties fractional; genus-level meta-analysis ranks - SECONDARY (per-procedure primary studies cited in the paper's text sections); overlaps Johnson_etal_2002_Table1 (same lineage) - never independent","Deaner_etal_2006_Table1"
"Saimiri",25,"oddity learning (OD)",4,"lower rank = better performance; ties fractional; genus-level meta-analysis ranks - SECONDARY (per-procedure primary studies cited in the paper's text sections); overlaps Johnson_etal_2002_Table1 (same lineage) - never independent","Deaner_etal_2006_Table1"
