CHECK,KEY,Genus,Species,Brain Vol,BV SD,Brain Mass,BM SD,Body,Body SD,Sex,N,Age,Reference,Source,Notes
0,Cebus_albifrons,,,,,73,,2800,,,1,Adult,47,Hartwig et al 2011,
0,Cebus_apella,Cebus,apella,,,70.8,6.2,2770,650,M,7,Adult,47,Bronson 1981,
0,Cebus_apella,Cebus,apella,,,62.6,6.4,1810,260,F,10,Adult,47,Bronson 1981,
0,Cebus_apella,Cebus,apella,,,60.2,,1070,,M,1,Juvenile,47,Hrdlicka 1925,emaciated
0,Cebus_apella,Cebus,apella,66.5,5.3,68.894,5.4908,3200,500,M&F,4,Adult,47,Rilling 1999,"2 males, 2 females; Age class estimated from body mass"
0,Cebus_apella,Cebus,apella,,,91.2,,,,M,1,Juvenile,47,Sherwood,
0,Cebus_apella,Cebus,apella,,,71,,902,,M,1,Not Adult,47,Spitzka 1903,
0,Cebus_apella,Cebus,apella,,,69,,1370,,M,1,Not Adult,47,Spitzka 1903,
0,Cebus_apella,Cebus,apella,,,77,,1660,,NA,1,Not Adult,47,Spitzka 1903,
0,Cebus_apella,Cebus,apella,,,67,,,,NA,1,NA,47,Spitzka 1903,
0,Cebus_apella,Cebus,apella,,,57.7,,2645,,NA,1,Adult,47,Warncke 1908,
0,Cebus_apella,Cebus,apella,,,96.5,,2520,,NA,1,Adult,47,Warncke 1908,
0,Cebus_apella,Cebus,apella,,,66.5,,,,NA,1,NA,47,Warncke 1908,
0,Cebus_apella,,,66.43873855346855,,68.83053314139342,,2881.439024390244,,,48,Adult,48,Isler et al 2008,
0,Cebus_apella,,,,,75.5,,2775,,,2,Adult,47,Hartwig et al 2011,
0,Cebus_capucinus,Cebus,capucinus,,,71.6,,2718,,F,4,Adult,47,Crile & Quiring 1940,
0,Cebus_capucinus,Cebus,capucinus,,,73.3,,3833,,M,5,Adult,47,Crile & Quiring 1940,
0,Cebus_capucinus,Cebus,capucinus,,,72.18,,3101,,M&F,14,Adult,47,Crile & Quiring 1940,
0,Cebus_capucinus,Cebus,capucinus,,,53.28,,590,,M&F,27,Infant,47,Crile & Quiring 1940,
0,Cebus_capucinus,Cebus,capucinus,,,60.8,,1252,,F,6,Juvenile,47,Crile & Quiring 1940,
0,Cebus_capucinus,Cebus,capucinus,,,66,,1317,,M&F,6,Juvenile,47,Crile & Quiring 1940,
0,Cebus_capucinus,Cebus,capucinus,,,75.5,,1725,,M,7,Juvenile,47,Crile & Quiring 1940,
0,Cebus_capucinus,Cebus,capucinus,,,66,,930,,M,1,Adult,47,Hrdlicka 1925,emaciated
0,Cebus_capucinus,Cebus,capucinus,,,75,,1021,,M,1,Adult,47,Hrdlicka 1925,emaciated
0,Cebus_capucinus,Cebus,capucinus,,,59.9,,717,,F,1,Juvenile,47,Hrdlicka 1925,emaciated
0,Cebus_capucinus,Cebus,capucinus,,,56,,940,,F,1,Juvenile,47,Hrdlicka 1925,emaciated
0,Cebus_capucinus,Cebus,capucinus,,,58.5,,1073,,M,1,Juvenile,47,Hrdlicka 1925,emaciated
0,Cebus_capucinus,Cebus,capucinus,,,60.4,,1117,,M,1,Juvenile,47,Hrdlicka 1925,emaciated
0,Cebus_capucinus,Cebus,capucinus,,,61,,1134,,M,1,Juvenile,47,Hrdlicka 1925,emaciated
0,Cebus_capucinus,Cebus,capucinus,,,69,,1205,,M,1,Juvenile,47,Hrdlicka 1925,emaciated
0,Cebus_capucinus,Cebus,capucinus,,,68,,1126,,M,1,Adult,47,Hrdlicka 1925,
0,Cebus_capucinus,Cebus,capucinus,,,65,,1247,,F,1,Adult,47,Hrdlicka 1925,
0,Cebus_capucinus,Cebus,capucinus,,,74,,1250,,M,1,Adult,47,Hrdlicka 1925,
0,Cebus_capucinus,Cebus,capucinus,,,72,,1750,,F,1,Adult,47,Hrdlicka 1925,
0,Cebus_capucinus,Cebus,capucinus,,,65,,1814,,F,1,Adult,47,Hrdlicka 1925,
0,Cebus_capucinus,Cebus,capucinus,,,47,,1001,,NA,1,Juvenile,47,Hrdlicka 1925,
0,Cebus_capucinus,Cebus,capucinus,,,50,,504,,M,1,Not Adult,47,Spitzka 1903,
0,Cebus_capucinus,Cebus,capucinus,,,54,,585,,M,1,Not Adult,47,Spitzka 1903,
0,Cebus_capucinus,Cebus,capucinus,,,59,,672,,M,1,Not Adult,47,Spitzka 1903,
0,Cebus_capucinus,Cebus,capucinus,,,76,,1083,,M,1,Not Adult,47,Spitzka 1903,
0,Cebus_capucinus,Cebus,capucinus,,,58,,1119,,M,1,Not Adult,47,Spitzka 1903,
0,Cebus_capucinus,Cebus,capucinus,,,68,,1223,,F,1,Not Adult,47,Spitzka 1903,
0,Cebus_capucinus,Cebus,capucinus,,,70,,1812,,M,1,Not Adult,47,Spitzka 1903,
0,Cebus_capucinus,Cebus,capucinus,,,79,,2030,,M,1,Not Adult,47,Spitzka 1903,
0,Cebus_capucinus,Cebus,capucinus,,,61,,1920,,NA,1,Not Adult,47,Warncke 1908,
0,Cebus_capucinus,Cebus,capucinus,,,63.7,,963.7,,NA,1,Not Adult,47,Warncke 1908,
0,Cebus_capucinus,,,73.21238197024319,,75.84802772117195,,3064.217391304348,,,28,Adult,48,Isler et al 2008,
0,Cebus_nigritus,Cebus,nigritus,,,56.5,,1660,,NA,1,Juvenile,47,Warncke 1908,
0,Cebus_nigritus,Cebus,nigritus,,,48.8,,668,,NA,1,Juvenile,47,Warncke 1908,
0,Cebus_olivaceus,Cebus,olivaceus,,,69,,1490,,M,1,NA,47,Spitzka 1903,
0,Cebus_olivaceus,Cebus,olivaceus,,,72.5,,2684.5,,NA,1,Adult,47,Warncke 1908,
0,Cebus_olivaceus,Cebus,olivaceus,,,56,,626,,NA,1,Juvenile,47,Warncke 1908,
0,Cebus_olivaceus,,,70.45941177403716,,72.9959505979025,,2935.6428571428573,,,14,Adult,48,Isler et al 2008,
SP.,Cebus_sp.,Cebus,sp.,,,51.5,,870,,F,1,NA,47,Hrdlicka 1925,emaciated
SP.,Cebus_sp.,Cebus,sp.,,,71,,3100,,NA,2,NA,47,Stephan 1981,
0,Cercocebus_agilis,Cercocebus,agilis,,,95.3,,4700,,F,1,Adult,47,Sherwood,
0,Cercocebus_agilis,,,121.61516666666668,,125.99331266666668,,,,,3,Adult,48,Isler et al 2008,
0,Cercocebus_galeritus,,,99.07042000000001,,102.63695512,,,,,2,Adult,48,Isler et al 2008,
0,Cercocebus_torquatus,,,107.5615771250624,,111.43379390156468,,10750,,,7,Adult,48,Isler et al 2008,
0,Cercocebus_torquatus_atys,Cercocebus,atys,,,105,,3175,,F,1,Adult,47,Hrdlicka 1925,emaciated
0,Cercocebus_torquatus_atys,Cercocebus,atys,,,112,,3629,,M,1,Adult,47,Hrdlicka 1925,
0,Cercocebus_torquatus_atys,Cercocebus,atys,,,108,,3856,,M,1,Adult,47,Hrdlicka 1925,
0,Cercocebus_torquatus_atys,Cercocebus,atys,,,95,,4649,,M,1,Juvenile,47,Hrdlicka 1925,
0,Cercocebus_torquatus_atys,Cercocebus,atys,99.2,2.2,102.7712,2.2792,10500,1100,M&F,3,NA,47,Rilling 1999,"2 males, 1 female"
0,Cercocebus_torquatus_atys,Cercocebus,atys,,,105,,1398,,F,1,Not Adult,47,Spitzka 1903,
0,Cercocebus_torquatus_atys,Cercocebus,atys,,,97,,,,M,1,NA,47,Spitzka 1903,
0,Cercocebus_torquatus_atys,Cercocebus,atys,,,91,,1353,,M,1,Not Adult,47,Spitzka 1903,
0,Cercocebus_torquatus_atys,Cercocebus,atys,,,103,,3090,,NA,1,Adult,47,Warncke 1908,
0,Cercocebus_torquatus_atys,Cercocebus,atys,,,130.5,,,,NA,1,Adult,47,Warncke 1908,
0,Cercocebus_torquatus_atys,Cercocebus,atys,,,101.8,,,,NA,1,Adult,47,Warncke 1908,
0,Cercocebus_torquatus_atys,Cercocebus,atys,,,100,,2250,,NA,1,Adult,47,Warncke 1908,
0,Cercocebus_torquatus_atys,Cercocebus,atys,,,92.6,,7735,,NA,1,Adult,47,Warncke 1908,
0,Cercocebus_torquatus_atys,Cercocebus,atys,,,85,,2815,,NA,1,Adult,47,Warncke 1908,
0,Cercocebus_torquatus_atys,,,94.675,,98.0833,,,,,20,Adult,48,Isler et al 2008,
0,Cercopithecus_albogularis,Cercopithecus,albogularis,,,62,,860,,NA,1,Juvenile,47,Warncke 1908,
0,Cercopithecus_ascanius,Cercopithecus,ascanius,,,67,,3400,,NA,,Not Adult,47,Stephan 1981,
0,Cercopithecus_ascanius,,,61.404763881434626,,63.615335381166275,,4202.266666666666,,,23,Adult,48,Isler et al 2008,
0,Cercopithecus_campbelli,,,56.932393748800166,,58.981959923756975,,2823.076923076923,,,33,Adult,48,Isler et al 2008,
0,Cercopithecus_cephus,Cercopithecus,cephus,,,57.5,,1915,,M,1,Adult,47,Hrdlicka 1925,emaciated
0,Cercopithecus_cephus,Cercopithecus,cephus,,,76,,3508.333333,,NA,1,Adult,47,Warncke 1908,
0,Cercopithecus_cephus,,,65.2649628205128,,67.61450148205127,,,,,26,Adult,48,Isler et al 2008,
0,Cercopithecus_diana,,,62.60833333333334,,64.86223333333335,,,,,20,Adult,48,Isler et al 2008,
0,Cercopithecus_kandti,Cercopithecus,kandti,,,71.6,,7350,,M,1,adult,47,Sherwood,
0,Cercopithecus_mitis,Cercopithecus,mitis,,,75,,6300,,NA,1,Adult,47,Stephan 1981,
0,Cercopithecus_mitis,,,71.33362012745805,,73.90163045204653,,6109.3125,,,18,Adult,48,Isler et al 2008,
0,Cercopithecus_mona,Cercopithecus,mona,,,67,,3001,,M,1,Adult,47,Spitzka 1903,
0,Cercopithecus_mona,Cercopithecus,mona,,,61,,,,F,1,NA,47,Spitzka 1903,
0,Cercopithecus_mona,Cercopithecus,mona,,,53,,2109.7,,NA,1,Juvenile,47,Warncke 1908,
0,Cercopithecus_mona,,,63.20227511129662,,65.4775570153033,,4148,,,6,Adult,48,Isler et al 2008,
0,Cercopithecus_neglectus,,,65.19594198426611,,67.54299589569969,,6252.75,,,4,Adult,48,Isler et al 2008,
0,Cercopithecus_nictitans,Cercopithecus,nictitans,,,75,,3440,,NA,1,Juvenile,47,Warncke 1908,
0,Cercopithecus_nictitans,Cercopithecus,nictitans,,,57.1,,1835,,NA,1,Juvenile,47,Warncke 1908,
0,Cercopithecus_nictitans,,,71.125,,73.6855,,,,,20,Adult,48,Isler et al 2008,
0,Cercopithecus_petaurista,,,54.69118183359512,,56.66006437960455,,3455.5555555555557,,,39,Adult,48,Isler et al 2008,
0,Cercopithecus_pogonias,,,61.06944444444443,,63.26794444444444,,,,,12,Adult,48,Isler et al 2008,
SP.,Cercopithecus_sp.,Cercopithecus,sp.,,,50.3,,1225,,F,1,Juvenile,47,Crile & Quiring 1940,
SP.,Cercopithecus_sp.,Cercopithecus,sp.,,,61.46,,2900,,M,2,NA,47,Crile & Quiring 1940,
SP.,Cercopithecus_sp.,Cercopithecus,sp.,,,66.6,,4550,,M,1,NA,47,Crile & Quiring 1940,
SP.,Cercopithecus_sp.,Cercopithecus,sp.,,,60.7,,4937,,M,2,NA,47,Crile & Quiring 1940,
SP.,Cercopithecus_sp.,Cercopithecus,sp.,,,60.89,,3955,,M,4,NA,47,Crile & Quiring 1940,
SP.,Cercopithecus_sp.,Cercopithecus,sp.,,,50.3,,1220,,F,1,Not Adult,47,Crile & Quiring 1940,
SP.,Cercopithecus_sp.,Cercopithecus,sp.,36,,37.296,,,,NA,1,NA,47,Haug 1987,
SP.,Cercopithecus_sp.,Cercopithecus,sp.,,,62,,1502,,M,1,NA,47,Spitzka 1903,
SP.,Cercopithecus_sp.,Cercopithecus,sp.,,,40,,1200,,NA,2,NA,47,Stephan 1981,
SP.,Ceropithecus_sp.,Ceropithecus,sp.,,,53.8,,1040,,NA,1,Juvenile,47,Warncke 1908,
SP.,Ceropithecus_sp.,Ceropithecus,sp.,,,51,,2050,,NA,1,NA,47,Warncke 1908,
0,Cheirogaleus_major,Cheirogaleus,major,,,6.8,,450,,NA,2,Adult,47,Stephan 1981,
0,Cheirogaleus_major,,,5.813344285714286,,6.022624680000001,,,,,14,Adult,48,Isler et al 2008,
0,Cheirogaleus_medius,Cheirogaleus,medius,,,3.3,,181,,M,1,Adult,47,Sherwood,
0,Cheirogaleus_medius,Cheirogaleus,medius,,,3.6,,181,,F,1,Adult,47,Sherwood,
0,Cheirogaleus_medius,Cheirogaleus,medius,,,3.14,,177,,NA,2,Adult,47,Stephan 1981,
0,Cheirogaleus_medius,,,2.6000000000000005,,2.6936000000000004,,,,,7,Adult,48,Isler et al 2008,
0,Chiropotes_satanas,Chiropotes,satanas,,,40.7,,490,,NA,1,Juvenile,47,Warncke 1908,
0,Chiropotes_satanas,,,48.3303075,,50.07019857,,2500,,,8,Adult,48,Isler et al 2008,
0,Chlorocebus_aethiops,Chlorocebus,aethiops,,,66.1,8.9,3220,550,F,6,Adult,47,Bronson 1981,
