"script","associated_data_file","associated_data_filename","match_type","exact_filename_match","stem_match","matched_line_numbers","context"
"Smaers_etal_2011/comparison/Smaers_etal_2011_compare_to_public_tsv.R","Smaers_etal_2011/comparison/Smaers_etal_2011_SupplementaryTable1_comparison_report_from_R.csv","Smaers_etal_2011_SupplementaryTable1_comparison_report_from_R.csv","mentions exact filename",TRUE,TRUE,"11","10: #          ../Smaers_etal_2011_SupplementaryTable2_snapshot.csv ; 10.1159%2F000323671_SupplementaryTable2.tsv | 11: # Outputs: Smaers_etal_2011_SupplementaryTable1_comparison_report_from_R.csv (+ _mismatches) | 12: #          Smaers_etal_2011_SupplementaryTable2_comparison_report_from_R.csv (+ _mismatches)"
"Smaers_etal_2011/comparison/Smaers_etal_2011_compare_to_public_tsv.R","Smaers_etal_2011/Smaers_etal_2011_SupplementaryTable1_snapshot.csv","Smaers_etal_2011_SupplementaryTable1_snapshot.csv","mentions exact filename",TRUE,TRUE,"9;44","8: # | 9: # Inputs : ../Smaers_etal_2011_SupplementaryTable1_snapshot.csv ; 10.1159%2F000323671_SupplementaryTable1.tsv | 10: #          ../Smaers_etal_2011_SupplementaryTable2_snapshot.csv ; 10.1159%2F000323671_SupplementaryTable2.tsv || 43: } | 44: audit(""../Smaers_etal_2011_SupplementaryTable1_snapshot.csv"", ""10.1159%2F000323671_SupplementaryTable1.tsv"", 5, ""Smaers_etal_2011_SupplementaryTable1"") | 45: audit(""../Smaers_etal_2011_SupplementaryTable2_snapshot.csv"", ""10.1159%2F000323671_SupplementaryTable2.tsv"", 4, ""Smaers_etal_2011_SupplementaryTable2"")"
"Smaers_etal_2011/comparison/Smaers_etal_2011_compare_to_public_tsv.R","Smaers_etal_2011/comparison/Smaers_etal_2011_SupplementaryTable2_comparison_report_from_R.csv","Smaers_etal_2011_SupplementaryTable2_comparison_report_from_R.csv","mentions exact filename",TRUE,TRUE,"12","11: # Outputs: Smaers_etal_2011_SupplementaryTable1_comparison_report_from_R.csv (+ _mismatches) | 12: #          Smaers_etal_2011_SupplementaryTable2_comparison_report_from_R.csv (+ _mismatches) | 13: #"
"Smaers_etal_2011/comparison/Smaers_etal_2011_compare_to_public_tsv.R","Smaers_etal_2011/Smaers_etal_2011_SupplementaryTable2_snapshot.csv","Smaers_etal_2011_SupplementaryTable2_snapshot.csv","mentions exact filename",TRUE,TRUE,"10;45","9: # Inputs : ../Smaers_etal_2011_SupplementaryTable1_snapshot.csv ; 10.1159%2F000323671_SupplementaryTable1.tsv | 10: #          ../Smaers_etal_2011_SupplementaryTable2_snapshot.csv ; 10.1159%2F000323671_SupplementaryTable2.tsv | 11: # Outputs: Smaers_etal_2011_SupplementaryTable1_comparison_report_from_R.csv (+ _mismatches) || 44: audit(""../Smaers_etal_2011_SupplementaryTable1_snapshot.csv"", ""10.1159%2F000323671_SupplementaryTable1.tsv"", 5, ""Smaers_etal_2011_SupplementaryTable1"") | 45: audit(""../Smaers_etal_2011_SupplementaryTable2_snapshot.csv"", ""10.1159%2F000323671_SupplementaryTable2.tsv"", 4, ""Smaers_etal_2011_SupplementaryTable2"")"
"Smaers_etal_2017/comparison/Smaers_etal_2017_TableS1part1_compare_to_Smaers_csv.R","Smaers_etal_2017/comparison/Smaers_etal_2017_TableS1part1_comparison_mismatches_from_R.csv","Smaers_etal_2017_TableS1part1_comparison_mismatches_from_R.csv","mentions exact filename",TRUE,TRUE,"12;23","11: # Outputs: Smaers_etal_2017_TableS1part1_comparison_report_from_R.csv | 12: #          Smaers_etal_2017_TableS1part1_comparison_mismatches_from_R.csv | 13:  || 22: output_detail     <- ""Smaers_etal_2017_TableS1part1_comparison_report_from_R.csv"" | 23: output_mismatches <- ""Smaers_etal_2017_TableS1part1_comparison_mismatches_from_R.csv"" | 24: header_rows       <- 3L"
"Smaers_etal_2017/comparison/Smaers_etal_2017_TableS1part1_compare_to_Smaers_csv.R","Smaers_etal_2017/comparison/Smaers_etal_2017_TableS1part1_comparison_report_from_R.csv","Smaers_etal_2017_TableS1part1_comparison_report_from_R.csv","mentions exact filename",TRUE,TRUE,"11;22","10: # Inputs : ../Smaers_etal_2017_TableS1part1_snapshot.xlsx (sheet volumes) ; Smaers.csv | 11: # Outputs: Smaers_etal_2017_TableS1part1_comparison_report_from_R.csv | 12: #          Smaers_etal_2017_TableS1part1_comparison_mismatches_from_R.csv || 21: comparison_file   <- ""Smaers.csv"" | 22: output_detail     <- ""Smaers_etal_2017_TableS1part1_comparison_report_from_R.csv"" | 23: output_mismatches <- ""Smaers_etal_2017_TableS1part1_comparison_mismatches_from_R.csv"""
"Smaers_etal_2017/comparison/Smaers_etal_2017_TableS1part1_compare_to_Smaers_csv.R","Smaers_etal_2017/comparison/Smaers.csv","Smaers.csv","mentions exact filename",TRUE,TRUE,"1;4;5;10;11;12;18;19;21;22;23;26;31;93","1: # Smaers_etal_2017_TableS1part1_compare_to_Smaers_csv.R | 2: # || 3: # Checking step (self-contained in comparison/). Audit the journal-faithful VOLUME | 4: # snapshot (Smaers 2017 Table S1, part 1) against the pre-existing formatted | 5: # comparison table Smaers.csv, matched by species (normalised to genus+species so the || 4: # snapshot (Smaers 2017 Table S1, part 1) against the pre-existing formatted | 5: # comparison table Smaers.csv, matched by species (normalised to genus+species so the | 6: # snapshot's trinomials Gorilla gorilla gorilla / Pan troglodytes troglodytes match the || 9: # | 10: # Inputs : ../Smaers_etal_2017_TableS1part1_snapshot.xlsx (sheet volumes) ; Smaers.csv | 11: # Outputs: Smaers_etal_2017_TableS1part1_comparison_report_from_R.csv || 10: # Inputs : ../Smaers_etal_2017_TableS1part1_snapshot.xlsx (sheet volumes) ; Smaers.csv | 11: # Outputs: Smaers_etal_2017_TableS1part1_comparison_report_from_R.csv | 12: #          Smaers_etal_2017_TableS1part1_comparison_mismatches_from_R.csv || 11: # Outputs: Smaers_etal_2017_TableS1part1_comparison_report_from_R.csv | 12: #          Smaers_etal_2017_TableS1part1_comparison_mismatches_from_R.csv | 13:  || 17: ## Set working directory to this script folder | 18: setwd(""/Users/crossmodal/Library/CloudStorage/OneDrive-AllenInstitute/Species/Evo-M1-Trait-Data/Smaers_etal_2017/comparison"") | 19: snapshot_file     <- ""../Smaers_etal_2017_TableS1part1_snapshot.xlsx"" || 18: setwd(""/Users/crossmodal/Library/CloudStorage/OneDrive-AllenInstitute/Species/Evo-M1-Trait-Data/Smaers_etal_2017/comparison"") | 19: snapshot_file     <- ""../Smaers_etal_2017_TableS1part1_snapshot.xlsx"" | 20: snapshot_sheet    <- ""volumes"" || 20: snapshot_sheet    <- ""volumes"" | 21: comparison_file   <- ""Smaers.csv"" | 22: output_detail     <- ""Smaers_etal_2017_TableS1part1_comparison_report_from_R.csv"" || 21: comparison_file   <- ""Smaers.csv"" | 22: output_detail     <- ""Smaers_etal_2017_TableS1part1_comparison_report_from_R.csv"" | 23: output_mismatches <- ""Smaers_etal_2017_TableS1part1_comparison_mismatches_from_R.csv"" || 22: output_detail     <- ""Smaers_etal_2017_TableS1part1_comparison_report_from_R.csv"" | 23: output_mismatches <- ""Smaers_etal_2017_TableS1part1_comparison_mismatches_from_R.csv"" | 24: header_rows       <- 3L || 25:  | 26: # shared measures: snapshot column -> Smaers.csv column | 27: csv_col <- c( || 30:   frontal_motor_gray      = ""Frontal motor Gray"", | 31:   primary_visual_white    = ""Primary visual White Smaers"", | 32:   prefrontal_white        = ""Prefrontal White"", || 92:         "" | csv-only: "", sum(report$status == ""csv_only_not_in_snapshot""), | 93:         ""  [note: primary_visual_gray is snapshot-only; not in Smaers.csv]"")"
"Smaers_etal_2017/comparison/Smaers_etal_2017_TableS1part2_compare_to_Brodmann_csv.R","Smaers_etal_2017/comparison/Brodmann_surface_1909.csv","Brodmann_surface_1909.csv","mentions exact filename",TRUE,TRUE,"5;10;21","4: # snapshot (Smaers 2017 Table S1, part 2 = Brodmann data) against the independent | 5: # formatted file Brodmann_surface_1909.csv (derived from the separate publisher file | 6: # ""cortical surfaces Brodmann 1909 in Smears et al 2017.xlsx""). Because the snapshot and || 9: # | 10: # Inputs : ../Smaers_etal_2017_TableS1part2_snapshot.xlsx (sheet surface_area) ; Brodmann_surface_1909.csv | 11: # Outputs: Smaers_etal_2017_TableS1part2_comparison_report_from_R.csv || 20: snapshot_sheet    <- ""surface_area"" | 21: comparison_file   <- ""Brodmann_surface_1909.csv"" | 22: output_detail     <- ""Smaers_etal_2017_TableS1part2_comparison_report_from_R.csv"""
"Smaers_etal_2017/comparison/Smaers_etal_2017_TableS1part2_compare_to_Brodmann_csv.R","Smaers_etal_2017/comparison/Smaers_etal_2017_TableS1part2_comparison_mismatches_from_R.csv","Smaers_etal_2017_TableS1part2_comparison_mismatches_from_R.csv","mentions exact filename",TRUE,TRUE,"12;23","11: # Outputs: Smaers_etal_2017_TableS1part2_comparison_report_from_R.csv | 12: #          Smaers_etal_2017_TableS1part2_comparison_mismatches_from_R.csv | 13:  || 22: output_detail     <- ""Smaers_etal_2017_TableS1part2_comparison_report_from_R.csv"" | 23: output_mismatches <- ""Smaers_etal_2017_TableS1part2_comparison_mismatches_from_R.csv"" | 24: header_rows       <- 3L"
"Smaers_etal_2017/comparison/Smaers_etal_2017_TableS1part2_compare_to_Brodmann_csv.R","Smaers_etal_2017/comparison/Smaers_etal_2017_TableS1part2_comparison_report_from_R.csv","Smaers_etal_2017_TableS1part2_comparison_report_from_R.csv","mentions exact filename",TRUE,TRUE,"11;22","10: # Inputs : ../Smaers_etal_2017_TableS1part2_snapshot.xlsx (sheet surface_area) ; Brodmann_surface_1909.csv | 11: # Outputs: Smaers_etal_2017_TableS1part2_comparison_report_from_R.csv | 12: #          Smaers_etal_2017_TableS1part2_comparison_mismatches_from_R.csv || 21: comparison_file   <- ""Brodmann_surface_1909.csv"" | 22: output_detail     <- ""Smaers_etal_2017_TableS1part2_comparison_report_from_R.csv"" | 23: output_mismatches <- ""Smaers_etal_2017_TableS1part2_comparison_mismatches_from_R.csv"""
