pass,value,marker,note,n_files,files
B_number,Aotus_trivirgatus3,3,trailing number; base 'Aotus trivirgatus' seen in 335 files,4,DeCasien_Higham_2019/41559_2019_969_MOESM3_ESM.xlsx; ____Brain_structure_volumes/41559_2019_969_MOESM3_ESM.xlsx; ____Sensory_audiovisual/_incoming_Bath_archive_20260814/EXAMPLE ORGANIZATION/DeCasien Higham 2019/41559_2019_969_MOESM3_ESM.xlsx; ____Sensory_audiovisual/_incoming_Bath_archive_20260814/EXAMPLE ORGANIZATION/DeCasien etal 2017/41559_2017_BFs415590170112_MOESM250_ESM.xls
B_number,Aotus_trivirgatus4,4,trailing number; base 'Aotus trivirgatus' seen in 335 files,4,DeCasien_Higham_2019/41559_2019_969_MOESM3_ESM.xlsx; ____Brain_structure_volumes/41559_2019_969_MOESM3_ESM.xlsx; ____Sensory_audiovisual/_incoming_Bath_archive_20260814/EXAMPLE ORGANIZATION/DeCasien Higham 2019/41559_2019_969_MOESM3_ESM.xlsx; ____Sensory_audiovisual/_incoming_Bath_archive_20260814/EXAMPLE ORGANIZATION/DeCasien etal 2017/41559_2017_BFs415590170112_MOESM250_ESM.xls
B_number,Aotus_trivirgatus5,5,trailing number; base 'Aotus trivirgatus' seen in 335 files,4,DeCasien_Higham_2019/41559_2019_969_MOESM3_ESM.xlsx; ____Brain_structure_volumes/41559_2019_969_MOESM3_ESM.xlsx; ____Sensory_audiovisual/_incoming_Bath_archive_20260814/EXAMPLE ORGANIZATION/DeCasien Higham 2019/41559_2019_969_MOESM3_ESM.xlsx; ____Sensory_audiovisual/_incoming_Bath_archive_20260814/EXAMPLE ORGANIZATION/DeCasien etal 2017/41559_2017_BFs415590170112_MOESM250_ESM.xls
B_number,Aotus_trivirgatus6,6,trailing number; base 'Aotus trivirgatus' seen in 335 files,4,DeCasien_Higham_2019/41559_2019_969_MOESM3_ESM.xlsx; ____Brain_structure_volumes/41559_2019_969_MOESM3_ESM.xlsx; ____Sensory_audiovisual/_incoming_Bath_archive_20260814/EXAMPLE ORGANIZATION/DeCasien Higham 2019/41559_2019_969_MOESM3_ESM.xlsx; ____Sensory_audiovisual/_incoming_Bath_archive_20260814/EXAMPLE ORGANIZATION/DeCasien etal 2017/41559_2017_BFs415590170112_MOESM250_ESM.xls
E_ocr,Apodemus jlavicollis,,possible OCR corruption,1,Iwaniuk_etal_2001/Iwaniuk_etal_2001.xlsx
B_number,Arctocebus_calabarensis1,1,trailing number; base 'Arctocebus calabarensis' seen in 58 files,4,DeCasien_Higham_2019/41559_2019_969_MOESM3_ESM.xlsx; ____Brain_structure_volumes/41559_2019_969_MOESM3_ESM.xlsx; ____Sensory_audiovisual/_incoming_Bath_archive_20260814/EXAMPLE ORGANIZATION/DeCasien Higham 2019/41559_2019_969_MOESM3_ESM.xlsx; ____Sensory_audiovisual/_incoming_Bath_archive_20260814/EXAMPLE ORGANIZATION/DeCasien etal 2017/41559_2017_BFs415590170112_MOESM250_ESM.xls
B_number,Ateles geoffroyi 1000,1000,trailing number; base 'Ateles geoffroyi' seen in 268 files,3,Smaers_etal_2011/000323671_sm_suppltables.xlsx; Smaers_etal_2011/Smaers_etal_2011_SupplementaryTable1_snapshot.csv; Smaers_etal_2011/Smaers_etal_2011_SupplementaryTable2_snapshot.csv
C_symbol,Ateles paniscus (1538) ‡,‡,symbol/superscript marker,1,MacLeod_etal_2003/MacLeod_etal_2003_Table2_snapshot.csv
C_symbol,Ateles paniscus (1541) ‡,‡,symbol/superscript marker,1,MacLeod_etal_2003/MacLeod_etal_2003_Table2_snapshot.csv
C_symbol,Ateles paniscus (2412) ‡,‡,symbol/superscript marker,1,MacLeod_etal_2003/MacLeod_etal_2003_Table2_snapshot.csv
