repo,path,line,found,canonical,kind,severity,action,context,in_scope
PUB,Armstrong__1979/Armstrong__1979_Tables1-9_snapshot.csv,13,Armstrong_1979,Armstrong__1979,frozen_snapshot,P2,frozen file: value is coupled to a script filter - decide before touching,"Table1,Armstrong_1979,primary,Gorilla g.,Gorilla gorilla,VB,volume,mm3,178.9,11.2,,,,,,,,Percent of total thalamus.",yes
PUB,Armstrong__1979/Armstrong__1979_Tables1-9_snapshot.csv,14,Armstrong_1979,Armstrong__1979,frozen_snapshot,P2,frozen file: value is coupled to a script filter - decide before touching,"Table1,Armstrong_1979,primary,Pan t.,Pan troglodytes,LGB,volume,mm3,56.3,3.8,,,,,,,,Percent of total thalamus.",yes
PUB,Armstrong__1979/Armstrong__1979_Tables1-9_snapshot.csv,15,Armstrong_1979,Armstrong__1979,frozen_snapshot,P2,frozen file: value is coupled to a script filter - decide before touching,"Table1,Armstrong_1979,primary,Pan t.,Pan troglodytes,MGBp,volume,mm3,28,1.9,,,,,,,,Percent of total thalamus.",yes
PUB,Armstrong__1979/Armstrong__1979_Tables1-9_snapshot.csv,16,Armstrong_1979,Armstrong__1979,frozen_snapshot,P2,frozen file: value is coupled to a script filter - decide before touching,"Table1,Armstrong_1979,primary,Pan t.,Pan troglodytes,VB,volume,mm3,144.8,9.9,,,,,,,,Percent of total thalamus.",yes
PUB,Armstrong__1979/Armstrong__1979_Tables1-9_snapshot.csv,17,Armstrong_1979,Armstrong__1979,frozen_snapshot,P2,frozen file: value is coupled to a script filter - decide before touching,"Table1,Armstrong_1979,primary,Homo s.-s,Homo sapiens,LGB,volume,mm3,69.1,1.6,,,,,,,,Percent of total thalamus.",yes
PUB,Armstrong__1979/Armstrong__1979_Tables1-9_snapshot.csv,18,Armstrong_1979,Armstrong__1979,frozen_snapshot,P2,frozen file: value is coupled to a script filter - decide before touching,"Table1,Armstrong_1979,primary,Homo s.-s,Homo sapiens,MGBp,volume,mm3,71.2,1.7,,,,,,,,Percent of total thalamus.",yes
PUB,Armstrong__1979/Armstrong__1979_Tables1-9_snapshot.csv,19,Armstrong_1979,Armstrong__1979,frozen_snapshot,P2,frozen file: value is coupled to a script filter - decide before touching,"Table1,Armstrong_1979,primary,Homo s.-s,Homo sapiens,VB,volume,mm3,300.3,7.1,,,,,,,,Percent of total thalamus.",yes
PUB,Armstrong__1979/Armstrong__1979_Tables1-9_snapshot.csv,20,Armstrong_1979,Armstrong__1979,frozen_snapshot,P2,frozen file: value is coupled to a script filter - decide before touching,"Table1,Armstrong_1979,primary,Homo s.-t,Homo sapiens,LGB,volume,mm3,78,2.3,,,,,,,,Percent of total thalamus.",yes
PUB,Armstrong__1979/Armstrong__1979_Tables1-9_snapshot.csv,21,Armstrong_1979,Armstrong__1979,frozen_snapshot,P2,frozen file: value is coupled to a script filter - decide before touching,"Table1,Armstrong_1979,primary,Homo s.-t,Homo sapiens,MGBp,volume,mm3,46.6,1.4,,,,,,,,Percent of total thalamus.",yes
PUB,Armstrong__1979/Armstrong__1979_Tables1-9_snapshot.csv,22,Armstrong_1979,Armstrong__1979,frozen_snapshot,P2,frozen file: value is coupled to a script filter - decide before touching,"Table1,Armstrong_1979,primary,Homo s.-t,Homo sapiens,VB,volume,mm3,273.1,8.1,,,,,,,,Percent of total thalamus.",yes
PUB,Armstrong__1979/Armstrong__1979_Tables1-9_snapshot.csv,34,Armstrong_1979,Armstrong__1979,frozen_snapshot,P2,frozen file: value is coupled to a script filter - decide before touching,"Table2,Armstrong_1979,primary,Hylo.-s,Hylobates sp.,MGBp,neuronal_density,neurons_per_0.01_mm3,,,13,532.1,108.9,30.2,354.2,777.8,503.5,",yes
PUB,Armstrong__1979/Armstrong__1979_Tables1-9_snapshot.csv,35,Armstrong_1979,Armstrong__1979,frozen_snapshot,P2,frozen file: value is coupled to a script filter - decide before touching,"Table2,Armstrong_1979,primary,Hylo.-h,Hylobates sp.,MGBp,neuronal_density,neurons_per_0.01_mm3,,,14,479,142.5,38.1,222.2,676.2,518,",yes
PUB,Armstrong__1979/Armstrong__1979_Tables1-9_snapshot.csv,36,Armstrong_1979,Armstrong__1979,frozen_snapshot,P2,frozen file: value is coupled to a script filter - decide before touching,"Table2,Armstrong_1979,primary,H. lar-t,Hylobates lar,MGBp,neuronal_density,neurons_per_0.01_mm3,,,16,345.1,89,22.1,193.3,608.3,330.8,",yes
PUB,Armstrong__1979/Armstrong__1979_Tables1-9_snapshot.csv,37,Armstrong_1979,Armstrong__1979,frozen_snapshot,P2,frozen file: value is coupled to a script filter - decide before touching,"Table2,Armstrong_1979,primary,Gorilla g.,Gorilla gorilla,MGBp,neuronal_density,neurons_per_0.01_mm3,,,24,243.9,82.9,16.9,64.7,418.7,245.1,",yes
PUB,Armstrong__1979/Armstrong__1979_Tables1-9_snapshot.csv,38,Armstrong_1979,Armstrong__1979,frozen_snapshot,P2,frozen file: value is coupled to a script filter - decide before touching,"Table2,Armstrong_1979,primary,Pan t.,Pan troglodytes,MGBp,neuronal_density,neurons_per_0.01_mm3,,,14,325.9,91.3,24.4,224.4,495.6,287,",yes
PUB,Armstrong__1979/Armstrong__1979_Tables1-9_snapshot.csv,39,Armstrong_1979,Armstrong__1979,frozen_snapshot,P2,frozen file: value is coupled to a script filter - decide before touching,"Table2,Armstrong_1979,primary,Homo s.-c,Homo sapiens,MGBp,neuronal_density,neurons_per_0.01_mm3,,,30,147.7,42.6,7.8,80,305,142,",yes
PUB,Armstrong__1979/Armstrong__1979_Tables1-9_snapshot.csv,40,Armstrong_1979,Armstrong__1979,frozen_snapshot,P2,frozen file: value is coupled to a script filter - decide before touching,"Table3,Armstrong_1979,primary,Hylo.-s,Hylobates sp.,LGBp,neuronal_density,neurons_per_0.01_mm3,,,20,784.7,172.5,38.6,458.3,1083.3,781.3,",yes
PUB,Armstrong__1979/Armstrong__1979_Tables1-9_snapshot.csv,41,Armstrong_1979,Armstrong__1979,frozen_snapshot,P2,frozen file: value is coupled to a script filter - decide before touching,"Table3,Armstrong_1979,primary,Hylo.-h,Hylobates sp.,LGBp,neuronal_density,neurons_per_0.01_mm3,,,30,755.5,174.2,31.8,291.7,1000,809,",yes
PUB,Armstrong__1979/Armstrong__1979_Tables1-9_snapshot.csv,42,Armstrong_1979,Armstrong__1979,frozen_snapshot,P2,frozen file: value is coupled to a script filter - decide before touching,"Table3,Armstrong_1979,primary,Gorilla g.,Gorilla gorilla,LGBp,neuronal_density,neurons_per_0.01_mm3,,,28,385.3,82.6,15.6,217.6,629.4,370.6,",yes
PUB,Armstrong__1979/Armstrong__1979_Tables1-9_snapshot.csv,43,Armstrong_1979,Armstrong__1979,frozen_snapshot,P2,frozen file: value is coupled to a script filter - decide before touching,"Table3,Armstrong_1979,primary,Pan t.,Pan troglodytes,LGBp,neuronal_density,neurons_per_0.01_mm3,,,21,397.7,73.6,16.1,264,540,405.5,",yes
PUB,Armstrong__1979/Armstrong__1979_Tables1-9_snapshot.csv,44,Armstrong_1979,Armstrong__1979,frozen_snapshot,P2,frozen file: value is coupled to a script filter - decide before touching,"Table3,Armstrong_1979,primary,Homo s.-c,Homo sapiens,LGBp,neuronal_density,neurons_per_0.01_mm3,,,31,303.9,62.3,11.1,175,415,313.8,",yes
PUB,Armstrong__1979/Armstrong__1979_Tables1-9_snapshot.csv,45,Armstrong_1979,Armstrong__1979,frozen_snapshot,P2,frozen file: value is coupled to a script filter - decide before touching,"Table3,Armstrong_1979,primary,Hylo.-s,Hylobates sp.,LGBm,neuronal_density,neurons_per_0.01_mm3,,,7,368,119,45,243.1,579.2,366.3,",yes
PUB,Armstrong__1979/Armstrong__1979_Tables1-9_snapshot.csv,46,Armstrong_1979,Armstrong__1979,frozen_snapshot,P2,frozen file: value is coupled to a script filter - decide before touching,"Table3,Armstrong_1979,primary,Hylo.-h,Hylobates sp.,LGBm,neuronal_density,neurons_per_0.01_mm3,,,19,382.7,119.9,27.5,250,652.8,343.8,",yes
PUB,Armstrong__1979/Armstrong__1979_Tables1-9_snapshot.csv,47,Armstrong_1979,Armstrong__1979,frozen_snapshot,P2,frozen file: value is coupled to a script filter - decide before touching,"Table3,Armstrong_1979,primary,Gorilla g.,Gorilla gorilla,LGBm,neuronal_density,neurons_per_0.01_mm3,,,10,288.8,121.5,38.4,170.6,506.9,253.4,",yes
PUB,Armstrong__1979/Armstrong__1979_Tables1-9_snapshot.csv,48,Armstrong_1979,Armstrong__1979,frozen_snapshot,P2,frozen file: value is coupled to a script filter - decide before touching,"Table3,Armstrong_1979,primary,Pan t.,Pan troglodytes,LGBm,neuronal_density,neurons_per_0.01_mm3,,,11,350.2,80.7,24.3,236,516,346,",yes
PUB,Armstrong__1979/Armstrong__1979_Tables1-9_snapshot.csv,49,Armstrong_1979,Armstrong__1979,frozen_snapshot,P2,frozen file: value is coupled to a script filter - decide before touching,"Table3,Armstrong_1979,primary,Homo s.-c,Homo sapiens,LGBm,neuronal_density,neurons_per_0.01_mm3,,,14,181.8,51.4,13.7,120,295,170,",yes
PUB,Armstrong__1979/Armstrong__1979_Tables1-9_snapshot.csv,50,Armstrong_1979,Armstrong__1979,frozen_snapshot,P2,frozen file: value is coupled to a script filter - decide before touching,"Table4,Armstrong_1979,primary,Hylo.-s,Hylobates sp.,VB,neuronal_density,neurons_per_0.01_mm3,,,43,142.5,57,8.7,55.6,263.9,138.9,",yes
PUB,Armstrong__1979/Armstrong__1979_Tables1-9_snapshot.csv,51,Armstrong_1979,Armstrong__1979,frozen_snapshot,P2,frozen file: value is coupled to a script filter - decide before touching,"Table4,Armstrong_1979,primary,Hylo.-h,Hylobates sp.,VB,neuronal_density,neurons_per_0.01_mm3,,,30,122.1,34.8,6.4,69.4,222.2,116.3,",yes
PUB,Armstrong__1979/Armstrong__1979_Tables1-9_snapshot.csv,52,Armstrong_1979,Armstrong__1979,frozen_snapshot,P2,frozen file: value is coupled to a script filter - decide before touching,"Table4,Armstrong_1979,primary,H. lar-t,Hylobates lar,VB,neuronal_density,neurons_per_0.01_mm3,,,40,123.4,32.9,5.2,61.7,213.3,124.6,",yes
PUB,Armstrong__1979/Armstrong__1979_Tables1-9_snapshot.csv,53,Armstrong_1979,Armstrong__1979,frozen_snapshot,P2,frozen file: value is coupled to a script filter - decide before touching,"Table4,Armstrong_1979,primary,Gorilla g.,Gorilla gorilla,VB,neuronal_density,neurons_per_0.01_mm3,,,61,60,26,3.3,24.4,129.4,53.8,",yes
PUB,Armstrong__1979/Armstrong__1979_Tables1-9_snapshot.csv,54,Armstrong_1979,Armstrong__1979,frozen_snapshot,P2,frozen file: value is coupled to a script filter - decide before touching,"Table4,Armstrong_1979,primary,Pan t.,Pan troglodytes,VB,neuronal_density,neurons_per_0.01_mm3,,,33,84.7,29.1,5.1,36,144,76.3,",yes
PUB,Armstrong__1979/Armstrong__1979_Tables1-9_snapshot.csv,55,Armstrong_1979,Armstrong__1979,frozen_snapshot,P2,frozen file: value is coupled to a script filter - decide before touching,"Table4,Armstrong_1979,primary,Homo s.-c,Homo sapiens,VB,neuronal_density,neurons_per_0.01_mm3,,,48,58.8,22,3.4,25,115,57.7,",yes
PUB,Armstrong__1979/Armstrong__1979_Tables1-9_snapshot.csv,56,Armstrong_1979,Armstrong__1979,frozen_snapshot,P2,frozen file: value is coupled to a script filter - decide before touching,"Table5,Armstrong_1979,primary,Hylo.-s,Hylobates sp.,LGBp,volume,mm3,11.4,64.1,,,,,,,,Percent of total LGB.",yes
PUB,Armstrong__1979/Armstrong__1979_Tables1-9_snapshot.csv,57,Armstrong_1979,Armstrong__1979,frozen_snapshot,P2,frozen file: value is coupled to a script filter - decide before touching,"Table5,Armstrong_1979,primary,Hylo.-s,Hylobates sp.,LGBm,volume,mm3,6.4,35.9,,,,,,,,Percent of total LGB.",yes
PUB,Armstrong__1979/Armstrong__1979_Tables1-9_snapshot.csv,58,Armstrong_1979,Armstrong__1979,frozen_snapshot,P2,frozen file: value is coupled to a script filter - decide before touching,"Table5,Armstrong_1979,primary,Hylo.-h,Hylobates sp.,LGBp,volume,mm3,14.2,67.7,,,,,,,,Percent of total LGB.",yes
PUB,Armstrong__1979/Armstrong__1979_Tables1-9_snapshot.csv,59,Armstrong_1979,Armstrong__1979,frozen_snapshot,P2,frozen file: value is coupled to a script filter - decide before touching,"Table5,Armstrong_1979,primary,Hylo.-h,Hylobates sp.,LGBm,volume,mm3,6.8,32.3,,,,,,,,Percent of total LGB.",yes
PUB,Armstrong__1979/Armstrong__1979_Tables1-9_snapshot.csv,60,Armstrong_1979,Armstrong__1979,frozen_snapshot,P2,frozen file: value is coupled to a script filter - decide before touching,"Table5,Armstrong_1979,primary,H. lar-t,Hylobates lar,LGBp,volume,mm3,21.4,79,,,,,,,,Percent of total LGB.",yes
PUB,Armstrong__1979/Armstrong__1979_Tables1-9_snapshot.csv,61,Armstrong_1979,Armstrong__1979,frozen_snapshot,P2,frozen file: value is coupled to a script filter - decide before touching,"Table5,Armstrong_1979,primary,H. lar-t,Hylobates lar,LGBm,volume,mm3,5.7,21,,,,,,,,Percent of total LGB.",yes
PUB,Armstrong__1979/Armstrong__1979_Tables1-9_snapshot.csv,62,Armstrong_1979,Armstrong__1979,frozen_snapshot,P2,frozen file: value is coupled to a script filter - decide before touching,"Table5,Armstrong_1979,primary,Gorilla g.,Gorilla gorilla,LGBp,volume,mm3,42.6,83.4,,,,,,,,Percent of total LGB.",yes
PUB,Armstrong__1979/Armstrong__1979_Tables1-9_snapshot.csv,63,Armstrong_1979,Armstrong__1979,frozen_snapshot,P2,frozen file: value is coupled to a script filter - decide before touching,"Table5,Armstrong_1979,primary,Gorilla g.,Gorilla gorilla,LGBm,volume,mm3,8.4,16.6,,,,,,,,Percent of total LGB.",yes
PUB,Armstrong__1979/Armstrong__1979_Tables1-9_snapshot.csv,64,Armstrong_1979,Armstrong__1979,frozen_snapshot,P2,frozen file: value is coupled to a script filter - decide before touching,"Table5,Armstrong_1979,primary,Pan t.,Pan troglodytes,LGBp,volume,mm3,42.3,75.1,,,,,,,,Percent of total LGB.",yes
PUB,Armstrong__1979/Armstrong__1979_Tables1-9_snapshot.csv,65,Armstrong_1979,Armstrong__1979,frozen_snapshot,P2,frozen file: value is coupled to a script filter - decide before touching,"Table5,Armstrong_1979,primary,Pan t.,Pan troglodytes,LGBm,volume,mm3,14,24.9,,,,,,,,Percent of total LGB.",yes
PUB,Armstrong__1979/Armstrong__1979_Tables1-9_snapshot.csv,66,Armstrong_1979,Armstrong__1979,frozen_snapshot,P2,frozen file: value is coupled to a script filter - decide before touching,"Table5,Armstrong_1979,primary,Homo s.-s,Homo sapiens,LGBp,volume,mm3,57.7,83.3,,,,,,,,Percent of total LGB.",yes
PUB,Armstrong__1979/Armstrong__1979_Tables1-9_snapshot.csv,67,Armstrong_1979,Armstrong__1979,frozen_snapshot,P2,frozen file: value is coupled to a script filter - decide before touching,"Table5,Armstrong_1979,primary,Homo s.-s,Homo sapiens,LGBm,volume,mm3,11.5,16.6,,,,,,,,""Percent of total LGB; printed components sum to 99.9%",yes
PUB,Armstrong__1979/Armstrong__1979_Tables1-9_snapshot.csv,68,Armstrong_1979,Armstrong__1979,frozen_snapshot,P2,frozen file: value is coupled to a script filter - decide before touching,"Table5,Armstrong_1979,primary,Homo s.-t,Homo sapiens,LGBp,volume,mm3,62.4,80,,,,,,,,Percent of total LGB.",yes
PUB,Armstrong__1979/Armstrong__1979_Tables1-9_snapshot.csv,69,Armstrong_1979,Armstrong__1979,frozen_snapshot,P2,frozen file: value is coupled to a script filter - decide before touching,"Table5,Armstrong_1979,primary,Homo s.-t,Homo sapiens,LGBm,volume,mm3,15.6,20,,,,,,,,Percent of total LGB.",yes
PUB,Armstrong__1979/Armstrong__1979_Tables1-9_snapshot.csv,70,Armstrong_1979,Armstrong__1979,frozen_snapshot,P2,frozen file: value is coupled to a script filter - decide before touching,"Table6,Armstrong_1979,primary,Hylo.-s,Hylobates sp.,LGB,estimated_neuron_number,neurons,1131000,,,,,,,,,Derived from volume and neuronal den",yes
PUB,Armstrong__1979/Armstrong__1979_Tables1-9_snapshot.csv,71,Armstrong_1979,Armstrong__1979,frozen_snapshot,P2,frozen file: value is coupled to a script filter - decide before touching,"Table6,Armstrong_1979,primary,Hylo.-s,Hylobates sp.,MGBp,estimated_neuron_number,neurons,378000,,,,,,,,,Derived from volume and neuronal den",yes
PUB,Armstrong__1979/Armstrong__1979_Tables1-9_snapshot.csv,72,Armstrong_1979,Armstrong__1979,frozen_snapshot,P2,frozen file: value is coupled to a script filter - decide before touching,"Table6,Armstrong_1979,primary,Hylo.-s,Hylobates sp.,VB,estimated_neuron_number,neurons,587100,,,,,,,,,Derived from volume and neuronal densi",yes
PUB,Armstrong__1979/Armstrong__1979_Tables1-9_snapshot.csv,73,Armstrong_1979,Armstrong__1979,frozen_snapshot,P2,frozen file: value is coupled to a script filter - decide before touching,"Table6,Armstrong_1979,primary,Hylo.-h,Hylobates sp.,LGB,estimated_neuron_number,neurons,1333000,,,,,,,,,Derived from volume and neuronal den",yes
PUB,Armstrong__1979/Armstrong__1979_Tables1-9_snapshot.csv,74,Armstrong_1979,Armstrong__1979,frozen_snapshot,P2,frozen file: value is coupled to a script filter - decide before touching,"Table6,Armstrong_1979,primary,Hylo.-h,Hylobates sp.,MGBp,estimated_neuron_number,neurons,413000,,,,,,,,,""Printed value retained; Table 1 vol",yes
PUB,Armstrong__1979/Armstrong__1979_Tables1-9_snapshot.csv,75,Armstrong_1979,Armstrong__1979,frozen_snapshot,P2,frozen file: value is coupled to a script filter - decide before touching,"Table6,Armstrong_1979,primary,Hylo.-h,Hylobates sp.,VB,estimated_neuron_number,neurons,458000,,,,,,,,,Derived from volume and neuronal densi",yes
PUB,Armstrong__1979/Armstrong__1979_Tables1-9_snapshot.csv,76,Armstrong_1979,Armstrong__1979,frozen_snapshot,P2,frozen file: value is coupled to a script filter - decide before touching,"Table6,Armstrong_1979,primary,H. lar-t,Hylobates lar,LGB,estimated_neuron_number,neurons,,,,,,,,,,Not reported.",yes
PUB,Armstrong__1979/Armstrong__1979_Tables1-9_snapshot.csv,77,Armstrong_1979,Armstrong__1979,frozen_snapshot,P2,frozen file: value is coupled to a script filter - decide before touching,"Table6,Armstrong_1979,primary,H. lar-t,Hylobates lar,MGBp,estimated_neuron_number,neurons,407000,,,,,,,,,Derived from volume and neuronal de",yes
PUB,Armstrong__1979/Armstrong__1979_Tables1-9_snapshot.csv,78,Armstrong_1979,Armstrong__1979,frozen_snapshot,P2,frozen file: value is coupled to a script filter - decide before touching,"Table6,Armstrong_1979,primary,H. lar-t,Hylobates lar,VB,estimated_neuron_number,neurons,770000,,,,,,,,,Derived from volume and neuronal dens",yes
PUB,Armstrong__1979/Armstrong__1979_Tables1-9_snapshot.csv,79,Armstrong_1979,Armstrong__1979,frozen_snapshot,P2,frozen file: value is coupled to a script filter - decide before touching,"Table6,Armstrong_1979,primary,Gorilla g.,Gorilla gorilla,LGB,estimated_neuron_number,neurons,1884000,,,,,,,,,Derived from volume and neurona",yes
PUB,Armstrong__1979/Armstrong__1979_Tables1-9_snapshot.csv,80,Armstrong_1979,Armstrong__1979,frozen_snapshot,P2,frozen file: value is coupled to a script filter - decide before touching,"Table6,Armstrong_1979,primary,Gorilla g.,Gorilla gorilla,MGBp,estimated_neuron_number,neurons,707000,,,,,,,,,Derived from volume and neurona",yes
PUB,Armstrong__1979/Armstrong__1979_Tables1-9_snapshot.csv,81,Armstrong_1979,Armstrong__1979,frozen_snapshot,P2,frozen file: value is coupled to a script filter - decide before touching,"Table6,Armstrong_1979,primary,Gorilla g.,Gorilla gorilla,VB,estimated_neuron_number,neurons,1070000,,,,,,,,,Derived from volume and neuronal",yes
PUB,Armstrong__1979/Armstrong__1979_Tables1-9_snapshot.csv,82,Armstrong_1979,Armstrong__1979,frozen_snapshot,P2,frozen file: value is coupled to a script filter - decide before touching,"Table6,Armstrong_1979,primary,Pan t.,Pan troglodytes,LGB,estimated_neuron_number,neurons,2172000,,,,,,,,,Derived from volume and neuronal de",yes
PUB,Armstrong__1979/Armstrong__1979_Tables1-9_snapshot.csv,83,Armstrong_1979,Armstrong__1979,frozen_snapshot,P2,frozen file: value is coupled to a script filter - decide before touching,"Table6,Armstrong_1979,primary,Pan t.,Pan troglodytes,MGBp,estimated_neuron_number,neurons,913000,,,,,,,,,Derived from volume and neuronal de",yes
PUB,Armstrong__1979/Armstrong__1979_Tables1-9_snapshot.csv,84,Armstrong_1979,Armstrong__1979,frozen_snapshot,P2,frozen file: value is coupled to a script filter - decide before touching,"Table6,Armstrong_1979,primary,Pan t.,Pan troglodytes,VB,estimated_neuron_number,neurons,1226300,,,,,,,,,Derived from volume and neuronal den",yes
PUB,Armstrong__1979/Armstrong__1979_Tables1-9_snapshot.csv,85,Armstrong_1979,Armstrong__1979,frozen_snapshot,P2,frozen file: value is coupled to a script filter - decide before touching,"Table6,Armstrong_1979,primary,Homo s.,Homo sapiens,LGB,estimated_neuron_number,neurons,2065000,,,,,,,,,Combines mean nuclear volume from Hom",yes
PUB,Armstrong__1979/Armstrong__1979_Tables1-9_snapshot.csv,86,Armstrong_1979,Armstrong__1979,frozen_snapshot,P2,frozen file: value is coupled to a script filter - decide before touching,"Table6,Armstrong_1979,primary,Homo s.,Homo sapiens,MGBp,estimated_neuron_number,neurons,870000,,,,,,,,,Combines mean nuclear volume from Hom",yes
PUB,Armstrong__1979/Armstrong__1979_Tables1-9_snapshot.csv,87,Armstrong_1979,Armstrong__1979,frozen_snapshot,P2,frozen file: value is coupled to a script filter - decide before touching,"Table6,Armstrong_1979,primary,Homo s.,Homo sapiens,VB,estimated_neuron_number,neurons,1690000,,,,,,,,,Combines mean nuclear volume from Homo",yes
PUB,Armstrong__1979/Armstrong__1979_Tables1-9_snapshot.csv,88,Armstrong_1979,Armstrong__1979,frozen_snapshot,P2,frozen file: value is coupled to a script filter - decide before touching,"Table7,Armstrong_1979,primary,Hylo.-s,Hylobates sp.,MGBp,perikaryal_volume,um3,,,65,1203.6,757,93.9,179.1,4747.3,1050.4,",yes
PUB,Armstrong__1979/Armstrong__1979_Tables1-9_snapshot.csv,89,Armstrong_1979,Armstrong__1979,frozen_snapshot,P2,frozen file: value is coupled to a script filter - decide before touching,"Table7,Armstrong_1979,primary,Hylo.-h,Hylobates sp.,MGBp,perikaryal_volume,um3,,,70,1217,570.1,68.1,333.1,3095.7,1095,",yes
PUB,Armstrong__1979/Armstrong__1979_Tables1-9_snapshot.csv,90,Armstrong_1979,Armstrong__1979,frozen_snapshot,P2,frozen file: value is coupled to a script filter - decide before touching,"Table7,Armstrong_1979,primary,H. lar-t,Hylobates lar,MGBp,perikaryal_volume,um3,,,18,2022.5,1390.2,327.7,49.7,3807.3,1983,",yes
