"Species","n","motor_pyramid_soma_um3_mean","motor_pyramid_soma_um3_sd","motor_pyramid_cv_pct","betz_soma_um3_mean","betz_soma_um3_sd","betz_cv_pct","visual_pyramid_soma_um3_mean","visual_pyramid_soma_um3_sd","visual_pyramid_cv_pct","meynert_soma_um3_mean","meynert_soma_um3_sd","meynert_cv_pct","neocortex_vol_mm3","neocortex_vol_ref","brain_weight_g","brain_weight_ref","body_weight_g","body_weight_ref","EQ","diet_category","diet_ref","habitat_category","habitat_ref","group_size","group_size_ref","dexterity_index","note","source"
"Tarsius syrichta",1,1457,120,8,3927,300,8,815,41,5,1826,103,6,1768,"Stephan et al. [1981]",4,"Harvey et al. [1987]",111,"Fleagle [1999]",1.93,"IN","Rowe [1996]","ARB","Rowe [1996]",2,"Rowe [1996]",4,"soma volumes = this study (primary); neocortex/brain/body/EQ/ecology columns are literature-compiled (secondary) - refs resolved from header defaults + per-cell superscripts (see definitions); dexterity index after Heffner & Masterton 1983","Sherwood_etal_2003_Table1"
"Saguinus mystax",1,3258,1582,49,7939,3243,41,1217,385,32,3322,1750,53,NA,NA,10.1,"personal observation (n=2)",525,"Fleagle [1999]",1.5,NA,NA,"ARB","Rowe [1996]",5.3,"Dunbar [1992]",NA,"soma volumes = this study (primary); neocortex/brain/body/EQ/ecology columns are literature-compiled (secondary) - refs resolved from header defaults + per-cell superscripts (see definitions); dexterity index after Heffner & Masterton 1983","Sherwood_etal_2003_Table1"
"Aotus trivirgatus",2,3561,132,4,9644,642,7,1156,40,3,3331,179,5,9950,"Stephan et al. [1981]",18.2,"Harvey et al. [1987]",775,"Fleagle [1999]",2.02,"FR","Clutton-Brock and Harvey [1980]","ARB","Clutton-Brock and Harvey [1980]",3.8,"Dunbar [1992]",NA,"soma volumes = this study (primary); neocortex/brain/body/EQ/ecology columns are literature-compiled (secondary) - refs resolved from header defaults + per-cell superscripts (see definitions); dexterity index after Heffner & Masterton 1983","Sherwood_etal_2003_Table1"
"Alouatta seniculus",1,5541,2055,37,26361,9242,35,1007,257,26,3070,1060,35,31660,"Stephan et al. [1981]",52,"Stephan et al. [1981]",6400,"Stephan et al. [1981]",1.17,"FO","Clutton-Brock and Harvey [1980]","ARB","Clutton-Brock and Harvey [1980]",8.2,"Dunbar [1992]",NA,"soma volumes = this study (primary); neocortex/brain/body/EQ/ecology columns are literature-compiled (secondary) - refs resolved from header defaults + per-cell superscripts (see definitions); dexterity index after Heffner & Masterton 1983","Sherwood_etal_2003_Table1"
"Lagothrix lagotricha",1,2096,950,45,5869,1846,31,1236,387,31,2617,1306,50,65873,"Stephan et al. [1981]",101,"Stephan et al. [1981]",5200,"Stephan et al. [1981]",2.66,"FR","Clutton-Brock and Harvey [1980]","ARB","Clutton-Brock and Harvey [1980]",23.4,"Dunbar [1992]",5,"soma volumes = this study (primary); neocortex/brain/body/EQ/ecology columns are literature-compiled (secondary) - refs resolved from header defaults + per-cell superscripts (see definitions); dexterity index after Heffner & Masterton 1983","Sherwood_etal_2003_Table1"
"Macaca fascicularis",2,4079,232,6,14530,1266,9,1249,55,4,3321,206,6,NA,NA,69.2,"Harvey et al. [1987]",4475,"Fleagle [1999]",2.04,"FR","Clutton-Brock and Harvey [1980]","ARB","Clutton-Brock and Harvey [1980]",48,"Rowe [1996]",NA,"soma volumes = this study (primary); neocortex/brain/body/EQ/ecology columns are literature-compiled (secondary) - refs resolved from header defaults + per-cell superscripts (see definitions); dexterity index after Heffner & Masterton 1983","Sherwood_etal_2003_Table1"
"Macaca fuscata",1,3953,1446,37,16871,1703,10,NA,NA,NA,NA,NA,NA,NA,NA,109.1,"Harvey et al. [1987]",9515,"Fleagle [1999]",1.82,"FR","Clutton-Brock and Harvey [1980]","TER","Clutton-Brock and Harvey [1980]",40,"Rowe [1996]",NA,"soma volumes = this study (primary); neocortex/brain/body/EQ/ecology columns are literature-compiled (secondary) - refs resolved from header defaults + per-cell superscripts (see definitions); dexterity index after Heffner & Masterton 1983","Sherwood_etal_2003_Table1"
"Macaca nigra",1,5260,2174,41,28114,16183,58,NA,NA,NA,NA,NA,NA,NA,NA,94.9,"Harvey et al. [1987]",7680,"Fleagle [1999]",1.86,"FR","Rowe [1996]","ARB","Rowe [1996]",47,"Rowe [1996]",NA,"soma volumes = this study (primary); neocortex/brain/body/EQ/ecology columns are literature-compiled (secondary) - refs resolved from header defaults + per-cell superscripts (see definitions); dexterity index after Heffner & Masterton 1983","Sherwood_etal_2003_Table1"
"Papio cynocephalus",1,2316,1126,49,18672,8230,44,1336,458,34,5483,2829,52,NA,NA,169.1,"Harvey et al. [1987]",17050,"Fleagle [1999]",1.82,"FR","Clutton-Brock and Harvey [1980]","TER","Clutton-Brock and Harvey [1980]",28,"Rowe [1996]",6,"soma volumes = this study (primary); neocortex/brain/body/EQ/ecology columns are literature-compiled (secondary) - refs resolved from header defaults + per-cell superscripts (see definitions); dexterity index after Heffner & Masterton 1983","Sherwood_etal_2003_Table1"
"Papio anubis",1,4166,1676,40,28732,15525,54,945,333,35,4597,1763,38,140142,"Stephan et al. [1981]",175.1,"Harvey et al. [1987]",19200,"Fleagle [1999]",1.72,"FR","Clutton-Brock and Harvey [1980]","TER","Clutton-Brock and Harvey [1980]",51.2,"Dunbar [1992]",6,"soma volumes = this study (primary); neocortex/brain/body/EQ/ecology columns are literature-compiled (secondary) - refs resolved from header defaults + per-cell superscripts (see definitions); dexterity index after Heffner & Masterton 1983","Sherwood_etal_2003_Table1"
"Erythrocebus patas",2,2603,872,33,23062,11799,51,1484,401,27,8611,4994,58,77141,"Stephan et al. [1981]",106.6,"Harvey et al. [1987]",8185,"Fleagle [1999]",1.99,"FR","Clutton-Brock and Harvey [1980]","TER","Clutton-Brock and Harvey [1980]",28.1,"Dunbar [1992]",NA,"soma volumes = this study (primary); neocortex/brain/body/EQ/ecology columns are literature-compiled (secondary) - refs resolved from header defaults + per-cell superscripts (see definitions); dexterity index after Heffner & Masterton 1983","Sherwood_etal_2003_Table1"
"Pongo pygmaeus",1,4928,235,5,32092,2340,7,2134,78,4,4134,242,6,219800,"Zilles and Rehkämper [1988]",413.3,"Harvey et al. [1987]",56750,"Fleagle [1999]",1.79,"FR","Clutton-Brock and Harvey [1980]","ARB","Clutton-Brock and Harvey [1980]",3,"Rowe [1996]",6,"soma volumes = this study (primary); neocortex/brain/body/EQ/ecology columns are literature-compiled (secondary) - refs resolved from header defaults + per-cell superscripts (see definitions); dexterity index after Heffner & Masterton 1983","Sherwood_etal_2003_Table1"
"Gorilla gorilla",4,5597,292,5,46839,3682,8,1824,716,39,5436,1917,35,341444,"Stephan et al. [1981]",505.9,"Harvey et al. [1987]",120950,"Fleagle [1999]",1.24,"FO","Clutton-Brock and Harvey [1980]","TER","Clutton-Brock and Harvey [1980]",7,"Dunbar [1992]",NA,"soma volumes = this study (primary); neocortex/brain/body/EQ/ecology columns are literature-compiled (secondary) - refs resolved from header defaults + per-cell superscripts (see definitions); dexterity index after Heffner & Masterton 1983","Sherwood_etal_2003_Table1"
"Pan troglodytes",5,4559,254,6,32022,2346,7,1718,605,35,6498,3062,47,291592,"Stephan et al. [1981]",405,"Stephan et al. [1981]",52750,"Fleagle [1999]",1.85,"FR","Clutton-Brock and Harvey [1980]","TER","Clutton-Brock and Harvey [1980]",53.5,"Dunbar [1992]",NA,"soma volumes = this study (primary); neocortex/brain/body/EQ/ecology columns are literature-compiled (secondary) - refs resolved from header defaults + per-cell superscripts (see definitions); dexterity index after Heffner & Masterton 1983","Sherwood_etal_2003_Table1"
"Homo sapiens",1,5031,2174,43,55125,29225,53,2168,77,4,6159,423,7,1006525,"Stephan et al. [1981]",1250,"Harvey et al. [1987]",60000,"Fleagle [1999]",5.19,NA,NA,"TER","Rowe [1996]",NA,NA,7,"soma volumes = this study (primary); neocortex/brain/body/EQ/ecology columns are literature-compiled (secondary) - refs resolved from header defaults + per-cell superscripts (see definitions); dexterity index after Heffner & Masterton 1983","Sherwood_etal_2003_Table1"
