"accepted_name","status","matched_tip","matched_via","candidate_source","family_expected","order_expected","n_auto_candidates","n_review_candidates","note"
"Loris tardigradus","matched_direct","Loris_tardigradus","Loris tardigradus","accepted_name","Lorisidae","Primates",1,1,""
"Loxodonta africana","matched_direct","Loxodonta_africana","Loxodonta africana","accepted_name","Elephantidae","Proboscidea",1,0,""
"Macaca fascicularis","matched_direct","Macaca_fascicularis","Macaca fascicularis","accepted_name","Cercopithecidae","Primates",1,0,""
"Macaca maura","matched_direct","Macaca_maura","Macaca maura","accepted_name","Cercopithecidae","Primates",1,0,""
"Macaca mulatta","matched_direct","Macaca_mulatta","Macaca mulatta","accepted_name","Cercopithecidae","Primates",2,0,""
"Macaca nemestrina","matched_direct","Macaca_nemestrina","Macaca nemestrina","accepted_name","Cercopithecidae","Primates",1,0,""
"Macaca radiata","matched_direct","Macaca_radiata","Macaca radiata","accepted_name","Cercopithecidae","Primates",1,0,""
"Macronycteris commersoni","matched_synonym","Hipposideros_commersoni","Hipposideros commersoni","verified_bridge","Hipposideridae","Chiroptera",2,0,"Macronycteris split from Hipposideros (Foley et al. 2017); bridge already documented in Wilman_etal_2014 README"
"Macropus fuliginosus","matched_direct","Macropus_fuliginosus","Macropus fuliginosus","accepted_name","Macropodidae","Diprotodontia",1,0,""
"Mandrillus sphinx","matched_direct","Mandrillus_sphinx","Mandrillus sphinx","accepted_name","Cercopithecidae","Primates",1,0,""
"Marmosa mitis","absent_from_tree","","","","Didelphidae","Didelphimorphia",1,0,"no candidate spelling occurs in the source tree"
"Marmosops incanus","matched_direct","Marmosops_incanus","Marmosops incanus","accepted_name","Didelphidae","Didelphimorphia",1,0,""
"Megaloglossus woermanni","matched_direct","Megaloglossus_woermanni","Megaloglossus woermanni","accepted_name","Pteropodidae","Chiroptera",1,0,""
"Mesocricetus auratus","matched_direct","Mesocricetus_auratus","Mesocricetus auratus","accepted_name","Cricetidae","Rodentia",1,0,""
"Metachirus nudicaudatus","matched_direct","Metachirus_nudicaudatus","Metachirus nudicaudatus","accepted_name","Didelphidae","Didelphimorphia",1,0,""
"Microcebus murinus","matched_direct","Microcebus_murinus","Microcebus murinus","accepted_name","Cheirogaleidae","Primates",1,0,""
"Microgale cowani","matched_direct","Microgale_cowani","Microgale cowani","accepted_name","Tenrecidae","Afrosoricida",1,0,""
"Microgale mergulus","matched_synonym","Limnogale_mergulus","Limnogale mergulus","verified_bridge","Tenrecidae","Afrosoricida",2,0,"web-footed tenrec; Limnogale sunk into Microgale/Nesogale (Everson et al. 2016), Upham retains Limnogale"
"Micropotamogale lamottei","matched_direct","Micropotamogale_lamottei","Micropotamogale lamottei","accepted_name","Tenrecidae","Afrosoricida",1,0,""
"Micropotamogale ruwenzorii","matched_direct","Micropotamogale_ruwenzorii","Micropotamogale ruwenzorii","accepted_name","Tenrecidae","Afrosoricida",1,0,""
"Microsorex hoyi","matched_synonym","Sorex_hoyi","Sorex hoyi","mdd_accepted_name","Soricidae","Soricomorpha",2,0,"Mammal Diversity Database name; Upham 2019 tips follow MDD"
"Miniopterus schreibersii","matched_direct","Miniopterus_schreibersii","Miniopterus schreibersii","accepted_name","Miniopteridae","Chiroptera",1,0,""
"Miopithecus talapoin","matched_direct","Miopithecus_talapoin","Miopithecus talapoin","accepted_name","Cercopithecidae","Primates",2,0,""
"Mops pumilus","matched_synonym","Chaerephon_pumilus","Chaerephon pumilus","verified_bridge","Molossidae","Chiroptera",2,0,"Mops/Chaerephon reassignment; bridge already documented in Wilman_etal_2014 README"
"Mungos mungo","matched_direct","Mungos_mungo","Mungos mungo","accepted_name","Herpestidae","Carnivora",1,0,""
"Mus musculus","matched_direct","Mus_musculus","Mus musculus","accepted_name","Muridae","Rodentia",1,0,""
"Mustela erminea","matched_direct","Mustela_erminea","Mustela erminea","accepted_name","Mustelidae","Carnivora",1,0,""
"Mustela putorius","matched_direct","Mustela_putorius","Mustela putorius","accepted_name","Mustelidae","Carnivora",1,0,""
