genus_species,tip_name,o_min,o_max,o_range,invertebrate,terrestrial
Sternoptyx_diaphana,Sternoptyx_diaphana_602717,478,487,9,N,N
Sternoptyx_pseudobscura,Sternoptyx_pseudobscura_568250,479,479,0,N,N
Argyropelecus_gigas,Argyropelecus_gigas_287559,477,477,0,N,N
Neonesthes_capensis,Neonesthes_capensis_483037,483,483,0,N,N
Rhadinesthes_decimus,Rhadinesthes_decimus_585893,480,480,0,N,N
Chauliodus_danae,Chauliodus_danae_908357,484,484,0,N,N
Melanostomias_niger,Melanostomias_niger_3628981,483,483,0,N,N
Echiostoma_barbatum,Echiostoma_barbatum_433887,483,483,0,N,N
Eustomias_obscurus,Eustomias_obscurus_3628868,485,485,0,N,N
Photonectes_braueri,Photonectes_braueri_807567,483,483,0,N,N
Pachystomias_microdon,Pachystomias_microdon_988976,513,539,26,N,N
Malacosteus_niger,Malacosteus_niger_190410,425,548,123,N,N
Idiacanthus_fasciola,Idiacanthus_fasciola_1054226,483,485,2,N,N
Bathylagus_greyae,Bathylagichthys_greyae_3642865,488,488,0,N,N
Bathylagus_longirostris,Dolicholagus_longirostris_297146,474,502,28,N,N
Lampanychtus_ater,Nannobrachium_atrum_303681,483,483,0,N,N
Taaningichthys_bathyphilus,Taaningichthys_bathyphilus_341509,487,487,0,N,N
Benthalbella_infans,Benthalbella_infans_509811,451,451,0,N,N
Eurypharynx_pelecanoides,Eurypharynx_pelecanoides_284974,474,474,0,N,N
Derichthys_serpentinus,Derichthys_serpentinus_690855,489,489,0,N,N
Synaphobranchus_kaupi,Synaphobranchus_kaupii_65750,478,478,0,N,N
Histiobranchus_bathybius,Histiobranchus_bathybius_191546,476,476,0,N,N
Notacanthus_bonapartei,Notacanthus_bonaparte_730622,481,481,0,N,N
Melamphaes_suborbitalis,Melamphaes_suborbitalis_297164,482,482,0,N,N
Scopelogadus_beanii,Scopelogadus_beanii_202443,482,488,6,N,N
Poromitra_capito,Poromitra_capito_1079989,481,481,0,N,N
Poromitra_megalops,Poromitra_megalops_1079987,487,487,0,N,N
Howella_sherborni,Howella_sherborni_3635167,463,492,29,N,N
Dicrolene_intronigra,Dicrolene_introniger_699604,479,479,0,N,N
Photinus_versicolor,Phasianus_versicolor_102722,380,550,170,Y,Y
Alima_pacifica,Alima_pacifica_615850,467,467,0,Y,N
Gonodactylellus_affinis,Gonodactylellus_affinis_304749,445,445,0,Y,N
Lysiosquillina_maculata,Lysiosquillina_maculata_98210,501,501,0,Y,N
Pullosquilla_litoralis,Pullosquilla_litoralis_3004813,446,446,0,Y,N
Pullosquilla_thomassini,Pullosquilla_thomassini_146035,447,447,0,Y,N
Etroplus_suratensis,Etroplus_suratensis_640316,530,550,20,N,N
Pieris_rapae,Pieris_rapae_634345,340,640,300,Y,Y
Danaus_plexippus,Danaus_plexippus_190091,340,554,214,Y,Y
Asterocampa_leilia,Asterocampa_leilia_1089970,555,555,0,Y,Y
Archaeoprepona_demophon,,554,554,0,Y,Y
Heliconius_charithonia,Heliconius_charithonia_259142,549,549,0,Y,Y
Heliconius_hecale,Heliconius_hecale_984234,396,550,154,Y,Y
Heliconius_erato,Heliconius_erato_407981,551,555,4,Y,Y
Agraulis_vanillae,Agraulis_vanillae_81495,370,551,181,Y,Y
Hermeuptychia_hermes,Hermeuptychia_hermes_414389,515,515,0,Y,Y
Neominois_ridingsii,Neominois_ridingsii_841513,531,531,0,Y,Y
Oeneis_chryxus,Oeneis_chryxus_785400,531,531,0,Y,Y
Apodemia_mormo,Apodemia_mormo_7720254,556,600,44,Y,Y
Siproeta_stelenes,Siproeta_stelenes_634339,522,522,0,Y,Y
Inachis_io,Inachis_io_1020541,530,530,0,Y,Y
Nymphalis_antiops,Nymphalis_antiopa_444085,382,534,152,Y,Y
Junonia_coenia,Junonia_coenia_770737,510,510,0,Y,Y
