"check_value_id","Species","Measure","check_value","merged_value","status","check_qc_status","check_value_origin"
"SensoryData_r052_visual_acuity_max","Eptesicus fuscus","Visual_acuity.cdeg","0.5","0.5","agree","quarantined_va_offset","published"
"SensoryData_r052_audible_freq_high_60dBSPL","Eptesicus fuscus","Audible_freq_high_60dB.kHz","104","106.3425","agree","ok","published"
"SensoryData_r053_visual_acuity_max","Equus caballus","Visual_acuity.cdeg","23.3","23.3","agree","quarantined_va_offset","published"
"SensoryData_r053_audible_freq_high_60dBSPL","Equus caballus","Audible_freq_high_60dB.kHz","33.5","33.349","agree","ok","published"
"SensoryData_r053_sound_localization_threshold","Equus caballus","Sound_localization_threshold.deg","25","25.0","agree","ok","published"
"SensoryData_r053_binocular_field","Equus caballus","Binocular_field.deg","28","28.0","agree","ok","published"
"SensoryData_r056_audible_freq_high_60dBSPL","Eulemur fulvus","Audible_freq_high_60dB.kHz","43","43.4053","agree","ok","published"
"SensoryData_r057_visual_acuity_max","Eulemur macaco","Visual_acuity.cdeg","5.14","5.14","agree","quarantined_va_offset","published"
"SensoryData_r059_visual_acuity_max","Felis catus","Visual_acuity.cdeg","8.85","9.0","agree","quarantined_va_offset","published"
"SensoryData_r059_audible_freq_high_60dBSPL","Felis catus","Audible_freq_high_60dB.kHz","79","79.5794","agree","ok","published"
"SensoryData_r059_sound_localization_threshold","Felis catus","Sound_localization_threshold.deg","5.2","5.7","differs","ok","published"
"SensoryData_r059_field_of_best_vision_width","Felis catus","Field_of_best_vision.deg","4.9","4.9","agree","ok","published"
"SensoryData_r059_binocular_field","Felis catus","Binocular_field.deg","105","105.0","agree","ok","published"
"SensoryData_r060_visual_acuity_max","Galago senegalensis","Visual_acuity.cdeg","6.7","6.7","agree","quarantined_va_offset","published"
"SensoryData_r060_audible_freq_high_60dBSPL","Galago senegalensis","Audible_freq_high_60dB.kHz","65","65.7381","agree","ok","published"
"SensoryData_r061_visual_acuity_max","Geomys bursarius","Visual_acuity.cdeg","1.7","1.7","agree","quarantined_va_offset","published"
"SensoryData_r061_audible_freq_high_60dBSPL","Geomys bursarius","Audible_freq_high_60dB.kHz","8.7","8.7538","agree","ok","published"
"SensoryData_r061_sound_localization_threshold","Geomys bursarius","Sound_localization_threshold.deg","90","90.0","agree","ok","published"
"SensoryData_r061_field_of_best_vision_width","Geomys bursarius","Field_of_best_vision.deg","166","166.0","agree","ok","published"
"SensoryData_r061_binocular_field","Geomys bursarius","Binocular_field.deg","4","4.0","agree","ok","published"
"SensoryData_r062_visual_acuity_max","Giraffa camelopardalis","Visual_acuity.cdeg","25.46","25.46","agree","quarantined_va_offset","published"
"SensoryData_r063_audible_freq_high_60dBSPL","Hemiechinus auritus","Audible_freq_high_60dB.kHz","59.551774050535","59.5518","agree","ok","digitised_from_figure"
"SensoryData_r064_visual_acuity_max","Heterocephalus glaber","Visual_acuity.cdeg","0.44","0.44","agree","quarantined_va_offset","published"
"SensoryData_r064_audible_freq_high_60dBSPL","Heterocephalus glaber","Audible_freq_high_60dB.kHz","11.5","11.4688","agree","ok","published"
"SensoryData_r065_visual_acuity_max","Homo sapiens","Visual_acuity.cdeg","64","65.5","agree","quarantined_va_offset","published"
"SensoryData_r065_audible_freq_high_60dBSPL","Homo sapiens","Audible_freq_high_60dB.kHz","17.6","17.7165","agree","ok","published"
"SensoryData_r065_sound_localization_threshold","Homo sapiens","Sound_localization_threshold.deg","1.3","1.3","agree","ok","published"
"SensoryData_r065_field_of_best_vision_width","Homo sapiens","Field_of_best_vision.deg","0.7","0.7","agree","ok","published"
"SensoryData_r065_binocular_field","Homo sapiens","Binocular_field.deg","105","105.0","agree","ok","published"
"SensoryData_r066_visual_acuity_max","Hydrochoerus hydrochaeris","Visual_acuity.cdeg","5.8","5.8","agree","quarantined_va_offset","published"
"SensoryData_r070_visual_acuity_max","Lemmus lemmus","Visual_acuity.cdeg","0.83","0.83","agree","quarantined_va_offset","published"
"SensoryData_r071_visual_acuity_max","Lemur catta","Visual_acuity.cdeg","6.7","6.7","agree","quarantined_va_offset","published"
"SensoryData_r072_visual_acuity_max","Loxodonta africana","Visual_acuity.cdeg","13.16","13.16","agree","quarantined_va_offset","published"
"SensoryData_r073_visual_acuity_max","Lynx lynx","Visual_acuity.cdeg","8","8.0","agree","quarantined_va_offset","published"
"SensoryData_r074_visual_acuity_max","Macaca fascicularis","Visual_acuity.cdeg","46","46.0","agree","quarantined_va_offset","published"
"SensoryData_r075_audible_freq_high_60dBSPL","Macaca fuscata","Audible_freq_high_60dB.kHz","34.5","34.4659","agree","ok","published"
"SensoryData_r076_visual_acuity_max","Macaca mulatta","Visual_acuity.cdeg","53.6","53.6","agree","quarantined_va_offset","published"
"SensoryData_r076_audible_freq_high_60dBSPL","Macaca mulatta","Audible_freq_high_60dB.kHz","42","40.9062","agree","ok","published"
"SensoryData_r077_visual_acuity_max","Macaca nemestrina","Visual_acuity.cdeg","46","46.0","agree","quarantined_va_offset","published"
"SensoryData_r077_audible_freq_high_60dBSPL","Macaca nemestrina","Audible_freq_high_60dB.kHz","34.5","34.4659","agree","ok","published"
"SensoryData_r078_visual_acuity_max","Macroderma gigas","Visual_acuity.cdeg","1.9","1.9","agree","quarantined_va_offset","published"
"SensoryData_r079_visual_acuity_max","Macropus eugenii","Visual_acuity.cdeg","2.7","2.7","agree","quarantined_va_offset","published"
"SensoryData_r080_visual_acuity_max","Macropus fuliginosus","Visual_acuity.cdeg","11.23","11.23","agree","quarantined_va_offset","published"
"SensoryData_r082_audible_freq_high_60dBSPL","Marmota monax","Audible_freq_high_60dB.kHz","27.5","27.5486","agree","ok","published"
"SensoryData_r083_visual_acuity_max","Megaderma lyra","Visual_acuity.cdeg","1.5","1.5","agree","quarantined_va_offset","published"
"SensoryData_r086_visual_acuity_max","Meriones unguiculatus","Visual_acuity.cdeg","1.8","2.0","differs","quarantined_va_offset","published"
"SensoryData_r086_audible_freq_high_60dBSPL","Meriones unguiculatus","Audible_freq_high_60dB.kHz","58","58.3862","agree","ok","published"
"SensoryData_r086_sound_localization_threshold","Meriones unguiculatus","Sound_localization_threshold.deg","27","27.0","agree","ok","published"
"SensoryData_r086_field_of_best_vision_width","Meriones unguiculatus","Field_of_best_vision.deg","200","200.0","agree","ok","published"
"SensoryData_r086_binocular_field","Meriones unguiculatus","Binocular_field.deg","48","48.0","agree","ok","published"
"SensoryData_r087_visual_acuity_max","Mesocricetus auratus","Visual_acuity.cdeg","0.5","0.5","agree","quarantined_va_offset","published"
"SensoryData_r087_audible_freq_high_60dBSPL","Mesocricetus auratus","Audible_freq_high_60dB.kHz","46.5","46.3615","agree","ok","published"
"SensoryData_r088_visual_acuity_max","Microcebus murinus","Visual_acuity.cdeg","4.2","4.2","agree","quarantined_va_offset","published"
"SensoryData_r090_audible_freq_high_60dBSPL","Monodelphis domestica","Audible_freq_high_60dB.kHz","77","76.4948","agree","ok","published"
"SensoryData_r092_visual_acuity_max","Mus musculus","Visual_acuity.cdeg","0.5","0.5","agree","quarantined_va_offset","published"
"SensoryData_r092_audible_freq_high_60dBSPL","Mus musculus","Audible_freq_high_60dB.kHz","92","85.5248","differs","ok","published"
"SensoryData_r093_visual_acuity_max","Mus musculus","Visual_acuity.cdeg","0.5","0.5","agree","quarantined_va_offset","published"
"SensoryData_r093_audible_freq_high_60dBSPL","Mus musculus","Audible_freq_high_60dB.kHz","79","85.5248","differs","ok","published"
"SensoryData_r094_visual_acuity_max","Mustela nivalis","Visual_acuity.cdeg","2.2","2.2","agree","quarantined_va_offset","published"
"SensoryData_r094_audible_freq_high_60dBSPL","Mustela nivalis","Audible_freq_high_60dB.kHz","60.5","60.3417","agree","ok","published"
"SensoryData_r094_sound_localization_threshold","Mustela nivalis","Sound_localization_threshold.deg","12","12.0","agree","ok","published"
"SensoryData_r094_field_of_best_vision_width","Mustela nivalis","Field_of_best_vision.deg","23","23.0","agree","ok","published"
"SensoryData_r094_binocular_field","Mustela nivalis","Binocular_field.deg","69","69.0","agree","ok","published"
"SensoryData_r095_visual_acuity_max","Mustela putorius","Visual_acuity.cdeg","3.57","3.57","agree","quarantined_va_offset","published"
"SensoryData_r095_audible_freq_high_60dBSPL","Mustela putorius","Audible_freq_high_60dB.kHz","42","42.5557","agree","ok","published"
"SensoryData_r095_sound_localization_threshold","Mustela putorius","Sound_localization_threshold.deg","11.8","8.5","differs","ok","published"
"SensoryData_r096_visual_acuity_max","Myotis daubentonii","Visual_acuity.cdeg","0.1","0.1","agree","quarantined_va_offset","published"
"SensoryData_r097_audible_freq_high_60dBSPL","Myotis lucifugus","Audible_freq_high_60dB.kHz","115","115.8528","agree","ok","published"
"SensoryData_r098_visual_acuity_max","Myotis mystacinus","Visual_acuity.cdeg","0.1","0.1","agree","quarantined_va_offset","published"
"SensoryData_r099_visual_acuity_max","Myrmecobius fasciatus","Visual_acuity.cdeg","5.2","5.2","agree","quarantined_va_offset","published"
"SensoryData_r100_visual_acuity_max","Neotoma floridana","Visual_acuity.cdeg","2.3","2.3","agree","quarantined_va_offset","published"
"SensoryData_r100_audible_freq_high_60dBSPL","Neotoma floridana","Audible_freq_high_60dB.kHz","56","56.494","agree","ok","published"
"SensoryData_r100_sound_localization_threshold","Neotoma floridana","Sound_localization_threshold.deg","19","19.0","agree","ok","published"
"SensoryData_r100_field_of_best_vision_width","Neotoma floridana","Field_of_best_vision.deg","156.2","156.2","agree","ok","published"
"SensoryData_r100_binocular_field","Neotoma floridana","Binocular_field.deg","85","85.0","agree","ok","published"
"SensoryData_r101_audible_freq_high_60dBSPL","Noctilio leporinus","Audible_freq_high_60dB.kHz","111","111.3621","agree","ok","published"
"SensoryData_r102_audible_freq_high_60dBSPL","Nycticebus coucang","Audible_freq_high_60dB.kHz","44","44.2718","agree","ok","published"
"SensoryData_r103_visual_acuity_max","Nyctophilus gouldi","Visual_acuity.cdeg","0.6","0.6","agree","quarantined_va_offset","published"
"SensoryData_r104_visual_acuity_max","Odobenus rosmarus","Visual_acuity.cdeg","3.8","3.8","agree","quarantined_va_offset","published"
"SensoryData_r106_visual_acuity_max","Onychomys leucogaster","Visual_acuity.cdeg","2.3","2.3","agree","quarantined_va_offset","published"
"SensoryData_r106_audible_freq_high_60dBSPL","Onychomys leucogaster","Audible_freq_high_60dB.kHz","68","67.9399","agree","ok","published"
"SensoryData_r106_sound_localization_threshold","Onychomys leucogaster","Sound_localization_threshold.deg","19.3","19.3","agree","ok","published"
"SensoryData_r106_field_of_best_vision_width","Onychomys leucogaster","Field_of_best_vision.deg","68.5","68.5","agree","ok","published"
"SensoryData_r106_binocular_field","Onychomys leucogaster","Binocular_field.deg","52","52.0","agree","ok","published"
"SensoryData_r109_visual_acuity_max","Oryctolagus cuniculus","Visual_acuity.cdeg","3","3.0","agree","quarantined_va_offset","published"
"SensoryData_r109_audible_freq_high_60dBSPL","Oryctolagus cuniculus","Audible_freq_high_60dB.kHz","49","49.1939","agree","ok","published"
"SensoryData_r110_visual_acuity_max","Otolemur crassicaudatus","Visual_acuity.cdeg","4.8","4.8","agree","quarantined_va_offset","published"
"SensoryData_r111_visual_acuity_max","Ovis aries","Visual_acuity.cdeg","5.61","5.61","agree","quarantined_va_offset","published"
"SensoryData_r111_audible_freq_high_60dBSPL","Ovis aries","Audible_freq_high_60dB.kHz","42","42.5557","agree","ok","published"
"SensoryData_r113_visual_acuity_max","Pan troglodytes","Visual_acuity.cdeg","64.28","64.28","agree","quarantined_va_offset","published"
"SensoryData_r113_audible_freq_high_60dBSPL","Pan troglodytes","Audible_freq_high_60dB.kHz","28.5","23.0589","differs","ok","published"
"SensoryData_r114_audible_freq_high_60dBSPL","Papio cynocephalus","Audible_freq_high_60dB.kHz","40","40.3707","agree","ok","published"
"SensoryData_r115_audible_freq_high_60dBSPL","Perodicticus potto","Audible_freq_high_60dB.kHz","42","42.2763","agree","ok","published"
"SensoryData_r116_visual_acuity_max","Peromyscus maniculatus","Visual_acuity.cdeg","0.56","0.56","agree","quarantined_va_offset","published"
"SensoryData_r117_visual_acuity_max","Phascolarctos cinereus","Visual_acuity.cdeg","2.4","2.4","agree","quarantined_va_offset","published"
"SensoryData_r118_visual_acuity_max","Phoca vitulina","Visual_acuity.cdeg","3.6","3.6","agree","quarantined_va_offset","published"
"SensoryData_r118_audible_freq_high_60dBSPL","Phoca vitulina","Audible_freq_high_60dB.kHz","23","23.2113","agree","ok","published"
"SensoryData_r118_sound_localization_threshold","Phoca vitulina","Sound_localization_threshold.deg","3.2","3.2","agree","ok","published"
"SensoryData_r119_visual_acuity_max","Phoca vitulina","Visual_acuity.cdeg","3.6","3.6","agree","quarantined_va_offset","published"
"SensoryData_r119_audible_freq_high_60dBSPL","Phoca vitulina","Audible_freq_high_60dB.kHz","120","23.2113","differs","ok","published"
"SensoryData_r123_visual_acuity_max","Phyllostomus hastatus","Visual_acuity.cdeg","0.167","0.167","agree","quarantined_va_offset","published"
"SensoryData_r124_audible_freq_high_60dBSPL","Phyllotis darwini","Audible_freq_high_60dB.kHz","73.5","74.0158","agree","ok","published"
"SensoryData_r125_visual_acuity_max","Plecotus auritus","Visual_acuity.cdeg","1","1.0","agree","quarantined_va_offset","published"
"SensoryData_r127_visual_acuity_max","Pteropus giganteus","Visual_acuity.cdeg","1.7","1.7","agree","quarantined_va_offset","published"
"SensoryData_r128_visual_acuity_max","Pteropus poliocephalus","Visual_acuity.cdeg","5.5","5.5","agree","quarantined_va_offset","published"
"SensoryData_r129_visual_acuity_max","Pteropus scapulatus","Visual_acuity.cdeg","4","4.0","agree","quarantined_va_offset","published"
"SensoryData_r132_visual_acuity_max","Rattus norvegicus","Visual_acuity.cdeg","1.6","1.55","agree","quarantined_va_offset","published"
"SensoryData_r133_audible_freq_high_60dBSPL","Rattus norvegicus","Audible_freq_high_60dB.kHz","72","70.7041","agree","ok","published"
"SensoryData_r133_sound_localization_threshold","Rattus norvegicus","Sound_localization_threshold.deg","11.1","11.95","differs","curator_flag","published"
"SensoryData_r133_binocular_field","Rattus norvegicus","Binocular_field.deg","76","55.5","differs","ok","published"
"SensoryData_r134_visual_acuity_max","Rattus norvegicus","Visual_acuity.cdeg","1.5","1.55","agree","quarantined_va_offset","published"
"SensoryData_r134_audible_freq_high_60dBSPL","Rattus norvegicus","Audible_freq_high_60dB.kHz","68","70.7041","agree","ok","published"
"SensoryData_r134_sound_localization_threshold","Rattus norvegicus","Sound_localization_threshold.deg","12.8","11.95","differs","curator_flag","published"
"SensoryData_r134_field_of_best_vision_width","Rattus norvegicus","Field_of_best_vision.deg","52.8","52.8","agree","ok","published"
"SensoryData_r134_binocular_field","Rattus norvegicus","Binocular_field.deg","35","55.5","differs","ok","published"
"SensoryData_r135_visual_acuity_max","Rhinolophus rouxii","Visual_acuity.cdeg","0.4","0.4","agree","quarantined_va_offset","published"
"SensoryData_r136_audible_freq_high_60dBSPL","Rousettus aegyptiacus","Audible_freq_high_60dB.kHz","64","64.0282","agree","ok","published"
"SensoryData_r137_visual_acuity_max","Rousettus madagascariensis","Visual_acuity.cdeg","3","3.0","agree","quarantined_va_offset","published"
"SensoryData_r139_visual_acuity_max","Saguinus midas","Visual_acuity.cdeg","24.87","24.87","agree","quarantined_va_offset","published"
"SensoryData_r140_visual_acuity_max","Saimiri sciureus","Visual_acuity.cdeg","40.5","40.5","agree","quarantined_va_offset","published"
"SensoryData_r140_audible_freq_high_60dBSPL","Saimiri sciureus","Audible_freq_high_60dB.kHz","43","43.1202","agree","ok","published"
"SensoryData_r141_visual_acuity_max","Sarcophilus harrisii","Visual_acuity.cdeg","4.75","4.75","agree","quarantined_va_offset","published"
"SensoryData_r142_visual_acuity_max","Sciurus carolinensis","Visual_acuity.cdeg","3.9","3.9","agree","quarantined_va_offset","published"
"SensoryData_r144_visual_acuity_max","Sciurus niger","Visual_acuity.cdeg","3.9","3.9","agree","quarantined_va_offset","published"
"SensoryData_r144_audible_freq_high_60dBSPL","Sciurus niger","Audible_freq_high_60dB.kHz","49","48.8708","agree","ok","published"
"SensoryData_r146_visual_acuity_max","Setonix brachyurus","Visual_acuity.cdeg","4","4.0","agree","quarantined_va_offset","published"
"SensoryData_r147_audible_freq_high_60dBSPL","Sigmodon hispidus","Audible_freq_high_60dB.kHz","72","72.0905","agree","ok","published"
"SensoryData_r148_visual_acuity_max","Sminthopsis crassicaudata","Visual_acuity.cdeg","2.36","2.36","agree","quarantined_va_offset","published"
"SensoryData_r152_visual_acuity_max","Spermophilus beecheyi","Visual_acuity.cdeg","4","4.0","agree","quarantined_va_offset","published"
"SensoryData_r153_visual_acuity_max","Suricata suricatta","Visual_acuity.cdeg","6.3","6.3","agree","quarantined_va_offset","published"
"SensoryData_r154_visual_acuity_max","Sus scrofa","Visual_acuity.cdeg","9.92","8.96","differs","quarantined_va_offset","published"
"SensoryData_r154_audible_freq_high_60dBSPL","Sus scrofa","Audible_freq_high_60dB.kHz","40.5","40.9062","agree","ok","published"
"SensoryData_r154_sound_localization_threshold","Sus scrofa","Sound_localization_threshold.deg","4.6","4.6","agree","ok","published"
"SensoryData_r154_field_of_best_vision_width","Sus scrofa","Field_of_best_vision.deg","11.6","11.6","agree","ok","published"
"SensoryData_r154_binocular_field","Sus scrofa","Binocular_field.deg","47","47.0","agree","ok","published"
"SensoryData_r157_visual_acuity_max","Tachyglossus aculeatus","Visual_acuity.cdeg","1.69","1.69","agree","quarantined_va_offset","published"
"SensoryData_r158_audible_freq_high_60dBSPL","Tamias striatus","Audible_freq_high_60dB.kHz","52","52.5444","agree","ok","published"
"SensoryData_r159_visual_acuity_max","Taphozous georgianus","Visual_acuity.cdeg","1.3","1.3","agree","quarantined_va_offset","published"
"SensoryData_r160_visual_acuity_max","Tarsipes rostratus","Visual_acuity.cdeg","0.63","0.63","agree","quarantined_va_offset","published"
"SensoryData_r161_visual_acuity_max","Tarsius syrichta","Visual_acuity.cdeg","8.89","8.89","agree","quarantined_va_offset","published"
"SensoryData_r162_visual_acuity_max","Trichosurus vulpecula","Visual_acuity.cdeg","4.8","4.8","agree","quarantined_va_offset","published"
"SensoryData_r163_visual_acuity_max","Tupaia belangeri","Visual_acuity.cdeg","2.4","2.4","agree","quarantined_va_offset","published"
"SensoryData_r164_visual_acuity_max","Tupaia glis","Visual_acuity.cdeg","4.7","4.7","agree","quarantined_va_offset","published"
"SensoryData_r164_audible_freq_high_60dBSPL","Tupaia glis","Audible_freq_high_60dB.kHz","61","61.1422","agree","ok","published"
"SensoryData_r166_sound_localization_threshold","Tursiops truncatus","Sound_localization_threshold.deg","1.1","1.1","agree","ok","published"
"SensoryData_r168_visual_acuity_max","Zalophus californianus","Visual_acuity.cdeg","5.7","4.3","differs","quarantined_va_offset","published"
"SensoryData_r168_audible_freq_high_60dBSPL","Zalophus californianus","Audible_freq_high_60dB.kHz","33","32.6963","agree","ok","published"
"SensoryData_r168_sound_localization_threshold","Zalophus californianus","Sound_localization_threshold.deg","8.8","8.8","agree","ok","published"
