table,source_group,role,specimen_code,individual_id,species_as_published,interpreted_taxon,sex,age_years,body_mass_kg,brain_mass_g,collection,section_plane,structure,measure,unit,value,percent_value,n,mean,sd,se,minimum,maximum,median,note,source
Table1,Armstrong_1979,primary,Gorilla g.,Gorilla_1,Gorilla gorilla,Gorilla gorilla,male,14,203,540,Columbia University / Bronx Zoo,coronal,MGBp,volume,mm3,29,1.8,NA,NA,NA,NA,NA,NA,NA,Percent of total thalamus.,Armstrong__1979
Table1,Armstrong_1979,primary,Gorilla g.,Gorilla_1,Gorilla gorilla,Gorilla gorilla,male,14,203,540,Columbia University / Bronx Zoo,coronal,VB,volume,mm3,178.9,11.2,NA,NA,NA,NA,NA,NA,NA,Percent of total thalamus.,Armstrong__1979
Table1,Armstrong_1979,primary,Pan t.,Pan_1,Pan troglodytes,Pan troglodytes,male,10-12,63.5,405.5,University of Wisconsin comparative brain collection,coronal,LGB,volume,mm3,56.3,3.8,NA,NA,NA,NA,NA,NA,NA,Percent of total thalamus.,Armstrong__1979
Table1,Armstrong_1979,primary,Pan t.,Pan_1,Pan troglodytes,Pan troglodytes,male,10-12,63.5,405.5,University of Wisconsin comparative brain collection,coronal,MGBp,volume,mm3,28,1.9,NA,NA,NA,NA,NA,NA,NA,Percent of total thalamus.,Armstrong__1979
Table1,Armstrong_1979,primary,Pan t.,Pan_1,Pan troglodytes,Pan troglodytes,male,10-12,63.5,405.5,University of Wisconsin comparative brain collection,coronal,VB,volume,mm3,144.8,9.9,NA,NA,NA,NA,NA,NA,NA,Percent of total thalamus.,Armstrong__1979
Table1,Armstrong_1979,primary,Homo s.-s,Homo_volume_1,Homo sapiens,Homo sapiens,male,28,NA,1890,Yakovlev Collection,sagittal,LGB,volume,mm3,69.1,1.6,NA,NA,NA,NA,NA,NA,NA,Percent of total thalamus.,Armstrong__1979
Table1,Armstrong_1979,primary,Homo s.-s,Homo_volume_1,Homo sapiens,Homo sapiens,male,28,NA,1890,Yakovlev Collection,sagittal,MGBp,volume,mm3,71.2,1.7,NA,NA,NA,NA,NA,NA,NA,Percent of total thalamus.,Armstrong__1979
Table1,Armstrong_1979,primary,Homo s.-s,Homo_volume_1,Homo sapiens,Homo sapiens,male,28,NA,1890,Yakovlev Collection,sagittal,VB,volume,mm3,300.3,7.1,NA,NA,NA,NA,NA,NA,NA,Percent of total thalamus.,Armstrong__1979
Table1,Armstrong_1979,primary,Homo s.-t,Homo_volume_2,Homo sapiens,Homo sapiens,female,32,NA,1200,Yakovlev Collection,transverse,LGB,volume,mm3,78,2.3,NA,NA,NA,NA,NA,NA,NA,Percent of total thalamus.,Armstrong__1979
Table1,Armstrong_1979,primary,Homo s.-t,Homo_volume_2,Homo sapiens,Homo sapiens,female,32,NA,1200,Yakovlev Collection,transverse,MGBp,volume,mm3,46.6,1.4,NA,NA,NA,NA,NA,NA,NA,Percent of total thalamus.,Armstrong__1979
Table1,Armstrong_1979,primary,Homo s.-t,Homo_volume_2,Homo sapiens,Homo sapiens,female,32,NA,1200,Yakovlev Collection,transverse,VB,volume,mm3,273.1,8.1,NA,NA,NA,NA,NA,NA,NA,Percent of total thalamus.,Armstrong__1979
Table1,Hopf_1965,secondary,Hopf:Pongo p.,NA,Pongo p.,NA,NA,NA,NA,NA,NA,NA,LGB,volume,mm3,165,4,NA,NA,NA,NA,NA,NA,NA,Literature-comparison value.,Armstrong__1979
Table1,Hopf_1965,secondary,Hopf:Pongo p.,NA,Pongo p.,NA,NA,NA,NA,NA,NA,NA,MGBp,volume,mm3,50,1.1,NA,NA,NA,NA,NA,NA,NA,Literature-comparison value.,Armstrong__1979
Table1,Hopf_1965,secondary,Hopf:Homo S.,NA,Homo S.,NA,NA,NA,NA,NA,NA,NA,LGB,volume,mm3,160,1.7,NA,NA,NA,NA,NA,NA,NA,Literature-comparison value.,Armstrong__1979
Table1,Hopf_1965,secondary,Hopf:Homo S.,NA,Homo S.,NA,NA,NA,NA,NA,NA,NA,MGBp,volume,mm3,105,1.1,NA,NA,NA,NA,NA,NA,NA,Literature-comparison value.,Armstrong__1979
Table1,Solnitzky_1945,secondary,Solnitzky:Pan t.,NA,Pan t.,NA,NA,NA,NA,NA,NA,NA,LGB,volume,mm3,61.9,NA,NA,NA,NA,NA,NA,NA,NA,Literature-comparison value.,Armstrong__1979
Table1,Solnitzky_1945,secondary,Solnitzky:Homo s.,NA,Homo s.,NA,NA,NA,NA,NA,NA,NA,LGB,volume,mm3,125.2,NA,NA,NA,NA,NA,NA,NA,NA,Literature-comparison value.,Armstrong__1979
Table1,Chacko_1948,secondary,Chacko:Homo s.,NA,Homo s.,NA,NA,NA,NA,NA,NA,NA,LGB,volume,mm3,60.6,NA,NA,NA,NA,NA,NA,NA,NA,Literature-comparison value.,Armstrong__1979
Table1,Blinkov_Zvorykin_1950,secondary,Blinkov:Hylobates,NA,Hylobates,NA,NA,NA,NA,NA,NA,NA,MGB_p_plus_m,volume,mm3,12.2,NA,NA,NA,NA,NA,NA,NA,NA,Literature-comparison value; MGBp + MGBm rather than MGBp.,Armstrong__1979
Table1,Blinkov_Zvorykin_1950,secondary,Blinkov:Pongo,NA,Pongo,NA,NA,NA,NA,NA,NA,NA,MGB_p_plus_m,volume,mm3,33.9,NA,NA,NA,NA,NA,NA,NA,NA,Literature-comparison value; MGBp + MGBm rather than MGBp.,Armstrong__1979
Table1,Blinkov_Zvorykin_1950,secondary,Blinkov:Pan,NA,Pan,NA,NA,NA,NA,NA,NA,NA,MGB_p_plus_m,volume,mm3,36.5,NA,NA,NA,NA,NA,NA,NA,NA,Literature-comparison value; MGBp + MGBm rather than MGBp.,Armstrong__1979
Table1,Blinkov_Zvorykin_1950,secondary,Blinkov:Homo s.,NA,Homo s.,NA,NA,NA,NA,NA,NA,NA,MGB_p_plus_m,volume,mm3,67.9,NA,NA,NA,NA,NA,NA,NA,NA,Mean of 10 hemispheres; MGBp + MGBm rather than MGBp.,Armstrong__1979
Table5,Armstrong_1979,primary,Hylo.-s,Hylobates_unknown_1,Hylobates sp.,Hylobates sp.,unknown,unknown,NA,NA,Thomas Jefferson Medical College,sagittal,LGBp,volume,mm3,11.4,64.1,NA,NA,NA,NA,NA,NA,NA,Percent of total LGB.,Armstrong__1979
Table5,Armstrong_1979,primary,Hylo.-s,Hylobates_unknown_1,Hylobates sp.,Hylobates sp.,unknown,unknown,NA,NA,Thomas Jefferson Medical College,sagittal,LGBm,volume,mm3,6.4,35.9,NA,NA,NA,NA,NA,NA,NA,Percent of total LGB.,Armstrong__1979
Table5,Armstrong_1979,primary,Hylo.-h,Hylobates_unknown_1,Hylobates sp.,Hylobates sp.,unknown,unknown,NA,NA,Thomas Jefferson Medical College,horizontal,LGBp,volume,mm3,14.2,67.7,NA,NA,NA,NA,NA,NA,NA,Percent of total LGB.,Armstrong__1979
Table5,Armstrong_1979,primary,Hylo.-h,Hylobates_unknown_1,Hylobates sp.,Hylobates sp.,unknown,unknown,NA,NA,Thomas Jefferson Medical College,horizontal,LGBm,volume,mm3,6.8,32.3,NA,NA,NA,NA,NA,NA,NA,Percent of total LGB.,Armstrong__1979
Table5,Armstrong_1979,primary,H. lar-t,Hylobates_lar_1,Hylobates lar,Hylobates lar,male,unknown,5.93,101.9,Max Planck Institute Frankfurt,transverse,LGBp,volume,mm3,21.4,79,NA,NA,NA,NA,NA,NA,NA,Percent of total LGB.,Armstrong__1979
Table5,Armstrong_1979,primary,H. lar-t,Hylobates_lar_1,Hylobates lar,Hylobates lar,male,unknown,5.93,101.9,Max Planck Institute Frankfurt,transverse,LGBm,volume,mm3,5.7,21,NA,NA,NA,NA,NA,NA,NA,Percent of total LGB.,Armstrong__1979
Table5,Armstrong_1979,primary,Gorilla g.,Gorilla_1,Gorilla gorilla,Gorilla gorilla,male,14,203,540,Columbia University / Bronx Zoo,coronal,LGBp,volume,mm3,42.6,83.4,NA,NA,NA,NA,NA,NA,NA,Percent of total LGB.,Armstrong__1979
Table5,Armstrong_1979,primary,Gorilla g.,Gorilla_1,Gorilla gorilla,Gorilla gorilla,male,14,203,540,Columbia University / Bronx Zoo,coronal,LGBm,volume,mm3,8.4,16.6,NA,NA,NA,NA,NA,NA,NA,Percent of total LGB.,Armstrong__1979
Table5,Armstrong_1979,primary,Pan t.,Pan_1,Pan troglodytes,Pan troglodytes,male,10-12,63.5,405.5,University of Wisconsin comparative brain collection,coronal,LGBp,volume,mm3,42.3,75.1,NA,NA,NA,NA,NA,NA,NA,Percent of total LGB.,Armstrong__1979
Table5,Armstrong_1979,primary,Pan t.,Pan_1,Pan troglodytes,Pan troglodytes,male,10-12,63.5,405.5,University of Wisconsin comparative brain collection,coronal,LGBm,volume,mm3,14,24.9,NA,NA,NA,NA,NA,NA,NA,Percent of total LGB.,Armstrong__1979
Table5,Armstrong_1979,primary,Homo s.-s,Homo_volume_1,Homo sapiens,Homo sapiens,male,28,NA,1890,Yakovlev Collection,sagittal,LGBp,volume,mm3,57.7,83.3,NA,NA,NA,NA,NA,NA,NA,Percent of total LGB.,Armstrong__1979
Table5,Armstrong_1979,primary,Homo s.-s,Homo_volume_1,Homo sapiens,Homo sapiens,male,28,NA,1890,Yakovlev Collection,sagittal,LGBm,volume,mm3,11.5,16.6,NA,NA,NA,NA,NA,NA,NA,Percent of total LGB; printed components sum to 99.9% and 69.2 mm3 versus the 69.1 mm3 Table 1 total.,Armstrong__1979
Table5,Armstrong_1979,primary,Homo s.-t,Homo_volume_2,Homo sapiens,Homo sapiens,female,32,NA,1200,Yakovlev Collection,transverse,LGBp,volume,mm3,62.4,80,NA,NA,NA,NA,NA,NA,NA,Percent of total LGB.,Armstrong__1979
Table5,Armstrong_1979,primary,Homo s.-t,Homo_volume_2,Homo sapiens,Homo sapiens,female,32,NA,1200,Yakovlev Collection,transverse,LGBm,volume,mm3,15.6,20,NA,NA,NA,NA,NA,NA,NA,Percent of total LGB.,Armstrong__1979
