Code,Definition,Structure,Measure,Stat,role,taxon,Reference,Note,Source Note
PonsMedulla_O.p.N,pons + medulla other-cell / neuron ratio,PonsMedulla,O.p.N,,primary,Artiodactyla,Kazu_etal_2014_Table1,printed O/N_P+M,
OlfactoryBulb_O.p.N,olfactory bulb other-cell / neuron ratio,OlfactoryBulb,O.p.N,,primary,Artiodactyla,Kazu_etal_2014_Table1,printed O/N_OB,
body_mass_approximate,TRUE where the printed body mass carries the approximation sign,,,,note,Artiodactyla,Kazu_etal_2014_Table1,"TRUE only for Sus scrofa domesticus, printed as ~100 kg",
source_printing,which printing of Table 1 the row was transcribed from,,,,note,Artiodactyla,Kazu_etal_2014_Table1,constant: the 2014 article printing (NOT the 2015 corrigendum),
parse_flags,printed cells that could not be parsed to a number or that carry an approximation sign,,,,note,Artiodactyla,Kazu_etal_2014_Table1,empty (NA) means every printed cell parsed cleanly,
consistency_flags,failures of the internal arithmetic checks run in the .R over the printed values,,,,note,Artiodactyla,Kazu_etal_2014_Table1,"checks: M_BR = M_CXT+M_CB+M_RoB; M_RoB = M_D+BG+M_MES+M_P+M; N_BR = N_CXT+N_CB+N_RoB (0.5% tol); DN_x = N_x/M_x (0.5% tol)",
Method:sample,"isotropic fractionator (Herculano-Houzel & Lent 2005); n = 1 per species; one hemisphere counted and multiplied by 2; whole brain excludes the olfactory bulb",,,,method,Artiodactyla,Kazu_etal_2014_Table1,,
Method:units,"masses printed in g are kept in g; body mass printed in kg is multiplied by 1000 to project unit g; densities are neurons per mg; O/N is dimensionless",,,,method,Artiodactyla,Kazu_etal_2014_Table1,,
Method:nesting,"the structures are NESTED, not disjoint: Hippocampus and CerebralCortexGrey sit inside CerebralCortex; DiencephalonStriatum, Mesencephalon and PonsMedulla sit inside RoB. Only CerebralCortex + Cerebellum + RoB sum to WholeBrain",,,,method,Artiodactyla,Kazu_etal_2014_Table1,,
Method:supersession,"the 2014 printing is corrected by Kazu et al. 2015 Corrigendum (10.3389/fnana.2015.00039); the corrected values already reach __merging_cellcounts through HerculanoHouzel_etal_2015 Tables 1-5. Do NOT merge this table without replacing it with the corrigendum values",,,,method,Artiodactyla,Kazu_etal_2014_Table1,,
