Species,measure_class,Measure,Team,role,Value
Alouatta palliatus,manipulation,Tool_use,Baker,secondary,0
Alouatta palliatus,hand_morphology,log10_dp1_mm,Baker,primary,1.10720996964787
Alouatta palliatus,hand_morphology,log10_ip3_mm,Baker,primary,1.31026836663245
Alouatta palliatus,hand_morphology,log10_ip4_mm,Baker,primary,1.36172783601759
Alouatta palliatus,hand_morphology,log10_mc1_mm,Baker,primary,1.32376758329678
Alouatta palliatus,hand_morphology,log10_mc2_mm,Baker,primary,1.47129171105894
Alouatta palliatus,hand_morphology,log10_mc3_mm,Baker,primary,1.5152113043278
Alouatta palliatus,hand_morphology,log10_mc4_mm,Baker,primary,1.49899936358015
Alouatta palliatus,hand_morphology,log10_mc5_mm,Baker,primary,1.44754562126701
Alouatta palliatus,hand_morphology,log10_pp1_mm,Baker,primary,1.35506820634885
Alouatta palliatus,hand_morphology,log10_pp3_mm,Baker,primary,1.50155218746609
Alouatta palliatus,hand_morphology,log10_pp4_mm,Baker,primary,1.52762990087134
Alouatta pigra,locomotion,Arboreal_terrestrial,Granatosky,primary,A
Alouatta pigra,behavioural_flexibility,Extractive_foraging_reduced_report_count,Reader,primary,0
Alouatta pigra,behavioural_flexibility,Extractive_foraging_report_count,Reader,primary,0
Alouatta pigra,behavioural_flexibility,Innovation_reduced_report_count,Reader,primary,0
Alouatta pigra,behavioural_flexibility,Innovation_report_count,Reader,primary,0
Alouatta pigra,research_effort,Journal_search_article_count,Reader,primary,8
Alouatta pigra,locomotion,Locomotor_diversity_index,Granatosky,primary,0.230466836328381
Alouatta pigra,behavioural_flexibility,Social_learning_report_count,Reader,primary,0
Alouatta pigra,behavioural_flexibility,Tool_use_reduced_report_count,Reader,primary,0
Alouatta pigra,behavioural_flexibility,Tool_use_report_count,Reader,primary,0
Alouatta pigra,research_effort,Zoological_record_article_count,Reader,primary,25
Alouatta sara,behavioural_flexibility,Extractive_foraging_reduced_report_count,Reader,primary,0
Alouatta sara,behavioural_flexibility,Extractive_foraging_report_count,Reader,primary,0
Alouatta sara,behavioural_flexibility,Innovation_reduced_report_count,Reader,primary,0
Alouatta sara,behavioural_flexibility,Innovation_report_count,Reader,primary,0
Alouatta sara,behavioural_flexibility,Social_learning_report_count,Reader,primary,0
Alouatta sara,behavioural_flexibility,Tool_use_reduced_report_count,Reader,primary,0
Alouatta sara,behavioural_flexibility,Tool_use_report_count,Reader,primary,0
Alouatta sara,research_effort,Zoological_record_article_count,Reader,primary,4
