Species,Duty_Factor,Foot_Posture,Gait,Phase,Locomotor_diversity_index,Tool_use,log10_dp3_mm,log10_ip3_mm,log10_mc1_mm,log10_mc2_mm,log10_mc3_mm,log10_mc4_mm,log10_mc5_mm,log10_pp3_mm,log10_pp1_mm,Extractive_foraging_reduced_report_count,Extractive_foraging_report_count,Innovation_reduced_report_count,Innovation_report_count,Social_learning_report_count,Tool_use_reduced_report_count,Tool_use_report_count,Zoological_record_article_count,Journal_search_article_count,log10_dp1_mm,log10_ip2_mm,log10_ip4_mm,log10_pp2_mm,log10_pp4_mm,Arboreal_terrestrial,Intermembral_index,VocalRepertoire,Tool_Manufacture,True_Tool_Use,log10_dp2_mm,peak_workspace,real_size,relative_size,Dexterity,Extractive_foraging,Handedness_index_mean,Handedness_strength_mean,Manipulation_complexity,log10_ip5_mm,log10_pp5_mm,log10_dp4_mm,log10_dp5_mm,CM_connection_inference,CST_termination_grade
Callithrix humeralifer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Callithrix jacchus,NA,NA,NA,NA,NA,0,NA,0.798650645445269,0.900587052762018,1.02291085316815,1.06818586174616,1.06207709114227,0.965828909342021,0.979092900638326,0.814966061847481,1,2,0,1,2,0,0,161,99,NA,0.741123175292047,0.799071066929591,0.913330709432246,0.936078856284892,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1.33,NA,NA,NA,NA,NA,NA
Callithrix kuhli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Callithrix mauesi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Callithrix penicillata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Callithrix pygmaea,NA,NA,NA,NA,1.32325697190067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,1,0,0,0,36,5,NA,NA,NA,NA,NA,A,69,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Callorhinus ursinus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Caluromys philander,67.03085345,plantigrade,DSDC,58,1.15402168831365,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Camelus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Camelus bactrianus,72,digitigrade,LSLC,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Camelus dromedarius,75.01622322999999,digitigrade,LSLC,22.78823,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Canis aureus,73.28703704,digitigrade,LSLC,24.25926,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Canis latrans,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Canis lupus,60.34,digitigrade,LSLC,18.965,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Capra aegagrus,72,unguligrade,LSLC,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Capra hircus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Caracal caracal,65.76364335,digitigrade,LSLC,20.07495141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Carlito syrichta,NA,NA,NA,NA,1.05168775175858,0,NA,0.927883410330707,0.876217840591642,0.997604787460454,1.04139268515823,0.961658348637715,0.836324115706752,1.07918124604762,0.845718017966659,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.849419413796899,0.893484346218486,1.02796085978545,1.03120641982746,A,58,NA,NA,NA,NA,-1.58502665202918,0.633468455579587,-1.04575749056068,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Carpolestes simpsoni,NA,NA,NA,NA,NA,0,0.361727836017593,0.662757831681574,NA,NA,0.8561244442423001,NA,NA,0.82020145948564,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Castor canadensis,74.15624348999999,plantigrade,LSDC,36.6823,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cavia aperea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cebus albifrons,NA,NA,NA,NA,NA,1,NA,1.1343126816325,1.24781497037766,1.38367344764488,1.41236847253225,1.38860708016625,1.32844029389074,1.30656840491628,1.16181815341197,0,3,0,0,1,0,3,13,5,1.01130125676674,1.1074267799764,1.15706809537785,1.28505015505419,1.30937047351314,NA,NA,NA,1,1,0.9832753825780221,-1.53760200210104,0.939519252618618,-1.09691001300806,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cebus capucinus,59.37513743,plantigrade,DSDC,62.83883438,1.17177927393802,1,NA,1.19395897801919,1.28420506770179,NA,NA,1.41813549842523,1.36097188372594,1.34537373055909,NA,1,3,2,4,5,4,7,60,37,NA,NA,NA,NA,NA,A,81,27,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cebus olivaceus,NA,NA,NA,NA,1.7365976046442,1,NA,1.15908416076727,1.25651263009643,1.29984525899482,1.30176187815597,1.39116652807101,1.32193071474978,1.32512224772685,1.01262312632137,0,2,1,4,0,0,3,18,11,NA,1.02577982007179,1.04654715364706,1.16224220749618,1.18180892500461,A,83,11,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cephalopachus bancanus,NA,NA,NA,NA,NA,0,NA,1.01703333929878,0.904309725767542,1.05757102027904,1.07188200730613,1.01230984822033,0.874336835397368,1.15533603746506,0.846646328577118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.94571471405986,0.995525510424242,1.09803771328509,1.11693964655076,NA,NA,NA,NA,NA,NA,-1.63827216398241,0.763427993562937,-0.958607314841775,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cephalophus natalensis,60,unguligrade,LSLC,22.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cephalophus silvicultor,67.2,unguligrade,LSLC,23.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ceratotherium simum,68,digitigrade,LSLC,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cercocebus agilis,NA,NA,NA,NA,NA,0,NA,1.25623653320592,1.38066339634058,1.56181666431896,1.56749689110422,1.54961623951909,1.55878854373695,1.44638181222244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cercocebus aterrimus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cercocebus atys,NA,NA,NA,NA,0.643896378966053,0,NA,1.25839780409551,1.32469391386177,NA,NA,NA,1.54629583512144,1.40329214515825,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,T,NA,NA,0,1,NA,NA,NA,NA,NA,0,NA,NA,2.24,NA,NA,NA,NA,NA,NA
Cercocebus galeritus,NA,NA,NA,NA,NA,1,NA,NA,NA,1.48201557645071,1.47319490920494,1.44622640177816,NA,NA,NA,1,1,0,0,0,0,0,19,4,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cercocebus torquatus,NA,NA,NA,NA,NA,0,NA,1.3070679506613,1.40440605092127,1.52035250408332,1.52009032811284,1.4929000111087,1.60124492481052,1.47107157361303,NA,0,0,0,0,1,0,0,32,18,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,-0.029,0.665,NA,NA,NA,NA,NA,NA,NA
Cercopithecus albogularis,NA,NA,NA,NA,NA,0,NA,NA,1.26304398331317,1.47603415907845,1.47748301607494,1.45976931596674,1.41455555622922,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cercopithecus ascanius,NA,NA,NA,NA,1.30149934390842,1,NA,1.16287110793653,1.23202527488988,1.457730548246,1.47726599542485,1.43104194533589,1.37403500765351,1.30375946502634,1.02250256275278,0,1,0,1,1,0,0,26,5,NA,1.03895561101604,1.14514958747451,1.23229858143814,1.28382113548845,A,79,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cercopithecus campbelli,NA,NA,NA,NA,0.863629884719384,1,NA,NA,NA,1.36059341356525,1.38129562300383,1.3451776165427,NA,NA,NA,0,0,0,0,0,0,0,11,NA,NA,NA,NA,NA,NA,A,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cercopithecus campbelli lowei,NA,NA,NA,NA,1.30031419276679,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cercopithecus cephus,NA,NA,NA,NA,NA,0,NA,NA,NA,1.45984464238821,1.51441492058037,1.44232295574557,NA,NA,NA,0,0,0,0,0,0,0,8,NA,NA,NA,NA,NA,NA,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cercopithecus denti,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cercopithecus diana,NA,NA,NA,NA,1.11068369147808,0,NA,NA,NA,1.47246389660699,1.50078517291746,1.45408227073109,NA,NA,NA,0,0,0,0,1,0,0,28,4,NA,NA,NA,NA,NA,A,79,4,NA,NA,NA,NA,NA,NA,NA,0,0.178,0.755,2.03,NA,NA,NA,NA,NA,NA
Cercopithecus dryas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cercopithecus erythrogaster,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cercopithecus erythrotis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cercopithecus hamlyni,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,3.84,NA,NA,NA,NA,NA,NA
Cercopithecus lhoesti,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,7,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2.77,NA,NA,NA,NA,NA,NA
Cercopithecus mitis,NA,NA,NA,NA,1.11414224879738,0,NA,1.19932971522104,1.28197792171471,1.5063697170955,1.5287881917749,1.49817266063654,1.41559910869476,1.36289443970756,1.04913011391993,0,3,1,4,0,0,0,56,17,NA,1.06987569414368,1.18033374786844,1.27815835576575,1.33095883448675,A,82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cercopithecus mona,NA,NA,NA,NA,NA,0,NA,NA,NA,1.42732378635725,1.44901531634779,1.40739090447073,NA,NA,NA,0,0,0,0,0,0,0,8,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cercopithecus neglectus,NA,NA,NA,NA,NA,0,NA,NA,1.30535136944662,1.4854374810763,1.50310943667137,1.45591024038274,1.44090908206522,NA,NA,0,0,0,0,0,0,0,17,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.258,0.621,NA,NA,NA,NA,NA,NA,NA
Cercopithecus nictitans,NA,NA,NA,NA,1.01907599999383,0,NA,NA,NA,1.51785541893003,1.50379068305718,1.47668674294564,NA,NA,NA,0,0,0,0,0,0,0,7,NA,NA,NA,NA,NA,NA,A,82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cercopithecus petaurista,NA,NA,NA,NA,1.07339249913053,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,5,NA,NA,NA,NA,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cercopithecus pogonias,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cercopithecus preussi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cercopithecus salongo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cercopithecus solatus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cercopithecus wolfi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cervus elaphus,63.47494553,unguligrade,LSDC,28.19172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cheirogaleus major,NA,NA,NA,NA,1.33520401122236,0,NA,NA,NA,NA,1.02938377768521,NA,0.939685617103282,0.978180516937414,NA,0,0,0,0,0,0,0,3,NA,NA,NA,0.81778565588553,NA,NA,A,72,NA,NA,NA,NA,-1.55284196865778,0.591064607026499,-1.04575749056068,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cheirogaleus medius,54.58070367,plantigrade,DSDC,55.44482598,1.49653172902369,0,NA,NA,NA,NA,0.876217840591642,NA,0.757016234731301,0.828015064223977,NA,0,0,0,0,0,0,0,13,6,NA,NA,0.6913025633834829,NA,NA,A,68,NA,NA,NA,NA,-1.55284196865778,0.431363764158987,-1.04575749056068,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chiropotes albinasus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chiropotes satanas,66.84392775000001,plantigrade,LSDC,44.79006856,NA,0,NA,1.1770552871583,1.2546286288076,NA,NA,1.38489079653055,1.339782584656,1.34130260037242,NA,0,2,0,2,0,0,0,21,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chiropotes satanus,NA,NA,NA,NA,0.565419018216477,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chlorocebus aethiops,NA,NA,NA,NA,1.47520015673735,1,NA,1.13193929521042,1.23172438332852,1.44365406761291,1.45395504223101,1.42775651224374,1.42406452541749,1.30749603791321,NA,0,3,0,4,5,0,2,91,58,NA,NA,NA,NA,NA,T,83,25,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chlorocebus sabaeus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Choloepus didactylus,72.63339384,plantigrade,LSDC,49.43348146,1.16745710622922,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chrysocyon brachyurus,62.84858552,digitigrade,LSLC,13.18249,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Colobus angolensis,NA,NA,NA,NA,NA,0,NA,1.36400406073184,1.28004751505955,1.57403126772772,1.60449605277107,1.59577170200094,1.60122703798179,1.5080702847034,0.572967339820172,0,0,0,0,0,0,0,16,2,NA,1.17577672872098,1.36277682494057,1.40204973513789,1.51599607133701,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Colobus angolensis palliatus,NA,NA,NA,NA,1.36153853780977,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Colobus guereza,NA,NA,NA,NA,1.17402880124957,0,NA,1.30980147281507,1.28103336724773,1.58081097266095,1.5999921775841,1.59024721619561,1.59050746200858,1.46186488199467,0.67926635869444,0,1,0,1,0,0,0,42,10,NA,1.17551722345614,1.3018844486893,1.3881818394653,1.45634776909291,A,79,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,2.38,NA,NA,NA,NA,NA,NA
Colobus polykomos,NA,NA,NA,NA,1.28263841381107,0,NA,1.37100625584821,1.3150251993126,1.58217703768841,1.59350758933177,1.58894364274001,1.60791052538138,1.54270096944811,NA,0,0,0,0,0,0,0,17,3,NA,NA,NA,NA,NA,A,78,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Colobus satanas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,10,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Colobus vellerosus,NA,NA,NA,NA,1.41868231852566,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Connochaetes taurinus,72,unguligrade,LSLC,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cricetus auratus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Crocuta crocuta,66,digitigrade,LSLC,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cryptoprocta ferox,70.43010753,digitigrade,LSDC,27.47909,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cuon alpinus,69.61538462,digitigrade,LSLC,17.94872,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyclopes didactylus,87.63,plantigrade,DSDC,64.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Darwinius masillae,NA,NA,NA,NA,NA,0,0.6031443726201819,1.06295783408451,0.863322860120456,NA,1.06333335895175,1.07003786660776,1.04453976039241,1.19375053333945,0.957726976872594,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.747217536139993,0.909556029241175,1.08893304077191,1.12548126570059,1.19479175772192,NA,NA,NA,NA,NA,0.615950051656401,NA,NA,NA,NA,NA,NA,NA,NA,0.974971994298069,1.06660542412653,0.624282095835668,0.495544337546448,NA,NA
Dasypus novemcinctus,54.54,digitigrade,LSDC,36.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
