"Order_VK2014","Species_VK2014","eye_axial_diameter_mm","ad_estimated_from_RMF","visual_acuity_cdeg","va_cone_density_footnote2","body_mass_kg_VK","Body_mass.g","measurement_type","max_running_speed_kph","activity_pattern","diet","va_this_study","src_VA","src_AD_BM","src_D_AP","src_MRS"
"Primates- Haplorhines*","Homo sapiens",24,"FALSE",64,"FALSE",60.21,60210,"B",,"","","FALSE","[32]","[38,81]","",""
"Primates- Haplorhines*","Macaca fascicularis",18.4,"FALSE",46,"FALSE",4.3,4300,"B",,"","","FALSE","[82]","[6,9]","",""
"Primates- Haplorhines*","Macaca mulatta",20,"FALSE",53.6,"FALSE",5.3,5300,"B",,"","","FALSE","[83,84]","[6,9]","",""
"Primates- Haplorhines*","Macaca nemestrina",19.9,"FALSE",46,"FALSE",7.47,7470,"B",,"","","FALSE","[82]","[6,9]","",""
"Primates- Haplorhines*","Pan troglodytes",20.9,"FALSE",64.28,"FALSE",49.21,49210,"B",,"","","FALSE","[85]","[6,9]","",""
"Primates- Haplorhines*","Saguinus midas",12.2,"FALSE",24.87,"TRUE",0.43,430,"A",,"","","TRUE","this study: [6,74]","[6,9]","",""
"Primates- Haplorhines*","Saimiri sciureus",15,"FALSE",40.5,"FALSE",0.79,790,"B",,"","","FALSE","[83]","[6,9]","",""
"Primates- Haplorhines*","Tarsius syrichta",17,"FALSE",8.89,"FALSE",0.1,100,"A",,"","","FALSE","[86]","[6,9]","",""
"Primates- Strepsirrhines","Cheirogaleus medius",10.3,"FALSE",2.84,"FALSE",0.18,180,"A",,"","","FALSE","[86]","[6,9]","",""
"Primates- Strepsirrhines","Eulemur macaco",15.3,"FALSE",5.14,"FALSE",2.4,2400,"B",,"C","H","FALSE","[86]","[6,87]","[87]",""
"Primates- Strepsirrhines","Galago senegalensis",12.9,"FALSE",6.7,"FALSE",0.18,180,"B",,"N","P","FALSE","[88]","[6,9]","[89]",""
"Primates- Strepsirrhines","Lemur catta",15.6,"FALSE",6.7,"FALSE",1.96,1960,"B",,"D","H","FALSE","[90]","[6,9]","[87]",""
"Primates- Strepsirrhines","Microcebus murinus",9.2,"FALSE",4.2,"FALSE",0.06,60,"A",,"","","FALSE","[91]","[6,9]","",""
"Primates- Strepsirrhines","Otolemur crassicaudatus",16.3,"FALSE",4.8,"FALSE",1.27,1270,"B",,"N","","FALSE","[92]","[6,9]","[93]",""
"Proboscidea","Loxodonta africana",39.6,"FALSE",13.16,"FALSE",2420,2420000,"A",,"","","FALSE","[94]","[6,9]","",""
"Rodentia","Agouti paca",18.46,"FALSE",2.8,"FALSE",8,8000,"A",,"","","FALSE","[95]","[9,96]","",""
"Rodentia","Dasyprocta leoporina",15.68,"FALSE",6.21,"FALSE",2.61,2610,"A",,"","","FALSE","[95]","[9,96]","",""
"Rodentia","Ellobius lutescens",2.2,"FALSE",0.4,"FALSE",0.12,120,"A",,"","","FALSE","[97]","[97,98]","",""
"Rodentia","Ellobius talpinus",2.9,"FALSE",0.9,"FALSE",0.04,40,"A",,"","","FALSE","[97]","[9,97]","",""
"Rodentia","Heterocephalus glaber",1.6,"FALSE",0.44,"FALSE",0.06,60,"A",,"","","FALSE","[99]","[9,100]","",""
"Rodentia","Hydrochoerus hydrochaeris",21.04,"FALSE",5.8,"FALSE",39.13,39130,"A",,"","","FALSE","[95]","[9,95]","",""
"Rodentia","Lemmus lemmus",2.4,"FALSE",0.83,"FALSE",0.05,50,"B",,"C","H","FALSE","[101]","[2,9]","[3]",""
"Rodentia","Meriones unguiculatus",6.11,"FALSE",1.8,"FALSE",0.06,60,"B",14.5,"C","H","FALSE","[102,103]","[9,104]","[3,105]","[106]"
"Rodentia","Mesocricetus auratus",6.32,"FALSE",0.5,"FALSE",0.1,100,"B",,"","","FALSE","[107]","[9,108]","",""
"Rodentia","Mus musculus",5.28,"FALSE",0.5,"FALSE",0.02,20,"B",13.1,"N","","FALSE","[109]","[2,9]","[3]","[110]"
"Rodentia","Peromyscus maniculatus",4.9,"FALSE",0.56,"FALSE",0.03,30,"B",15.9,"N","","FALSE","[111]","[6,13]","[6,112]","[113]"
"Rodentia","Rattus norvegicus",5.58,"FALSE",1.6,"FALSE",0.29,290,"B",9.7,"N","","FALSE","[114]","[2,9]","[3,6]","[69]"
"Rodentia","Sciurus caroliniensis",11.8,"FALSE",3.9,"FALSE",0.49,490,"B",27,"D","","FALSE","[115]","[6,9]","[6,116]","[69]"
"Rodentia","Sciurus niger",12,"FALSE",3.9,"FALSE",0.76,760,"B",24,"D","","FALSE","[115]","[6,9]","[6,117]","[13]"
"Rodentia","Spermophilus beecheyi",9.54,"FALSE",4,"FALSE",0.6,600,"B",,"D","","FALSE","[112]","[9,12]","[3]",""
"Scandentia","Tupaia belangeri",7.6,"FALSE",2.4,"FALSE",0.16,160,"B",,"D","","FALSE","[119]","[6,9]","[120]",""
"Scandentia","Tupaia glis",8.7,"FALSE",4.7,"FALSE",0.13,130,"B",,"D","","FALSE","[121]","[6,9]","[3,120]",""
"Xenarthra","Choloepus didactylus",10.2,"FALSE",1.54,"FALSE",4.66,4660,"A",,"","","TRUE","this study: [6,122]","[6,9]","",""
