"check_value_id","check_species","check_trait","check_value","status","figure_value","figure_id"
"SensoryData_r095_interaural_distance_functional","Mustela putorius","interaural_distance_functional","180","differs_from_digitisation","182.412562406199","49"
"SensoryData_r097_audible_freq_high_60dBSPL","Myotis lucifugus","audible_freq_high_60dBSPL","115","differs_from_digitisation","115.852761847095","Ml"
"SensoryData_r097_interaural_distance_functional","Myotis lucifugus","interaural_distance_functional","41","differs_from_digitisation","41.4823194797482","Ml"
"SensoryData_r100_audible_freq_high_60dBSPL","Neotoma floridana","audible_freq_high_60dBSPL","56","differs_from_digitisation","56.4940472440078","35"
"SensoryData_r100_interaural_distance_functional","Neotoma floridana","interaural_distance_functional","115","differs_from_digitisation","116.971837174154","35"
"SensoryData_r101_audible_freq_high_60dBSPL","Noctilio leporinus","audible_freq_high_60dBSPL","111","differs_from_digitisation","111.362091884371","Nl"
"SensoryData_r101_interaural_distance_functional","Noctilio leporinus","interaural_distance_functional","87","differs_from_digitisation","87.7219138979827","Nl"
"SensoryData_r102_interaural_distance_functional","Nycticebus coucang","interaural_distance_functional","218","differs_from_digitisation","219.587077645362","7"
"SensoryData_r106_audible_freq_high_60dBSPL","Onychomys leucogaster","audible_freq_high_60dBSPL","68","differs_from_digitisation","67.9398745890453","33"
"SensoryData_r106_interaural_distance_functional","Onychomys leucogaster","interaural_distance_functional","61","differs_from_digitisation","61.3846118090306","33"
"SensoryData_r107_interaural_distance_functional","Orcinus orca","interaural_distance_functional","256.980955858131","differs_from_digitisation","266.136167295531","60"
"SensoryData_r109_interaural_distance_functional","Oryctolagus cuniculus","interaural_distance_functional","250","differs_from_digitisation","252.869453971435","22"
"SensoryData_r111_interaural_distance_functional","Ovis aries","interaural_distance_functional","670","differs_from_digitisation","677.802323460426","57"
"SensoryData_r113_interaural_distance_functional","Pan troglodytes","interaural_distance_functional","650","differs_from_digitisation","657.129829432734","20"
"SensoryData_r114_interaural_distance_functional","Papio cynocephalus","interaural_distance_functional","580","differs_from_digitisation","579.990954387166","19"
"SensoryData_r115_interaural_distance_functional","Perodicticus potto","interaural_distance_functional","218","differs_from_digitisation","221.199698685141","8"
"SensoryData_r119_audible_freq_high_60dBSPL","Phoca vitulina","audible_freq_high_60dBSPL","120","differs_from_digitisation","23.2113252768574|64.0281898690842","50|62"
"SensoryData_r119_interaural_distance_functional","Phoca vitulina","interaural_distance_functional","80","differs_from_digitisation","376.8004483717|81.3556390910926","50|62"
"SensoryData_r123_audible_freq_high_60dBSPL","Phyllostomus hastatus","audible_freq_high_60dBSPL","105","species_not_in_figure","",""
"SensoryData_r123_interaural_distance_functional","Phyllostomus hastatus","interaural_distance_functional","108","species_not_in_figure","",""
"SensoryData_r124_audible_freq_high_60dBSPL","Phyllotis darwini","audible_freq_high_60dBSPL","73.5","differs_from_digitisation","74.0157705962958","36"
"SensoryData_r130_audible_freq_high_60dBSPL","Pusa hispida","audible_freq_high_60dBSPL","70","differs_from_digitisation","60.740618412859","64"
"SensoryData_r130_interaural_distance_functional","Pusa hispida","interaural_distance_functional","80","differs_from_digitisation","80.7454513385086","64"
"SensoryData_r133_audible_freq_high_60dBSPL","Rattus norvegicus","audible_freq_high_60dBSPL","72","differs_from_digitisation","72.567098621994|68.8410910216144","39|40"
"SensoryData_r133_interaural_distance_functional","Rattus norvegicus","interaural_distance_functional","151.717401522619","agree_digitised","151.717401522619","39"
"SensoryData_r134_audible_freq_high_60dBSPL","Rattus norvegicus","audible_freq_high_60dBSPL","68","differs_from_digitisation","72.567098621994|68.8410910216144","39|40"
"SensoryData_r134_interaural_distance_functional","Rattus norvegicus","interaural_distance_functional","150","differs_from_digitisation","151.717401522619|151.700290765299","39|40"
"SensoryData_r135_audible_freq_high_60dBSPL","Rhinolophus rouxii","audible_freq_high_60dBSPL","103","species_not_in_figure","",""
"SensoryData_r135_interaural_distance_functional","Rhinolophus rouxii","interaural_distance_functional","55","species_not_in_figure","",""
"SensoryData_r136_audible_freq_high_60dBSPL","Rousettus aegyptiacus","audible_freq_high_60dBSPL","64","differs_from_digitisation","64.0281898690842","Ra"
"SensoryData_r140_interaural_distance_functional","Saimiri sciureus","interaural_distance_functional","302","differs_from_digitisation","304.291073225991","11"
