population,specimen_id,sex,structure_var,structure_label,volume_mm3,pct_of_pure_brain,total_brain_weight_g,total_brain_volume_mm3,rest_tissue_mm3,ventricle_mm3,pure_brain_tissue_mm3
wild cavy (Cavia aperea),19256,F,schizocortex_mm3,Schizocortex,134.629,2.83,5.12,4942.085,138.622,53.624,4749.839
wild cavy (Cavia aperea),19256,F,tractus_opticus_mm3,Tractus opticus,23.008,0.48,5.12,4942.085,138.622,53.624,4749.839
wild cavy (Cavia aperea),19256,F,corpus_geniculatum_laterale_mm3,Corpus geniculatum laterale,16.354,0.34,5.12,4942.085,138.622,53.624,4749.839
wild cavy (Cavia aperea),19256,F,nucleus_cochlearis_mm3,Nucleus cochlearis,18.255,0.38,5.12,4942.085,138.622,53.624,4749.839
wild cavy (Cavia aperea),19255,F,medulla_oblongata_mm3,Medulla oblongata,453.304,9.84,4.98,4806.95,172.125,26.9,4607.925
wild cavy (Cavia aperea),19255,F,cerebellum_mm3,Cerebellum,741.572,16.09,4.98,4806.95,172.125,26.9,4607.925
wild cavy (Cavia aperea),19255,F,mesencephalon_mm3,Mesencephalon,406.411,8.82,4.98,4806.95,172.125,26.9,4607.925
wild cavy (Cavia aperea),19255,F,diencephalon_mm3,Diencephalon,411.318,8.93,4.98,4806.95,172.125,26.9,4607.925
wild cavy (Cavia aperea),19255,F,telencephalon_mm3,Telencephalon,2595.32,56.32,4.98,4806.95,172.125,26.9,4607.925
wild cavy (Cavia aperea),19255,F,neocortex_total_mm3,Neocortex (total),1515.679,32.89,4.98,4806.95,172.125,26.9,4607.925
wild cavy (Cavia aperea),19255,F,corpus_striatum_mm3,Corpus striatum,187.757,4.07,4.98,4806.95,172.125,26.9,4607.925
wild cavy (Cavia aperea),19255,F,allocortex_total_mm3,Allocortex (total),891.884,19.36,4.98,4806.95,172.125,26.9,4607.925
wild cavy (Cavia aperea),19255,F,neocortex_grey_mm3,Neocortex (grey matter),1250.131,27.13,4.98,4806.95,172.125,26.9,4607.925
wild cavy (Cavia aperea),19255,F,neocortex_white_mm3,Neocortex (white matter),265.548,5.76,4.98,4806.95,172.125,26.9,4607.925
wild cavy (Cavia aperea),19255,F,olfactory_allocortex_mm3,Olfactory allocortex,364.242,7.91,4.98,4806.95,172.125,26.9,4607.925
wild cavy (Cavia aperea),19255,F,bulbus_olfactorius_mm3,Bulbus olfactorius,101.056,2.19,4.98,4806.95,172.125,26.9,4607.925
wild cavy (Cavia aperea),19255,F,regio_retrobulbaris_mm3,Regio retrobulbaris,8.725,0.19,4.98,4806.95,172.125,26.9,4607.925
wild cavy (Cavia aperea),19255,F,tuberculum_olfactorium_mm3,Tuberculum olfactorium,32.716,0.71,4.98,4806.95,172.125,26.9,4607.925
wild cavy (Cavia aperea),19255,F,regio_praepiriformis_mm3,Regio praepiriformis,107.237,2.33,4.98,4806.95,172.125,26.9,4607.925
wild cavy (Cavia aperea),19255,F,nucleus_amygaloideus_mm3,Nucleus amygaloideus,87.062,1.89,4.98,4806.95,172.125,26.9,4607.925
wild cavy (Cavia aperea),19255,F,basal_nuclei_mm3,Basal nuclei,27.446,0.6,4.98,4806.95,172.125,26.9,4607.925
wild cavy (Cavia aperea),19255,F,non_olfactory_allocortex_mm3,Non-olfactory allocortex,527.642,11.45,4.98,4806.95,172.125,26.9,4607.925
wild cavy (Cavia aperea),19255,F,septum_telencephali_mm3,Septum telencephali,57.98,1.26,4.98,4806.95,172.125,26.9,4607.925
wild cavy (Cavia aperea),19255,F,hippocampus_mm3,Hippocampus,346.976,7.53,4.98,4806.95,172.125,26.9,4607.925
wild cavy (Cavia aperea),19255,F,schizocortex_mm3,Schizocortex,122.686,2.66,4.98,4806.95,172.125,26.9,4607.925
wild cavy (Cavia aperea),19255,F,tractus_opticus_mm3,Tractus opticus,23.992,0.52,4.98,4806.95,172.125,26.9,4607.925
wild cavy (Cavia aperea),19255,F,corpus_geniculatum_laterale_mm3,Corpus geniculatum laterale,11.087,0.24,4.98,4806.95,172.125,26.9,4607.925
wild cavy (Cavia aperea),19255,F,nucleus_cochlearis_mm3,Nucleus cochlearis,21.266,0.46,4.98,4806.95,172.125,26.9,4607.925
wild cavy (Cavia aperea),19257,F,medulla_oblongata_mm3,Medulla oblongata,418.884,9.67,4.66,4498.069,128.561,38.823,4330.685
wild cavy (Cavia aperea),19257,F,cerebellum_mm3,Cerebellum,562.94,13,4.66,4498.069,128.561,38.823,4330.685
wild cavy (Cavia aperea),19257,F,mesencephalon_mm3,Mesencephalon,360.479,8.32,4.66,4498.069,128.561,38.823,4330.685
wild cavy (Cavia aperea),19257,F,diencephalon_mm3,Diencephalon,399.643,9.23,4.66,4498.069,128.561,38.823,4330.685
wild cavy (Cavia aperea),19257,F,telencephalon_mm3,Telencephalon,2588.739,59.78,4.66,4498.069,128.561,38.823,4330.685
wild cavy (Cavia aperea),19257,F,neocortex_total_mm3,Neocortex (total),1538.464,35.52,4.66,4498.069,128.561,38.823,4330.685
wild cavy (Cavia aperea),19257,F,corpus_striatum_mm3,Corpus striatum,184.923,4.27,4.66,4498.069,128.561,38.823,4330.685
wild cavy (Cavia aperea),19257,F,allocortex_total_mm3,Allocortex (total),865.352,19.99,4.66,4498.069,128.561,38.823,4330.685
wild cavy (Cavia aperea),19257,F,neocortex_grey_mm3,Neocortex (grey matter),1271.467,29.36,4.66,4498.069,128.561,38.823,4330.685
wild cavy (Cavia aperea),19257,F,neocortex_white_mm3,Neocortex (white matter),266.997,6.16,4.66,4498.069,128.561,38.823,4330.685
wild cavy (Cavia aperea),19257,F,olfactory_allocortex_mm3,Olfactory allocortex,347.706,8.03,4.66,4498.069,128.561,38.823,4330.685
wild cavy (Cavia aperea),19257,F,bulbus_olfactorius_mm3,Bulbus olfactorius,92.29,2.13,4.66,4498.069,128.561,38.823,4330.685
wild cavy (Cavia aperea),19257,F,regio_retrobulbaris_mm3,Regio retrobulbaris,11.578,0.27,4.66,4498.069,128.561,38.823,4330.685
wild cavy (Cavia aperea),19257,F,tuberculum_olfactorium_mm3,Tuberculum olfactorium,34.907,0.81,4.66,4498.069,128.561,38.823,4330.685
wild cavy (Cavia aperea),19257,F,regio_praepiriformis_mm3,Regio praepiriformis,95.696,2.21,4.66,4498.069,128.561,38.823,4330.685
wild cavy (Cavia aperea),19257,F,nucleus_amygaloideus_mm3,Nucleus amygaloideus,87.693,2.02,4.66,4498.069,128.561,38.823,4330.685
wild cavy (Cavia aperea),19257,F,basal_nuclei_mm3,Basal nuclei,25.542,0.59,4.66,4498.069,128.561,38.823,4330.685
wild cavy (Cavia aperea),19257,F,non_olfactory_allocortex_mm3,Non-olfactory allocortex,517.646,11.96,4.66,4498.069,128.561,38.823,4330.685
wild cavy (Cavia aperea),19257,F,septum_telencephali_mm3,Septum telencephali,49.722,1.15,4.66,4498.069,128.561,38.823,4330.685
wild cavy (Cavia aperea),19257,F,hippocampus_mm3,Hippocampus,351.965,8.13,4.66,4498.069,128.561,38.823,4330.685
wild cavy (Cavia aperea),19257,F,schizocortex_mm3,Schizocortex,115.959,2.68,4.66,4498.069,128.561,38.823,4330.685
wild cavy (Cavia aperea),19257,F,tractus_opticus_mm3,Tractus opticus,20.093,0.46,4.66,4498.069,128.561,38.823,4330.685
wild cavy (Cavia aperea),19257,F,corpus_geniculatum_laterale_mm3,Corpus geniculatum laterale,14.985,0.35,4.66,4498.069,128.561,38.823,4330.685
wild cavy (Cavia aperea),19257,F,nucleus_cochlearis_mm3,Nucleus cochlearis,17.369,0.4,4.66,4498.069,128.561,38.823,4330.685
guinea pig (Cavia aperea f. porcellus),18477,M,medulla_oblongata_mm3,Medulla oblongata,436.318,9.79,4.84,4671.815,165.471,50.773,4455.571
guinea pig (Cavia aperea f. porcellus),18477,M,cerebellum_mm3,Cerebellum,649.233,14.57,4.84,4671.815,165.471,50.773,4455.571
guinea pig (Cavia aperea f. porcellus),18477,M,mesencephalon_mm3,Mesencephalon,337.434,7.57,4.84,4671.815,165.471,50.773,4455.571
guinea pig (Cavia aperea f. porcellus),18477,M,diencephalon_mm3,Diencephalon,425.33,9.55,4.84,4671.815,165.471,50.773,4455.571
guinea pig (Cavia aperea f. porcellus),18477,M,telencephalon_mm3,Telencephalon,2607.256,58.52,4.84,4671.815,165.471,50.773,4455.571
guinea pig (Cavia aperea f. porcellus),18477,M,neocortex_total_mm3,Neocortex (total),1579.8,35.46,4.84,4671.815,165.471,50.773,4455.571
guinea pig (Cavia aperea f. porcellus),18477,M,corpus_striatum_mm3,Corpus striatum,178.622,4.01,4.84,4671.815,165.471,50.773,4455.571
guinea pig (Cavia aperea f. porcellus),18477,M,allocortex_total_mm3,Allocortex (total),848.834,19.05,4.84,4671.815,165.471,50.773,4455.571
guinea pig (Cavia aperea f. porcellus),18477,M,neocortex_grey_mm3,Neocortex (grey matter),1314.779,29.51,4.84,4671.815,165.471,50.773,4455.571
guinea pig (Cavia aperea f. porcellus),18477,M,neocortex_white_mm3,Neocortex (white matter),265.021,5.95,4.84,4671.815,165.471,50.773,4455.571
guinea pig (Cavia aperea f. porcellus),18477,M,olfactory_allocortex_mm3,Olfactory allocortex,388.877,8.73,4.84,4671.815,165.471,50.773,4455.571
guinea pig (Cavia aperea f. porcellus),18477,M,bulbus_olfactorius_mm3,Bulbus olfactorius,77.576,1.74,4.84,4671.815,165.471,50.773,4455.571
guinea pig (Cavia aperea f. porcellus),18477,M,regio_retrobulbaris_mm3,Regio retrobulbaris,9.656,0.22,4.84,4671.815,165.471,50.773,4455.571
guinea pig (Cavia aperea f. porcellus),18477,M,tuberculum_olfactorium_mm3,Tuberculum olfactorium,38.954,0.87,4.84,4671.815,165.471,50.773,4455.571
guinea pig (Cavia aperea f. porcellus),18477,M,regio_praepiriformis_mm3,Regio praepiriformis,127.85,2.87,4.84,4671.815,165.471,50.773,4455.571
guinea pig (Cavia aperea f. porcellus),18477,M,nucleus_amygaloideus_mm3,Nucleus amygaloideus,99.882,2.24,4.84,4671.815,165.471,50.773,4455.571
guinea pig (Cavia aperea f. porcellus),18477,M,basal_nuclei_mm3,Basal nuclei,34.959,0.79,4.84,4671.815,165.471,50.773,4455.571
guinea pig (Cavia aperea f. porcellus),18477,M,non_olfactory_allocortex_mm3,Non-olfactory allocortex,459.957,10.32,4.84,4671.815,165.471,50.773,4455.571
guinea pig (Cavia aperea f. porcellus),18477,M,septum_telencephali_mm3,Septum telencephali,53.437,1.2,4.84,4671.815,165.471,50.773,4455.571
guinea pig (Cavia aperea f. porcellus),18477,M,hippocampus_mm3,Hippocampus,283.832,6.37,4.84,4671.815,165.471,50.773,4455.571
guinea pig (Cavia aperea f. porcellus),18477,M,schizocortex_mm3,Schizocortex,122.688,2.75,4.84,4671.815,165.471,50.773,4455.571
guinea pig (Cavia aperea f. porcellus),18477,M,tractus_opticus_mm3,Tractus opticus,17.479,0.39,4.84,4671.815,165.471,50.773,4455.571
guinea pig (Cavia aperea f. porcellus),18477,M,corpus_geniculatum_laterale_mm3,Corpus geniculatum laterale,13.317,0.3,4.84,4671.815,165.471,50.773,4455.571
guinea pig (Cavia aperea f. porcellus),18477,M,nucleus_cochlearis_mm3,Nucleus cochlearis,19.644,0.44,4.84,4671.815,165.471,50.773,4455.571
guinea pig (Cavia aperea f. porcellus),18206,M,medulla_oblongata_mm3,Medulla oblongata,426.523,9.57,4.82,4652.251,143.203,53.085,4455.963
guinea pig (Cavia aperea f. porcellus),18206,M,cerebellum_mm3,Cerebellum,663.754,14.9,4.82,4652.251,143.203,53.085,4455.963
guinea pig (Cavia aperea f. porcellus),18206,M,mesencephalon_mm3,Mesencephalon,370.353,8.31,4.82,4652.251,143.203,53.085,4455.963
guinea pig (Cavia aperea f. porcellus),18206,M,diencephalon_mm3,Diencephalon,407.183,9.14,4.82,4652.251,143.203,53.085,4455.963
guinea pig (Cavia aperea f. porcellus),18206,M,telencephalon_mm3,Telencephalon,2588.15,58.08,4.82,4652.251,143.203,53.085,4455.963
guinea pig (Cavia aperea f. porcellus),18206,M,neocortex_total_mm3,Neocortex (total),1560.214,35.01,4.82,4652.251,143.203,53.085,4455.963
guinea pig (Cavia aperea f. porcellus),18206,M,corpus_striatum_mm3,Corpus striatum,207.399,4.65,4.82,4652.251,143.203,53.085,4455.963
guinea pig (Cavia aperea f. porcellus),18206,M,allocortex_total_mm3,Allocortex (total),820.537,18.42,4.82,4652.251,143.203,53.085,4455.963
guinea pig (Cavia aperea f. porcellus),18206,M,neocortex_grey_mm3,Neocortex (grey matter),1302.201,29.22,4.82,4652.251,143.203,53.085,4455.963
guinea pig (Cavia aperea f. porcellus),18206,M,neocortex_white_mm3,Neocortex (white matter),258.013,5.79,4.82,4652.251,143.203,53.085,4455.963
guinea pig (Cavia aperea f. porcellus),18206,M,olfactory_allocortex_mm3,Olfactory allocortex,362.537,8.14,4.82,4652.251,143.203,53.085,4455.963
guinea pig (Cavia aperea f. porcellus),18206,M,bulbus_olfactorius_mm3,Bulbus olfactorius,64.608,1.45,4.82,4652.251,143.203,53.085,4455.963
guinea pig (Cavia aperea f. porcellus),18206,M,regio_retrobulbaris_mm3,Regio retrobulbaris,16.872,0.38,4.82,4652.251,143.203,53.085,4455.963
guinea pig (Cavia aperea f. porcellus),18206,M,tuberculum_olfactorium_mm3,Tuberculum olfactorium,33.742,0.76,4.82,4652.251,143.203,53.085,4455.963
guinea pig (Cavia aperea f. porcellus),18206,M,regio_praepiriformis_mm3,Regio praepiriformis,121.805,2.73,4.82,4652.251,143.203,53.085,4455.963
guinea pig (Cavia aperea f. porcellus),18206,M,nucleus_amygaloideus_mm3,Nucleus amygaloideus,94.029,2.11,4.82,4652.251,143.203,53.085,4455.963
guinea pig (Cavia aperea f. porcellus),18206,M,basal_nuclei_mm3,Basal nuclei,31.481,0.71,4.82,4652.251,143.203,53.085,4455.963
guinea pig (Cavia aperea f. porcellus),18206,M,non_olfactory_allocortex_mm3,Non-olfactory allocortex,458,10.28,4.82,4652.251,143.203,53.085,4455.963
guinea pig (Cavia aperea f. porcellus),18206,M,septum_telencephali_mm3,Septum telencephali,61.313,1.38,4.82,4652.251,143.203,53.085,4455.963
guinea pig (Cavia aperea f. porcellus),18206,M,hippocampus_mm3,Hippocampus,289.08,6.49,4.82,4652.251,143.203,53.085,4455.963
guinea pig (Cavia aperea f. porcellus),18206,M,schizocortex_mm3,Schizocortex,107.607,2.41,4.82,4652.251,143.203,53.085,4455.963
guinea pig (Cavia aperea f. porcellus),18206,M,tractus_opticus_mm3,Tractus opticus,20.987,0.47,4.82,4652.251,143.203,53.085,4455.963
