"Species","resolution_status","merge_eligible","in_current_volume_merge"
"Hypsugo imbricatus","GBIF_frozen_legacy_map",TRUE,FALSE
"Hypsugo pulveratus","GBIF_frozen_legacy_map",TRUE,FALSE
"Ia io","NCBI_exact",TRUE,FALSE
"Kerivoula papillosa","NCBI_exact",TRUE,FALSE
"Kerivoula pellucida","NCBI_exact",TRUE,FALSE
"Kerivoula phalaena","GBIF_frozen_legacy_map",TRUE,FALSE
"Lasiurus borealis","NCBI_exact",TRUE,FALSE
"Lavia frons","NCBI_exact",TRUE,FALSE
"Leptonycteris curasoae","NCBI_exact",TRUE,FALSE
"Leptonycteris nivalis","NCBI_exact",TRUE,FALSE
"Lionycteris spurrelli","NCBI_exact",TRUE,FALSE
"Lonchophylla mordax","NCBI_exact",TRUE,FALSE
"Lophostoma schulzi","NCBI_exact",TRUE,FALSE
"Lophostoma silvicolum","NCBI_exact",TRUE,FALSE
"Macroderma gigas","NCBI_exact",TRUE,FALSE
"Macroglossus minimus","NCBI_exact",TRUE,FALSE
"Macroglossus sobrinus","NCBI_exact",TRUE,FALSE
"Macronycteris commersoni","NCBI_exact",TRUE,FALSE
"Macrophyllum macrophyllum","NCBI_exact",TRUE,FALSE
"Megaderma lyra","NCBI_exact",TRUE,FALSE
"Megaderma spasma","NCBI_exact",TRUE,FALSE
"Megaerops ecaudatus","NCBI_exact",TRUE,FALSE
"Megaloglossus woermanni","NCBI_exact",TRUE,FALSE
"Melonycteris melanops","NCBI_exact",TRUE,FALSE
"Melonycteris woodfordi","NCBI_exact",TRUE,FALSE
"Mesophylla macconnelli","GBIF_frozen_legacy_map",TRUE,FALSE
"Micronycteris brachyotis","NCBI_exact",TRUE,FALSE
"Micronycteris megalotis","NCBI_exact",TRUE,FALSE
"Micronycteris minuta","NCBI_exact",TRUE,FALSE
"Micronycteris schmidtorum","NCBI_exact",TRUE,FALSE
"Miniopterus australis","NCBI_exact",TRUE,FALSE
"Miniopterus blepotis","GBIF_frozen_legacy_map",TRUE,FALSE
"Miniopterus inflatus","NCBI_exact",TRUE,FALSE
"Miniopterus magnater","NCBI_exact",TRUE,FALSE
"Miniopterus medius","NCBI_exact",TRUE,FALSE
"Miniopterus pusillus","NCBI_exact",TRUE,FALSE
"Miniopterus schreibersii","NCBI_exact",TRUE,FALSE
"Miniopterus tristis","NCBI_exact",TRUE,FALSE
"Molossus ater","NCBI_exact",TRUE,FALSE
"Molossus molossus","NCBI_exact",TRUE,FALSE
"Molossus sinaloae","MANUAL_REVIEW",FALSE,FALSE
"Monophyllus plethodon","NCBI_exact",TRUE,FALSE
"Mops condylurus","NCBI_exact",TRUE,FALSE
"Mops leucostigma","GBIF_frozen_legacy_map",TRUE,FALSE
"Mops mops","GBIF_frozen_legacy_map",TRUE,FALSE
"Mops niveiventer","GBIF_frozen_legacy_map",TRUE,FALSE
"Mops pumilus","MANUAL_REVIEW",FALSE,FALSE
"Mormoops megalophylla","NCBI_exact",TRUE,FALSE
"Murina cyclotis","NCBI_exact",TRUE,FALSE
"Murina huttoni","NCBI_exact",TRUE,FALSE
"Murina tubinaris","NCBI_exact",TRUE,FALSE
"Myonycteris torquata","NCBI_exact",TRUE,FALSE
"Myotis adversus","NCBI_exact",TRUE,FALSE
"Myotis albescens","NCBI_exact",TRUE,FALSE
"Myotis altarium","NCBI_exact",TRUE,FALSE
"Myotis annectans","NCBI_exact",TRUE,FALSE
"Myotis bechsteinii","NCBI_exact",TRUE,FALSE
"Myotis bocagii","NCBI_exact",TRUE,FALSE
"Myotis dasycneme","NCBI_exact",TRUE,FALSE
"Myotis montivagus","NCBI_exact",TRUE,FALSE
"Myotis myotis","NCBI_exact",TRUE,FALSE
"Myotis nattereri","NCBI_exact",TRUE,FALSE
"Myotis nigricans","NCBI_exact",TRUE,FALSE
"Myotis siligorensis","NCBI_exact",TRUE,FALSE
"Natalus tumidirostris","NCBI_exact",TRUE,FALSE
"Noctilio albiventris","NCBI_exact",TRUE,FALSE
"Noctilio leporinus","NCBI_exact",TRUE,FALSE
"Notopteris macdonaldi","NCBI_exact",TRUE,FALSE
"Nyctalus noctula","NCBI_exact",TRUE,FALSE
"Nycteris arge","NCBI_exact",TRUE,FALSE
"Nycteris grandis","NCBI_exact",TRUE,FALSE
"Nycteris hispida","NCBI_exact",TRUE,FALSE
"Nycteris javanica","NCBI_exact",TRUE,FALSE
"Nycteris macrotis","NCBI_exact",TRUE,FALSE
