"species_row","Species_Baron1996","telencephalon_Table10_mm3","component_sum_Table32_mm3","difference_mm3","source_inconsistency_flag"
37,"Nyctimene vizcaccia",591.7,591.8,0.099999999999909,FALSE
38,"Paranyctimene raptor",437.6,437.65,0.0499999999999545,FALSE
39,"Eonycteris spelaea",794.6,794.6,-1.13686837721616e-13,FALSE
40,"Megaloglossus woermanni",398.7,398.8,0.100000000000023,FALSE
41,"Macroglossus minimus",329.9,330.04,0.140000000000043,FALSE
42,"Macroglossus sobrinus",406.2,406.1,-0.0999999999999659,FALSE
43,"Syconycteris a. australis §)",361.6,361.64,0.0399999999999636,FALSE
44,"S. australis papuana §)",394,394.02,0.0199999999999818,FALSE
45,"Melonycteris melanops",825.5,825.5,0,FALSE
46,"Nesonycteris woodfordi",630.9,631,0.100000000000023,FALSE
47,"Notopteris macdonaldi",882.9,882.8,-0.100000000000023,FALSE
48,"Rhinopoma hardwickei",126.8,126.89,0.0900000000000034,FALSE
49,"Rhinopoma microphyllum",180.5,180.43,-0.0699999999999932,FALSE
50,"Emballonura monticola",69.8,69.79,-0.0100000000000051,FALSE
51,"Emballonura raffrayana",74.4,74.42,0.019999999999996,FALSE
52,"Emballonura semicaudata",78,78.06,0.0600000000000023,FALSE
53,"Coleura afra",114.9,114.82,-0.0800000000000125,FALSE
54,"Rhynchonycteris naso",49.3,49.22,-0.0799999999999912,FALSE
55,"Saccopteryx bilineata",104.2,104.08,-0.120000000000005,FALSE
56,"Saccopteryx canescens",55.5,55.52,0.019999999999996,FALSE
57,"Saccopteryx leptura",68.5,68.51,0.0100000000000051,FALSE
58,"Cormura brevirostris",94.7,94.77,0.0700000000000074,FALSE
59,"Peropteryx macrotis",71.1,71.13,0.0300000000000011,FALSE
60,"Peropteryx trinitatis",58.5,58.51,0.0100000000000051,FALSE
61,"Taphozous australis",227.6,227.54,-0.0599999999999739,FALSE
62,"Taphozous hildegardeae",240.2,240.18,-0.0199999999999818,FALSE
63,"Taphozous mauritianus",230.9,230.92,0.0200000000000102,FALSE
64,"Taphozous melanopogon",236.7,236.78,0.0800000000000125,FALSE
65,"Taphozous theobaldi",278.4,278.4,0,FALSE
66,"Taphozous saccolaimus",297.4,297.45,0.0500000000000114,FALSE
67,"Cyttarops alecto",62.5,62.41,-0.0900000000000034,FALSE
68,"Craseonycteris thonglongyai",37.1,37.07,-0.0300000000000082,FALSE
69,"Nycteris arge",165.3,165.34,0.0399999999999636,FALSE
70,"Nycteris grandis",328.8,328.78,-0.0200000000000387,FALSE
71,"Nycteris hispida",133.7,133.83,0.129999999999995,FALSE
72,"Nycteris javanica",211.2,211.18,-0.0199999999999818,FALSE
73,"Nycteris macrotis",180.2,180.26,0.0600000000000023,FALSE
74,"Nycteris nana",107.7,107.74,0.039999999999992,FALSE
75,"Nycteris thebaica",152.6,152.63,0.0300000000000011,FALSE
76,"Nycteris tragata",208.1,208.07,-0.0300000000000011,FALSE
77,"Megaderma lyra",434.9,434.88,-0.0199999999999818,FALSE
78,"Megaderma spasma",313.5,313.53,0.0299999999999727,FALSE
79,"Macroderma gigas",833,833,0,FALSE
80,"Cardioderma cor",326.6,326.74,0.139999999999986,FALSE
81,"Lavia frons",288.6,288.7,0.0999999999999659,FALSE
82,"Rhinolophus cornutus",87,86.94,-0.0600000000000023,FALSE
83,"Rhinolophus eloquens",185.6,185.54,-0.0600000000000023,FALSE
84,"Rhinolophus hipposideros",59.4,59.36,-0.0399999999999991,FALSE
85,"Rhinolophus landeri",121.9,121.94,0.039999999999992,FALSE
86,"Rhinolophus lepidus",84.3,84.31,0.0100000000000051,FALSE
87,"Rhinolophus luctus",271.5,271.43,-0.07000000000005,FALSE
88,"Rhinolophus macrotis",89.9,89.89,-0.0100000000000193,FALSE
89,"Rhinolophus malayanus",88.2,88.21,0.0099999999999909,FALSE
90,"Rhinolophus megaphyllus",120.8,120.79,-0.0100000000000051,FALSE
91,"Rhinolophus megaphyllus ssp.",105.6,105.63,0.0300000000000011,FALSE
92,"Rhinolophus paradoxolophus",119,118.93,-0.0699999999999932,FALSE
93,"Rhinolophus pearsoni",155.6,155.68,0.0800000000000125,FALSE
94,"Rhinolophus pusillus",75.1,75.06,-0.039999999999992,FALSE
95,"Rhinolophus trifoliatus",151.1,151.17,0.0700000000000216,FALSE
96,"Rhinolophus yunanensis",207.3,207.28,-0.0200000000000102,FALSE
97,"Hipposideros armiger",369.2,369.15,-0.0500000000000114,FALSE
98,"Hipposideros ater",93.5,93.5,0,FALSE
99,"Hipposideros ater aruensis",82.4,82.34,-0.0600000000000023,FALSE
100,"Hipposideros ater saevus",80.2,80.15,-0.0499999999999972,FALSE
101,"Hipposideros caffer",135.6,135.66,0.0600000000000023,FALSE
102,"H. calcaratus calcaratus §)",186,186.14,0.139999999999986,FALSE
103,"H. calcaratus cupidus §)",159.6,159.55,-0.049999999999983,FALSE
104,"Hipposideros cervinus",92.6,92.55,-0.049999999999983,FALSE
105,"Hipposideros commersoni",374.8,375,0.199999999999989,FALSE
106,"Hipposideros diadema",335.1,335.23,0.129999999999995,FALSE
107,"Hipposideros fulvus",104,104.08,0.0800000000000125,FALSE
108,"Hipposideros halophyllus",62.2,62.27,0.0699999999999932,FALSE
109,"Hipposideros lankadiva",345.5,345.46,-0.0400000000000205,FALSE
110,"Hipposideros larvatus",198,197.94,-0.0600000000000023,FALSE
111,"Hipposideros lekaguli",257.7,257.7,0,FALSE
112,"H. magg. maggietaylorae §)",316.6,316.63,0.0299999999999727,FALSE
113,"H. maggietaylorae erroris §)",208.4,208.6,0.200000000000017,FALSE
114,"Hipposideros ridleyi",120.3,120.2,-0.100000000000009,FALSE
115,"Hipposideros speoris",126.5,126.36,-0.140000000000015,FALSE
116,"Hipposideros turpis",278.9,278.95,0.0500000000000682,FALSE
117,"Aselliscus stoliczkanus",59.1,59.11,0.00999999999999801,FALSE
118,"Aselliscus tricuspidatus",59.1,59.15,0.0500000000000043,FALSE
119,"Rhinonycteris aurantius",110,109.96,-0.0400000000000063,FALSE
120,"Triaenops persicus",108.7,108.61,-0.0899999999999892,FALSE
121,"Noctilio albiventris",303.9,303.92,0.0199999999999818,FALSE
122,"Noctilio leporinus",608.6,608.6,0,FALSE
123,"Pteronotus gymnonotus",159.6,159.53,-0.0699999999999932,FALSE
124,"Pteronotus personatus",107.5,107.44,-0.0600000000000023,FALSE
125,"Pteronotus parnelli",259.9,259.89,-0.0099999999999909,FALSE
126,"Mormoops megalophylla",158.4,158.31,-0.0900000000000034,FALSE
127,"Micronycteris megalotis",135,135.04,0.0400000000000205,FALSE
128,"Micronycteris minuta",148,147.95,-0.0500000000000114,FALSE
129,"Micronycteris schmidtorum",158.3,158.24,-0.0600000000000023,FALSE
130,"Micronycteris brachyotis",206.7,206.51,-0.189999999999998,FALSE
131,"Macrophyllum macrophyllum",154.6,154.52,-0.0799999999999841,FALSE
132,"Tonatia bidens",415.7,415.55,-0.149999999999977,FALSE
133,"Tonatia schulzi",243.3,243.19,-0.110000000000014,FALSE
134,"Tonatia sylvicola",384,383.63,-0.370000000000005,FALSE
135,"Mimon crenulatum",162.1,161.9,-0.199999999999989,FALSE
136,"Phyllostomus discolor",623.6,623,-0.600000000000023,FALSE
137,"Phyllostomus elongatus",440,439.64,-0.360000000000014,FALSE
138,"Phyllostomus hastatus",810.4,810.1,-0.300000000000068,FALSE
139,"Phylloderma stenops",804,803.7,-0.299999999999955,FALSE
140,"Trachops cirrhosus",521.4,521.18,-0.220000000000027,FALSE
141,"Vampyrum spectrum",1331.6,1331.5,-0.099999999999909,FALSE
142,"Glossophaga longirostris",220.3,219.89,-0.409999999999997,FALSE
143,"Glossophaga soricina",201.1,200.8,-0.299999999999983,FALSE
144,"Monophyllus plethodon",222.9,222.79,-0.110000000000014,FALSE
145,"Leptonycteris curasoae",315,314.78,-0.220000000000027,FALSE
146,"Leptonycteris nivalis",310.5,310.22,-0.279999999999973,FALSE
147,"Lonchophylla mordax",221.4,221.43,0.0300000000000011,FALSE
148,"Lonchophylla thomasi",178.4,178.37,-0.0300000000000011,FALSE
149,"Lionycteris spurrelli",180.8,180.68,-0.120000000000005,FALSE
150,"Anoura caudifer",214.7,212.84,-1.86000000000001,TRUE
151,"Anoura geoffroyi",320.8,320.14,-0.660000000000025,FALSE
152,"Choeroniscus minor",200.5,200.51,0.0099999999999909,FALSE
153,"Carollia castanea",247.9,247.7,-0.199999999999989,FALSE
154,"Carollia perspicillata",301.7,301.46,-0.239999999999952,FALSE
155,"Rhinophylla pumilio",204,204.02,0.0199999999999818,FALSE
156,"Sturnira lilium",358.4,358.22,-0.17999999999995,FALSE
157,"Sturnira ludovici",368.6,368.28,-0.32000000000005,FALSE
158,"Sturnira tildae",417,416.87,-0.129999999999995,FALSE
159,"Uroderma bilobatum",341.9,341.67,-0.230000000000018,FALSE
160,"Vampyrops brachycephalus",283.4,307.11,23.71,TRUE
161,"Vampyrops helleri",283.4,283.52,0.120000000000005,FALSE
162,"Vampyrops infuscus",583.1,582.8,-0.300000000000068,FALSE
163,"Vampyrops lineatus",406.2,405.88,-0.319999999999993,FALSE
164,"Vampyrops vittatus",657.8,657.6,-0.200000000000045,FALSE
165,"Vampyrodes caraccioloi",491.1,490.6,-0.5,FALSE
166,"Vampyressa pusilla",207.9,207.62,-0.280000000000001,FALSE
167,"Chiroderma salvini",430.7,430.5,-0.199999999999989,FALSE
168,"Chiroderma trinitatum",290.7,290.56,-0.140000000000043,FALSE
169,"Chiroderma villosum",369.9,369.81,-0.0899999999999181,FALSE
170,"Chiroderma villosum ssp.",421.5,421.32,-0.17999999999995,FALSE
171,"Ectophylla macconnelli",182.1,181.93,-0.169999999999987,FALSE
172,"Artibeus cinereus",258.2,258.12,-0.0799999999999841,FALSE
173,"Artibeus concolor",335.5,335.52,0.0200000000000387,FALSE
174,"Artibeus jamaicensis",573.4,573.2,-0.199999999999932,FALSE
175,"Artibeus lituratus",690.7,690.4,-0.300000000000068,FALSE
176,"Enchisthenes harti",282.5,282.34,-0.159999999999968,FALSE
177,"Ardops nichollsi",317.5,317.39,-0.110000000000014,FALSE
178,"Sphaeronycteris toxophyllum",263.8,263.73,-0.0699999999999932,FALSE
179,"Brachyphylla cavernarum",682.1,682,-0.100000000000023,FALSE
180,"Desmodus rotundus",564.8,564.4,-0.399999999999977,FALSE
181,"Diphylla ecaudata",446.4,446.27,-0.129999999999995,FALSE
182,"Natalus tumidirostris",129.3,129.25,-0.0500000000000114,FALSE
183,"Furipterus horrens",53.8,53.82,0.0200000000000102,FALSE
184,"Myotis adversus",113,113.09,0.0900000000000034,FALSE
185,"Myotis albescens",54.3,54.27,-0.0300000000000011,FALSE
186,"Myotis altarium",106.5,106.48,-0.0200000000000102,FALSE
187,"Myotis annectans",102.1,102.1,0,FALSE
188,"Myotis bechsteini",121.5,121.62,0.11999999999999,FALSE
189,"Myotis bocagei",84.9,84.86,-0.0400000000000063,FALSE
190,"Myotis dasycneme",133,133,0,FALSE
191,"Myotis montivagus",72.1,72.14,0.0400000000000063,FALSE
192,"Myotis myotis",211.8,211.79,-0.0100000000000477,FALSE
193,"Myotis nattereri",101.7,101.71,0.0099999999999909,FALSE
194,"Myotis nigricans",63.2,63.26,0.0599999999999952,FALSE
195,"Myotis nigricans ssp.",70.3,70.31,0.0100000000000051,FALSE
196,"Myotis siligorensis",44.1,44.1,-7.105427357601e-15,FALSE
197,"Pipistrellus babu",39.6,39.58,-0.0200000000000031,FALSE
198,"Pipistrellus ceylonicus",78.6,78.65,0.0500000000000114,FALSE
199,"Pipistrellus circumdatus",102.2,102.12,-0.0799999999999983,FALSE
200,"Pipistrellus crassulus",57.5,57.54,0.039999999999992,FALSE
201,"Pipistrellus imbricatus",57.3,57.31,0.0100000000000051,FALSE
202,"Pipistrellus javanicus",51.2,51.2,-7.105427357601e-15,FALSE
203,"Pipistrellus mimus",39.3,39.32,0.0200000000000031,FALSE
204,"Pipistrellus nanus",42.8,42.86,0.0600000000000023,FALSE
205,"Pipistrellus papuanus §)",45.7,45.68,-0.019999999999996,FALSE
206,"Pipistrellus pulveratus",63.6,63.54,-0.0600000000000023,FALSE
207,"Pipistrellus subflavus",54.2,54.2,-7.105427357601e-15,FALSE
208,"Scotozous dormeri",58.4,58.36,-0.0399999999999991,FALSE
209,"Nyctalus noctula",137.1,137.09,-0.0099999999999909,FALSE
210,"Nyctalus stenopterus",102.6,102.55,-0.0499999999999972,FALSE
211,"Glischropus tylopus",40.7,40.74,0.0399999999999991,FALSE
212,"Eptesicus brasiliensis",89.9,89.95,0.049999999999983,FALSE
213,"Eptesicus br. melanopterus",83.5,83.52,0.0200000000000102,FALSE
214,"Eptesicus flavescens",79.2,79.16,-0.0400000000000063,FALSE
215,"Eptesicus fuscus",113.2,113.22,0.0199999999999818,FALSE
216,"Eptesicus pumilus",52.4,52.32,-0.0800000000000054,FALSE
217,"Eptesicus serotinus andersoni",159.3,159.31,0.0099999999999909,FALSE
218,"Ia io",348.7,348.66,-0.0400000000000205,FALSE
219,"Tylonycteris pachypus",32.6,32.59,-0.00999999999999801,FALSE
220,"Tylonycteris robustula",45.4,45.21,-0.189999999999998,FALSE
221,"Hesperoptenus blanfordi",66.3,66.3,0,FALSE
222,"Glauconycteris humeralis",56.2,56.21,0.00999999999999801,FALSE
223,"Glauconycteris poensis",82.7,82.71,0.0100000000000051,FALSE
224,"Chalinolobus gouldi",100.6,100.61,0.0100000000000051,FALSE
225,"Chalinolobus morio",78.2,78.2,-1.4210854715202e-14,FALSE
226,"Scotorepens sanborni",68,68,0,FALSE
227,"Rhogeessa parvula",48.6,48.53,-0.0700000000000003,FALSE
228,"Scotomanes ornatus",172.3,172.5,0.199999999999989,FALSE
229,"Scotomanes spec?",153.9,153.84,-0.0600000000000023,FALSE
230,"Scotophilus dingani",192.1,192.07,-0.0300000000000011,FALSE
231,"Scotophilus heathi",203.9,203.93,0.0300000000000011,FALSE
232,"Scotophilus kuhli",147.4,147.43,0.0300000000000011,FALSE
233,"Lasiurus borealis",65.8,65.86,0.0600000000000023,FALSE
234,"Miniopterus australis",94.6,94.59,-0.0099999999999909,FALSE
235,"Miniopterus haradei",97.2,97.18,-0.019999999999996,FALSE
236,"Miniopterus inflatus",135.2,135.25,0.0500000000000114,FALSE
237,"Miniopterus magnater",142.1,141.91,-0.189999999999998,FALSE
238,"Miniopterus medius",109.5,109.49,-0.0099999999999909,FALSE
239,"Miniopterus pusillus",95,94.92,-0.0799999999999841,FALSE
240,"M. schreibersi arenarius",110.2,110.17,-0.0300000000000011,FALSE
241,"Miniopterus s. blepotis",129.8,129.61,-0.189999999999998,FALSE
242,"Miniopterus tristis",144.2,144.13,-0.0699999999999932,FALSE
243,"Murina cyclotis cyclotis",127.7,127.14,-0.559999999999988,FALSE
244,"Murina c. peninsularis",146.9,146.77,-0.129999999999995,FALSE
245,"Murina huttoni rubella",136,136.03,0.0299999999999727,FALSE
246,"Murina tubinaris",113.9,113.83,-0.0700000000000074,FALSE
247,"Harpiocephalus harpia",243.9,243.88,-0.0200000000000102,FALSE
248,"Kerivoula papillosa",150.8,150.71,-0.0900000000000318,FALSE
249,"Kerivoula pellucida",97.1,97.17,0.0700000000000074,FALSE
250,"Kerivoula phalaena",47.8,47.77,-0.029999999999994,FALSE
251,"Phoniscus atrox",105.6,105.67,0.0699999999999932,FALSE
252,"Nyctophilus geoffroyi",78.1,78.03,-0.0699999999999932,FALSE
253,"Nyctophilus timoriensis",119.5,119.4,-0.0999999999999943,FALSE
254,"Tadarida aegyptiaca",179.9,179.76,-0.140000000000015,FALSE
255,"Tadarida condylura",218.2,218.11,-0.089999999999975,FALSE
256,"Tadarida mops",225.7,225.76,0.0600000000000023,FALSE
257,"Tadarida niveiventer",188.7,188.71,0.0100000000000193,FALSE
258,"Tadarida beccarii",101.8,101.87,0.0700000000000074,FALSE
259,"Tadarida jobensis",163.3,163.23,-0.0700000000000216,FALSE
260,"Tadarida leucostigma",175.3,175.26,-0.0400000000000205,FALSE
261,"Tadarida plicata plicata",142.8,142.82,0.0199999999999818,FALSE
262,"Tadarida pumila",103.8,103.79,-0.0100000000000051,FALSE
263,"Otomops martiensseni",310.4,310.27,-0.129999999999995,FALSE
264,"Molossops abrasus",184.2,184.32,0.120000000000005,FALSE
265,"Molossops greenhalli",127.8,127.65,-0.149999999999991,FALSE
266,"Molossops planirostris",82.2,82.2,-1.4210854715202e-14,FALSE
267,"Eumops auripendulus",252.1,252.11,0.0100000000000193,FALSE
268,"Eumops glaucinus",276.3,276.11,-0.189999999999998,FALSE
269,"Molossus ater",243.6,243.63,0.0300000000000011,FALSE
270,"Molossus molossus",140.7,140.72,0.0200000000000102,FALSE
271,"Molossus trinitatis",190.8,190.69,-0.110000000000014,FALSE
272,"Cheiromeles torquatus",680.6,680.6,0,FALSE
