Species,area_as_published,stratum,GLI_pct_species_mean,n_specimens_contributing,source
Homo sapiens,area44,granular,15.548499999999999,4,PalomeroGallagher_Zilles_2018_TableS3
Homo sapiens,area44,infragranular,13.658750000000001,4,PalomeroGallagher_Zilles_2018_TableS3
Homo sapiens,area44,supragranular,14.42425,4,PalomeroGallagher_Zilles_2018_TableS3
Homo sapiens,area45,all_layers,14.0829,4,PalomeroGallagher_Zilles_2018_TableS3
Homo sapiens,area45,granular,15.947,4,PalomeroGallagher_Zilles_2018_TableS3
Homo sapiens,area45,infragranular,14.47325,4,PalomeroGallagher_Zilles_2018_TableS3
Homo sapiens,area45,supragranular,14.23775,4,PalomeroGallagher_Zilles_2018_TableS3
Homo sapiens,area4_M1,all_layers,11.65,1,Sherwood_etal_2004_I_Table4
Homo sapiens,area4_M1,infragranular,11.670000000000002,1,Sherwood_etal_2004_I_Table4
Homo sapiens,area4_M1,supragranular,11.059999999999999,1,Sherwood_etal_2004_I_Table4
Hylobates lar,area10,all_layers,19.8,1,Semendeferi_etal_2001_TABLE3
Hylobates lar,area10,granular,21.64,1,Semendeferi_etal_2001_TABLE3
Hylobates lar,area10,infragranular,19.56,1,Semendeferi_etal_2001_TABLE3
Hylobates lar,area10,supragranular,19.43,1,Semendeferi_etal_2001_TABLE3
Hylobates lar,area13,all_layers,13.33,1,Semendeferi_etal_1998_TABLE4
Hylobates lar,area13,granular,15.94,1,Semendeferi_etal_1998_TABLE4
Hylobates lar,area13,infragranular,13.82,1,Semendeferi_etal_1998_TABLE4
Hylobates lar,area13,supragranular,11.61,1,Semendeferi_etal_1998_TABLE4
Hylobates lar,area44,all_layers,9.974,1,PalomeroGallagher_Zilles_2018_TableS3
Hylobates lar,area44,granular,12.461,1,PalomeroGallagher_Zilles_2018_TableS3
Hylobates lar,area44,infragranular,9.801,1,PalomeroGallagher_Zilles_2018_TableS3
Hylobates lar,area44,supragranular,10.798,1,PalomeroGallagher_Zilles_2018_TableS3
Hylobates lar,area45,all_layers,10.7986,1,PalomeroGallagher_Zilles_2018_TableS3
Hylobates lar,area45,granular,13.007,1,PalomeroGallagher_Zilles_2018_TableS3
Hylobates lar,area45,infragranular,8.453,1,PalomeroGallagher_Zilles_2018_TableS3
Hylobates lar,area45,supragranular,12.91,1,PalomeroGallagher_Zilles_2018_TableS3
Macaca fascicularis,area44,all_layers,10.63975,2,PalomeroGallagher_Zilles_2018_TableS3
Macaca fascicularis,area44,granular,12.470500000000001,2,PalomeroGallagher_Zilles_2018_TableS3
Macaca fascicularis,area44,infragranular,10.7925,2,PalomeroGallagher_Zilles_2018_TableS3
Macaca fascicularis,area44,supragranular,12.514,2,PalomeroGallagher_Zilles_2018_TableS3
Macaca fascicularis,area45,all_layers,10.5862,3,PalomeroGallagher_Zilles_2018_TableS3
Macaca fascicularis,area45,granular,11.689,3,PalomeroGallagher_Zilles_2018_TableS3
Macaca fascicularis,area45,infragranular,10.123,3,PalomeroGallagher_Zilles_2018_TableS3
Macaca fascicularis,area45,supragranular,12.050666666666666,3,PalomeroGallagher_Zilles_2018_TableS3
Macaca fascicularis,area4_M1,all_layers,15.58,1,Sherwood_etal_2004_I_Table4
Macaca fascicularis,area4_M1,infragranular,15.195,1,Sherwood_etal_2004_I_Table4
Macaca fascicularis,area4_M1,supragranular,15.07,1,Sherwood_etal_2004_I_Table4
Macaca mulatta,area10,all_layers,20.34,1,Semendeferi_etal_2001_TABLE3
Macaca mulatta,area10,granular,24.03,1,Semendeferi_etal_2001_TABLE3
Macaca mulatta,area10,infragranular,19.91,1,Semendeferi_etal_2001_TABLE3
Macaca mulatta,area10,supragranular,20.16,1,Semendeferi_etal_2001_TABLE3
Macaca mulatta,area13,all_layers,18.36,1,Semendeferi_etal_1998_TABLE4
Macaca mulatta,area13,granular,18.73,1,Semendeferi_etal_1998_TABLE4
Macaca mulatta,area13,infragranular,18.21,1,Semendeferi_etal_1998_TABLE4
Macaca mulatta,area13,supragranular,18.11,1,Semendeferi_etal_1998_TABLE4
Pan paniscus,area10,all_layers,18.17,1,Semendeferi_etal_2001_TABLE3
Pan paniscus,area10,granular,21.6,1,Semendeferi_etal_2001_TABLE3
Pan paniscus,area10,infragranular,16.21,1,Semendeferi_etal_2001_TABLE3
Pan paniscus,area10,supragranular,18.95,1,Semendeferi_etal_2001_TABLE3
Pan paniscus,area13,all_layers,16.98,1,Semendeferi_etal_1998_TABLE4
Pan paniscus,area13,granular,18.05,1,Semendeferi_etal_1998_TABLE4
Pan paniscus,area13,infragranular,16.67,1,Semendeferi_etal_1998_TABLE4
Pan paniscus,area13,supragranular,16.66,1,Semendeferi_etal_1998_TABLE4
Pan paniscus,area44,all_layers,11.6512,1,PalomeroGallagher_Zilles_2018_TableS3
Pan paniscus,area44,granular,13.528,1,PalomeroGallagher_Zilles_2018_TableS3
Pan paniscus,area44,infragranular,12.252,1,PalomeroGallagher_Zilles_2018_TableS3
Pan paniscus,area44,supragranular,11.316,1,PalomeroGallagher_Zilles_2018_TableS3
Pan paniscus,area45,all_layers,11.8088,1,PalomeroGallagher_Zilles_2018_TableS3
Pan paniscus,area45,granular,13.748,1,PalomeroGallagher_Zilles_2018_TableS3
Pan paniscus,area45,infragranular,12.526,1,PalomeroGallagher_Zilles_2018_TableS3
Pan paniscus,area45,supragranular,11.418,1,PalomeroGallagher_Zilles_2018_TableS3
Pan troglodytes,area10,all_layers,17.52,1,Semendeferi_etal_2001_TABLE3
Pan troglodytes,area10,granular,18.45,1,Semendeferi_etal_2001_TABLE3
Pan troglodytes,area10,infragranular,17.95,1,Semendeferi_etal_2001_TABLE3
Pan troglodytes,area10,supragranular,16.69,1,Semendeferi_etal_2001_TABLE3
Pan troglodytes,area13,all_layers,18.63,1,Semendeferi_etal_1998_TABLE4
Pan troglodytes,area13,granular,19.37,1,Semendeferi_etal_1998_TABLE4
Pan troglodytes,area13,infragranular,18.93,1,Semendeferi_etal_1998_TABLE4
Pan troglodytes,area13,supragranular,17.6,1,Semendeferi_etal_1998_TABLE4
Pan troglodytes,area44,all_layers,13.3518,1,PalomeroGallagher_Zilles_2018_TableS3
Pan troglodytes,area44,granular,14.477,1,PalomeroGallagher_Zilles_2018_TableS3
Pan troglodytes,area44,infragranular,13.675,1,PalomeroGallagher_Zilles_2018_TableS3
Pan troglodytes,area44,supragranular,14.379,1,PalomeroGallagher_Zilles_2018_TableS3
Pan troglodytes,area45,all_layers,12.9307,1,PalomeroGallagher_Zilles_2018_TableS3
Pan troglodytes,area45,granular,14.025,1,PalomeroGallagher_Zilles_2018_TableS3
Pan troglodytes,area45,infragranular,13.059,1,PalomeroGallagher_Zilles_2018_TableS3
Pan troglodytes,area45,supragranular,13.355,1,PalomeroGallagher_Zilles_2018_TableS3
Pan troglodytes,area4_M1,all_layers,13.19,1,Sherwood_etal_2004_I_Table4
Pan troglodytes,area4_M1,infragranular,12.75,1,Sherwood_etal_2004_I_Table4
Pan troglodytes,area4_M1,supragranular,13.565,1,Sherwood_etal_2004_I_Table4
Papio anubis,area4_M1,all_layers,14.85,1,Sherwood_etal_2004_I_Table4
Papio anubis,area4_M1,infragranular,15.05,1,Sherwood_etal_2004_I_Table4
Papio anubis,area4_M1,supragranular,14.195,1,Sherwood_etal_2004_I_Table4
Pongo pygmaeus,area10,all_layers,20.1,1,Semendeferi_etal_2001_TABLE3
Pongo pygmaeus,area10,granular,21.49,1,Semendeferi_etal_2001_TABLE3
Pongo pygmaeus,area10,infragranular,19.65,1,Semendeferi_etal_2001_TABLE3
Pongo pygmaeus,area10,supragranular,19.81,1,Semendeferi_etal_2001_TABLE3
Pongo pygmaeus,area13,all_layers,18.55,1,Semendeferi_etal_1998_TABLE4
Pongo pygmaeus,area13,granular,19.68,1,Semendeferi_etal_1998_TABLE4
Pongo pygmaeus,area13,infragranular,18.06,1,Semendeferi_etal_1998_TABLE4
Pongo pygmaeus,area13,supragranular,17.9,1,Semendeferi_etal_1998_TABLE4
Pongo pygmaeus,area44,all_layers,11.7599,1,PalomeroGallagher_Zilles_2018_TableS3
Pongo pygmaeus,area44,granular,12.597,1,PalomeroGallagher_Zilles_2018_TableS3
Pongo pygmaeus,area44,infragranular,12.138,1,PalomeroGallagher_Zilles_2018_TableS3
Pongo pygmaeus,area44,supragranular,13.284,1,PalomeroGallagher_Zilles_2018_TableS3
Pongo pygmaeus,area45,all_layers,10.9554,1,PalomeroGallagher_Zilles_2018_TableS3
Pongo pygmaeus,area45,granular,11.024,1,PalomeroGallagher_Zilles_2018_TableS3
Pongo pygmaeus,area45,infragranular,10.006,1,PalomeroGallagher_Zilles_2018_TableS3
Pongo pygmaeus,area45,supragranular,13.562,1,PalomeroGallagher_Zilles_2018_TableS3
Pongo pygmaeus,area4_M1,all_layers,10.61,1,Sherwood_etal_2004_I_Table4
Pongo pygmaeus,area4_M1,infragranular,10.260000000000002,1,Sherwood_etal_2004_I_Table4
Pongo pygmaeus,area4_M1,supragranular,10.715,1,Sherwood_etal_2004_I_Table4
