Species,CorticalExposedSurface_Area.mm2,CorticalSurface_Area.mm2,CorticalThickness.mm,FoldingIndex_MHH,M1_Surface_Area.mm2,n_cortical_areas,FrontalMotor_Surface_Area.mm2,OtherAssociation_Surface_Area.mm2,Prefrontal_Surface_Area.mm2,V1_Surface_Area.mm2,V2_Surface_Area.mm2
Loxodonta africana,62146,257067,2.633,4.137,NA,NA,NA,NA,NA,NA,NA
Macaca fascicularis,5679,9381,1.410766442809935,1.652,NA,NA,NA,NA,NA,NA,NA
Macaca mulatta,NA,15230,NA,NA,NA,25,1817,9892,1733,1866,NA
Macaca nemestrina,NA,15180,NA,NA,NA,NA,NA,NA,NA,NA,NA
Macaca radiata,4671,9320.5,1.5662125340599455,1.807,NA,NA,NA,NA,NA,NA,NA
Macroderma gigas,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA
Macropus fuliginosus,2814,4150.2,2.186,NA,NA,NA,NA,NA,NA,NA,NA
Macropus parma,1383,1682.5,1.479,NA,NA,NA,NA,NA,NA,NA,NA
Macropus rufogriseus,2060,2627.6,1.633,NA,NA,NA,NA,NA,NA,NA,NA
Mandrillus sphinx,NA,21321,NA,NA,NA,NA,2194,NA,2168,3537,NA
Martes foina,NA,5066,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mungos mungo,1389,1949,1.393,NA,NA,NA,NA,NA,NA,NA,NA
Mus musculus,145,176.4,0.725,1.019,NA,9,NA,NA,NA,NA,NA
Mustela putorius,NA,2454,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mustela putorius furo,597,882,1.122,NA,NA,11,NA,NA,NA,NA,NA
Ornithorhynchus anatinus,NA,753,NA,NA,NA,6,NA,NA,NA,NA,NA
Oryctolagus cuniculus,NA,1627,NA,NA,NA,NA,NA,NA,NA,NA,NA
Otolemur garnettii,1399,1951.6666666666667,1.428,1.247,43.22,NA,NA,NA,NA,NA,NA
Ovis aries,NA,14014,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pan troglodytes,NA,36836,NA,NA,2700,NA,5389,24252,6719,3358,2869
Panthera leo,8701,18334,2.459,NA,NA,NA,NA,NA,NA,NA,NA
Papio cynocephalus,NA,NA,NA,NA,NA,NA,2200,13506,2111,2559,NA
Papio cynocephalus anubis,8697,19555.333333333332,2.032,1.919,645.0999999999999,NA,NA,NA,NA,NA,NA
Papio hamadryas,NA,NA,NA,NA,NA,NA,2898,13599,1967,2130,NA
Phoca sp.,NA,27551,NA,NA,NA,NA,NA,NA,NA,NA,NA
Phocoena phocoena,NA,46994,NA,NA,NA,NA,NA,NA,NA,NA,NA
Procavia capensis,1559,2112.6,1.482,1.355,NA,NA,NA,NA,NA,NA,NA
Procyon lotor,2316,3939,1.628,NA,NA,NA,NA,NA,NA,NA,NA
Pteropus poliocephalus,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA
Rattus norvegicus,341,355.5,1.212,1.043,NA,10,NA,NA,NA,NA,NA
Saimiri sciureus,3335,5250,1.468,1.574,125.1,NA,NA,NA,NA,744,NA
Sarcophilus harrisii,960,1473.35,1.1976836009476177,NA,NA,NA,NA,NA,NA,NA,NA
Sciurus carolinensis,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA
Sorex sp.,NA,76,NA,NA,NA,NA,NA,NA,NA,NA,NA
Soricidae sp.,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA
Sus scrofa,NA,13022,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sus scrofa domesticus,3490,6593.6,1.336,1.889,NA,NA,NA,NA,NA,NA,NA
Tachyglossus aculeatus,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA
Talpa europaea,NA,307,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tenrec ecaudatus,NA,515,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tragelaphus strepsiceros,10957,22203,2.344,2.026,NA,NA,NA,NA,NA,NA,NA
Trichosurus vulpecula,NA,1547,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tupaia belangeri,477,497,1.07,1.041,NA,8,NA,NA,NA,NA,NA
Ursus arctos,10922,22394,2.007,NA,NA,NA,NA,NA,NA,NA,NA
Ursus sp.,NA,29840,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wallabia bicolor,1963,2522,1.672,NA,NA,NA,NA,NA,NA,NA,NA
Zaglossus sp.,NA,6605,NA,NA,NA,NA,NA,NA,NA,NA,NA
