status,join_key,category,species_file,species_v1lgn,n_measure_mismatch,V1_vv_mm3,LGN_vv_mm3,brain_vv_mm3,V1_ref,LGN_ref,brain_ref,V1_match,LGN_match,brain_match
matched_by_species,cheirogaleus major,Prosimians,Cheirogaleus major,Cheirogaleus_major,0,433,21.5,6563.706563706563,433.0,21.5,6563.71,TRUE,TRUE,TRUE
matched_by_species,cheirogaleus medius,Prosimians,Cheirogaleus medius,Cheirogaleus_medius,0,199,10.8,3030.888030888031,199.0,10.8,3030.89,TRUE,TRUE,TRUE
matched_by_species,daubentonia madagascariensis,Prosimians,Daubentonia madagascariensis,Daubentonia_madagascariensis,0,1113,58.5,43581.08108108107,1113.0,58.5,43581.08,TRUE,TRUE,TRUE
matched_by_species,eulemur fulvus,Prosimians,Eulemur fulvus,Eulemur_fulvus,0,1253,51.8,22490.34749034749,1253.0,51.8,22490.35,TRUE,TRUE,TRUE
matched_by_species,galago senegalensis,Prosimians,Galago senegalensis,Galago_senegalensis,0,301,16,4633.204633204633,301.0,16.0,4633.2,TRUE,TRUE,TRUE
matched_by_species,galagoides demidoff,Prosimians,Galagoides demidoff,Galagoides_demidoff,0,214,10.9,3262.5482625482623,214.0,10.9,3262.55,TRUE,TRUE,TRUE
matched_by_species,gorilla gorilla,Simians,Gorilla gorilla,Gorilla_gorilla,0,9129.021317332865,308.52476846310395,398648.6486486486,9129.0,308.5,398648.65,TRUE,TRUE,TRUE
matched_by_species,homo sapiens,Simians,Homo sapiens,Homo_sapiens,0,15247.501158301158,335.02192020267097,1258397.6833976838,15247.5,335.0,1258397.68,TRUE,TRUE,TRUE
matched_by_species,hylobates lar,Simians,Hylobates lar,Hylobates_lar,0,4086.6613080237553,166.23885567803015,102316.60231660232,4086.7,166.2,102316.6,TRUE,TRUE,TRUE
matched_by_species,indri indri,Prosimians,Indri indri,Indri_indri,0,1648,94.5,36969.11196911196,1648.0,94.5,36969.11,TRUE,TRUE,TRUE
matched_by_species,lagothrix lagotricha,Simians,Lagothix lagathricha,Lagothrix_lagotricha,0,4856,164,97490.34749034747,4856.0,164.0,97490.35,TRUE,TRUE,TRUE
matched_by_species,lepilemur ruficaudatus,Prosimians,Lepilemur ruficaudatus,Lepilemur_ruficaudatus,0,326,15.6,7335.907335907334,326.0,15.6,7335.91,TRUE,TRUE,TRUE
matched_by_species,lophocebus albigena,Simians,Lophocebus albigena,Lophocebus_albigena,0,5420,182,100386.10038610038,5420.0,182.0,100386.1,TRUE,TRUE,TRUE
matched_by_species,loris tardigradus,Prosimians,Loris tardigradius,Loris_tardigradus,0,529,24.6,6370.656370656371,529.0,24.6,6370.66,TRUE,TRUE,TRUE
matched_by_species,macaca fascicularis,Simians,Macaca fascicularis,Macaca_fascicularis,0,2713.3462286847084,91.8861076499505,55598.45559845561,2713.3,91.9,55598.46,TRUE,TRUE,TRUE
matched_by_species,macaca mulatta,Simians,Macaca mulatta,Macaca_mulatta,0,5343,158,89768.3397683398,5343.0,158.0,89768.34,TRUE,TRUE,TRUE
matched_by_species,microcebus murinus,Prosimians,Microcebus murinus,Microcebus_murinus,1,139,7.1,1718.146718146718,136.0,7.1,1718.15,FALSE,TRUE,TRUE
matched_by_species,miopithecus talapoin,Simians,Miopithecus talapoin,Miopithecus_talapoin,0,2339,109,38610.03861003861,2339.0,109.0,38610.04,TRUE,TRUE,TRUE
matched_by_species,nycticebus coucang,Prosimians,Nycticebus coucang,Nycticebus_coucang,0,696,35.9,12065.637065637064,696.0,35.9,12065.64,TRUE,TRUE,TRUE
matched_by_species,otolemur crassicaudatus,Prosimians,Otolemur crassicaudatus,Otolemur_crassicaudatus,0,479,23.2,9942.084942084943,479.0,23.2,9942.08,TRUE,TRUE,TRUE
matched_by_species,pan paniscus,Simians,Pan paniscus,Pan_paniscus,0,11606.464341140198,275.14011905837833,338803.08880308876,11606.5,275.1,338803.09,TRUE,TRUE,TRUE
matched_by_species,pan troglodytes,Simians,Pan troglodytes,Pan_troglodytes,0,8268.30320913063,250.73850270002572,319670.7091405366,8268.3,250.7,319670.71,TRUE,TRUE,TRUE
matched_by_species,papio anubis,Simians,Papio anubis,Papio_anubis,0,10001,395,194015.444015444,10001.0,395.0,194015.44,TRUE,TRUE,TRUE
matched_by_species,perodicticus potto,Prosimians,Perodicticus potto,Perodicticus_potto,0,495,24.3,13513.513513513511,495.0,24.3,13513.51,TRUE,TRUE,TRUE
matched_by_species,piliocolobus badius,Simians,Procolobus badius,Piliocolobus_badius,0,3053,128,75289.57528957528,3053.0,128.0,75289.58,TRUE,TRUE,TRUE
matched_by_species,pithecia monachus,Simians,Pithecus monachus,Pithecia_monachus,0,1679,76.3,33783.783783783765,1679.0,76.3,33783.78,TRUE,TRUE,TRUE
matched_by_species,plecturocebus moloch,Simians,Callicebus moloch,Plecturocebus_moloch,0,1201,54.2,18339.768339768343,1201.0,54.2,18339.77,TRUE,TRUE,TRUE
matched_by_species,pongo pygmaeus,Simians,Pongo pygmaeus,Pongo_pygmaeus,0,8233.710685907947,259.1210981128314,371299.8712998713,8233.7,259.1,371299.87,TRUE,TRUE,TRUE
matched_by_species,propithecus verreauxi,Prosimians,Propithecus verreauxi,Propithecus_verreauxi,0,1106,64.5,25772.200772200773,1106.0,64.5,25772.2,TRUE,TRUE,TRUE
matched_by_species,saguinus midas,Simians,Sanguinus midas,Saguinus_midas,0,841,36,9942.084942084943,841.0,36.0,9942.08,TRUE,TRUE,TRUE
matched_by_species,saguinus oedipus,Simians,Sanguinus oedipus,Saguinus_oedipus,0,807,34.2,9652.509652509652,807.0,34.2,9652.51,TRUE,TRUE,TRUE
matched_by_species,saimiri sciureus,Simians,Saimiri sciureus,Saimiri_sciureus,0,1884,62.9,23166.023166023166,1884.0,62.9,23166.02,TRUE,TRUE,TRUE
matched_by_species,symphalangus syndactylus,Simians,Symphalangus syndactylus,Symphalangus_syndactylus,0,5468.918274753934,NA,133880.30888030885,5468.9,NA,133880.31,TRUE,TRUE,TRUE
matched_by_species,tarsius syrichta,Prosimians,Tarsius syrichta,Tarsius_syrichta,0,349,20.8,3474.9034749034754,349.0,20.8,3474.9,TRUE,TRUE,TRUE
matched_by_species,varecia variegata,Prosimians,Varecia variegata,Varecia_variegata,0,1745,68.9,30405.405405405407,1745.0,68.9,30405.41,TRUE,TRUE,TRUE
