row_id,category,species_file,species_s2,species_rows_aligned,n_internal_problem,brain_cm3,brain_mm3,brain_s2,brain_mm3_eq_cm3x1000,brain_sheet1_eq_sheet2,neo_cm3,neo_mm3,neo_s2,neo_mm3_eq_cm3x1000,neo_sheet1_eq_sheet2,V1_cm3,V1_mm3,V1_s2,V1_mm3_eq_cm3x1000,V1_sheet1_eq_sheet2,LGN_cm3,LGN_mm3,LGN_s2,LGN_mm3_eq_cm3x1000,LGN_sheet1_eq_sheet2
45,Scandentia,Tupaia glis,Tupaia glis,TRUE,2,NA,NA,NA,TRUE,TRUE,NA,NA,NA,TRUE,TRUE,0.102,102,169,TRUE,FALSE,12.9,12.9,12.9,FALSE,TRUE
46,Scandentia,Tupaia minor,Tupaia minor,TRUE,2,NA,NA,NA,TRUE,TRUE,NA,NA,NA,TRUE,TRUE,0.125,125,152,TRUE,FALSE,9.88,9.88,9.88,FALSE,TRUE
47,Scandentia,Urogale everetti,Urogale everetti,TRUE,2,NA,NA,NA,TRUE,TRUE,NA,NA,NA,TRUE,TRUE,0.127,127,123,TRUE,FALSE,9.98,9.98,9.98,FALSE,TRUE
48,0577,Tenrec ecaudatus,Tenrec ecaudatus,TRUE,1,NA,NA,NA,TRUE,TRUE,NA,NA,NA,TRUE,TRUE,NA,NA,NA,TRUE,TRUE,1.46,1.46,1.46,FALSE,TRUE
49,0579,Setifer setosus,Setifer setosus,TRUE,1,NA,NA,NA,TRUE,TRUE,NA,NA,NA,TRUE,TRUE,NA,NA,NA,TRUE,TRUE,1.05,1.05,1.05,FALSE,TRUE
50,0581,Hemicentetes semispin.,Hemicentetes semispin.,TRUE,1,NA,NA,NA,TRUE,TRUE,NA,NA,NA,TRUE,TRUE,NA,NA,NA,TRUE,TRUE,0.37,0.37,0.37,FALSE,TRUE
51,0585,Echinops telfairi,Echinops telfairi,TRUE,1,NA,NA,NA,TRUE,TRUE,NA,NA,NA,TRUE,TRUE,NA,NA,NA,TRUE,TRUE,0.37,0.37,0.37,FALSE,TRUE
52,0689,Erinaceus algirus,Erinaceus algirus,TRUE,1,NA,NA,NA,TRUE,TRUE,NA,NA,NA,TRUE,TRUE,NA,NA,NA,TRUE,TRUE,5.02,5.02,5.02,FALSE,TRUE
53,0695,Erinaceus europaeus,Erinaceus europaeus,TRUE,1,NA,NA,NA,TRUE,TRUE,NA,NA,NA,TRUE,TRUE,NA,NA,NA,TRUE,TRUE,3.9,3.9,3.9,FALSE,TRUE
54,0701,Hemiechinus auritus,Hemiechinus auritus,TRUE,0,NA,NA,NA,TRUE,TRUE,NA,NA,NA,TRUE,TRUE,NA,NA,NA,TRUE,TRUE,NA,NA,NA,TRUE,TRUE
55,0715,Sorex araneus,Sorex araneus,TRUE,1,NA,NA,NA,TRUE,TRUE,NA,NA,NA,TRUE,TRUE,NA,NA,NA,TRUE,TRUE,0.07,0.07,0.07,FALSE,TRUE
56,0769,Sorex minutus,Sorex minutus,TRUE,1,NA,NA,NA,TRUE,TRUE,NA,NA,NA,TRUE,TRUE,NA,NA,NA,TRUE,TRUE,0.06,0.06,0.06,FALSE,TRUE
57,0839,Neomys fodiens,Neomys fodiens,TRUE,0,NA,NA,NA,TRUE,TRUE,NA,NA,NA,TRUE,TRUE,NA,NA,NA,TRUE,TRUE,NA,NA,NA,TRUE,TRUE
58,0943,Crocidura flavescens,Crocidura flavescens,TRUE,1,NA,NA,NA,TRUE,TRUE,NA,NA,NA,TRUE,TRUE,NA,NA,NA,TRUE,TRUE,0.28,0.28,0.28,FALSE,TRUE
59,0952,Crocidura giffardi,Crocidura giffardi,TRUE,0,NA,NA,NA,TRUE,TRUE,NA,NA,NA,TRUE,TRUE,NA,NA,NA,TRUE,TRUE,NA,NA,NA,TRUE,TRUE
60,1071,Crocidura russula,Crocidura russula,TRUE,1,NA,NA,NA,TRUE,TRUE,NA,NA,NA,TRUE,TRUE,NA,NA,NA,TRUE,TRUE,0.08,0.08,0.08,FALSE,TRUE
61,1085,Crocidura suaveolens,Crocidura suaveolens,TRUE,0,NA,NA,NA,TRUE,TRUE,NA,NA,NA,TRUE,TRUE,NA,NA,NA,TRUE,TRUE,NA,NA,NA,TRUE,TRUE
62,1137,Suncus murinus,Suncus murinus,TRUE,1,NA,NA,NA,TRUE,TRUE,NA,NA,NA,TRUE,TRUE,NA,NA,NA,TRUE,TRUE,0.18,0.18,0.18,FALSE,TRUE
63,1205,Desmana moschata,Desmana moschata,TRUE,0,NA,NA,NA,TRUE,TRUE,NA,NA,NA,TRUE,TRUE,NA,NA,NA,TRUE,TRUE,NA,NA,NA,TRUE,TRUE
64,1207,Galemys pyrenaicus,Galemys pyrenaicus,TRUE,0,NA,NA,NA,TRUE,TRUE,NA,NA,NA,TRUE,TRUE,NA,NA,NA,TRUE,TRUE,NA,NA,NA,TRUE,TRUE
65,1215,Talpa europaea,Talpa europaea,TRUE,0,NA,NA,NA,TRUE,TRUE,NA,NA,NA,TRUE,TRUE,NA,NA,NA,TRUE,TRUE,NA,NA,NA,TRUE,TRUE
