Genus;Species;Location;Subject;Sex;Age;#insertions;Notes on insertions;#bouts;HI;AbsHI;z-score;Category;References;General notes;Clade
Ateles;fusciceps;Wuppertal;Joanna;f ;adult;48;NA;21;-0.958;0.96;-6.639528096;left;this study;;Platyrrhini
Ateles;fusciceps;Wuppertal;Paul;m ;juvenile;37;NA;20;-1;1;-6.08276253;left;this study;;Platyrrhini
Ateles;fusciceps;Wuppertal;Anton;m ;adult;69;NA;15;-1;1;-8.306623863;left;this study;;Platyrrhini
Ateles;fusciceps;Wuppertal;Jonas;m ;adult;32;NA;13;0.938;0.94;5.303300859;right;this study;;Platyrrhini
Ateles;fusciceps;Munich;Tarantula;f;adult;44;NA;20;0.682;0.68;4.522670169;right;this study;;Platyrrhini
Ateles;fusciceps;Munich;Silka;f;adult;33;NA;17;0.879;0.88;5.048252023;right;this study;;Platyrrhini
Ateles;fusciceps;Munich;Husky;m;adult;38;NA;18;0.789;0.79;4.866642634;right;this study;;Platyrrhini
Ateles;fusciceps;Munich;Quitte;f;juvenile;30;NA;11;0.533;0.53;2.921186973;right;this study;;Platyrrhini
Ateles;fusciceps;Mulhouse;M04004;f;adult;36;NA;10;-1;1;-6;left;this study;;Platyrrhini
Ateles;fusciceps;Mulhouse;Circe;f;adult;49;NA;20;0.143;0.14;1;ambipreferent;this study;;Platyrrhini
Ateles;fusciceps;Berlin (Zoo);Adina;f;adult;61;NA;47;-0.967;0.97;-7.554175916;left;this study;;Platyrrhini
Ateles;geoffroyi;Universidad Veracruzana;Frida;f;adult;100;NA;NA;1;1;9.9;right;Motes Rodrigo et al. 2018;"Data refer to ""big tube task""";Platyrrhini
Ateles;geoffroyi;Universidad Veracruzana;Karen;f;adult;100;NA;NA;-0.84;0.84;-8.5;left;Motes Rodrigo et al. 2018;"Data refer to ""big tube task""";Platyrrhini
Ateles;geoffroyi;Universidad Veracruzana;Kelly;f;adult;100;NA;NA;0.88;0.88;8.7;right;Motes Rodrigo et al. 2018;"Data refer to ""big tube task""";Platyrrhini
Ateles;geoffroyi;Universidad Veracruzana;Mari;f;adult;100;NA;NA;0.42;0.42;4.1;right;Motes Rodrigo et al. 2018;"Data refer to ""big tube task""";Platyrrhini
Ateles;geoffroyi;Universidad Veracruzana;Paulina;f;adult;100;NA;NA;-1;1;-10.1;left;Motes Rodrigo et al. 2018;"Data refer to ""big tube task""";Platyrrhini
Ateles;geoffroyi;Universidad Veracruzana;Chavela;f;adult;100;NA;NA;-0.88;0.88;-8.9;left;Motes Rodrigo et al. 2018;"Data refer to ""big tube task""";Platyrrhini
Ateles;geoffroyi;Universidad Veracruzana;Margarita;f;adult;100;NA;NA;1;1;9.9;right;Motes Rodrigo et al. 2018;"Data refer to ""big tube task""";Platyrrhini
