Species,measure_class,Measure,Units,Value,n_sources,n_teams,n_teams_primary,primary_used,Teams,roles,sex_scope,value_min,value_max
Cercopithecus petaurista,endocranial_volume,Endocranial_volume_female,mL,52.748,1,1,0,False,Powell,secondary,female,52.748,52.748
Cercopithecus pogonias,endocranial_volume,Endocranial_volume,mL,59.56,1,1,1,True,Isler,primary,unknown,59.56,59.56
Cercopithecus pogonias,endocranial_volume,Endocranial_volume_female,mL,57.594,1,1,0,False,Powell,secondary,female,57.594,57.594
Cercopithecus pogonias wolfi,endocranial_volume,Endocranial_volume_female,mL,53.5,1,1,0,False,Powell,secondary,female,53.5,53.5
Cercopithecus preussi,endocranial_volume,Endocranial_volume_female,mL,62.8,1,1,0,False,Powell,secondary,female,62.8,62.8
Cercopithecus wolfi,endocranial_volume,Endocranial_volume,mL,61.45,1,1,1,True,Isler,primary,unknown,61.45,61.45
Cheirogaleus adipicaudatus,endocranial_volume,Endocranial_volume,mL,3.04,1,1,1,True,Isler,primary,unknown,3.04,3.04
Cheirogaleus major,endocranial_volume,Endocranial_volume,mL,5.81,2,2,1,True,Isler; Powell,primary; secondary,both; unknown,5.645,5.81
Cheirogaleus medius,endocranial_volume,Endocranial_volume,mL,2.6,2,2,1,True,Isler; Powell,primary; secondary,both; unknown,2.544,2.6
Cheirogaleus sibreei,endocranial_volume,Endocranial_volume,mL,4.4,1,1,1,True,Isler,primary,unknown,4.4,4.4
Chiropotes albinasus,endocranial_volume,Endocranial_volume,mL,57.64,1,1,0,False,Powell,secondary,both,57.64,57.64
Chiropotes chiropotes,endocranial_volume,Endocranial_volume,mL,57.04,2,2,1,True,Isler; Powell,primary; secondary,both; unknown,54.868,57.04
Chiropotes israelita,endocranial_volume,Endocranial_volume,mL,55.13,1,1,1,True,Isler,primary,unknown,55.13,55.13
Chiropotes satanas,endocranial_volume,Endocranial_volume,mL,48.33,2,2,1,True,Isler; Powell,primary; secondary,both; unknown,48.33,49.407
Chlorocebus aethiops,endocranial_volume,Endocranial_volume,mL,65.0,2,2,1,True,Isler; Seymour,primary; secondary,unknown,65.0,67.0
Chlorocebus aethiops,endocranial_volume,Endocranial_volume_female,mL,58.247,1,1,0,False,Powell,secondary,female,58.247,58.247
Chlorocebus pygerythrus,endocranial_volume,Endocranial_volume,mL,61.642,5,1,1,True,Isler,primary,unknown,55.4,64.64
Chlorocebus pygerythrus,endocranial_volume,Endocranial_volume_female,mL,59.92,1,1,0,False,Powell,secondary,female,59.92,59.92
Chlorocebus sabaeus,endocranial_volume,Endocranial_volume,mL,64.91,1,1,1,True,Isler,primary,unknown,64.91,64.91
Colobus angolensis,endocranial_volume,Endocranial_volume,mL,77.7,1,1,1,True,Isler,primary,unknown,77.7,77.7
Colobus guereza,endocranial_volume,Endocranial_volume,mL,75.98,4,1,1,True,Isler,primary,unknown,72.14,82.95
Colobus guereza,endocranial_volume,Endocranial_volume_female,mL,72.0,1,1,0,False,Powell,secondary,female,72.0,72.0
Colobus polykomos,endocranial_volume,Endocranial_volume,mL,73.83,1,1,1,True,Isler,primary,unknown,73.83,73.83
Colobus polykomos,endocranial_volume,Endocranial_volume_female,mL,70.975,1,1,0,False,Powell,secondary,female,70.975,70.975
Colobus satanas,endocranial_volume,Endocranial_volume,mL,74.9,2,2,1,True,Isler; Seymour,primary; secondary,unknown,74.9,79.0
Colobus vellerosus,endocranial_volume,Endocranial_volume,mL,73.07,1,1,1,True,Isler,primary,unknown,73.07,73.07
Colobus vellerosus,endocranial_volume,Endocranial_volume_female,mL,70.605,1,1,0,False,Powell,secondary,female,70.605,70.605
Daubentonia madagascariensis,endocranial_volume,Endocranial_volume,mL,44.85,1,1,1,True,Isler,primary,unknown,44.85,44.85
Dendrolagus dorianus,endocranial_volume,Endocranial_volume,mL,38.0,1,1,0,False,Seymour,secondary,unknown,38.0,38.0
