Species,Measure,n_teams,per_team,pooled,ratio_max_over_min,flag
Propithecus diadema,Endocranial_volume,3,Isler=39.8 | Powell=36.86 | Seymour=41.0,39.8,1.112,
Eulemur rubriventer,Endocranial_volume,2,Isler=26.23 | Powell=23.91,26.23,1.097,
Semnopithecus entellus,Endocranial_volume,2,Isler=110.93 | Seymour=101.6,110.93,1.092,
Lepilemur ruficaudatus,Endocranial_volume,2,Isler=8.25 | Powell=7.57,8.25,1.089,
Presbytis melalophos,Endocranial_volume,2,Isler=64.86 | Seymour=70.5,64.857,1.087,
Mandrillus leucophaeus,Endocranial_volume,2,Isler=148.0 | Seymour=160.0,148.0,1.081,
Propithecus deckenii,Endocranial_volume,2,Isler=30.15 | Powell=28.01,30.15,1.076,
Eulemur albifrons,Endocranial_volume,2,Isler=21.45 | Powell=23.02,21.45,1.073,
Papio hamadryas,Endocranial_volume,2,Isler=146.17 | Seymour=156.5,146.17,1.071,
Leontopithecus rosalia,Endocranial_volume,3,Isler=12.83 | Powell=12.6 | Seymour=12.0,12.83,1.069,
Eulemur mongoz,Endocranial_volume,3,Isler=20.17 | Powell=18.89 | Seymour=20.0,20.17,1.068,
Saguinus mystax,Endocranial_volume,2,Isler=11.09 | Powell=10.42,11.09,1.065,
Gorilla gorilla,Endocranial_volume,2,Isler=490.41 | Seymour=461.0,490.41,1.064,
Tarsius tarsier,Endocranial_volume,2,Isler=3.06 | Powell=3.25,3.06,1.064,
Microcebus rufus,Endocranial_volume,2,Isler=1.72 | Powell=1.63,1.72,1.058,
Trachypithecus vetulus,Endocranial_volume,2,Isler=61.29 | Seymour=58.0,61.29,1.057,
Macaca nemestrina,Endocranial_volume,2,Isler=105.59 | Seymour=111.5,105.59,1.056,
Colobus satanas,Endocranial_volume,2,Isler=74.9 | Seymour=79.0,74.9,1.055,
Lophocebus albigena,Endocranial_volume,2,Isler=93.09 | Seymour=98.0,93.09,1.053,
Eulemur macaco,Endocranial_volume,2,Isler=24.51 | Powell=23.32,24.51,1.051,
Hapalemur alaotrensis,Endocranial_volume,2,Isler=13.8 | Powell=14.5,13.8,1.051,
Aotus trivirgatus,Endocranial_volume,2,Isler=16.85 | Powell=16.07,16.85,1.049,
Mandrillus sphinx,Endocranial_volume,2,Isler=153.88 | Seymour=161.2,153.88,1.048,
Nycticebus bengalensis,Endocranial_volume,2,Isler=13.49 | Powell=12.87,13.49,1.048,
Propithecus coquereli,Endocranial_volume,2,Isler=30.19 | Powell=28.86,30.19,1.046,
Eulemur fulvus,Endocranial_volume,2,Isler=25.77 | Powell=24.66,25.77,1.045,
Eulemur coronatus,Endocranial_volume,2,Isler=20.65 | Powell=19.78,20.65,1.044,
Macaca silenus,Endocranial_volume,2,Isler=85.0 | Seymour=88.7,85.0,1.044,
Varecia rubra,Endocranial_volume,2,Isler=31.08 | Powell=29.82,31.08,1.042,
Lemur catta,Endocranial_volume,3,Isler=22.9 | Powell=22.1 | Seymour=23.0,22.9,1.041,
Propithecus edwardsi,Endocranial_volume,2,Isler=39.49 | Powell=37.95,39.49,1.041,
Chiropotes chiropotes,Endocranial_volume,2,Isler=57.04 | Powell=54.87,57.04,1.04,
Pygathrix nemaeus,Endocranial_volume,2,Isler=91.41 | Powell=94.85,91.41,1.038,
Saguinus niger,Endocranial_volume,2,Isler=9.48 | Powell=9.13,9.48,1.038,
Avahi laniger,Endocranial_volume,2,Isler=9.86 | Powell=9.52,9.86,1.036,
Prolemur simus,Endocranial_volume,2,Isler=27.14 | Powell=26.23,27.14,1.035,
Hapalemur occidentalis,Endocranial_volume,2,Isler=14.2 | Powell=13.75,14.2,1.033,
Homo sapiens,Endocranial_volume_female,2,Caspar=1253.3 | Heldstab=1212.7,1253.3,1.033,
Callicebus discolor,Endocranial_volume,2,Isler=17.53 | Powell=17.0,17.53,1.031,
Chlorocebus aethiops,Endocranial_volume,2,Isler=65.0 | Seymour=67.0,65.0,1.031,
Cheirogaleus major,Endocranial_volume,2,Isler=5.81 | Powell=5.65,5.81,1.029,
Otolemur garnettii,Endocranial_volume,2,Isler=11.08 | Powell=10.77,11.077,1.029,
Perodicticus potto,Endocranial_volume,2,Isler=12.85 | Powell=12.5,12.85,1.028,
Aotus azarae,Endocranial_volume,2,Isler=20.67 | Powell=20.14,20.67,1.026,
Pithecia pithecia,Endocranial_volume,2,Isler=32.26 | Powell=31.47,32.26,1.025,
Lepilemur leucopus,Endocranial_volume,2,Isler=6.87 | Powell=6.71,6.87,1.024,
Hapalemur griseus,Endocranial_volume,2,Isler=14.09 | Powell=13.78,14.09,1.023,
Cheirogaleus medius,Endocranial_volume,2,Isler=2.6 | Powell=2.54,2.6,1.022,
Chiropotes satanas,Endocranial_volume,2,Isler=48.33 | Powell=49.41,48.33,1.022,
Callithrix penicillata,Endocranial_volume,2,Isler=7.32 | Powell=7.17,7.32,1.021,
Saguinus fuscicollis,Endocranial_volume,2,Isler=7.99 | Powell=8.16,7.993,1.021,
Nomascus gabriellae,Endocranial_volume,2,Isler=119.38 | Powell=117.04,119.38,1.02,
Rhinopithecus roxellana,Endocranial_volume,2,Isler=117.76 | Powell=115.54,117.76,1.019,
Callimico goeldii,Endocranial_volume,2,Isler=11.43 | Powell=11.24,11.43,1.017,
Microcebus murinus,Endocranial_volume,2,Isler=1.63 | Powell=1.6,1.63,1.016,
Cercopithecus neglectus,Endocranial_volume,2,Isler=65.97 | Seymour=65.0,65.97,1.015,
Euoticus elegantulus,Endocranial_volume,2,Isler=5.53 | Powell=5.45,5.53,1.015,
Pygathrix nigripes,Endocranial_volume,2,Isler=82.75 | Powell=83.7,82.75,1.012,
Callicebus cupreus,Endocranial_volume,2,Isler=17.63 | Powell=17.44,17.63,1.011,
Hylobates lar,Endocranial_volume,3,Isler=102.35 | Powell=101.38 | Seymour=102.5,102.353,1.011,
Galago moholi,Endocranial_volume,2,Isler=3.71 | Powell=3.67,3.71,1.01,
Arctocebus calabarensis,Endocranial_volume,2,Isler=6.92 | Powell=6.99,6.92,1.009,
Callicebus lugens,Endocranial_volume,2,Isler=18.97 | Powell=19.13,18.97,1.009,
Pithecia monachus,Endocranial_volume,2,Isler=36.45 | Powell=36.14,36.45,1.009,
Pongo pygmaeus,Endocranial_volume,2,Isler=378.28 | Seymour=375.0,378.278,1.009,
Propithecus verreauxi,Endocranial_volume,2,Isler=26.21 | Powell=26.0,26.21,1.008,
Tarsius syrichta,Endocranial_volume,2,Isler=3.36 | Powell=3.38,3.36,1.007,
Galagoides demidoff,Endocranial_volume,2,Isler=2.65 | Powell=2.63,2.65,1.006,
Indri indri,Endocranial_volume,2,Isler=34.81 | Powell=35.01,34.81,1.006,
Saguinus oedipus,Endocranial_volume,2,Isler=9.76 | Powell=9.7,9.76,1.006,
Cercopithecus mitis,Endocranial_volume,2,Isler=71.33 | Seymour=71.0,71.33,1.005,
Hylobates klossii,Endocranial_volume,2,Isler=87.99 | Powell=87.55,87.99,1.005,
Saguinus geoffroyi,Endocranial_volume,2,Isler=10.14 | Powell=10.09,10.14,1.005,
Saguinus leucopus,Endocranial_volume,2,Isler=9.7 | Powell=9.75,9.7,1.005,
Callicebus caligatus,Endocranial_volume,2,Isler=17.25 | Powell=17.18,17.25,1.004,
Loris lydekkerianus,Endocranial_volume,2,Isler=6.34 | Powell=6.37,6.34,1.004,
Tarsius bancanus,Endocranial_volume,2,Isler=3.16 | Powell=3.15,3.16,1.004,
Saguinus midas,Endocranial_volume,2,Isler=9.78 | Powell=9.81,9.78,1.003,
Mirza coquereli,Endocranial_volume,2,Isler=5.8 | Powell=5.79,5.8,1.002,
Otolemur crassicaudatus,Endocranial_volume,2,Isler=11.78 | Powell=11.75,11.78,1.002,
Tarsius dentatus,Endocranial_volume,2,Isler=3.0 | Powell=3.0,3.0,1.002,
Arctocebus aureus,Endocranial_volume,2,Isler=5.88 | Powell=5.88,5.88,1.0,
Avahi occidentalis,Endocranial_volume,2,Isler=7.95 | Powell=7.95,7.95,1.0,
Leontopithecus chrysomelas,Endocranial_volume,2,Isler=11.84 | Powell=11.84,11.84,1.0,
Lepilemur edwardsi,Endocranial_volume,2,Isler=7.25 | Powell=7.25,7.25,1.0,
Nycticebus pygmaeus,Endocranial_volume,2,Isler=7.23 | Powell=7.23,7.23,1.0,
Phaner pallescens,Endocranial_volume,2,Isler=6.68 | Powell=6.68,6.68,1.0,
Saguinus labiatus,Endocranial_volume,2,Isler=10.01 | Powell=10.01,10.01,1.0,
