Species,Species_printed,Measure,Units,Value,Source,first_author,Year,Team,role,source_of_value,upstream_team,reprint_of,sex_scope
Arctocebus calabarensis,Arctocebus_calabarensis,Endocranial_volume,mL,6.985385780004,10.1098%2Frspb.2017.1765_Dataset1.tsv,Powell,2017,Powell,secondary,van Woerden compilation,,,both
Ateles belzebuth,Ateles belzebuth,Endocranial_volume,mL,117.02,10.1016%2Fj.jhevol.2008.08.004_TableS2.tsv,Isler,2008,Isler,primary,This study,,,unknown
Ateles belzebuth,Ateles_belzebuth,Endocranial_volume,mL,112.817798718748,10.1098%2Frspb.2017.1765_Dataset1.tsv,Powell,2017,Powell,secondary,van Woerden compilation,,,female
Ateles chamek,Ateles_chamek,Endocranial_volume,mL,110.277777777778,10.1098%2Frspb.2017.1765_Dataset1.tsv,Powell,2017,Powell,secondary,van Woerden compilation,,,female
Ateles fusciceps,Ateles fusciceps,Endocranial_volume,mL,107.549,10.7554%2FeLife.77875_Supplementaryfile3.tsv,Caspar,2022,Caspar,primary,"Powell, L. E., Isler, K., & Barton, R. A. (2017). Re-evaluating the link between brain size and behavioural ecology in primates. Proceedings of the Royal Society B: Biological Sciences, 284(1865), 20171765.",Isler,,female
Ateles fusciceps,Ateles fusciceps,Endocranial_volume,mL,107.6,10.1038%2Fsrep24528_TableS1.tsv,Heldstab,2016,Heldstab,secondary,,Isler,Isler; Powell,female
Ateles fusciceps,Ateles fusciceps,Endocranial_volume,mL,114.24,10.1016%2Fj.jhevol.2008.08.004_TableS2.tsv,Isler,2008,Isler,primary,This study,,,unknown
Ateles fusciceps,Ateles_fusciceps,Endocranial_volume,mL,107.549447368421,10.1098%2Frspb.2017.1765_Dataset1.tsv,Powell,2017,Powell,secondary,van Woerden compilation,,,female
Ateles geoffroyi,Ateles geoffroyi,Endocranial_volume,mL,103.459,10.7554%2FeLife.77875_Supplementaryfile3.tsv,Caspar,2022,Caspar,primary,"Powell, L. E., Isler, K., & Barton, R. A. (2017). Re-evaluating the link between brain size and behavioural ecology in primates. Proceedings of the Royal Society B: Biological Sciences, 284(1865), 20171765.",Isler,,female
Ateles geoffroyi,Ateles geoffroyi,Endocranial_volume,mL,103.5,10.1038%2Fsrep24528_TableS1.tsv,Heldstab,2016,Heldstab,secondary,,Isler,Isler; Powell,female
Ateles geoffroyi,Ateles geoffroyi,Endocranial_volume,mL,105.09,10.1016%2Fj.jhevol.2008.08.004_TableS2.tsv,Isler,2008,Isler,primary,This study,,,unknown
Ateles geoffroyi,Ateles_geoffroyi,Endocranial_volume,mL,103.458865816087,10.1098%2Frspb.2017.1765_Dataset1.tsv,Powell,2017,Powell,secondary,van Woerden compilation,,,female
Ateles hybridus,Ateles hybridus,Endocranial_volume,mL,102.594,10.7554%2FeLife.77875_Supplementaryfile3.tsv,Caspar,2022,Caspar,primary,"Powell, L. E., Isler, K., & Barton, R. A. (2017). Re-evaluating the link between brain size and behavioural ecology in primates. Proceedings of the Royal Society B: Biological Sciences, 284(1865), 20171765.",Isler,,female
Ateles hybridus,Ateles hybridus,Endocranial_volume,mL,103.05,10.1016%2Fj.jhevol.2008.08.004_TableS2.tsv,Isler,2008,Isler,primary,This study,,,unknown
Ateles hybridus,Ateles_hybridus,Endocranial_volume,mL,102.594256901833,10.1098%2Frspb.2017.1765_Dataset1.tsv,Powell,2017,Powell,secondary,van Woerden compilation,,,female
Ateles paniscus,Ateles paniscus,Endocranial_volume,mL,103.85,10.1016%2Fj.jhevol.2008.08.004_TableS2.tsv,Isler,2008,Isler,primary,Bronson 1981 (fresh brain mass),,,unknown
Ateles paniscus,Ateles_paniscus,Endocranial_volume,mL,107.566666666667,10.1098%2Frspb.2017.1765_Dataset1.tsv,Powell,2017,Powell,secondary,van Woerden compilation,,,female
Avahi laniger,Avahi laniger,Endocranial_volume,mL,9.86,10.1016%2Fj.jhevol.2008.08.004_TableS2.tsv,Isler,2008,Isler,primary,This study,,,unknown
Avahi laniger,Avahi_laniger,Endocranial_volume,mL,9.51543581081081,10.1098%2Frspb.2017.1765_Dataset1.tsv,Powell,2017,Powell,secondary,van Woerden compilation,,,both
Avahi occidentalis,Avahi occidentalis,Endocranial_volume,mL,7.95,10.1016%2Fj.jhevol.2008.08.004_TableS2.tsv,Isler,2008,Isler,primary,This study,,,unknown
Avahi occidentalis,Avahi_occidentalis,Endocranial_volume,mL,7.95,10.1098%2Frspb.2017.1765_Dataset1.tsv,Powell,2017,Powell,secondary,van Woerden compilation,,,both
Bettongia lesueur,Bettongia lesueur,Endocranial_volume,mL,9.2,10.1242%2Fjeb.124826_TableS1.tsv,Seymour,2015,Seymour,secondary,,,,unknown
Brachyteles arachnoides,Brachyteles_arachnoides,Endocranial_volume,mL,102.042857142857,10.1098%2Frspb.2017.1765_Dataset1.tsv,Powell,2017,Powell,secondary,van Woerden compilation,,,both
Brachyteles sp.,Brachyteles sp.,Endocranial_volume,mL,116.72,10.1016%2Fj.jhevol.2008.08.004_TableS2.tsv,Isler,2008,Isler,primary,Pooled (this study and Hershkovitz 1970),,,unknown
Bunopithecus hoolock,Bunopithecus hoolock,Endocranial_volume,mL,110.68,10.1016%2Fj.jhevol.2008.08.004_TableS2.tsv,Isler,2008,Isler,primary,This study,,,unknown
Cacajao calvus,Cacajao calvus,Endocranial_volume,mL,76.0,10.1016%2Fj.jhevol.2008.08.004_TableS2.tsv,Isler,2008,Isler,primary,Hershkovitz 1970,,,unknown
Cacajao calvus,Cacajao_calvus,Endocranial_volume,mL,70.7454545454545,10.1098%2Frspb.2017.1765_Dataset1.tsv,Powell,2017,Powell,secondary,Isler et al. 2008,Isler,,female
Cacajao calvus,Cacajao calvus,Endocranial_volume,mL,100.0,10.1242%2Fjeb.124826_TableS1.tsv,Seymour,2015,Seymour,secondary,,,,unknown
Cacajao melanocephalus,Cacajao melanocephalus,Endocranial_volume,mL,68.77,10.1016%2Fj.jhevol.2008.08.004_TableS2.tsv,Isler,2008,Isler,primary,This study,,,unknown
Cacajao melanocephalus,Cacajao_melanocephalus,Endocranial_volume,mL,61.98,10.1098%2Frspb.2017.1765_Dataset1.tsv,Powell,2017,Powell,secondary,van Woerden compilation,,,female
Callicebus brunneus,Callicebus_brunneus,Endocranial_volume,mL,18.0,10.1098%2Frspb.2017.1765_Dataset1.tsv,Powell,2017,Powell,secondary,van Woerden compilation,,,both
Callicebus caligatus,Callicebus caligatus,Endocranial_volume,mL,17.25,10.1016%2Fj.jhevol.2008.08.004_TableS2.tsv,Isler,2008,Isler,primary,This study,,,unknown
Callicebus caligatus,Callicebus_caligatus,Endocranial_volume,mL,17.175,10.1098%2Frspb.2017.1765_Dataset1.tsv,Powell,2017,Powell,secondary,van Woerden compilation,,,both
Callicebus cupreus,Callicebus cupreus,Endocranial_volume,mL,17.4,10.1038%2Fsrep24528_TableS1.tsv,Heldstab,2016,Heldstab,secondary,,Isler,Isler; Powell,female
Callicebus cupreus,Callicebus cupreus,Endocranial_volume,mL,17.63,10.1016%2Fj.jhevol.2008.08.004_TableS2.tsv,Isler,2008,Isler,primary,This study,,,unknown
Callicebus cupreus,Callicebus_cupreus,Endocranial_volume,mL,17.4397377532215,10.1098%2Frspb.2017.1765_Dataset1.tsv,Powell,2017,Powell,secondary,van Woerden compilation,,,both
Callicebus discolor,Callicebus discolor,Endocranial_volume,mL,17.53,10.1016%2Fj.jhevol.2008.08.004_TableS2.tsv,Isler,2008,Isler,primary,This study,,,unknown
Callicebus discolor,Callicebus_discolor,Endocranial_volume,mL,17.0,10.1098%2Frspb.2017.1765_Dataset1.tsv,Powell,2017,Powell,secondary,van Woerden compilation,,,both
Callicebus lugens,Callicebus lugens,Endocranial_volume,mL,18.97,10.1016%2Fj.jhevol.2008.08.004_TableS2.tsv,Isler,2008,Isler,primary,This study,,,unknown
Callicebus lugens,Callicebus_lugens,Endocranial_volume,mL,19.1321602990064,10.1098%2Frspb.2017.1765_Dataset1.tsv,Powell,2017,Powell,secondary,van Woerden compilation,,,both
Callicebus medemi,Callicebus medemi,Endocranial_volume,mL,19.44,10.1016%2Fj.jhevol.2008.08.004_TableS2.tsv,Isler,2008,Isler,primary,This study,,,unknown
Callicebus moloch,Callicebus_moloch,Endocranial_volume,mL,15.4,10.1098%2Frspb.2017.1765_Dataset1.tsv,Powell,2017,Powell,secondary,van Woerden compilation,,,both
Callicebus oenanthe,Callicebus_oenanthe,Endocranial_volume,mL,13.9,10.1098%2Frspb.2017.1765_Dataset1.tsv,Powell,2017,Powell,secondary,van Woerden compilation,,,both
Callicebus personatus,Callicebus_personatus,Endocranial_volume,mL,20.2,10.1098%2Frspb.2017.1765_Dataset1.tsv,Powell,2017,Powell,secondary,van Woerden compilation,,,both
Callicebus torquatus,Callicebus_torquatus,Endocranial_volume,mL,19.7741433333333,10.1098%2Frspb.2017.1765_Dataset1.tsv,Powell,2017,Powell,secondary,van Woerden compilation,,,both
Callimico goeldii,Callimico goeldii,Endocranial_volume,mL,11.1,10.1038%2Fsrep24528_TableS1.tsv,Heldstab,2016,Heldstab,secondary,,Isler,Isler; Powell,female
Callimico goeldii,Callimico goeldii,Endocranial_volume,mL,11.43,10.1016%2Fj.jhevol.2008.08.004_TableS2.tsv,Isler,2008,Isler,primary,This study,,,unknown
Callimico goeldii,Callimico_goeldii,Endocranial_volume,mL,11.243125,10.1098%2Frspb.2017.1765_Dataset1.tsv,Powell,2017,Powell,secondary,van Woerden compilation,,,both
Callithrix argentata,Callithrix argentata,Endocranial_volume,mL,7.95,10.1016%2Fj.jhevol.2008.08.004_TableS2.tsv,Isler,2008,Isler,primary,This study,,,unknown
Callithrix aurita,Callithrix_aurita,Endocranial_volume,mL,8.425,10.1098%2Frspb.2017.1765_Dataset1.tsv,Powell,2017,Powell,secondary,van Woerden compilation,,,both
Callithrix geoffroyi,Callithrix geoffroyi,Endocranial_volume,mL,9.8,10.1038%2Fsrep24528_TableS1.tsv,Heldstab,2016,Heldstab,secondary,,Powell,Isler; Powell,female
Callithrix geoffroyi,Callithrix_geoffroyi,Endocranial_volume,mL,9.775,10.1098%2Frspb.2017.1765_Dataset1.tsv,Powell,2017,Powell,secondary,van Woerden compilation,,,both
Callithrix jacchus,Callithrix jacchus,Endocranial_volume,mL,7.4,10.1038%2Fsrep24528_TableS1.tsv,Heldstab,2016,Heldstab,secondary,,Isler,Isler; Powell,female
Callithrix jacchus,Callithrix jacchus,Endocranial_volume,mL,7.24,10.1016%2Fj.jhevol.2008.08.004_TableS2.tsv,Isler,2008,Isler,primary,This study,,,unknown
Callithrix jacchus,Callithrix_jacchus,Endocranial_volume,mL,7.487306625,10.1098%2Frspb.2017.1765_Dataset1.tsv,Powell,2017,Powell,secondary,van Woerden compilation,,,both
Callithrix jacchus,Callithrix jacchus,Endocranial_volume,mL,6.6,10.1242%2Fjeb.124826_TableS1.tsv,Seymour,2015,Seymour,secondary,,,,unknown
Callithrix kuhlii,Callithrix_kuhlii,Endocranial_volume,mL,7.97337167589007,10.1098%2Frspb.2017.1765_Dataset1.tsv,Powell,2017,Powell,secondary,van Woerden compilation,,,both
Callithrix penicillata,Callithrix penicillata,Endocranial_volume,mL,7.32,10.1016%2Fj.jhevol.2008.08.004_TableS2.tsv,Isler,2008,Isler,primary,This study,,,unknown
Callithrix penicillata,Callithrix_penicillata,Endocranial_volume,mL,7.16692858857895,10.1098%2Frspb.2017.1765_Dataset1.tsv,Powell,2017,Powell,secondary,van Woerden compilation,,,both
Callithrix pygmaea,Callithrix pygmaea,Endocranial_volume,mL,4.17,10.1016%2Fj.jhevol.2008.08.004_TableS2.tsv,Isler,2008,Isler,primary,This study,,,unknown
Callithrix pygmaea,Cebuella_pygmaea,Endocranial_volume,mL,4.1945058,10.1098%2Frspb.2017.1765_Dataset1.tsv,Powell,2017,Powell,secondary,van Woerden compilation,,,both
Callithrix pygmaea,Callithrix pygmaea,Endocranial_volume,mL,7.0,10.1242%2Fjeb.124826_TableS1.tsv,Seymour,2015,Seymour,secondary,,,,unknown
Cebus albifrons,Cebus albifrons,Endocranial_volume,mL,65.45,10.1016%2Fj.jhevol.2008.08.004_TableS2.tsv,Isler,2008,Isler,primary,This study,,,unknown
Cebus albifrons,Cebus albifrons,Endocranial_volume,mL,76.0,10.1016%2Fj.jhevol.2008.08.004_TableS2.tsv,Isler,2008,Isler,primary,This study,,,unknown
Cebus albifrons,Cebus albifrons,Endocranial_volume,mL,60.92,10.1016%2Fj.jhevol.2008.08.004_TableS2.tsv,Isler,2008,Isler,primary,This study,,,unknown
Cebus albifrons,Cebus_albifrons,Endocranial_volume,mL,66.0044351611414,10.1098%2Frspb.2017.1765_Dataset1.tsv,Powell,2017,Powell,secondary,van Woerden compilation,,,female
Cebus capucinus,Cebus capucinus,Endocranial_volume,mL,72.93,10.1016%2Fj.jhevol.2008.08.004_TableS2.tsv,Isler,2008,Isler,primary,This study,,,unknown
Cebus capucinus,Cebus_capucinus,Endocranial_volume,mL,69.2204984214101,10.1098%2Frspb.2017.1765_Dataset1.tsv,Powell,2017,Powell,secondary,van Woerden compilation,,,female
Cebus libidinosus,Cebus libidinosus,Endocranial_volume,mL,64.69,10.1016%2Fj.jhevol.2008.08.004_TableS2.tsv,Isler,2008,Isler,primary,This study,,,unknown
Cebus libidinosus,Cebus_libidinosus,Endocranial_volume,mL,63.6534807918894,10.1098%2Frspb.2017.1765_Dataset1.tsv,Powell,2017,Powell,secondary,Isler et al. 2008,Isler,,female
Cebus nigritus,Cebus nigritus,Endocranial_volume,mL,67.07,10.1016%2Fj.jhevol.2008.08.004_TableS2.tsv,Isler,2008,Isler,primary,This study,,,unknown
Cebus nigritus,Cebus nigritus,Endocranial_volume,mL,68.23,10.1016%2Fj.jhevol.2008.08.004_TableS2.tsv,Isler,2008,Isler,primary,This study,,,unknown
Cebus nigritus,Cebus nigritus,Endocranial_volume,mL,65.63,10.1016%2Fj.jhevol.2008.08.004_TableS2.tsv,Isler,2008,Isler,primary,This study,,,unknown
Cebus nigritus,Cebus_nigritus,Endocranial_volume,mL,65.0320399929579,10.1098%2Frspb.2017.1765_Dataset1.tsv,Powell,2017,Powell,secondary,Isler et al. 2008,Isler,,female
Cebus olivaceus,Cebus olivaceus,Endocranial_volume,mL,69.84,10.1016%2Fj.jhevol.2008.08.004_TableS2.tsv,Isler,2008,Isler,primary,This study,,,unknown
Cebus olivaceus,Cebus_olivaceus,Endocranial_volume,mL,70.0863180558,10.1098%2Frspb.2017.1765_Dataset1.tsv,Powell,2017,Powell,secondary,van Woerden compilation,,,female
Cebus xanthosternos,Cebus xanthosternos,Endocranial_volume,mL,66.09,10.1016%2Fj.jhevol.2008.08.004_TableS2.tsv,Isler,2008,Isler,primary,This study,,,unknown
Cebus xanthosternos,Cebus_xanthosternos,Endocranial_volume,mL,64.0048194022301,10.1098%2Frspb.2017.1765_Dataset1.tsv,Powell,2017,Powell,secondary,Isler et al. 2008,Isler,,female
Cercartetus concinnus,Cercartetus concinnus,Endocranial_volume,mL,0.28,10.1242%2Fjeb.124826_TableS1.tsv,Seymour,2015,Seymour,secondary,,,,unknown
Cercartetus nanus,Cercartetus nanus,Endocranial_volume,mL,0.55,10.1242%2Fjeb.124826_TableS1.tsv,Seymour,2015,Seymour,secondary,,,,unknown
Cercocebus agilis,Cercocebus agilis,Endocranial_volume,mL,116.43,10.1016%2Fj.jhevol.2008.08.004_TableS2.tsv,Isler,2008,Isler,primary,This study,,,unknown
Cercocebus agilis,Cercocebus_agilis,Endocranial_volume,mL,100.96867,10.1098%2Frspb.2017.1765_Dataset1.tsv,Powell,2017,Powell,secondary,van Woerden compilation,,,female
Cercocebus atys,Cercocebus atys,Endocranial_volume,mL,85.9,10.1038%2Fsrep24528_TableS1.tsv,Heldstab,2016,Heldstab,secondary,,Isler,Isler; Powell,female
Cercocebus atys,Cercocebus atys,Endocranial_volume,mL,94.68,10.1016%2Fj.jhevol.2008.08.004_TableS2.tsv,Isler,2008,Isler,primary,This study,,,unknown
Cercocebus atys,Cercocebus_atys,Endocranial_volume,mL,86.8,10.1098%2Frspb.2017.1765_Dataset1.tsv,Powell,2017,Powell,secondary,Isler et al. 2008,Isler,,female
Cercocebus galeritus,Cercocebus galeritus,Endocranial_volume,mL,99.07,10.1016%2Fj.jhevol.2008.08.004_TableS2.tsv,Isler,2008,Isler,primary,This study,,,unknown
Cercocebus galeritus,Cercocebus_galeritus,Endocranial_volume,mL,95.33714,10.1098%2Frspb.2017.1765_Dataset1.tsv,Powell,2017,Powell,secondary,van Woerden compilation,,,female
Cercocebus torquatus,Cercocebus torquatus,Endocranial_volume,mL,93.482,10.7554%2FeLife.77875_Supplementaryfile3.tsv,Caspar,2022,Caspar,primary,"Powell, L. E., Isler, K., & Barton, R. A. (2017). Re-evaluating the link between brain size and behavioural ecology in primates. Proceedings of the Royal Society B: Biological Sciences, 284(1865), 20171765.",Isler,,female
Cercocebus torquatus,Cercocebus torquatus,Endocranial_volume,mL,105.99,10.1016%2Fj.jhevol.2008.08.004_TableS2.tsv,Isler,2008,Isler,primary,This study,,,unknown
Cercocebus torquatus,Cercocebus_torquatus,Endocranial_volume,mL,93.4817275,10.1098%2Frspb.2017.1765_Dataset1.tsv,Powell,2017,Powell,secondary,van Woerden compilation,,,female
Cercopithecus albogularis,Cercopithecus albogularis,Endocranial_volume,mL,70.1,10.1016%2Fj.jhevol.2008.08.004_TableS2.tsv,Isler,2008,Isler,primary,This study,,,unknown
Cercopithecus albogularis,Cercopithecus albogularis,Endocranial_volume,mL,75.25,10.1016%2Fj.jhevol.2008.08.004_TableS2.tsv,Isler,2008,Isler,primary,This study,,,unknown
Cercopithecus albogularis,Cercopithecus albogularis,Endocranial_volume,mL,64.17,10.1016%2Fj.jhevol.2008.08.004_TableS2.tsv,Isler,2008,Isler,primary,This study,,,unknown
Cercopithecus albogularis,Cercopithecus albogularis,Endocranial_volume,mL,71.43,10.1016%2Fj.jhevol.2008.08.004_TableS2.tsv,Isler,2008,Isler,primary,This study,,,unknown
Cercopithecus ascanius,Cercopithecus ascanius,Endocranial_volume,mL,59.58,10.1016%2Fj.jhevol.2008.08.004_TableS2.tsv,Isler,2008,Isler,primary,This study,,,unknown
Cercopithecus ascanius,Cercopithecus_ascanius,Endocranial_volume,mL,56.6841772518078,10.1098%2Frspb.2017.1765_Dataset1.tsv,Powell,2017,Powell,secondary,van Woerden compilation,,,female
Cercopithecus campbelli,Cercopithecus campbelli,Endocranial_volume,mL,57.39,10.1016%2Fj.jhevol.2008.08.004_TableS2.tsv,Isler,2008,Isler,primary,This study,,,unknown
Cercopithecus campbelli,Cercopithecus_campbelli,Endocranial_volume,mL,54.0644842229008,10.1098%2Frspb.2017.1765_Dataset1.tsv,Powell,2017,Powell,secondary,van Woerden compilation,,,female
Cercopithecus campbelli lowei,Cercopithecus_campbelli_lowei,Endocranial_volume,mL,51.1862771314734,10.1098%2Frspb.2017.1765_Dataset1.tsv,Powell,2017,Powell,secondary,van Woerden compilation,,,female
Cercopithecus cephus,Cercopithecus cephus,Endocranial_volume,mL,65.26,10.1016%2Fj.jhevol.2008.08.004_TableS2.tsv,Isler,2008,Isler,primary,This study,,,unknown
Cercopithecus cephus,Cercopithecus_cephus,Endocranial_volume,mL,60.577771372549,10.1098%2Frspb.2017.1765_Dataset1.tsv,Powell,2017,Powell,secondary,van Woerden compilation,,,female
Cercopithecus diana,Cercopithecus diana,Endocranial_volume,mL,57.3,10.1038%2Fsrep24528_TableS1.tsv,Heldstab,2016,Heldstab,secondary,,Isler,Isler; Powell,female
Cercopithecus diana,Cercopithecus diana,Endocranial_volume,mL,62.61,10.1016%2Fj.jhevol.2008.08.004_TableS2.tsv,Isler,2008,Isler,primary,This study,,,unknown
Cercopithecus diana,Cercopithecus_diana,Endocranial_volume,mL,57.2928571428571,10.1098%2Frspb.2017.1765_Dataset1.tsv,Powell,2017,Powell,secondary,van Woerden compilation,,,female
Cercopithecus diana/roloway,Cercopithecus diana/roloway,Endocranial_volume,mL,57.293,10.7554%2FeLife.77875_Supplementaryfile3.tsv,Caspar,2022,Caspar,primary,"Powell, L. E., Isler, K., & Barton, R. A. (2017). Re-evaluating the link between brain size and behavioural ecology in primates. Proceedings of the Royal Society B: Biological Sciences, 284(1865), 20171765.",Isler,,female
Cercopithecus doggetti,Cercopithecus doggetti,Endocranial_volume,mL,65.36,10.1016%2Fj.jhevol.2008.08.004_TableS2.tsv,Isler,2008,Isler,primary,This study,,,unknown
Cercopithecus erythrotis,Cercopithecus erythrotis,Endocranial_volume,mL,65.4,10.1016%2Fj.jhevol.2008.08.004_TableS2.tsv,Isler,2008,Isler,primary,Male: this study; species mean: Harvey and Clutton-Brock 1985,,,unknown
Cercopithecus hamlyni,Cercopithecus hamlyni,Endocranial_volume,mL,51.2,10.1038%2Fsrep24528_TableS1.tsv,Heldstab,2016,Heldstab,secondary,,Isler,Isler; Powell,female
Cercopithecus hamlyni,Cercopithecus hamlyni,Endocranial_volume,mL,65.9,10.1016%2Fj.jhevol.2008.08.004_TableS2.tsv,Isler,2008,Isler,primary,Verheyen 1962,,,unknown
Cercopithecus hamlyni,Cercopithecus_hamlyni,Endocranial_volume,mL,61.8666666666667,10.1098%2Frspb.2017.1765_Dataset1.tsv,Powell,2017,Powell,secondary,van Woerden compilation,,,female
Cercopithecus lhoesti,Cercopithecus lhoesti,Endocranial_volume,mL,66.5,10.1038%2Fsrep24528_TableS1.tsv,Heldstab,2016,Heldstab,secondary,,Isler,Isler; Powell,female
Cercopithecus lhoesti,Cercopithecus lhoesti,Endocranial_volume,mL,74.2,10.1016%2Fj.jhevol.2008.08.004_TableS2.tsv,Isler,2008,Isler,primary,Verheyen 1962,,,unknown
