Species,Team,upstream_team,source_of_value,Value,reason
Presbytis siamensis,Powell,Isler,Isler et al. 2008,57.1828361761279,value attributed by its own source column to Isler
Procolobus kirkii,Powell,Isler,Isler et al. 2008,55.5,value attributed by its own source column to Isler
Procolobus verus,Powell,Isler,Isler et al. 2008,51.6287985591947,value attributed by its own source column to Isler
Propithecus verreauxi,Heldstab,Isler,,26.1,source's definitions attribute its ECV to an upstream compilation that Isler already carries for this species
Pygathrix cinerea,Caspar,Isler,"Powell, L. E., Isler, K., & Barton, R. A. (2017). Re-evaluating the link between brain size and behavioural ecology in primates. Proceedings of the Royal Society B: Biological Sciences, 284(1865), 20171765.",94.85,value attributed by its own source column to Isler
Rhinopithecus roxellana,Caspar,Isler,"Powell, L. E., Isler, K., & Barton, R. A. (2017). Re-evaluating the link between brain size and behavioural ecology in primates. Proceedings of the Royal Society B: Biological Sciences, 284(1865), 20171765.",115.535,value attributed by its own source column to Isler
Saguinus bicolor,Heldstab,Powell,,9.5,source's definitions attribute its ECV to an upstream compilation that Powell already carries for this species
Saguinus imperator,Heldstab,Powell,,10.7,source's definitions attribute its ECV to an upstream compilation that Powell already carries for this species
Saguinus labiatus,Heldstab,Isler,,10.0,source's definitions attribute its ECV to an upstream compilation that Isler already carries for this species
Saguinus nigricollis,Powell,Isler,Isler et al. 2008,8.9,value attributed by its own source column to Isler
Saguinus oedipus,Heldstab,Isler,,9.7,source's definitions attribute its ECV to an upstream compilation that Isler already carries for this species
Saimiri sciureus,Caspar,Isler,"Powell, L. E., Isler, K., & Barton, R. A. (2017). Re-evaluating the link between brain size and behavioural ecology in primates. Proceedings of the Royal Society B: Biological Sciences, 284(1865), 20171765.",23.523,value attributed by its own source column to Isler
Saimiri sciureus,Heldstab,Isler,,23.5,source's definitions attribute its ECV to an upstream compilation that Isler already carries for this species
Sapajus apella,Caspar,Isler,"Powell, L. E., Isler, K., & Barton, R. A. (2017). Re-evaluating the link between brain size and behavioural ecology in primates. Proceedings of the Royal Society B: Biological Sciences, 284(1865), 20171765.",64.136,value attributed by its own source column to Isler
Sapajus apella,Heldstab,Isler,,64.2,source's definitions attribute its ECV to an upstream compilation that Isler already carries for this species
Sapajus flavius,Caspar,Isler,"Powell, L. E., Isler, K., & Barton, R. A. (2017). Re-evaluating the link between brain size and behavioural ecology in primates. Proceedings of the Royal Society B: Biological Sciences, 284(1865), 20171765.",63.653,value attributed by its own source column to Isler
Sapajus xanthosternos,Caspar,Isler,"Powell, L. E., Isler, K., & Barton, R. A. (2017). Re-evaluating the link between brain size and behavioural ecology in primates. Proceedings of the Royal Society B: Biological Sciences, 284(1865), 20171765.",64.005,value attributed by its own source column to Isler
Sciurocheirus gabonensis,Powell,Isler,Isler et al. 2008,5.35737214285714,value attributed by its own source column to Isler
Semnopithecus entellus,Caspar,Isler,"Powell, L. E., Isler, K., & Barton, R. A. (2017). Re-evaluating the link between brain size and behavioural ecology in primates. Proceedings of the Royal Society B: Biological Sciences, 284(1865), 20171765.",95.237,value attributed by its own source column to Isler
Symphalangus syndactylus,Caspar,Isler,"Powell, L. E., Isler, K., & Barton, R. A. (2017). Re-evaluating the link between brain size and behavioural ecology in primates. Proceedings of the Royal Society B: Biological Sciences, 284(1865), 20171765.",124.512,value attributed by its own source column to Isler
Symphalangus syndactylus,Heldstab,Isler,,124.5,source's definitions attribute its ECV to an upstream compilation that Isler already carries for this species
Symphalangus syndactylus,Powell,Isler,Isler et al. 2008,124.511955526298,value attributed by its own source column to Isler
Theropithecus gelada,Caspar,Isler,"Powell, L. E., Isler, K., & Barton, R. A. (2017). Re-evaluating the link between brain size and behavioural ecology in primates. Proceedings of the Royal Society B: Biological Sciences, 284(1865), 20171765.",123.223,value attributed by its own source column to Isler
Theropithecus gelada,Heldstab,Isler,,123.2,source's definitions attribute its ECV to an upstream compilation that Isler already carries for this species
Trachypithecus auratus,Caspar,Isler,"Powell, L. E., Isler, K., & Barton, R. A. (2017). Re-evaluating the link between brain size and behavioural ecology in primates. Proceedings of the Royal Society B: Biological Sciences, 284(1865), 20171765.",62.594,value attributed by its own source column to Isler
Trachypithecus geei,Powell,Isler,Isler et al. 2008,81.3,value attributed by its own source column to Isler
Trachypithecus hathinensis,Caspar,Isler,"Powell, L. E., Isler, K., & Barton, R. A. (2017). Re-evaluating the link between brain size and behavioural ecology in primates. Proceedings of the Royal Society B: Biological Sciences, 284(1865), 20171765.",81.0,value attributed by its own source column to Isler
Varecia rubra,Heldstab,Isler,,29.4,source's definitions attribute its ECV to an upstream compilation that Isler already carries for this species
