Species,Endocranial_volume.mL,Endocranial_volume_female.mL
Leontopithecus chrysomelas,11.84,
Leontopithecus chrysopygus,,13.04
Leontopithecus rosalia,12.83,13.04
Lepilemur dorsalis,6.7,
Lepilemur edwardsi,7.25,
Lepilemur leucopus,6.87,
Lepilemur microdon,9.75,
Lepilemur mustelinus,9.56,
Lepilemur ruficaudatus,8.25,
Lophocebus albigena,93.09,90.643
Lophocebus aterrimus,101.59,87.601
Loris lydekkerianus,6.34,
Loris tardigradus,5.87,
Macaca arctoides,100.7,
Macaca assamensis,90.46,89.1
Macaca cyclopis,82.0,76.1
Macaca fascicularis,66.968,60.934
Macaca fuscata,102.92,
Macaca hecki,,94.58
Macaca leonina,85.6,
Macaca maura,105.0,87.367
Macaca mulatta,88.553,
Macaca nemestrina,105.59,97.854
Macaca nigra,94.9,80.975
Macaca ochreata,98.0,
Macaca radiata,74.87,70.507
Macaca silenus,85.0,78.0
Macaca sinica,69.7,60.4
Macaca sylvanus,93.2,92.913
Macaca thibetana,,108.9
Macaca tonkeana,,93.791
Macropus dorsalis,26.6,
Macropus fuliginosus,66.75,
Macropus robustus,58.24,
Mandrillus leucophaeus,148.0,133.176
Mandrillus sphinx,153.88,136.422
Mico argentatus,7.755,
Mico humeralifer,8.376,
Microcebus murinus,1.63,
Microcebus rufus,1.72,
Miopithecus ogouensis,37.35,
Mirza coquereli,5.8,
Nasalis larvatus,92.3,84.847
Nomascus concolor,125.671,
Nomascus gabriellae,119.38,
Nomascus leucogenys,121.967,
Nycticebus bengalensis,13.49,
Nycticebus coucang,10.06,
Nycticebus javanicus,10.38,
Nycticebus pygmaeus,7.23,
Osphranter rufus,51.575,
Otolemur crassicaudatus,11.78,
Otolemur garnettii,11.077,
Otolemur monteiri,11.4,
Pan paniscus,341.29,
Pan troglodytes,373.368,357.713
Papio anubis,167.42,156.056
Papio cynocephalus,163.19,149.539
Papio hamadryas,146.17,137.0
Papio papio,142.5,
Papio ursinus,178.0,
Perodicticus potto,12.85,
Petaurus breviceps,2.33,
Phalanger maculatus,13.55,
Phaner electromontis,7.2,
Phaner pallescens,6.68,
Phascolarctos cinereus,29.75,
Piliocolobus badius,64.04,61.52
Piliocolobus kirkii,57.25,
Piliocolobus tephrosceles,70.95,
Piliocolobus tholloni and foai,76.35,
Pithecia irrorata,37.1,
Pithecia monachus,36.45,
Pithecia pithecia,32.26,
Pongo pygmaeus,378.278,339.564
Pongo pygmaeus morio,,330.135
Pongo pygmaeus wurmbii,,336.631
Pongo sp.,389.5,346.058
Presbytis chrysomelas,72.11,
Presbytis comata,80.3,68.0
Presbytis femoralis,73.41,
Presbytis frontata,81.02,73.126
Presbytis hosei,,60.022
Presbytis melalophos,64.857,61.272
Presbytis potenziani,,56.975
Presbytis rubicunda,70.885,68.775
Presbytis siamensis,60.457,
Presbytis thomasi,72.93,65.461
Procolobus pennantii,,71.655
Procolobus rufomitratus,,70.565
Procolobus rufomitratus tephrosceles,,72.454
Procolobus verus,52.6,
Prolemur simus,27.14,
Propithecus candidus,,37.2
Propithecus coquereli,30.19,
Propithecus deckenii,30.15,
Propithecus diadema,39.8,
Propithecus edwardsi,39.49,
Propithecus verreauxi,26.21,
Pseudocheirus peregrinus notialis,4.73,
Pygathrix nemaeus,91.41,
Pygathrix nigripes,82.75,
Pygathrix sp.,85.86,
Rhinopithecus bieti,114.714,
Rhinopithecus brelichi,,111.5
Rhinopithecus roxellana,117.76,
Saguinus bicolor,9.2,
Saguinus fuscicollis,7.993,
Saguinus geoffroyi,10.14,
Saguinus imperator,10.7,
Saguinus labiatus,10.01,
Saguinus leucopus,9.7,
Saguinus midas,9.78,
Saguinus mystax,11.09,
Saguinus mystax pileatus,9.666,
Saguinus niger,9.48,
Saguinus nigricollis,8.9,
Saguinus oedipus,9.76,
Saguinus pileatus,9.56,
Saguinus tripartitus,8.5,
Saimiri boliviensis,,21.522
Saimiri oerstedii,25.07,24.236
Saimiri sciureus,24.04,23.523
Sapajus apella,66.63,64.136
Sciurocheirus alleni cameronensis,5.68,
Semnopithecus ajax,132.06,
Semnopithecus dussumieri,90.09,88.296
Semnopithecus entellus,110.93,95.237
Semnopithecus priam,83.07,75.292
Semnopithecus schistaceus,129.25,126.126
Simias concolor,58.42,52.452
Symphalangus syndactylus,123.5,
Tarsius bancanus,3.16,
Tarsius dentatus,3.0,
Tarsius syrichta,3.36,
Tarsius tarsier,3.06,
Theropithecus gelada,133.33,123.223
Trachypithecus auratus,,62.594
Trachypithecus cristatus,57.86,58.402
Trachypithecus francoisi,,81.0
Trachypithecus geei,81.3,
Trachypithecus johnii,84.6,78.0
Trachypithecus obscurus,62.12,59.303
Trachypithecus phayrei,72.84,70.202
Trachypithecus pileatus,103.64,97.356
Trachypithecus vetulus,61.29,59.913
Trichosurus vulpecula,9.8,
Varecia rubra,31.08,
Varecia variegata,32.12,
Vombatus ursinus,60.0,
