"Species","measure_class","Measure","Units","Value","Value_median","n_sources","n_teams","n_teams_primary","primary_used","Teams","roles","basis","value_min","value_max"
"42","mass","Brain_Mass_measured","g",547,547,1,1,0,FALSE,"Zilles","secondary","mass_fresh",547,547
"43","mass","Brain_Mass_measured","g",635,635,1,1,0,FALSE,"Zilles","secondary","mass_fresh",635,635
"44","mass","Brain_Mass_measured","g",635,635,1,1,0,FALSE,"Zilles","secondary","mass_fresh",635,635
"45","mass","Brain_Mass_measured","g",662,662,1,1,0,FALSE,"Zilles","secondary","mass_fresh",662,662
"46","mass","Brain_Mass_measured","g",662,662,1,1,0,FALSE,"Zilles","secondary","mass_fresh",662,662
"47","mass","Brain_Mass_measured","g",432,432,1,1,0,FALSE,"Zilles","secondary","mass_fresh",432,432
"48","mass","Brain_Mass_measured","g",619,619,1,1,0,FALSE,"Zilles","secondary","mass_fresh",619,619
"50","mass","Brain_Mass_measured","g",240,240,1,1,0,FALSE,"Zilles","secondary","mass_fresh",240,240
"51","mass","Brain_Mass_measured","g",690,690,1,1,0,FALSE,"Zilles","secondary","mass_fresh",690,690
"52","mass","Brain_Mass_measured","g",785,785,1,1,0,FALSE,"Zilles","secondary","mass_fresh",785,785
"53","mass","Brain_Mass_measured","g",886,886,1,1,0,FALSE,"Zilles","secondary","mass_fresh",886,886
"54","mass","Brain_Mass_measured","g",900,900,1,1,0,FALSE,"Zilles","secondary","mass_fresh",900,900
"56","mass","Brain_Mass_measured","g",750,750,1,1,0,FALSE,"Zilles","secondary","mass_fresh",750,750
"57","mass","Brain_Mass_measured","g",765,765,1,1,0,FALSE,"Zilles","secondary","mass_fresh",765,765
"58","mass","Brain_Mass_measured","g",942.9,942.9,1,1,0,FALSE,"Zilles","secondary","mass_fresh",942.9,942.9
"59","mass","Brain_Mass_measured","g",791.5,791.5,1,1,0,FALSE,"Zilles","secondary","mass_fresh",791.5,791.5
"60","mass","Brain_Mass_measured","g",970,970,1,1,0,FALSE,"Zilles","secondary","mass_fresh",970,970
"61","mass","Brain_Mass_measured","g",920,920,1,1,0,FALSE,"Zilles","secondary","mass_fresh",920,920
"62","mass","Brain_Mass_measured","g",950,950,1,1,0,FALSE,"Zilles","secondary","mass_fresh",950,950
"63","mass","Brain_Mass_measured","g",1099,1099,1,1,0,FALSE,"Zilles","secondary","mass_fresh",1099,1099
"70","mass","Brain_Mass_measured","g",1464,1464,1,1,0,FALSE,"Zilles","secondary","mass_fresh",1464,1464
"71","mass","Brain_Mass_measured","g",1607,1607,1,1,0,FALSE,"Zilles","secondary","mass_fresh",1607,1607
"72","mass","Brain_Mass_measured","g",1367,1367,1,1,0,FALSE,"Zilles","secondary","mass_fresh",1367,1367
"74","mass","Brain_Mass_measured","g",1198,1198,1,1,0,FALSE,"Zilles","secondary","mass_fresh",1198,1198
"75","mass","Brain_Mass_measured","g",1456,1456,1,1,0,FALSE,"Zilles","secondary","mass_fresh",1456,1456
"76","mass","Brain_Mass_measured","g",1320,1320,1,1,0,FALSE,"Zilles","secondary","mass_fresh",1320,1320
"77","mass","Brain_Mass_measured","g",1374,1374,1,1,0,FALSE,"Zilles","secondary","mass_fresh",1374,1374
"78","mass","Brain_Mass_measured","g",1471,1471,1,1,0,FALSE,"Zilles","secondary","mass_fresh",1471,1471
"79","mass","Brain_Mass_measured","g",1464,1464,1,1,0,FALSE,"Zilles","secondary","mass_fresh",1464,1464
"8","mass","Brain_Mass_measured","g",445,445,1,1,0,FALSE,"Zilles","secondary","mass_fresh",445,445
"80","mass","Brain_Mass_measured","g",1423,1423,1,1,0,FALSE,"Zilles","secondary","mass_fresh",1423,1423
"81","mass","Brain_Mass_measured","g",1411,1411,1,1,0,FALSE,"Zilles","secondary","mass_fresh",1411,1411
"82","mass","Brain_Mass_measured","g",1441,1441,1,1,0,FALSE,"Zilles","secondary","mass_fresh",1441,1441
"83","mass","Brain_Mass_measured","g",1370,1370,1,1,0,FALSE,"Zilles","secondary","mass_fresh",1370,1370
"84","mass","Brain_Mass_measured","g",1305,1305,1,1,0,FALSE,"Zilles","secondary","mass_fresh",1305,1305
"85","mass","Brain_Mass_measured","g",1330,1330,1,1,0,FALSE,"Zilles","secondary","mass_fresh",1330,1330
"86","mass","Brain_Mass_measured","g",1453,1453,1,1,0,FALSE,"Zilles","secondary","mass_fresh",1453,1453
"87","mass","Brain_Mass_measured","g",1541,1541,1,1,0,FALSE,"Zilles","secondary","mass_fresh",1541,1541
"88","mass","Brain_Mass_measured","g",1458,1458,1,1,0,FALSE,"Zilles","secondary","mass_fresh",1458,1458
"89","mass","Brain_Mass_measured","g",1542,1542,1,1,0,FALSE,"Zilles","secondary","mass_fresh",1542,1542
"90","mass","Brain_Mass_measured","g",1454,1454,1,1,0,FALSE,"Zilles","secondary","mass_fresh",1454,1454
"91","mass","Brain_Mass_measured","g",1579,1579,1,1,0,FALSE,"Zilles","secondary","mass_fresh",1579,1579
"92","mass","Brain_Mass_measured","g",1603,1603,1,1,0,FALSE,"Zilles","secondary","mass_fresh",1603,1603
"93","mass","Brain_Mass_measured","g",1361,1361,1,1,0,FALSE,"Zilles","secondary","mass_fresh",1361,1361
"94","mass","Brain_Mass_measured","g",1482,1482,1,1,0,FALSE,"Zilles","secondary","mass_fresh",1482,1482
"95","mass","Brain_Mass_measured","g",1415,1415,1,1,0,FALSE,"Zilles","secondary","mass_fresh",1415,1415
"99","mass","Brain_Mass_measured","g",1164,1164,1,1,0,FALSE,"Zilles","secondary","mass_fresh",1164,1164
"Abeomelomys sevia","mass","Brain_Mass_mass_or_volume","g",1.49,1.49,1,1,0,FALSE,"Burger","secondary","mass_or_volume_mixed",1.49,1.49
"Acinonyx jubatus","mass","Brain_Mass_mass_or_volume","g",111,111,1,1,0,FALSE,"Burger","secondary","mass_or_volume_mixed",111,111
"Acomys cahirinus","mass","Brain_Mass_mass_or_volume","g",0.7,0.7,1,1,0,FALSE,"Burger","secondary","mass_or_volume_mixed",0.7,0.7
"Acomys wilsoni","mass","Brain_Mass_mass_or_volume","g",0.58,0.58,2,2,0,FALSE,"Boddy; Burger","secondary","mass_or_volume_mixed",0.58,0.58
"Acrobates pygmaeus","mass","Brain_Mass_mass_or_volume","g",0.35,0.35,1,1,0,FALSE,"Burger","secondary","mass_or_volume_mixed",0.35,0.35
"Addax nasomaculatus","mass","Brain_Mass_mass_or_volume","g",185,185,1,1,0,FALSE,"Burger","secondary","mass_or_volume_mixed",185,185
"Aepyceros melampus","mass","Brain_Mass_mass_or_volume","g",175,175,2,2,0,FALSE,"Boddy; Burger","secondary","mass_or_volume_mixed",175,175
"Aepyprymnus rufescens","mass","Brain_Mass_mass_or_volume","g",12.3,12.3,1,1,0,FALSE,"Burger","secondary","mass_or_volume_mixed",12.3,12.3
"Aeromys tephromelas","mass","Brain_Mass_mass_or_volume","g",10.34,10.34,2,2,0,FALSE,"Boddy; Burger","secondary","mass_or_volume_mixed",10.34,10.34
"Aethomys chrysophilus","mass","Brain_Mass_mass_or_volume","g",1.25,1.25,2,2,0,FALSE,"Boddy; Burger","secondary","mass_or_volume_mixed",1.25,1.25
"Aethomys hindei","mass","Brain_Mass_mass_or_volume","g",1.42,1.42,2,2,0,FALSE,"Boddy; Burger","secondary","mass_or_volume_mixed",1.42,1.42
"Aethomys namaquensis","mass","Brain_Mass_mass_or_volume","g",0.89,0.89,1,1,0,FALSE,"Boddy","secondary","mass_or_volume_mixed",0.89,0.89
"Agouti paca","mass","Brain_Mass_mass_or_volume","g",35.2167,35.2167,1,1,0,FALSE,"Boddy","secondary","mass_or_volume_mixed",35.2167,35.2167
"Ailuropoda melanoleuca","mass","Brain_Mass_mass_or_volume","g",205,205,1,1,0,FALSE,"Burger","secondary","mass_or_volume_mixed",205,205
"Ailurus fulgens","mass","Brain_Mass_mass_or_volume","g",46.8,46.8,2,2,0,FALSE,"Boddy; Burger","secondary","mass_or_volume_mixed",46.8,46.8
"Akodon azarae","mass","Brain_Mass_mass_or_volume","g",0.642,0.642,1,1,0,FALSE,"Burger","secondary","mass_or_volume_mixed",0.642,0.642
"Alcelaphus buselaphus","mass","Brain_Mass_mass_or_volume","g",284.9,284.9,1,1,0,FALSE,"Burger","secondary","mass_or_volume_mixed",284.9,284.9
"Alcelaphus lichtensteinii","mass","Brain_Mass_mass_or_volume","g",357,357,1,1,0,FALSE,"Burger","secondary","mass_or_volume_mixed",357,357
"Alces alces","mass","Brain_Mass_mass_or_volume","g",436,436,2,2,0,FALSE,"Boddy; Burger","secondary","mass_or_volume_mixed",436,436
"Alces americanus","mass","Brain_Mass_mass_or_volume","g",407,407,1,1,0,FALSE,"Burger","secondary","mass_or_volume_mixed",407,407
"Allactaga sibirica","mass","Brain_Mass_mass_or_volume","g",3.5,3.5,2,2,0,FALSE,"Boddy; Burger","secondary","mass_or_volume_mixed",3.5,3.5
"Allenopithecus nigroviridis","mass","Brain_Mass_mass_or_volume","g",58.021,58.021,1,1,0,FALSE,"Burger","secondary","mass_or_volume_mixed",58.021,58.021
"Alligator","mass","Brain_Mass_measured","g",5.8,5.8,3,1,0,FALSE,"Zilles","secondary","mass_fresh",4.6,6.7
"Alouatta belzebul","mass","Brain_Mass_mass_or_volume","g",52.8438,52.8438,1,1,0,FALSE,"Burger","secondary","mass_or_volume_mixed",52.8438,52.8438
"Alouatta caraya","mass","Brain_Mass_mass_or_volume","g",50.0667,50.7,5,3,0,FALSE,"Boddy; Burger; DeCasien","secondary","mass_or_volume_mixed",45,55.8
"Alouatta caraya","mass","Brain_Mass_measured","g",55.8,55.8,1,1,1,TRUE,"Zilles","primary","mass_unspecified",55.8,55.8
"Alouatta guariba","mass","Brain_Mass_mass_or_volume","g",49.1,49.1,1,1,0,FALSE,"Burger","secondary","mass_or_volume_mixed",49.1,49.1
"Alouatta macconnelli","mass","Brain_Mass_mass_or_volume","g",61.3308,61.3308,1,1,0,FALSE,"Burger","secondary","mass_or_volume_mixed",61.3308,61.3308
"Alouatta palliata","mass","Brain_Mass_mass_or_volume","g",50.6694,50.04,18,3,0,FALSE,"Boddy; Burger; DeCasien","secondary","mass_or_volume_mixed",37,65.53
"Alouatta palliata","mass","Brain_Mass_measured","g",52.75,52.75,2,1,0,FALSE,"Lewitus","secondary","mass_fresh; mass_unspecified",52.75,52.75
"Alouatta pigra","mass","Brain_Mass_mass_or_volume","g",51.125,51.125,1,1,0,FALSE,"Burger","secondary","mass_or_volume_mixed",51.125,51.125
"Alouatta sara","mass","Brain_Mass_mass_or_volume","g",59.0833,59.0833,1,1,0,FALSE,"Burger","secondary","mass_or_volume_mixed",59.0833,59.0833
"Alouatta seniculus","mass","Brain_Mass_mass_or_volume","g",44.15,45.5,8,3,0,FALSE,"Boddy; Burger; DeCasien","secondary","mass_or_volume_mixed",19,52
"Alouatta seniculus","mass","Brain_Mass_measured","g",51.5,51.5,9,4,1,TRUE,"Lewitus; Sherwood; Stephan_collection; Zilles","primary; secondary","mass_compilation_unspecified; mass_fresh; mass_unspecified",43.6,54.95
"Amblonyx cinereus","mass","Brain_Mass_measured","g",38.1,38.1,2,1,0,FALSE,"Jacobs","info","mass_specimen",38.1,38.1
"Amblysomus hottentotus","mass","Brain_Mass_excl_olfactory_bulb","g",0.812,0.812,1,1,1,TRUE,"HerculanoHouzel","primary","mass_excl_olfactory_bulb",0.812,0.812
"Ametrida centurio","mass","Brain_Mass_mass_or_volume","g",0.29,0.29,1,1,0,FALSE,"Burger","secondary","mass_or_volume_mixed",0.29,0.29
"Ametrida centurio (STE)","mass","Brain_Mass_measured","g",0.29,0.29,1,1,0,FALSE,"Baron","secondary","mass_compilation_unspecified",0.29,0.29
"Ammospermophilus harrisii","mass","Brain_Mass_mass_or_volume","g",2.3225,2.3225,2,2,0,FALSE,"Boddy; Burger","secondary","mass_or_volume_mixed",2.24,2.405
"Ammospermophilus insularis","mass","Brain_Mass_mass_or_volume","g",2.55,2.55,1,1,0,FALSE,"Burger","secondary","mass_or_volume_mixed",2.55,2.55
"Ammospermophilus interpres","mass","Brain_Mass_mass_or_volume","g",2.5,2.5,1,1,0,FALSE,"Burger","secondary","mass_or_volume_mixed",2.5,2.5
"Ammospermophilus leucurus","mass","Brain_Mass_mass_or_volume","g",2.29,2.29,2,2,0,FALSE,"Boddy; Burger","secondary","mass_or_volume_mixed",2.25,2.33
"Ammospermophilus nelsoni","mass","Brain_Mass_mass_or_volume","g",2.4675,2.4675,2,2,0,FALSE,"Boddy; Burger","secondary","mass_or_volume_mixed",2.31,2.625
"Ammotragus lervia","mass","Brain_Mass_mass_or_volume","g",209,209,1,1,0,FALSE,"Burger","secondary","mass_or_volume_mixed",209,209
"Anoura caudifer","mass","Brain_Mass_mass_or_volume","g",0.4225,0.4225,1,1,0,FALSE,"Burger","secondary","mass_or_volume_mixed",0.4225,0.4225
"Anoura caudifer","mass","Brain_Mass_measured","g",0.4095,0.4095,4,1,0,FALSE,"Zilles","secondary","mass_fresh",0.387,0.44
"Anoura geoffroyi","mass","Brain_Mass_mass_or_volume","g",0.583,0.583,1,1,0,FALSE,"Burger","secondary","mass_or_volume_mixed",0.583,0.583
"Anoura geoffroyi","mass","Brain_Mass_measured","g",0.5896,0.5896,5,1,0,FALSE,"Zilles","secondary","mass_fresh",0.55,0.62
"Anourosorex squamipes","mass","Brain_Mass_measured","g",0.3992,0.3992,5,1,0,FALSE,"Zilles","secondary","mass_fresh",0.384,0.42
"Antechinomys laniger","mass","Brain_Mass_mass_or_volume","g",0.47,0.47,1,1,0,FALSE,"Burger","secondary","mass_or_volume_mixed",0.47,0.47
"Antechinus agilis","mass","Brain_Mass_mass_or_volume","g",0.56,0.56,1,1,0,FALSE,"Burger","secondary","mass_or_volume_mixed",0.56,0.56
"Antechinus bellus","mass","Brain_Mass_mass_or_volume","g",0.6413,0.6413,2,2,0,FALSE,"Boddy; Burger","secondary","mass_or_volume_mixed",0.63,0.6527
"Antechinus flavipes","mass","Brain_Mass_mass_or_volume","g",0.6515,0.6515,2,2,0,FALSE,"Boddy; Burger","secondary","mass_or_volume_mixed",0.64,0.663
"Antechinus flavipes (x)","mass","Brain_Mass_measured","g",0.765,0.765,2,1,1,TRUE,"Pirlot","primary","mass_unspecified",0.76,0.77
"Antechinus leo","mass","Brain_Mass_mass_or_volume","g",0.7635,0.7635,2,2,0,FALSE,"Boddy; Burger","secondary","mass_or_volume_mixed",0.75,0.777
"Antechinus minimus","mass","Brain_Mass_mass_or_volume","g",0.7533,0.7533,2,2,0,FALSE,"Boddy; Burger","secondary","mass_or_volume_mixed",0.74,0.7666
"Antechinus stuartii","mass","Brain_Mass_mass_or_volume","g",0.7737,0.7737,2,2,0,FALSE,"Boddy; Burger","secondary","mass_or_volume_mixed",0.76,0.7874
"Antechinus subtropicus","mass","Brain_Mass_mass_or_volume","g",0.72,0.72,1,1,0,FALSE,"Burger","secondary","mass_or_volume_mixed",0.72,0.72
"Antechinus swainsonii","mass","Brain_Mass_mass_or_volume","g",1.1096,1.1096,2,2,0,FALSE,"Boddy; Burger","secondary","mass_or_volume_mixed",1.09,1.1292
"Antidorcas marsupialis","mass","Brain_Mass_excl_olfactory_bulb","g",105.081,105.081,3,2,2,TRUE,"HerculanoHouzel; Kazu","primary","mass_excl_olfactory_bulb",102.102,106.074
"Antidorcas marsupialis","mass","Brain_Mass_mass_or_volume","g",135,135,1,1,0,FALSE,"Burger","secondary","mass_or_volume_mixed",135,135
"Antilocapra americana","mass","Brain_Mass_mass_or_volume","g",125.6,125.6,1,1,0,FALSE,"Burger","secondary","mass_or_volume_mixed",125.6,125.6
"Antilope cervicapra","mass","Brain_Mass_mass_or_volume","g",110.8,110.8,1,1,0,FALSE,"Burger","secondary","mass_or_volume_mixed",110.8,110.8
"Aonyx capensis","mass","Brain_Mass_mass_or_volume","g",94.6,94.6,1,1,0,FALSE,"Burger","secondary","mass_or_volume_mixed",94.6,94.6
"Aonyx cinerea","mass","Brain_Mass_mass_or_volume","g",38.09,38.09,1,1,0,FALSE,"Burger","secondary","mass_or_volume_mixed",38.09,38.09
"Aotus azarae","mass","Brain_Mass_mass_or_volume","g",20.7,20.7,1,1,0,FALSE,"Burger","secondary","mass_or_volume_mixed",20.7,20.7
"Aotus lemurinus","mass","Brain_Mass_mass_or_volume","g",110.7333,113.5,5,3,0,FALSE,"Boddy; Burger; DeCasien","secondary","mass_or_volume_mixed",88.6,118
"Aotus sp.","mass","Brain_Mass_mass_or_volume","g",21,21,1,1,0,FALSE,"DeCasien","secondary","mass_or_volume_mixed",21,21
"Aotus sp.","mass","Brain_Mass_measured","g",16.35,16.35,1,1,0,FALSE,"MacLeod","secondary","mass_unspecified",16.35,16.35
"Aotus trivirgatus","mass","Brain_Mass_excl_olfactory_bulb","g",15.73,15.73,1,1,1,TRUE,"HerculanoHouzel","primary","mass_excl_olfactory_bulb",15.73,15.73
"Aotus trivirgatus","mass","Brain_Mass_mass_or_volume","g",15.75,15.75,9,4,1,TRUE,"Boddy; Burger; DeCasien; HerculanoHouzel","primary; secondary","mass_or_volume_mixed",13.2,19.5804
"Aotus trivirgatus","mass","Brain_Mass_measured","g",17.0292,16.55,14,6,3,TRUE,"Changizi; Finlay; Lewitus; Sherwood; Stephan_collection; Zilles","primary; secondary","mass_compilation_unspecified; mass_fresh; mass_unspecified",16,18.2
"Aplodontia rufa","mass","Brain_Mass_mass_or_volume","g",7.04,7.04,2,2,0,FALSE,"Boddy; Burger","secondary","mass_or_volume_mixed",7.04,7.04
"Apodemus agrarius","mass","Brain_Mass_mass_or_volume","g",0.2,0.2,2,2,0,FALSE,"Boddy; Burger","secondary","mass_or_volume_mixed",0.2,0.2
"Apodemus flavicollis","mass","Brain_Mass_mass_or_volume","g",0.7,0.7,2,2,0,FALSE,"Boddy; Burger","secondary","mass_or_volume_mixed",0.7,0.7
"Apodemus flavicollis","mass","Brain_Mass_measured","g",0.77,0.77,1,1,0,FALSE,"Zilles","secondary","mass_fresh",0.77,0.77
"Apodemus sylvaticus","mass","Brain_Mass_mass_or_volume","g",0.5875,0.5875,2,2,0,FALSE,"Boddy; Burger","secondary","mass_or_volume_mixed",0.585,0.59
"Ara ararauna","mass","Brain_Mass_measured","g",20.7297,20.7297,1,1,1,TRUE,"Olkowicz","primary","mass_fixed",20.7297,20.7297
"Arctictis binturong","mass","Brain_Mass_mass_or_volume","g",40.85,40.85,1,1,0,FALSE,"Burger","secondary","mass_or_volume_mixed",40.85,40.85
"Arctocebus aureus","mass","Brain_Mass_mass_or_volume","g",5.8776,5.8776,1,1,0,FALSE,"Burger","secondary","mass_or_volume_mixed",5.8776,5.8776
"Arctocebus calabarensis","mass","Brain_Mass_mass_or_volume","g",6.9214,6.9214,1,1,0,FALSE,"Burger","secondary","mass_or_volume_mixed",6.9214,6.9214
"Arctocebus sp.","mass","Brain_Mass_mass_or_volume","g",7.2,7.2,1,1,0,FALSE,"DeCasien","secondary","mass_or_volume_mixed",7.2,7.2
"Arctocephalus australis","mass","Brain_Mass_mass_or_volume","g",307.5,307.5,2,2,0,FALSE,"Boddy; Burger","secondary","mass_or_volume_mixed",307.5,307.5
"Arctocephalus forsteri","mass","Brain_Mass_mass_or_volume","g",320,320,2,2,0,FALSE,"Boddy; Burger","secondary","mass_or_volume_mixed",320,320
"Arctocephalus galapagoensis","mass","Brain_Mass_mass_or_volume","g",291.25,291.25,2,2,0,FALSE,"Boddy; Burger","secondary","mass_or_volume_mixed",291.25,291.25
"Arctocephalus gazella","mass","Brain_Mass_mass_or_volume","g",340,340,2,2,0,FALSE,"Boddy; Burger","secondary","mass_or_volume_mixed",340,340
"Arctocephalus philippii","mass","Brain_Mass_mass_or_volume","g",415,415,2,2,0,FALSE,"Boddy; Burger","secondary","mass_or_volume_mixed",415,415
"Arctocephalus pusillus","mass","Brain_Mass_mass_or_volume","g",369.3775,369.3775,2,2,0,FALSE,"Boddy; Burger","secondary","mass_or_volume_mixed",369.375,369.38
"Arctocephalus tropicalis","mass","Brain_Mass_mass_or_volume","g",326.25,326.25,2,2,0,FALSE,"Boddy; Burger","secondary","mass_or_volume_mixed",326.25,326.25
"Arctogalidia trivirgata","mass","Brain_Mass_mass_or_volume","g",21.98,21.98,1,1,0,FALSE,"Burger","secondary","mass_or_volume_mixed",21.98,21.98
"Arctonyx collaris","mass","Brain_Mass_mass_or_volume","g",49.4,49.4,1,1,0,FALSE,"Burger","secondary","mass_or_volume_mixed",49.4,49.4
"Ardops annectans (STE)","mass","Brain_Mass_measured","g",0.61,0.61,1,1,0,FALSE,"Baron","secondary","mass_compilation_unspecified",0.61,0.61
